id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review
6283,Casa Al Sur,13310,Pamela,,Balvanera,-34.605228,-58.410419,Entire home/apt,4810,3,1,2011-01-31
11508,Amazing Luxurious Apt-Palermo Soho,42762,Candela,,Palermo,-34.581841,-58.424149,Entire home/apt,6254,2,27,2021-04-03
12463,Room in Recoleta - awesome location,48799,Matt,,Recoleta,-34.597771,-58.396641,Private room,2597,1,20,2016-02-12
13095,Standard Room at Palermo Viejo B&B w pvt Bath,50994,Ariel,,Palermo,-34.593479,-58.429489,Private room,2722,1,1,2018-12-18
13096,Standard Room in Palermo Viejo B&B,50994,Ariel,,Palermo,-34.593479,-58.429489,Private room,2722,1,0,
13097,Standard Room at Palermo Viejo B&B pvt bath,50994,Ariel,,Palermo,-34.593479,-58.429489,Private room,2722,1,1,2019-11-27
13099,Lofty room in Palermo Viejo B&B pvt bath,50994,Ariel,,Palermo,-34.593269,-58.429531,Private room,3628,1,0,
13100,Master Room in Palermo Viejo B&B w  pvt Bath,50994,Ariel,,Palermo,-34.593479,-58.429489,Private room,4535,1,1,2017-11-23
14222,"RELAX IN HAPPY HOUSE - PALERMO, BUENOS AIRES",87710233,María,,Palermo,-34.58617,-58.410358,Entire home/apt,3180,5,90,2019-11-03
14711,SPECTACULAR ANCIENT HOUSE,57770,Cintia,,San Nicolas,-34.607861,-58.372108,Entire home/apt,11549,1,0,
15074,ROOM WITH RIVER SIGHT,59338,Monica,,Nuñez,-34.538921,-58.465988,Private room,2886,29,0,
15889,ROOM W /BALCONY-DOWNTOWN ......,62183,Sonia,,Balvanera,-34.603458,-58.411789,Private room,3505,3,6,2011-07-11
16695,DUPLEX LOFT 2 - SAN TELMO,64880,Elbio Mariano,,Monserrat,-34.614391,-58.37611,Entire home/apt,3656,2,46,2019-07-01
16697,Small Duplex Loft in San Telmo (8),64880,Elbio Mariano,,Monserrat,-34.614941,-58.375172,Entire home/apt,2886,2,22,2016-07-11
17993,TEMPORARY RENT CUTE APARTMENT IN MICROCENTRO,68689,Maritza,,San Nicolas,-34.603699,-58.37888,Private room,3271,3,7,2018-05-27
18007,apartament in San Telmo,69404,Marcelo,,Constitucion,-34.617512,-58.378139,Entire home/apt,33670,1,0,
18061,"Quirky, sunny & spacious - 5 px max",69605,Alejandra,,San Telmo,-34.622082,-58.367241,Entire home/apt,6542,7,144,2017-12-11
19642,SKY LOFT LARGE,74406,Mathilde,,Palermo,-34.589981,-58.435829,Entire home/apt,6734,15,0,
20062,PENTHOUSE / best city views !! terrace & pool,75891,Sergio,,Palermo,-34.581829,-58.441429,Entire home/apt,8837,2,227,2020-12-23
20429,Hermoso  y acogedor departamento.,77065,Marcelo,,Constitucion,-34.622601,-58.387039,Entire home/apt,3367,15,0,
21807,Comfortable apartment in San Telmo,83312,Graciela,,San Telmo,-34.62085,-58.37199,Entire home/apt,4810,6,0,
21816,Apartment at Faena Hotel,83130,Marce,,Puerto Madero,-34.613861,-58.361408,Entire home/apt,17324,7,1,2020-10-19
21837,Comfortable studio in Callao Avenue,80208,Olga,,San Nicolas,-34.607769,-58.372452,Entire home/apt,5775,3,0,
23798,"CHIC, LIGHT, SPACIOUS LOFT APPT- SAN TELMO",94615,Nicola,,Monserrat,-34.612659,-58.37479,Entire home/apt,3217,30,48,2020-01-18
24713,"BEAUTIFUL, EXCELLENT UBICATION/OBELISK  5 STARS!!!",100743,Griselda,,San Nicolas,-34.602539,-58.378109,Entire home/apt,1924,1,343,2020-02-08
24763,Amazing LOFTpalermo: contemporary and cool,101049,Sebastian,,Chacarita,-34.584942,-58.444191,Entire home/apt,6253,10,32,2017-07-19
26258,Huge 473sqf Studio @ Palermo University area,111013,Daniel,,Almagro,-34.599972,-58.41238,Entire home/apt,3367,7,2,2013-10-23
26839,Studio in retiro neighborhood,114411,Nicole,,Retiro,-34.594002,-58.379921,Entire home/apt,1443,4,2,2021-01-31
27631,Apartment for rent in Recoleta,119446,Inés,,Recoleta,-34.59272,-58.3894,Entire home/apt,1635,2,98,2018-12-14
29983,Depto de 1 ambiente en Recoleta,129235,Carolina,,Recoleta,-34.597919,-58.390911,Entire home/apt,8064,2,0,
31469,Beautiful Home w/ Garden at Racetrack of Palermo,1751072,Diego,,Palermo,-34.568199,-58.434021,Entire home/apt,4810,10,11,2017-01-26
