"lsoa11cd","lsoa11nm","r_rank","h_rank","g_rank","e_rank","r_exp","h_exp","g_exp","e_exp","ahah","r_ahah","d_ahah","r_dec","h_dec","g_dec","e_dec","gpp_dist","ed_dist","dent_dist","pharm_dist","gamb_dist","ffood_dist","pubs_dist","leis_dist","blue_dist","off_dist","tobac_dist","green_pas","green_act","ur","no2_mean","pm10_mean","so2_mean","d_gpp_dist","d_ed_dist","d_pharm_dist","d_dent_dist","d_gamb_dist","d_ffood_dist","d_pubs_dist","d_leis_dist","d_blue_dist","d_off_dist","d_tobac_dist","d_green_pas","d_green_act","d_no2_mean","d_pm10_mean","d_so2_mean"
"E01006512","Liverpool 031A",31239,3055,31351,35965,30.8884805581604,1.7251733702432,31.1230731577145,43.7447998268241,26.8703817282356,32211,8,8,1,8,9,0.488,2.1732,0.5,0.3832,1.0072,0.786,0.6896,1.5136,3.9452,1.02,1.5064,0.06835571882,0.34,1,15.393118021526,11.0786520976622,1.95066390766644,2,1,1,2,6,7,8,4,9,9,8,9,3,9,4,10
"E01006513","Liverpool 060A",41456,2213,37636,35878,90.6859946155093,1.23663067946356,50.8193528998597,43.4298917120161,46.5429674767122,41551,10,10,1,10,9,0.363877551020408,1.71387755102041,0.947755102040816,0.424795918367347,0.344285714285714,0.169081632653061,0.135204081632653,0.643571428571429,4.25612244897959,0.343163265306122,0.576530612244898,0.06812892006,0.72,1,15.2984407762152,11.1567169936183,1.93204686534633,1,1,2,5,10,10,10,1,9,10,10,9,8,9,4,10
"E01006514","Liverpool 037A",37258,4510,39228,35143,49.0179979376821,2.59464821215389,60.485044124347,40.9286615033948,38.2565879443944,39958,10,9,2,10,9,0.39,2.195,0.920869565217391,0.636086956521739,0.646739130434783,0.555869565217391,0.394782608695652,0.959347826086957,5.75673913043478,0.602608695652174,0.971739130434783,0.06032377958,0.8,1,14.7451957833273,11.0729980807281,1.91546964350682,1,1,4,4,8,8,9,2,10,10,9,9,9,9,4,10
"E01006515","Liverpool 037B",34254,6931,29900,35065,38.2271172186932,4.11845775645877,28.2548085570816,40.6785138077313,27.8197243349912,33425,9,9,2,8,9,0.58890625,2.81390625,1.238125,0.8509375,0.73,0.5978125,0.52828125,0.47734375,6.49703125,1.105,1.2615625,0.05269568573,0.2,1,14.6388007518862,10.9530929380658,1.93807223202391,2,2,5,6,8,8,9,1,10,8,9,9,1,9,4,10
"E01006518","Liverpool 044A",25433,7533,37244,34392,21.1666779898961,4.51357264640563,48.9539161740012,38.6262302579885,28.3150992670729,34019,9,7,2,9,9,0.85,3.31428571428571,1.14190476190476,0.401666666666667,0.755476190476191,1.37333333333333,1.31785714285714,0.976904761904762,5.78119047619048,1.625,1.76452380952381,0.1097548886,0.65,1,14.2744261633807,10.9796506451301,1.89876850406716,4,2,2,5,8,5,5,2,10,7,7,8,8,8,4,10
"E01006519","Liverpool 056A",24866,23594,14398,28722,20.4051494838641,18.7832725165553,9.57682585801473,26.1635620533802,18.7322024779536,16649,4,6,6,4,7,1.17038461538462,7.55423076923077,1.46269230769231,1.06153846153846,1.08538461538462,1.40461538461538,0.877307692307692,1.95346153846154,2.005,1.15153846153846,2.74769230769231,0.75713716185,0.52,1,12.5547134988146,10.6916239542806,1.73625572413318,6,5,7,7,6,5,7,5,5,8,5,2,6,7,3,10
"E01006520","Liverpool 043A",32893,14237,2676,31984,34.6226772733377,9.44437840004457,1.50398602280959,32.4958921566311,19.5167334632057,18515,5,8,4,1,8,0.728064516129032,4.93806451612903,0.989354838709677,0.607741935483871,0.769354838709677,0.706129032258065,0.673548387096774,2.88064516129032,1.05612903225806,0.672903225806452,1.95548387096774,1.31346670481,0.33,1,13.3237096854446,10.8223771644145,1.81246674143969,3,3,3,5,8,8,8,6,3,9,7,1,3,8,4,10
"E01006521","Liverpool 052A",28732,8182,746,29712,26.1805376849988,4.94727877581535,0.409481929398139,27.9080451602661,14.8613358876196,8121,2,7,2,1,8,0.498709677419355,6.65709677419355,0.715483870967742,0.456129032258065,0.444193548387097,1.46129032258065,1.44225806451613,1.68129032258065,0.734838709677419,0.557096774193548,3.57516129032258,1.60675217388,0.245,1,12.8593307648591,10.7792510826128,1.74485539591881,2,5,2,3,10,5,4,4,2,10,4,1,2,7,3,10
"E01006522","Liverpool 048A",35609,18428,1082,31765,42.4826231276574,13.1680113291805,0.59632186852019,32.0116094464984,22.0646414429642,24168,6,9,5,1,8,1.17243902439024,5.01414634146341,1.03439024390244,0.690487804878049,0.598780487804878,1.04,0.275853658536585,2.9719512195122,0.673170731707317,0.564878048780488,2.08,1.21462586434,0.27,1,13.3299200889689,10.9148439698974,1.78833496303024,6,4,4,5,9,6,10,6,2,10,7,1,2,8,4,10
"E01006523","Liverpool 052B",30805,16553,2006,29109,30.0013839798181,11.4272405714813,1.11809831431947,26.829834514516,17.3441393450337,13458,4,8,4,1,7,1.15,6.1209375,0.6721875,0.69875,0.6084375,1.3278125,0.633125,2.7246875,0.57,0.6425,3.12125,1.44244326939,0.42,1,12.7014093413061,10.7114946899199,1.73823531940484,6,4,4,3,9,5,8,6,1,10,5,1,5,7,3,10
