"lsoa11cd","date","lsoa11nm","Rural Urban","Variable: All usual residents; measures: Value","Variable: Males; measures: Value","Variable: Females; measures: Value","Variable: Lives in a household; measures: Value","Variable: Lives in a communal establishment; measures: Value","Variable: Schoolchild or full-time student aged 4 and over at their non term-time address; measures: Value","Variable: Area (Hectares); measures: Value","Variable: Density (number of persons per hectare); measures: Value"
"E01006512",2011,"Liverpool 031A","Total",1880,1070,810,1420,460,21,28.41,66.2
"E01006513",2011,"Liverpool 060A","Total",2941,1461,1480,1691,1250,56,55.92,52.6
"E01006514",2011,"Liverpool 037A","Total",2108,1177,931,1758,350,29,26.23,80.4
"E01006515",2011,"Liverpool 037B","Total",1208,595,613,1208,0,10,36.51,33.1
"E01006518",2011,"Liverpool 044A","Total",1696,843,853,1630,66,8,23.39,72.5
"E01006519",2011,"Liverpool 056A","Total",1286,628,658,1286,0,34,50.79,25.3
"E01006520",2011,"Liverpool 043A","Total",1706,937,769,1685,21,0,26.16,65.2
"E01006521",2011,"Liverpool 052A","Total",1660,836,824,1619,41,6,60.6,27.4
"E01006522",2011,"Liverpool 048A","Total",1731,995,736,1670,61,2,47.05,36.8
"E01006523",2011,"Liverpool 052B","Total",1508,751,757,1473,35,7,16.37,92.1
"E01006524",2011,"Liverpool 048B","Total",2431,1121,1310,1079,1352,41,47.01,51.7
"E01006525",2011,"Liverpool 049A","Total",1209,601,608,1209,0,21,42.07,28.7
"E01006526",2011,"Liverpool 048C","Total",1404,677,727,1301,103,8,49.63,28.3
"E01006527",2011,"Liverpool 053A","Total",1454,683,771,1373,81,14,33.35,43.6
"E01006528",2011,"Liverpool 052C","Total",1461,755,706,1434,27,19,70.35,20.8
"E01006529",2011,"Liverpool 048D","Total",1304,640,664,1304,0,15,10.02,130.1
"E01006530",2011,"Liverpool 055A","Total",1431,674,757,1428,3,15,23.54,60.8
"E01006531",2011,"Liverpool 055B","Total",1458,686,772,1455,3,15,43.21,33.7
"E01006532",2011,"Liverpool 047A","Total",1557,783,774,1554,3,31,93.74,16.6
"E01006533",2011,"Liverpool 055C","Total",1408,680,728,1355,53,18,92.15,15.3
"E01006534",2011,"Liverpool 054A","Total",1542,753,789,1542,0,17,32.14,48
"E01006535",2011,"Liverpool 054B","Total",1639,766,873,1550,89,16,181.63,9
"E01006536",2011,"Liverpool 054C","Total",1848,874,974,1848,0,7,66.5,27.8
"E01006537",2011,"Liverpool 055D","Total",2257,1093,1164,2257,0,18,107.56,21
"E01006538",2011,"Liverpool 055E","Total",1318,639,679,1318,0,11,42.34,31.1
