"lsoa11cd","date","lsoa11nm","Rural Urban","Age: All usual residents; measures: Value","Age: Age 0 to 4; measures: Value","Age: Age 5 to 7; measures: Value","Age: Age 8 to 9; measures: Value","Age: Age 10 to 14; measures: Value","Age: Age 15; measures: Value","Age: Age 16 to 17; measures: Value","Age: Age 18 to 19; measures: Value","Age: Age 20 to 24; measures: Value","Age: Age 25 to 29; measures: Value","Age: Age 30 to 44; measures: Value","Age: Age 45 to 59; measures: Value","Age: Age 60 to 64; measures: Value","Age: Age 65 to 74; measures: Value","Age: Age 75 to 84; measures: Value","Age: Age 85 to 89; measures: Value","Age: Age 90 and over; measures: Value","Age: Mean Age; measures: Value","Age: Median Age; measures: Value"
"E01006512",2011,"Liverpool 031A","Total",1880,98,43,15,35,6,34,124,615,332,355,158,31,17,13,3,1,27.4,24
"E01006513",2011,"Liverpool 060A","Total",2941,23,11,6,12,1,14,624,1366,393,279,115,36,26,23,7,5,25.3,21
"E01006514",2011,"Liverpool 037A","Total",2108,39,13,12,38,3,13,196,586,271,474,268,66,81,33,9,6,32.8,27
"E01006515",2011,"Liverpool 037B","Total",1208,54,42,14,63,12,18,35,141,139,272,178,58,80,73,27,2,37.8,33
"E01006518",2011,"Liverpool 044A","Total",1696,92,45,25,92,17,42,46,120,108,320,350,101,142,145,34,17,41.9,42
"E01006519",2011,"Liverpool 056A","Total",1286,70,38,21,86,16,46,28,56,50,225,335,97,112,85,12,9,41.9,45
"E01006520",2011,"Liverpool 043A","Total",1706,44,12,5,23,6,9,15,155,340,572,258,86,88,61,23,9,38.7,33
"E01006521",2011,"Liverpool 052A","Total",1660,56,39,19,44,11,14,20,130,192,396,272,91,141,165,43,27,44,41
"E01006522",2011,"Liverpool 048A","Total",1731,57,24,15,25,8,11,19,155,389,623,254,52,61,28,7,3,35.4,32
"E01006523",2011,"Liverpool 052B","Total",1508,55,27,20,42,12,12,17,120,234,437,262,85,75,79,22,9,39.1,34
"E01006524",2011,"Liverpool 048B","Total",2431,49,28,10,38,6,12,964,240,136,316,184,60,121,153,66,48,34.2,20
"E01006525",2011,"Liverpool 049A","Total",1209,60,22,15,50,13,30,28,85,80,216,282,101,120,83,17,7,43,45
"E01006526",2011,"Liverpool 048C","Total",1404,72,28,22,54,11,21,21,60,99,337,290,88,113,108,43,37,44.5,43
"E01006527",2011,"Liverpool 053A","Total",1454,70,30,23,66,18,39,88,111,96,274,277,68,150,111,21,12,41.1,39
"E01006528",2011,"Liverpool 052C","Total",1461,85,42,25,57,13,21,38,184,168,344,260,69,73,45,21,16,36.3,32
"E01006529",2011,"Liverpool 048D","Total",1304,86,41,24,59,14,21,23,96,105,340,251,69,102,58,6,9,38.4,38
"E01006530",2011,"Liverpool 055A","Total",1431,66,28,25,69,21,38,23,80,68,210,316,117,153,159,43,15,46.2,48
"E01006531",2011,"Liverpool 055B","Total",1458,36,37,22,52,19,35,28,67,53,200,290,98,226,233,44,18,50.5,53
"E01006532",2011,"Liverpool 047A","Total",1557,65,39,31,111,31,50,31,62,51,225,388,129,196,111,28,9,44.3,48
"E01006533",2011,"Liverpool 055C","Total",1408,58,33,26,69,17,32,31,83,49,221,322,117,137,149,42,22,46.4,49
"E01006534",2011,"Liverpool 054A","Total",1542,60,45,30,109,27,63,48,105,89,269,393,70,121,87,20,6,39.8,42
"E01006535",2011,"Liverpool 054B","Total",1639,67,39,22,83,27,58,59,96,85,318,369,100,137,107,40,32,42.8,44
"E01006536",2011,"Liverpool 054C","Total",1848,78,48,30,124,23,63,49,144,116,321,425,111,157,118,28,13,40.9,42
"E01006537",2011,"Liverpool 055D","Total",2257,148,80,36,118,28,46,69,199,252,474,427,114,147,99,11,9,36.4,32
"E01006538",2011,"Liverpool 055E","Total",1318,54,42,24,76,21,43,35,78,72,223,339,69,113,100,26,3,41.8,44
"E01006539",2011,"Liverpool 047B","Total",1437,53,30,16,80,21,42,28,57,58,200,422,145,165,91,21,8,45.6,50
"E01006540",2011,"Liverpool 024A","Total",1509,115,38,31,88,19,42,53,141,178,326,257,60,82,59,15,5,34.9,31
"E01006541",2011,"Liverpool 015A","Total",1593,78,60,23,67,15,45,41,110,114,299,333,111,158,102,24,13,41.5,41
"E01006542",2011,"Liverpool 018A","Total",1397,75,30,31,91,21,47,37,94,112,305,279,70,81,78,35,11,38.9,38
"E01006543",2011,"Liverpool 015B","Total",1247,58,30,26,66,14,41,38,98,67,206,305,80,131,64,14,9,41.2,44
"E01006544",2011,"Liverpool 015C","Total",1658,107,46,42,129,30,61,60,133,112,278,348,73,125,89,13,12,37.1,36
"E01006545",2011,"Liverpool 019A","Total",1512,123,62,42,80,31,38,42,102,106,321,279,75,120,76,12,3,36.5,35
"E01006546",2011,"Liverpool 019B","Total",1319,101,46,42,92,22,33,38,125,116,264,245,56,65,56,11,7,34.8,31
"E01006547",2011,"Liverpool 019C","Total",1490,101,63,34,79,16,44,51,127,124,319,265,72,123,58,12,2,36.3,33
"E01006548",2011,"Liverpool 019D","Total",1675,135,62,26,96,28,38,52,145,116,356,270,70,130,91,42,18,37.6,35
"E01006549",2011,"Liverpool 043B","Total",1662,48,18,14,35,11,12,44,267,256,536,223,50,68,57,9,14,35.9,32
"E01006550",2011,"Liverpool 038A","Total",1595,37,14,11,26,8,12,109,875,117,164,119,32,38,28,5,0,27.4,21
"E01006551",2011,"Liverpool 048E","Total",1581,45,16,7,21,7,10,327,153,88,228,232,96,164,126,36,25,41.6,37
"E01006552",2011,"Liverpool 039A","Total",2029,244,122,55,141,15,38,50,198,252,482,261,45,77,42,5,2,29.1,27
"E01006553",2011,"Liverpool 042A","Total",1880,48,42,30,47,8,29,105,754,189,316,169,53,58,26,5,1,29.1,23
"E01006554",2011,"Liverpool 048F","Total",1692,56,28,23,45,10,21,86,570,163,298,225,80,57,23,2,5,31.5,25
"E01006556",2011,"Liverpool 039B","Total",2011,168,79,32,116,21,46,74,259,200,490,296,61,84,70,12,3,32.6,30
"E01006557",2011,"Liverpool 038B","Total",2054,50,22,10,45,12,18,155,1118,158,208,121,49,47,33,5,3,26.9,21
"E01006558",2011,"Liverpool 018B","Total",1357,95,43,14,60,14,41,38,113,107,300,256,92,110,56,7,11,38.3,37
"E01006560",2011,"Liverpool 023A","Total",1860,91,54,27,85,27,41,56,128,115,365,377,140,197,128,18,11,42,42.5
"E01006562",2011,"Liverpool 018E","Total",1514,121,71,41,79,17,52,53,114,115,284,305,89,97,58,14,4,36,35
"E01006563",2011,"Liverpool 024B","Total",1744,112,57,32,115,20,39,39,106,127,267,314,122,210,136,33,15,41.8,43
"E01006564",2011,"Liverpool 023B","Total",1721,83,44,24,77,16,36,34,112,114,288,375,163,232,107,13,3,43.7,46
"E01006565",2011,"Liverpool 029A","Total",1549,68,45,38,101,22,40,51,92,91,288,322,93,142,116,29,11,41.3,42
"E01006566",2011,"Liverpool 032A","Total",1506,89,47,30,87,19,52,38,92,87,280,317,96,116,106,40,10,40.7,41
"E01006567",2011,"Liverpool 026A","Total",1655,75,32,22,72,15,37,42,111,125,311,347,112,152,144,36,22,43.8,44
"E01006568",2011,"Liverpool 026B","Total",1617,89,55,32,106,29,38,47,78,98,330,355,83,116,97,39,25,40.6,40
"E01006569",2011,"Liverpool 029B","Total",1429,51,32,18,88,26,45,38,80,103,211,316,87,155,122,34,23,44.1,46
"E01006570",2011,"Liverpool 026C","Total",1479,55,47,39,97,20,42,44,107,79,261,344,83,122,105,27,7,40.9,42
