"lsoa11cd","date","lsoa11nm","Rural Urban","Marital Status: All usual residents aged 16+; measures: Value","Marital Status: Single (never married or never registered a same-sex civil partnership); measures: Value","Marital Status: Married; measures: Value","Marital Status: In a registered same-sex civil partnership; measures: Value","Marital Status: Separated (but still legally married or still legally in a same-sex civil partnership); measures: Value","Marital Status: Divorced or formerly in a same-sex civil partnership which is now legally dissolved; measures: Value","Marital Status: Widowed or surviving partner from a same-sex civil partnership; measures: Value"
"E01006512",2011,"Liverpool 031A","Total",1683,1288,287,1,36,62,9
"E01006513",2011,"Liverpool 060A","Total",2888,2613,170,10,22,45,28
"E01006514",2011,"Liverpool 037A","Total",2003,1583,204,4,33,128,51
"E01006515",2011,"Liverpool 037B","Total",1023,587,218,8,38,89,83
"E01006518",2011,"Liverpool 044A","Total",1425,716,363,4,58,141,143
"E01006519",2011,"Liverpool 056A","Total",1055,327,579,0,18,59,72
"E01006520",2011,"Liverpool 043A","Total",1616,1134,191,15,36,169,71
"E01006521",2011,"Liverpool 052A","Total",1491,697,420,8,40,171,155
"E01006522",2011,"Liverpool 048A","Total",1602,1213,164,6,39,141,39
"E01006523",2011,"Liverpool 052B","Total",1352,824,282,10,40,120,76
"E01006524",2011,"Liverpool 048B","Total",2300,1606,389,5,33,74,193
"E01006525",2011,"Liverpool 049A","Total",1049,361,546,0,20,52,70
"E01006526",2011,"Liverpool 048C","Total",1217,510,471,2,26,83,125
"E01006527",2011,"Liverpool 053A","Total",1247,536,492,0,23,94,102
"E01006528",2011,"Liverpool 052C","Total",1239,670,385,9,25,85,65
"E01006529",2011,"Liverpool 048D","Total",1080,468,446,6,31,76,53
"E01006530",2011,"Liverpool 055A","Total",1222,341,657,2,20,78,124
"E01006531",2011,"Liverpool 055B","Total",1292,316,718,0,17,85,156
"E01006532",2011,"Liverpool 047A","Total",1280,296,799,2,22,65,96
"E01006533",2011,"Liverpool 055C","Total",1205,380,565,2,22,92,144
"E01006534",2011,"Liverpool 054A","Total",1271,477,566,0,26,100,102
"E01006535",2011,"Liverpool 054B","Total",1401,559,555,0,38,109,140
"E01006536",2011,"Liverpool 054C","Total",1545,681,550,1,47,154,112
"E01006537",2011,"Liverpool 055D","Total",1847,817,752,0,62,112,104
"E01006538",2011,"Liverpool 055E","Total",1101,364,554,2,25,80,76
"E01006539",2011,"Liverpool 047B","Total",1237,365,699,2,17,72,82
"E01006540",2011,"Liverpool 024A","Total",1218,738,217,2,44,148,69
"E01006541",2011,"Liverpool 015A","Total",1350,599,458,0,36,136,121
"E01006542",2011,"Liverpool 018A","Total",1149,591,317,0,34,100,107
"E01006543",2011,"Liverpool 015B","Total",1053,402,499,0,25,52,75
"E01006544",2011,"Liverpool 015C","Total",1304,661,373,1,50,126,93
"E01006545",2011,"Liverpool 019A","Total",1174,543,439,2,35,81,74
"E01006546",2011,"Liverpool 019B","Total",1016,510,304,0,49,75,78
"E01006547",2011,"Liverpool 019C","Total",1197,634,320,3,64,104,72
"E01006548",2011,"Liverpool 019D","Total",1328,670,344,0,61,121,132
