"lsoa11cd","date","lsoa11nm","Rural Urban","Living Arrangement: All categories: Living arrangements; measures: Value","Living Arrangement: Living in a couple; measures: Value","Living Arrangement: Living in a couple: Married or in a registered same-sex civil partnership; measures: Value","Living Arrangement: Living in a couple: Cohabiting; measures: Value","Living Arrangement: Not living in a couple; measures: Value","Living Arrangement: Not living in a couple: Single (never married or never registered a same-sex civil partnership); measures: Value","Living Arrangement: Not living in a couple: Married or in a registered same-sex civil partnership; measures: Value","Living Arrangement: Not living in a couple: Separated (but still legally married or still legally in a same-sex civil partnership); measures: Value","Living Arrangement: Not living in a couple: Divorced or formerly in a same-sex civil partnership which is now legally dissolved; measures: Value","Living Arrangement: Not living in a couple: Widowed or surviving partner from a same-sex civil partnership; measures: Value"
"E01006512",2011,"Liverpool 031A","Total",1225,366,224,142,859,722,44,33,51,9
"E01006513",2011,"Liverpool 060A","Total",1638,362,126,236,1276,1165,28,19,36,28
"E01006514",2011,"Liverpool 037A","Total",1654,392,174,218,1262,1066,22,25,106,43
"E01006515",2011,"Liverpool 037B","Total",1023,313,201,112,710,494,20,36,81,79
"E01006518",2011,"Liverpool 044A","Total",1359,431,317,114,928,606,33,52,128,109
"E01006519",2011,"Liverpool 056A","Total",1055,652,566,86,403,260,15,12,46,70
"E01006520",2011,"Liverpool 043A","Total",1599,546,192,354,1053,793,11,32,152,65
"E01006521",2011,"Liverpool 052A","Total",1453,584,402,182,869,533,20,38,144,134
"E01006522",2011,"Liverpool 048A","Total",1541,461,154,307,1080,898,8,34,114,26
"E01006523",2011,"Liverpool 052B","Total",1317,462,266,196,855,643,19,34,101,58
"E01006524",2011,"Liverpool 048B","Total",950,482,348,134,468,308,17,28,56,59
"E01006525",2011,"Liverpool 049A","Total",1049,620,532,88,429,300,14,15,30,70
"E01006526",2011,"Liverpool 048C","Total",1114,588,430,158,526,348,14,24,61,79
"E01006527",2011,"Liverpool 053A","Total",1166,594,478,116,572,368,12,17,75,100
"E01006528",2011,"Liverpool 052C","Total",1212,536,380,156,676,528,9,21,75,43
"E01006529",2011,"Liverpool 048D","Total",1080,586,436,150,494,346,14,25,57,52
"E01006530",2011,"Liverpool 055A","Total",1219,738,652,86,481,272,13,10,64,122
"E01006531",2011,"Liverpool 055B","Total",1289,772,694,78,517,264,22,16,60,155
"E01006532",2011,"Liverpool 047A","Total",1277,846,784,62,431,263,13,16,46,93
"E01006533",2011,"Liverpool 055C","Total",1152,622,544,78,530,315,12,21,71,111
"E01006534",2011,"Liverpool 054A","Total",1271,616,540,76,655,419,22,26,88,100
"E01006535",2011,"Liverpool 054B","Total",1312,638,534,104,674,447,7,37,84,99
"E01006536",2011,"Liverpool 054C","Total",1545,686,530,156,859,558,16,45,132,108
"E01006537",2011,"Liverpool 055D","Total",1847,960,724,236,887,635,20,49,83,100
"E01006538",2011,"Liverpool 055E","Total",1101,632,550,82,469,299,8,21,66,75
"E01006539",2011,"Liverpool 047B","Total",1203,756,682,74,447,294,16,14,44,79
"E01006540",2011,"Liverpool 024A","Total",1194,336,192,144,858,600,21,41,131,65
"E01006541",2011,"Liverpool 015A","Total",1350,568,448,120,782,503,9,34,116,120
"E01006542",2011,"Liverpool 018A","Total",1049,416,298,118,633,461,2,29,71,70
"E01006543",2011,"Liverpool 015B","Total",1053,584,490,94,469,320,8,20,48,73
"E01006544",2011,"Liverpool 015C","Total",1304,489,358,131,815,554,9,47,113,92
"E01006545",2011,"Liverpool 019A","Total",1174,540,418,122,634,439,23,27,72,73
"E01006546",2011,"Liverpool 019B","Total",1016,408,290,118,608,407,13,45,67,76
