"lsoa11cd","date","lsoa11nm","Rural Urban","Household Composition: All categories: Household composition; measures: Value","Household Composition: One person household; measures: Value","Household Composition: One person household: Aged 65 and over; measures: Value","Household Composition: One person household: Other; measures: Value","Household Composition: One family household; measures: Value","Household Composition: One family only: All aged 65 and over; measures: Value","Household Composition: One family only: Married or same-sex civil partnership couple; measures: Value","Household Composition: One family only: Married or same-sex civil partnership couple: No children; measures: Value","Household Composition: One family only: Married or same-sex civil partnership couple: Dependent children; measures: Value","Household Composition: One family only: Married or same-sex civil partnership couple: All children non-dependent; measures: Value","Household Composition: One family only: Cohabiting couple; measures: Value","Household Composition: One family only: Cohabiting couple: No children; measures: Value","Household Composition: One family only: Cohabiting couple: Dependent children; measures: Value","Household Composition: One family only: Cohabiting couple: All children non-dependent; measures: Value","Household Composition: One family only: Lone parent; measures: Value","Household Composition: One family only: Lone parent: Dependent children; measures: Value","Household Composition: One family only: Lone parent: All children non-dependent; measures: Value","Household Composition: Other household types; measures: Value","Household Composition: Other household types: With dependent children; measures: Value","Household Composition: Other household types: All full-time students; measures: Value","Household Composition: Other household types: All aged 65 and over; measures: Value","Household Composition: Other household types: Other; measures: Value"
"E01006512",2011,"Liverpool 031A","Total",799,431,28,403,216,1,106,35,67,4,64,59,5,0,45,39,6,152,9,84,0,59
"E01006513",2011,"Liverpool 060A","Total",909,467,30,437,190,2,53,38,11,4,107,97,9,1,28,18,10,252,5,142,2,103
"E01006514",2011,"Liverpool 037A","Total",1115,747,72,675,229,6,80,41,34,5,98,86,8,4,45,31,14,139,7,60,2,70
"E01006515",2011,"Liverpool 037B","Total",641,313,91,222,243,26,73,28,27,18,51,32,14,5,93,61,32,85,18,20,1,46
"E01006518",2011,"Liverpool 044A","Total",835,389,139,250,365,35,114,42,45,27,51,28,18,5,165,105,60,81,26,3,1,51
"E01006519",2011,"Liverpool 056A","Total",514,128,66,62,354,40,231,69,114,48,41,20,19,2,42,22,20,32,11,1,7,13
"E01006520",2011,"Liverpool 043A","Total",1182,805,140,665,294,13,80,48,30,2,171,155,16,0,30,20,10,83,2,8,1,72
"E01006521",2011,"Liverpool 052A","Total",928,485,173,312,359,61,139,78,37,24,83,64,16,3,76,48,28,84,11,7,4,62
"E01006522",2011,"Liverpool 048A","Total",1094,675,58,617,290,6,70,40,24,6,147,130,16,1,67,57,10,129,9,13,1,106
"E01006523",2011,"Liverpool 052B","Total",830,448,78,370,279,15,110,52,42,16,85,69,16,0,69,39,30,103,8,8,3,84
"E01006524",2011,"Liverpool 048B","Total",583,273,72,201,264,45,119,55,49,15,64,53,11,0,36,24,12,46,8,4,2,32
"E01006525",2011,"Liverpool 049A","Total",486,109,61,48,334,50,203,56,90,57,41,22,16,3,40,14,26,43,9,5,2,27
"E01006526",2011,"Liverpool 048C","Total",654,287,81,206,333,48,164,65,66,33,71,37,33,1,50,34,16,34,5,2,2,25
"E01006527",2011,"Liverpool 053A","Total",638,245,112,133,351,60,176,51,78,47,53,31,20,2,62,42,20,42,11,6,2,23
"E01006528",2011,"Liverpool 052C","Total",613,214,45,169,302,20,157,57,70,30,74,47,26,1,51,35,16,97,16,26,0,55
"E01006529",2011,"Liverpool 048D","Total",559,180,58,122,324,26,184,63,81,40,69,33,33,3,45,21,24,55,21,4,0,30
"E01006530",2011,"Liverpool 055A","Total",616,172,109,63,420,88,228,74,92,62,38,14,23,1,66,28,38,24,8,0,4,12
"E01006531",2011,"Liverpool 055B","Total",674,227,171,56,419,130,212,70,83,59,36,17,14,5,41,21,20,28,8,1,4,15
