"lsoa11cd","date","lsoa11nm","Rural Urban","Household Composition: count of Household; All households; measures: Value","Household Composition: No adults in employment in household; measures: Value","Household Composition: No adults in employment in household: With dependent children; measures: Value","Household Composition: No adults in employment in household: No dependent children; measures: Value","Household Composition: Dependent children in household: All ages; measures: Value","Household Composition: Dependent children in household: Age 0 to 4; measures: Value","Household Composition: One person in household with a long-term health problem or disability; measures: Value","Household Composition: One person in household with a long-term health problem or disability: With dependent children; measures: Value","Household Composition: One person in household with a long-term health problem or disability: No dependent children; measures: Value"
"E01006512",2011,"Liverpool 031A","Total",799,437,68,369,120,78,149,21,128
"E01006513",2011,"Liverpool 060A","Total",909,369,11,358,43,18,113,5,108
"E01006514",2011,"Liverpool 037A","Total",1115,492,27,465,80,32,251,22,229
"E01006515",2011,"Liverpool 037B","Total",641,320,49,271,121,42,236,32,204
"E01006518",2011,"Liverpool 044A","Total",835,443,71,372,194,72,333,55,278
"E01006519",2011,"Liverpool 056A","Total",514,165,3,162,166,51,124,23,101
"E01006520",2011,"Liverpool 043A","Total",1182,422,13,409,68,35,292,6,286
"E01006521",2011,"Liverpool 052A","Total",928,395,24,371,112,44,290,21,269
"E01006522",2011,"Liverpool 048A","Total",1094,367,47,320,107,48,283,28,255
"E01006523",2011,"Liverpool 052B","Total",830,291,28,263,105,48,229,15,214
"E01006524",2011,"Liverpool 048B","Total",583,181,7,174,92,44,126,12,114
"E01006525",2011,"Liverpool 049A","Total",486,146,8,138,129,50,137,14,123
"E01006526",2011,"Liverpool 048C","Total",654,222,13,209,138,61,171,23,148
"E01006527",2011,"Liverpool 053A","Total",638,253,10,243,151,53,202,22,180
"E01006528",2011,"Liverpool 052C","Total",613,172,14,158,148,68,132,20,112
"E01006529",2011,"Liverpool 048D","Total",559,147,7,140,156,66,116,15,101
"E01006530",2011,"Liverpool 055A","Total",616,249,11,238,151,52,177,18,159
"E01006531",2011,"Liverpool 055B","Total",674,350,6,344,126,32,253,24,229
"E01006532",2011,"Liverpool 047A","Total",617,207,6,201,182,47,165,26,139
"E01006533",2011,"Liverpool 055C","Total",614,273,17,256,132,47,220,24,196
"E01006534",2011,"Liverpool 054A","Total",649,252,36,216,202,47,222,52,170
"E01006535",2011,"Liverpool 054B","Total",656,243,22,221,193,58,215,32,183
"E01006536",2011,"Liverpool 054C","Total",815,334,42,292,229,68,289,50,239
"E01006537",2011,"Liverpool 055D","Total",964,271,48,223,275,122,217,45,172
"E01006538",2011,"Liverpool 055E","Total",527,178,17,161,168,41,153,29,124
"E01006539",2011,"Liverpool 047B","Total",601,175,9,166,150,37,132,19,113
"E01006540",2011,"Liverpool 024A","Total",771,423,85,338,198,90,262,39,223
"E01006541",2011,"Liverpool 015A","Total",803,369,43,326,187,69,309,40,269
"E01006542",2011,"Liverpool 018A","Total",583,245,42,203,174,62,213,41,172
"E01006543",2011,"Liverpool 015B","Total",509,181,19,162,147,44,140,15,125
"E01006544",2011,"Liverpool 015C","Total",738,372,103,269,252,89,294,86,208
"E01006545",2011,"Liverpool 019A","Total",646,237,69,168,239,98,179,37,142
"E01006546",2011,"Liverpool 019B","Total",583,236,54,182,188,77,184,47,137
"E01006547",2011,"Liverpool 019C","Total",718,359,80,279,197,80,234,45,189
"E01006548",2011,"Liverpool 019D","Total",759,385,97,288,247,110,231,42,189
"E01006549",2011,"Liverpool 043B","Total",949,342,15,327,80,38,244,12,232
"E01006550",2011,"Liverpool 038A","Total",483,138,13,125,64,30,105,13,92
"E01006551",2011,"Liverpool 048E","Total",751,461,22,439,54,21,339,16,323
"E01006552",2011,"Liverpool 039A","Total",869,412,144,268,309,170,209,58,151
"E01006553",2011,"Liverpool 042A","Total",642,158,18,140,111,38,123,17,106
"E01006554",2011,"Liverpool 048F","Total",649,190,10,180,99,46,125,13,112
"E01006556",2011,"Liverpool 039B","Total",1016,580,117,463,265,128,379,65,314
"E01006557",2011,"Liverpool 038B","Total",635,202,24,178,87,35,113,16,97
"E01006558",2011,"Liverpool 018B","Total",739,403,81,322,174,78,260,42,218
"E01006560",2011,"Liverpool 023A","Total",996,625,80,545,211,76,459,58,401
"E01006562",2011,"Liverpool 018E","Total",714,394,110,284,236,105,270,49,221
"E01006563",2011,"Liverpool 024B","Total",908,620,120,500,218,88,436,74,362
"E01006564",2011,"Liverpool 023B","Total",800,377,45,332,175,71,295,42,253
"E01006565",2011,"Liverpool 029A","Total",638,265,29,236,175,55,211,35,176
"E01006566",2011,"Liverpool 032A","Total",577,185,18,167,190,71,159,24,135
"E01006567",2011,"Liverpool 026A","Total",892,491,32,459,167,60,352,30,322
