"lsoa11cd","date","lsoa11nm","Rural Urban","Country of Birth: All usual residents; measures: Value","Country of Birth: United Kingdom; measures: Value","Country of Birth: England; measures: Value","Country of Birth: Northern Ireland; measures: Value","Country of Birth: Scotland; measures: Value","Country of Birth: Wales; measures: Value","Country of Birth: United Kingdom not otherwise specified; measures: Value","Country of Birth: Ireland; measures: Value","Country of Birth: Other EU; measures: Value","Country of Birth: Other EU: Member countries in March 2001; measures: Value","Country of Birth: Other EU: Accession countries April 2001 to March 2011; measures: Value","Country of Birth: Other countries; measures: Value"
"E01006512",2011,"Liverpool 031A","Total",1880,766,699,26,21,20,0,18,116,61,55,980
"E01006513",2011,"Liverpool 060A","Total",2941,2033,1806,98,28,101,0,39,120,84,36,749
"E01006514",2011,"Liverpool 037A","Total",2108,1632,1503,44,18,67,0,39,101,64,37,336
"E01006515",2011,"Liverpool 037B","Total",1208,910,877,16,5,12,0,7,46,19,27,245
"E01006518",2011,"Liverpool 044A","Total",1696,1468,1446,7,6,9,0,19,44,11,33,165
"E01006519",2011,"Liverpool 056A","Total",1286,1205,1157,5,15,28,0,10,19,9,10,52
"E01006520",2011,"Liverpool 043A","Total",1706,1470,1341,35,38,56,0,40,84,50,34,112
"E01006521",2011,"Liverpool 052A","Total",1660,1474,1391,24,27,32,0,19,35,23,12,132
"E01006522",2011,"Liverpool 048A","Total",1731,1546,1456,35,20,35,0,23,57,38,19,105
"E01006523",2011,"Liverpool 052B","Total",1508,1362,1281,30,24,27,0,12,55,39,16,79
"E01006524",2011,"Liverpool 048B","Total",2431,2152,1986,65,30,71,0,16,60,39,21,203
"E01006525",2011,"Liverpool 049A","Total",1209,1141,1092,9,17,23,0,15,16,13,3,37
"E01006526",2011,"Liverpool 048C","Total",1404,1334,1297,13,7,17,0,9,13,8,5,48
"E01006527",2011,"Liverpool 053A","Total",1454,1371,1319,14,11,25,2,11,30,22,8,42
"E01006528",2011,"Liverpool 052C","Total",1461,1305,1231,35,15,24,0,6,59,35,24,91
"E01006529",2011,"Liverpool 048D","Total",1304,1217,1177,12,17,11,0,15,16,13,3,56
"E01006530",2011,"Liverpool 055A","Total",1431,1382,1355,2,17,8,0,15,12,9,3,22
"E01006531",2011,"Liverpool 055B","Total",1458,1411,1372,7,14,18,0,10,5,3,2,32
"E01006532",2011,"Liverpool 047A","Total",1557,1432,1387,8,10,27,0,14,17,5,12,94
"E01006533",2011,"Liverpool 055C","Total",1408,1339,1306,6,13,14,0,8,8,8,0,53
"E01006534",2011,"Liverpool 054A","Total",1542,1399,1379,7,5,8,0,9,27,18,9,107
