"lsoa11cd","date","lsoa11nm","Rural Urban","Passports Held: All usual residents; measures: Value","Passports Held: No passport; measures: Value","Passports Held: United Kingdom; measures: Value","Passports Held: Republic of Ireland; measures: Value","Passports Held: Other Europe: EU countries; measures: Value","Passports Held: Other Europe: Non EU countries; measures: Value","Passports Held: Africa; measures: Value","Passports Held: Middle East and Asia; measures: Value","Passports Held: North America and the Caribbean; measures: Value","Passports Held: Central America; measures: Value","Passports Held: South America; measures: Value","Passports Held: Antarctica and Oceania; measures: Value","Passports Held: British Overseas Territories; measures: Value"
"E01006512",2011,"Liverpool 031A","Total",1880,76,849,17,122,6,78,737,12,1,2,3,1
"E01006513",2011,"Liverpool 060A","Total",2941,108,1991,98,116,25,48,530,34,3,11,12,0
"E01006514",2011,"Liverpool 037A","Total",2108,184,1560,55,106,12,28,139,37,7,8,4,0
"E01006515",2011,"Liverpool 037B","Total",1208,205,857,17,44,9,8,71,6,0,4,3,0
"E01006518",2011,"Liverpool 044A","Total",1696,466,1108,15,36,0,32,30,8,0,3,4,0
"E01006519",2011,"Liverpool 056A","Total",1286,92,1152,16,20,0,2,6,5,0,0,1,0
"E01006520",2011,"Liverpool 043A","Total",1706,232,1331,49,72,5,8,14,13,0,3,7,0
"E01006521",2011,"Liverpool 052A","Total",1660,209,1359,29,33,3,11,26,16,1,2,8,0
"E01006522",2011,"Liverpool 048A","Total",1731,220,1388,40,47,1,9,22,8,0,5,16,0
"E01006523",2011,"Liverpool 052B","Total",1508,203,1215,19,45,0,10,16,10,0,0,6,1
"E01006524",2011,"Liverpool 048B","Total",2431,288,1937,37,56,3,20,95,15,1,0,9,1
"E01006525",2011,"Liverpool 049A","Total",1209,113,1068,13,11,0,1,1,0,0,1,1,0
"E01006526",2011,"Liverpool 048C","Total",1404,227,1151,8,9,0,3,9,2,0,0,3,0
"E01006527",2011,"Liverpool 053A","Total",1454,156,1247,18,28,1,4,11,5,0,0,3,0
"E01006528",2011,"Liverpool 052C","Total",1461,172,1187,27,52,2,24,5,3,0,2,1,0
"E01006529",2011,"Liverpool 048D","Total",1304,136,1115,24,13,1,4,12,7,0,1,1,0
"E01006530",2011,"Liverpool 055A","Total",1431,148,1266,11,6,0,1,0,2,0,2,3,0
"E01006531",2011,"Liverpool 055B","Total",1458,173,1262,4,1,0,16,7,0,0,1,2,0
"E01006532",2011,"Liverpool 047A","Total",1557,101,1399,20,14,2,4,27,6,0,0,6,0
"E01006533",2011,"Liverpool 055C","Total",1408,217,1163,7,9,4,0,12,1,0,0,1,0
"E01006534",2011,"Liverpool 054A","Total",1542,222,1261,8,28,0,0,26,5,0,1,2,0
"E01006535",2011,"Liverpool 054B","Total",1639,265,1334,6,20,1,2,5,6,0,2,1,0
"E01006536",2011,"Liverpool 054C","Total",1848,326,1487,6,14,2,5,8,0,0,0,1,0
"E01006537",2011,"Liverpool 055D","Total",2257,239,1830,18,159,2,5,8,2,0,3,3,0
"E01006538",2011,"Liverpool 055E","Total",1318,166,1144,4,4,2,0,0,3,0,0,0,0
"E01006539",2011,"Liverpool 047B","Total",1437,100,1299,10,19,0,1,5,10,0,0,9,0
"E01006540",2011,"Liverpool 024A","Total",1509,507,877,8,71,0,20,25,4,0,0,0,0
"E01006541",2011,"Liverpool 015A","Total",1593,307,1271,2,7,2,4,0,1,0,0,0,0
"E01006542",2011,"Liverpool 018A","Total",1397,389,972,4,22,3,6,1,0,0,0,3,0
"E01006543",2011,"Liverpool 015B","Total",1247,136,1107,2,1,0,1,0,0,0,0,0,0
"E01006544",2011,"Liverpool 015C","Total",1658,436,1198,7,7,0,4,5,1,0,0,1,0
"E01006545",2011,"Liverpool 019A","Total",1512,330,1152,5,8,0,1,12,4,0,2,0,0
"E01006546",2011,"Liverpool 019B","Total",1319,350,936,8,16,0,5,4,0,0,1,0,0
"E01006547",2011,"Liverpool 019C","Total",1490,414,990,8,36,0,17,31,0,0,1,2,0
"E01006548",2011,"Liverpool 019D","Total",1675,445,1149,14,32,3,22,14,3,0,3,2,0
"E01006549",2011,"Liverpool 043B","Total",1662,241,1195,37,109,6,34,42,10,1,3,6,1
"E01006550",2011,"Liverpool 038A","Total",1595,84,1380,59,39,1,5,34,7,0,5,2,0
"E01006551",2011,"Liverpool 048E","Total",1581,273,1231,23,30,2,13,15,10,0,0,3,0
"E01006552",2011,"Liverpool 039A","Total",2029,364,1275,14,159,3,43,174,12,0,1,3,0
"E01006553",2011,"Liverpool 042A","Total",1880,139,1585,59,34,0,14,44,12,0,0,14,0
"E01006554",2011,"Liverpool 048F","Total",1692,112,1407,50,78,3,19,31,15,0,2,6,0
"E01006556",2011,"Liverpool 039B","Total",2011,459,1163,31,165,1,80,110,11,1,4,3,0
"E01006557",2011,"Liverpool 038B","Total",2054,121,1731,77,43,2,21,64,10,0,0,7,0
"E01006558",2011,"Liverpool 018B","Total",1357,463,861,5,20,0,2,3,3,0,1,0,0
"E01006560",2011,"Liverpool 023A","Total",1860,507,1297,11,13,2,12,18,4,0,0,3,0
"E01006562",2011,"Liverpool 018E","Total",1514,461,996,9,24,0,13,13,4,0,0,1,0
"E01006563",2011,"Liverpool 024B","Total",1744,541,1132,2,45,2,17,14,3,0,0,0,0
"E01006564",2011,"Liverpool 023B","Total",1721,300,1380,5,21,0,3,15,0,0,0,1,0
"E01006565",2011,"Liverpool 029A","Total",1549,316,1202,16,3,1,0,11,1,0,0,0,0
"E01006566",2011,"Liverpool 032A","Total",1506,229,1212,18,11,1,18,12,1,0,0,4,0
"E01006567",2011,"Liverpool 026A","Total",1655,382,1226,9,13,2,8,15,2,0,0,1,0
"E01006568",2011,"Liverpool 026B","Total",1617,307,1256,15,24,0,18,5,2,0,0,1,0
"E01006569",2011,"Liverpool 029B","Total",1429,350,1053,11,5,2,7,1,1,0,0,0,0
"E01006570",2011,"Liverpool 026C","Total",1479,171,1276,3,14,1,1,15,1,0,2,0,0
"E01006571",2011,"Liverpool 026D","Total",1470,360,1091,3,7,1,3,5,0,0,0,0,0
"E01006572",2011,"Liverpool 025A","Total",1207,347,827,9,16,2,3,6,0,0,0,0,0
"E01006573",2011,"Liverpool 029C","Total",1501,334,1135,6,3,3,6,18,0,0,0,1,0
"E01006574",2011,"Liverpool 025B","Total",1388,299,1071,4,12,0,5,9,1,0,0,0,0
"E01006575",2011,"Liverpool 034A","Total",1294,204,1054,12,5,2,2,14,3,0,0,5,0
"E01006576",2011,"Liverpool 034B","Total",1693,180,1495,8,6,1,0,3,1,0,0,2,0
"E01006577",2011,"Liverpool 034C","Total",1503,152,1301,26,5,0,11,11,3,0,1,0,0
