"lsoa11cd","date","lsoa11nm","Rural Urban","Main Language: All categories: English as a household language; measures: Value","Main Language: All people aged 16 and over in household have English as a main language (English or Welsh in Wales); measures: Value","Main Language: At least one but not all people aged 16 and over in household have English as a main language (English or Welsh in Wales); measures: Value","Main Language: No people aged 16 and over in household but at least one person aged 3 to 15 has English as a main language (English or Welsh in Wales); measures: Value","Main Language: No people in household have English as a main language (English or Welsh in Wales); measures: Value"
"E01006512",2011,"Liverpool 031A","Total",799,462,44,10,283
"E01006513",2011,"Liverpool 060A","Total",909,683,34,1,191
"E01006514",2011,"Liverpool 037A","Total",1115,895,40,6,174
"E01006515",2011,"Liverpool 037B","Total",641,495,24,1,121
"E01006518",2011,"Liverpool 044A","Total",835,759,21,3,52
"E01006519",2011,"Liverpool 056A","Total",514,492,14,0,8
"E01006520",2011,"Liverpool 043A","Total",1182,1086,31,1,64
"E01006521",2011,"Liverpool 052A","Total",928,859,19,4,46
"E01006522",2011,"Liverpool 048A","Total",1094,1013,22,1,58
"E01006523",2011,"Liverpool 052B","Total",830,769,30,4,27
"E01006524",2011,"Liverpool 048B","Total",583,539,17,0,27
"E01006525",2011,"Liverpool 049A","Total",486,464,9,0,13
"E01006526",2011,"Liverpool 048C","Total",654,625,13,0,16
"E01006527",2011,"Liverpool 053A","Total",638,619,13,2,4
"E01006528",2011,"Liverpool 052C","Total",613,566,28,4,15
"E01006529",2011,"Liverpool 048D","Total",559,536,10,0,13
"E01006530",2011,"Liverpool 055A","Total",616,611,5,0,0
"E01006531",2011,"Liverpool 055B","Total",674,665,3,0,6
"E01006532",2011,"Liverpool 047A","Total",617,590,15,2,10
"E01006533",2011,"Liverpool 055C","Total",614,599,8,1,6
"E01006534",2011,"Liverpool 054A","Total",649,603,23,5,18
"E01006535",2011,"Liverpool 054B","Total",656,633,12,0,11
"E01006536",2011,"Liverpool 054C","Total",815,801,4,2,8
"E01006537",2011,"Liverpool 055D","Total",964,884,12,7,61
"E01006538",2011,"Liverpool 055E","Total",527,520,3,1,3
"E01006539",2011,"Liverpool 047B","Total",601,573,14,1,13
"E01006540",2011,"Liverpool 024A","Total",771,688,9,5,69
"E01006541",2011,"Liverpool 015A","Total",803,796,2,1,4
"E01006542",2011,"Liverpool 018A","Total",583,564,5,1,13
"E01006543",2011,"Liverpool 015B","Total",509,508,1,0,0
"E01006544",2011,"Liverpool 015C","Total",738,726,1,1,10
"E01006545",2011,"Liverpool 019A","Total",646,632,2,0,12
"E01006546",2011,"Liverpool 019B","Total",583,565,4,4,10
"E01006547",2011,"Liverpool 019C","Total",718,673,5,4,36
"E01006548",2011,"Liverpool 019D","Total",759,710,11,5,33
"E01006549",2011,"Liverpool 043B","Total",949,767,28,6,148
"E01006550",2011,"Liverpool 038A","Total",483,432,31,2,18
"E01006551",2011,"Liverpool 048E","Total",751,711,11,2,27
"E01006552",2011,"Liverpool 039A","Total",869,548,86,43,192
"E01006553",2011,"Liverpool 042A","Total",642,585,39,5,13
"E01006554",2011,"Liverpool 048F","Total",649,562,39,2,46
"E01006556",2011,"Liverpool 039B","Total",1016,662,59,29,266
"E01006557",2011,"Liverpool 038B","Total",635,557,30,6,42
"E01006558",2011,"Liverpool 018B","Total",739,716,5,2,16
"E01006560",2011,"Liverpool 023A","Total",996,964,10,4,18
"E01006562",2011,"Liverpool 018E","Total",714,686,12,5,11
"E01006563",2011,"Liverpool 024B","Total",908,866,7,9,26
"E01006564",2011,"Liverpool 023B","Total",800,776,3,5,16
"E01006565",2011,"Liverpool 029A","Total",638,620,5,3,10
"E01006566",2011,"Liverpool 032A","Total",577,560,3,3,11
"E01006567",2011,"Liverpool 026A","Total",892,876,6,0,10
"E01006568",2011,"Liverpool 026B","Total",629,609,13,2,5
"E01006569",2011,"Liverpool 029B","Total",613,607,3,0,3
"E01006570",2011,"Liverpool 026C","Total",595,580,8,1,6
"E01006571",2011,"Liverpool 026D","Total",612,604,2,1,5
"E01006572",2011,"Liverpool 025A","Total",501,487,3,3,8
"E01006573",2011,"Liverpool 029C","Total",778,760,5,2,11
"E01006574",2011,"Liverpool 025B","Total",612,602,4,3,3
"E01006575",2011,"Liverpool 034A","Total",578,562,11,2,3
"E01006576",2011,"Liverpool 034B","Total",713,699,7,0,7
"E01006577",2011,"Liverpool 034C","Total",597,583,9,1,4
"E01006578",2011,"Liverpool 036A","Total",554,537,8,4,5
"E01006579",2011,"Liverpool 034D","Total",618,597,12,1,8
"E01006580",2011,"Liverpool 036B","Total",515,495,11,3,6
"E01006581",2011,"Liverpool 036C","Total",607,587,12,1,7
"E01006582",2011,"Liverpool 041A","Total",585,566,13,2,4
"E01006583",2011,"Liverpool 047C","Total",467,461,3,2,1
"E01006584",2011,"Liverpool 034E","Total",611,609,0,1,1
"E01006585",2011,"Liverpool 032B","Total",641,624,4,5,8
"E01006586",2011,"Liverpool 032C","Total",921,876,18,3,24
"E01006587",2011,"Liverpool 032D","Total",717,678,21,3,15
"E01006588",2011,"Liverpool 042C","Total",702,662,18,2,20
"E01006589",2011,"Liverpool 041B","Total",599,587,8,1,3
"E01006590",2011,"Liverpool 042D","Total",701,661,29,1,10
"E01006591",2011,"Liverpool 041C","Total",671,638,21,1,11
"E01006592",2011,"Liverpool 041D","Total",624,592,23,0,9
"E01006593",2011,"Liverpool 042E","Total",662,626,27,3,6
"E01006594",2011,"Liverpool 047D","Total",579,551,15,1,12
"E01006595",2011,"Liverpool 049B","Total",812,790,10,2,10
"E01006596",2011,"Liverpool 049C","Total",597,561,22,1,13
"E01006597",2011,"Liverpool 041E","Total",683,655,14,2,12
"E01006598",2011,"Liverpool 010A","Total",604,587,2,2,13
"E01006599",2011,"Liverpool 010B","Total",482,458,4,3,17
"E01006600",2011,"Liverpool 011A","Total",592,583,5,0,4
"E01006603",2011,"Liverpool 011B","Total",594,590,1,1,2
"E01006604",2011,"Liverpool 016A","Total",571,562,6,0,3
"E01006605",2011,"Liverpool 016B","Total",696,679,6,4,7
"E01006606",2011,"Liverpool 020A","Total",723,703,9,1,10
"E01006607",2011,"Liverpool 008A","Total",641,631,5,1,4
"E01006608",2011,"Liverpool 009A","Total",563,556,6,0,1
"E01006609",2011,"Liverpool 009B","Total",576,555,5,1,15
"E01006610",2011,"Liverpool 009C","Total",669,655,4,1,9
"E01006611",2011,"Liverpool 012A","Total",742,719,3,3,17
"E01006612",2011,"Liverpool 008B","Total",740,733,6,1,0
"E01006613",2011,"Liverpool 009D","Total",611,601,4,0,6
"E01006614",2011,"Liverpool 012B","Total",667,653,2,1,11
"E01006615",2011,"Liverpool 012C","Total",663,648,5,1,9
"E01006616",2011,"Liverpool 015D","Total",613,602,1,0,10
"E01006617",2011,"Liverpool 021A","Total",650,637,5,0,8
"E01006618",2011,"Liverpool 016C","Total",692,686,3,0,3
"E01006619",2011,"Liverpool 021B","Total",734,718,11,2,3
"E01006620",2011,"Liverpool 021C","Total",625,614,7,0,4
"E01006621",2011,"Liverpool 021D","Total",584,564,13,1,6
"E01006622",2011,"Liverpool 021E","Total",586,579,5,1,1
"E01006623",2011,"Liverpool 013A","Total",527,498,11,3,15
"E01006624",2011,"Liverpool 013B","Total",702,677,12,2,11
"E01006625",2011,"Liverpool 016D","Total",609,602,3,0,4
"E01006626",2011,"Liverpool 016E","Total",593,582,4,0,7
"E01006627",2011,"Liverpool 013C","Total",600,586,8,1,5
"E01006628",2011,"Liverpool 052D","Total",651,612,22,3,14
"E01006629",2011,"Liverpool 052E","Total",573,555,7,0,11
"E01006630",2011,"Liverpool 044B","Total",555,521,18,7,9
"E01006632",2011,"Liverpool 044C","Total",884,792,15,7,70
"E01006633",2011,"Liverpool 050B","Total",699,676,2,1,20
"E01006637",2011,"Liverpool 017A","Total",670,627,5,8,30
"E01006638",2011,"Liverpool 017B","Total",518,497,1,5,15
"E01006639",2011,"Liverpool 017C","Total",640,628,6,1,5
"E01006640",2011,"Liverpool 021F","Total",760,728,14,3,15
"E01006641",2011,"Liverpool 025C","Total",633,580,10,18,25
"E01006642",2011,"Liverpool 025D","Total",590,577,3,2,8
"E01006643",2011,"Liverpool 025E","Total",740,714,4,5,17
"E01006644",2011,"Liverpool 017D","Total",963,937,9,4,13
"E01006645",2011,"Liverpool 017E","Total",690,675,5,0,10
"E01006646",2011,"Liverpool 023C","Total",1006,883,26,4,93
"E01006647",2011,"Liverpool 024C","Total",636,613,8,6,9
"E01006648",2011,"Liverpool 023D","Total",1075,966,32,3,74
"E01006651",2011,"Liverpool 001A","Total",592,575,8,2,7
"E01006652",2011,"Liverpool 002A","Total",633,609,5,5,14
"E01006653",2011,"Liverpool 001B","Total",656,645,3,1,7
"E01006654",2011,"Liverpool 005A","Total",627,605,9,4,9
"E01006655",2011,"Liverpool 001C","Total",706,664,11,3,28
"E01006656",2011,"Liverpool 002B","Total",669,660,3,0,6
"E01006657",2011,"Liverpool 002C","Total",582,574,5,2,1
"E01006658",2011,"Liverpool 001D","Total",634,616,5,1,12
"E01006659",2011,"Liverpool 005B","Total",548,526,4,2,16
"E01006660",2011,"Liverpool 001E","Total",616,578,11,7,20
"E01006661",2011,"Liverpool 004A","Total",749,731,5,3,10
"E01006662",2011,"Liverpool 004B","Total",785,757,2,5,21
"E01006663",2011,"Liverpool 004C","Total",510,501,2,3,4
"E01006664",2011,"Liverpool 004D","Total",822,774,7,2,39
"E01006665",2011,"Liverpool 007A","Total",630,615,9,1,5
"E01006666",2011,"Liverpool 007B","Total",514,482,12,9,11
"E01006667",2011,"Liverpool 007C","Total",618,595,13,1,9
"E01006668",2011,"Liverpool 007D","Total",590,572,7,4,7
"E01006669",2011,"Liverpool 004E","Total",551,525,10,8,8
"E01006670",2011,"Liverpool 007E","Total",607,578,10,4,15
"E01006671",2011,"Liverpool 013D","Total",499,474,14,2,9
"E01006672",2011,"Liverpool 010E","Total",798,757,11,5,25
"E01006673",2011,"Liverpool 037D","Total",954,622,64,27,241
"E01006674",2011,"Liverpool 039C","Total",826,530,73,41,182
"E01006675",2011,"Liverpool 043C","Total",1132,906,38,11,177
"E01006676",2011,"Liverpool 044D","Total",761,593,46,29,93
"E01006677",2011,"Liverpool 043D","Total",477,387,21,23,46
"E01006678",2011,"Liverpool 044E","Total",1059,958,20,16,65
"E01006679",2011,"Liverpool 039D","Total",920,496,122,58,244
"E01006680",2011,"Liverpool 053B","Total",605,582,14,3,6
"E01006681",2011,"Liverpool 054D","Total",719,690,11,2,16
"E01006682",2011,"Liverpool 053C","Total",498,485,11,0,2
"E01006683",2011,"Liverpool 053D","Total",594,569,13,0,12
"E01006684",2011,"Liverpool 056B","Total",999,952,20,1,26
"E01006685",2011,"Liverpool 056C","Total",604,584,14,1,5
"E01006686",2011,"Liverpool 053E","Total",531,519,5,4,3
"E01006687",2011,"Liverpool 056D","Total",933,888,14,5,26
"E01006688",2011,"Liverpool 056E","Total",712,676,12,1,23
"E01006689",2011,"Liverpool 049D","Total",717,699,10,2,6
"E01006690",2011,"Liverpool 028A","Total",801,645,15,5,136
"E01006691",2011,"Liverpool 030A","Total",647,489,47,25,86
"E01006692",2011,"Liverpool 028B","Total",989,861,30,8,90
"E01006693",2011,"Liverpool 024D","Total",838,789,10,5,34
"E01006694",2011,"Liverpool 030B","Total",891,768,23,11,89
"E01006695",2011,"Liverpool 028C","Total",1029,852,20,7,150
"E01006696",2011,"Liverpool 030C","Total",768,645,24,24,75
"E01006697",2011,"Liverpool 030D","Total",828,659,32,12,125
"E01006698",2011,"Liverpool 012D","Total",725,715,7,0,3
"E01006699",2011,"Liverpool 014A","Total",777,741,9,2,25
"E01006700",2011,"Liverpool 012E","Total",653,631,4,3,15
"E01006701",2011,"Liverpool 014B","Total",671,649,4,0,18
"E01006702",2011,"Liverpool 014C","Total",740,710,6,2,22
"E01006703",2011,"Liverpool 014D","Total",818,775,4,2,37
"E01006705",2011,"Liverpool 009E","Total",689,654,8,1,26
"E01006706",2011,"Liverpool 045A","Total",582,574,4,3,1
"E01006707",2011,"Liverpool 045B","Total",553,548,1,2,2
"E01006708",2011,"Liverpool 045C","Total",754,739,8,1,6
"E01006709",2011,"Liverpool 040A","Total",685,680,2,2,1
"E01006710",2011,"Liverpool 045D","Total",592,590,2,0,0
"E01006711",2011,"Liverpool 027A","Total",685,651,9,4,21
"E01006712",2011,"Liverpool 029D","Total",569,552,7,2,8
"E01006713",2011,"Liverpool 029E","Total",604,589,6,5,4
"E01006716",2011,"Liverpool 032E","Total",701,655,12,5,29
