"lsoa11cd","date","lsoa11nm","Rural Urban","disability/health/care: All categories: Long-term health problem or disability; measures: Value","disability/health/care: Day-to-day activities limited a lot; measures: Value","disability/health/care: Day-to-day activities limited a little; measures: Value","disability/health/care: Day-to-day activities not limited; measures: Value","disability/health/care: Day-to-day activities limited a lot: Age 16 to 64; measures: Value","disability/health/care: Day-to-day activities limited a little: Age 16 to 64; measures: Value","disability/health/care: Day-to-day activities not limited: Age 16 to 64; measures: Value","disability/health/care: Very good health; measures: Value","disability/health/care: Good health; measures: Value","disability/health/care: Fair health; measures: Value","disability/health/care: Bad health; measures: Value","disability/health/care: Very bad health; measures: Value","disability/health/care: Provides no unpaid care; measures: Value","disability/health/care: Provides 1 to 19 hours unpaid care a week; measures: Value","disability/health/care: Provides 20 to 49 hours unpaid care a week; measures: Value","disability/health/care: Provides 50 or more hours unpaid care a week; measures: Value"
"E01006512",2011,"Liverpool 031A","Total",1880,81,114,1685,71,97,1481,1056,627,129,42,26,1789,66,15,10
"E01006513",2011,"Liverpool 060A","Total",2941,87,110,2744,67,95,2665,1775,943,168,46,9,2848,74,12,7
"E01006514",2011,"Liverpool 037A","Total",2108,171,182,1755,127,145,1602,1041,697,238,102,30,1937,134,16,21
"E01006515",2011,"Liverpool 037B","Total",1208,198,143,867,101,91,649,484,360,208,130,26,1111,46,24,27
"E01006518",2011,"Liverpool 044A","Total",1696,388,198,1110,177,118,792,623,446,322,217,88,1509,88,27,72
"E01006519",2011,"Liverpool 056A","Total",1286,91,100,1095,37,43,757,718,387,128,40,13,1130,110,15,31
"E01006520",2011,"Liverpool 043A","Total",1706,193,152,1361,117,98,1220,829,507,237,108,25,1601,83,9,13
"E01006521",2011,"Liverpool 052A","Total",1660,237,166,1257,84,75,956,769,501,258,105,27,1499,105,21,35
"E01006522",2011,"Liverpool 048A","Total",1731,197,155,1379,155,126,1222,883,502,209,105,32,1607,84,21,19
"E01006523",2011,"Liverpool 052B","Total",1508,207,129,1172,115,93,959,716,450,207,105,30,1373,86,17,32
"E01006524",2011,"Liverpool 048B","Total",2431,254,114,2063,42,50,1820,1344,686,238,135,28,2293,93,16,29
"E01006525",2011,"Liverpool 049A","Total",1209,93,131,985,41,69,712,630,373,151,44,11,1055,96,19,39
"E01006526",2011,"Liverpool 048C","Total",1404,215,128,1061,75,66,775,644,417,196,118,29,1241,110,18,35
"E01006527",2011,"Liverpool 053A","Total",1454,170,141,1143,55,68,830,690,465,203,74,22,1270,104,33,47
"E01006528",2011,"Liverpool 052C","Total",1461,113,121,1227,60,57,967,778,447,152,62,22,1307,106,24,24
"E01006529",2011,"Liverpool 048D","Total",1304,104,91,1109,44,48,813,729,379,127,57,12,1147,110,18,29
"E01006530",2011,"Liverpool 055A","Total",1431,154,171,1106,54,54,744,697,433,220,66,15,1205,135,28,63
"E01006531",2011,"Liverpool 055B","Total",1458,223,202,1033,51,51,669,611,471,247,108,21,1221,127,33,77
"E01006532",2011,"Liverpool 047A","Total",1557,104,141,1312,39,49,848,848,470,177,47,15,1345,149,28,35
"E01006533",2011,"Liverpool 055C","Total",1408,227,143,1038,72,74,709,621,425,222,109,31,1210,116,23,59
"E01006534",2011,"Liverpool 054A","Total",1542,200,147,1195,102,84,851,779,413,221,105,24,1346,100,51,45
"E01006535",2011,"Liverpool 054B","Total",1639,284,189,1166,110,98,877,763,423,271,136,46,1414,116,34,75
"E01006536",2011,"Liverpool 054C","Total",1848,280,219,1349,134,121,974,809,534,309,145,51,1571,120,54,103
"E01006537",2011,"Liverpool 055D","Total",2257,221,178,1858,116,90,1375,1131,739,247,104,36,2030,127,29,71
"E01006538",2011,"Liverpool 055E","Total",1318,150,120,1048,66,58,735,671,380,172,76,19,1108,117,23,70
"E01006539",2011,"Liverpool 047B","Total",1437,124,124,1189,58,61,833,745,460,166,46,20,1243,134,23,37
"E01006540",2011,"Liverpool 024A","Total",1509,237,160,1112,157,103,797,613,481,237,136,42,1378,50,36,45
