"lsoa11cd","date","lsoa11nm","Rural Urban","Dwelling Type: All categories: Dwelling type; measures: Value","Dwelling Type: Unshared dwelling; measures: Value","Dwelling Type: Shared dwelling: Two household spaces; measures: Value","Dwelling Type: Shared dwelling: Three or more household spaces; measures: Value","Dwelling Type: All categories: Household spaces; measures: Value","Dwelling Type: Household spaces with at least one usual resident; measures: Value","Dwelling Type: Household spaces with no usual residents; measures: Value","Dwelling Type: Whole house or bungalow: Detached; measures: Value","Dwelling Type: Whole house or bungalow: Semi-detached; measures: Value","Dwelling Type: Whole house or bungalow: Terraced (including end-terrace); measures: Value","Dwelling Type: Flat, maisonette or apartment: Purpose-built block of flats or tenement; measures: Value","Dwelling Type: Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits); measures: Value","Dwelling Type: Flat, maisonette or apartment: In a commercial building; measures: Value","Dwelling Type: Caravan or other mobile or temporary structure; measures: Value"
"E01006512",2011,"Liverpool 031A","Total",814,807,2,5,899,799,100,25,101,42,658,63,6,4
"E01006513",2011,"Liverpool 060A","Total",956,945,4,7,998,909,89,10,30,112,628,131,87,0
"E01006514",2011,"Liverpool 037A","Total",1109,1085,9,15,1194,1115,79,13,31,136,541,466,7,0
"E01006515",2011,"Liverpool 037B","Total",665,665,0,0,665,641,24,25,80,128,389,37,6,0
"E01006518",2011,"Liverpool 044A","Total",864,864,0,0,864,835,29,48,198,363,227,4,24,0
"E01006519",2011,"Liverpool 056A","Total",540,540,0,0,540,514,26,55,310,149,5,12,9,0
"E01006520",2011,"Liverpool 043A","Total",1194,1186,0,8,1227,1182,45,21,33,12,540,619,2,0
"E01006521",2011,"Liverpool 052A","Total",978,977,0,1,994,928,66,79,68,68,519,213,47,0
"E01006522",2011,"Liverpool 048A","Total",1098,1089,1,8,1137,1094,43,15,19,45,428,612,18,0
"E01006523",2011,"Liverpool 052B","Total",849,844,0,5,882,830,52,17,29,296,266,263,10,1
"E01006524",2011,"Liverpool 048B","Total",608,604,1,3,623,583,40,83,51,63,348,75,3,0
"E01006525",2011,"Liverpool 049A","Total",499,499,0,0,499,486,13,24,369,75,24,5,2,0
"E01006526",2011,"Liverpool 048C","Total",675,675,0,0,675,654,21,24,204,316,124,6,1,0
"E01006527",2011,"Liverpool 053A","Total",670,670,0,0,670,638,32,94,105,313,139,18,1,0
"E01006528",2011,"Liverpool 052C","Total",636,633,1,2,644,613,31,83,24,389,81,58,9,0
"E01006529",2011,"Liverpool 048D","Total",570,570,0,0,570,559,11,19,52,455,6,17,21,0
"E01006530",2011,"Liverpool 055A","Total",632,632,0,0,632,616,16,14,562,23,23,1,9,0
"E01006531",2011,"Liverpool 055B","Total",692,692,0,0,692,674,18,47,545,6,91,1,2,0
"E01006532",2011,"Liverpool 047A","Total",635,635,0,0,635,617,18,244,330,17,39,5,0,0
"E01006533",2011,"Liverpool 055C","Total",630,630,0,0,630,614,16,133,248,109,130,9,1,0
"E01006534",2011,"Liverpool 054A","Total",673,673,0,0,673,649,24,128,304,99,132,10,0,0
"E01006535",2011,"Liverpool 054B","Total",678,678,0,0,678,656,22,22,384,213,42,12,5,0
"E01006536",2011,"Liverpool 054C","Total",849,849,0,0,849,815,34,19,426,273,125,6,0,0
"E01006537",2011,"Liverpool 055D","Total",1005,1005,0,0,1005,964,41,97,530,122,249,3,3,1
"E01006538",2011,"Liverpool 055E","Total",538,538,0,0,538,527,11,85,319,116,2,6,10,0
"E01006539",2011,"Liverpool 047B","Total",626,626,0,0,626,601,25,184,256,38,127,16,5,0
"E01006540",2011,"Liverpool 024A","Total",817,817,0,0,817,771,46,37,62,526,108,62,22,0
"E01006541",2011,"Liverpool 015A","Total",827,827,0,0,827,803,24,14,130,447,223,6,7,0
"E01006542",2011,"Liverpool 018A","Total",624,618,3,3,633,583,50,14,28,422,74,93,1,1
"E01006543",2011,"Liverpool 015B","Total",519,519,0,0,519,509,10,10,476,27,3,0,3,0
"E01006544",2011,"Liverpool 015C","Total",766,766,0,0,766,738,28,23,225,505,10,1,2,0
"E01006545",2011,"Liverpool 019A","Total",674,674,0,0,674,646,28,15,14,615,2,16,12,0
"E01006546",2011,"Liverpool 019B","Total",630,630,0,0,630,583,47,21,22,511,37,34,5,0
"E01006547",2011,"Liverpool 019C","Total",764,760,2,2,771,718,53,26,99,516,41,50,39,0
"E01006548",2011,"Liverpool 019D","Total",779,774,3,2,787,759,28,15,24,687,26,35,0,0
"E01006549",2011,"Liverpool 043B","Total",945,919,5,21,1041,949,92,13,120,35,315,554,3,1
"E01006550",2011,"Liverpool 038A","Total",512,512,0,0,512,483,29,6,17,378,40,33,38,0
"E01006551",2011,"Liverpool 048E","Total",770,769,1,0,771,751,20,17,22,18,556,156,1,1
"E01006552",2011,"Liverpool 039A","Total",917,913,1,3,927,869,58,47,138,362,214,147,18,1
"E01006553",2011,"Liverpool 042A","Total",679,679,0,0,679,642,37,10,25,544,9,54,37,0
"E01006554",2011,"Liverpool 048F","Total",667,661,1,5,690,649,41,12,93,219,90,261,15,0
"E01006556",2011,"Liverpool 039B","Total",1082,1081,1,0,1083,1016,67,68,226,472,179,96,39,3
"E01006557",2011,"Liverpool 038B","Total",666,666,0,0,666,635,31,16,38,454,84,31,43,0
"E01006558",2011,"Liverpool 018B","Total",795,794,0,1,797,739,58,22,67,661,29,16,2,0
"E01006560",2011,"Liverpool 023A","Total",997,996,0,1,999,996,3,61,272,281,374,8,3,0
"E01006562",2011,"Liverpool 018E","Total",756,756,0,0,756,714,42,23,62,612,26,18,12,3
"E01006563",2011,"Liverpool 024B","Total",935,935,0,0,935,908,27,28,154,391,331,19,12,0
"E01006564",2011,"Liverpool 023B","Total",807,807,0,0,807,800,7,16,513,129,141,6,2,0
"E01006565",2011,"Liverpool 029A","Total",648,648,0,0,648,638,10,10,273,356,3,0,6,0
"E01006566",2011,"Liverpool 032A","Total",608,608,0,0,608,577,31,45,195,259,100,5,4,0
"E01006567",2011,"Liverpool 026A","Total",921,920,0,1,925,892,33,34,242,173,458,12,6,0
"E01006568",2011,"Liverpool 026B","Total",651,651,0,0,651,629,22,105,253,240,51,2,0,0
"E01006569",2011,"Liverpool 029B","Total",632,632,0,0,632,613,19,16,258,292,56,3,7,0
"E01006570",2011,"Liverpool 026C","Total",615,615,0,0,615,595,20,91,390,55,41,15,23,0
"E01006571",2011,"Liverpool 026D","Total",624,624,0,0,624,612,12,20,136,420,41,1,6,0
"E01006572",2011,"Liverpool 025A","Total",517,517,0,0,517,501,16,17,104,388,7,0,1,0
"E01006573",2011,"Liverpool 029C","Total",813,813,0,0,813,778,35,6,44,593,142,12,16,0
"E01006574",2011,"Liverpool 025B","Total",627,627,0,0,627,612,15,22,223,279,96,4,3,0
"E01006575",2011,"Liverpool 034A","Total",591,591,0,0,591,578,13,24,344,153,50,15,5,0
"E01006576",2011,"Liverpool 034B","Total",724,724,0,0,724,713,11,69,605,9,25,12,4,0
"E01006577",2011,"Liverpool 034C","Total",605,605,0,0,605,597,8,13,351,220,15,6,0,0
"E01006578",2011,"Liverpool 036A","Total",560,560,0,0,560,554,6,8,530,8,7,1,6,0
"E01006579",2011,"Liverpool 034D","Total",622,622,0,0,622,618,4,18,591,8,2,2,1,0
"E01006580",2011,"Liverpool 036B","Total",523,523,0,0,523,515,8,108,404,9,1,0,1,0
"E01006581",2011,"Liverpool 036C","Total",619,619,0,0,619,607,12,31,551,9,3,1,24,0
"E01006582",2011,"Liverpool 041A","Total",598,598,0,0,598,585,13,52,491,17,24,4,10,0
"E01006583",2011,"Liverpool 047C","Total",475,475,0,0,475,467,8,155,308,10,2,0,0,0
"E01006584",2011,"Liverpool 034E","Total",627,627,0,0,627,611,16,25,379,118,44,55,6,0
"E01006585",2011,"Liverpool 032B","Total",662,662,0,0,662,641,21,43,303,127,180,1,8,0
"E01006586",2011,"Liverpool 032C","Total",921,917,0,4,946,921,25,92,248,244,271,89,2,0
