"lsoa11cd","date","lsoa11nm","Rural Urban","Tenure: All households; measures: Value","Tenure: Owned; measures: Value","Tenure: Owned: Owned outright; measures: Value","Tenure: Owned: Owned with a mortgage or loan; measures: Value","Tenure: Shared ownership (part owned and part rented); measures: Value","Tenure: Social rented; measures: Value","Tenure: Social rented: Rented from council (Local Authority); measures: Value","Tenure: Social rented: Other; measures: Value","Tenure: Private rented; measures: Value","Tenure: Private rented: Private landlord or letting agency; measures: Value","Tenure: Private rented: Other; measures: Value","Tenure: Living rent free; measures: Value"
"E01006512",2011,"Liverpool 031A","Total",799,161,84,77,9,220,14,206,401,367,34,8
"E01006513",2011,"Liverpool 060A","Total",909,115,55,60,28,131,13,118,625,582,43,10
"E01006514",2011,"Liverpool 037A","Total",1115,108,58,50,6,512,20,492,474,348,126,15
"E01006515",2011,"Liverpool 037B","Total",641,62,17,45,24,402,68,334,140,123,17,13
"E01006518",2011,"Liverpool 044A","Total",835,197,95,102,10,451,48,403,154,135,19,23
"E01006519",2011,"Liverpool 056A","Total",514,474,249,225,1,10,2,8,28,26,2,1
"E01006520",2011,"Liverpool 043A","Total",1182,196,62,134,1,360,13,347,619,600,19,6
"E01006521",2011,"Liverpool 052A","Total",928,389,210,179,0,244,8,236,288,277,11,7
"E01006522",2011,"Liverpool 048A","Total",1094,210,62,148,3,350,19,331,523,499,24,8
"E01006523",2011,"Liverpool 052B","Total",830,258,103,155,6,280,6,274,282,263,19,4
"E01006524",2011,"Liverpool 048B","Total",583,351,191,160,0,15,3,12,207,181,26,10
"E01006525",2011,"Liverpool 049A","Total",486,422,221,201,0,7,5,2,55,42,13,2
"E01006526",2011,"Liverpool 048C","Total",654,473,218,255,2,78,4,74,94,89,5,7
"E01006527",2011,"Liverpool 053A","Total",638,384,181,203,0,179,4,175,71,63,8,4
"E01006528",2011,"Liverpool 052C","Total",613,355,135,220,3,72,15,57,176,168,8,7
"E01006529",2011,"Liverpool 048D","Total",559,431,181,250,2,21,4,17,101,83,18,4
"E01006530",2011,"Liverpool 055A","Total",616,553,324,229,6,11,2,9,40,35,5,6
