"lsoa11cd","date","lsoa11nm","Rural Urban","Central Heating: All categories: Type of central heating in household; measures: Value","Central Heating: Does not have central heating; measures: Value","Central Heating: Does have central heating; measures: Value","Central Heating: Occupancy rating (rooms) of -1 or less; measures: Value","Central Heating: Occupancy rating (bedrooms) of -1 or less; measures: Value","Central Heating: Average household size; measures: Value","Central Heating: Average number of rooms per household; measures: Value","Central Heating: Average number of bedrooms per household; measures: Value"
"E01006512",2011,"Liverpool 031A","Total",799,75,724,228,60,1.8,4,2.2
"E01006513",2011,"Liverpool 060A","Total",909,86,823,369,48,1.9,3.8,2.2
"E01006514",2011,"Liverpool 037A","Total",1115,62,1053,332,57,1.6,3.8,2
"E01006515",2011,"Liverpool 037B","Total",641,17,624,88,26,1.9,4.3,2.2
"E01006518",2011,"Liverpool 044A","Total",835,38,797,100,58,2,4.4,2.3
"E01006519",2011,"Liverpool 056A","Total",514,14,500,5,7,2.5,7,3.4
"E01006520",2011,"Liverpool 043A","Total",1182,72,1110,213,37,1.4,3.5,1.5
"E01006521",2011,"Liverpool 052A","Total",928,36,892,102,39,1.7,4.4,2.1
"E01006522",2011,"Liverpool 048A","Total",1094,57,1037,185,52,1.5,3.8,1.8
"E01006523",2011,"Liverpool 052B","Total",830,37,793,98,21,1.8,4.4,2.2
"E01006524",2011,"Liverpool 048B","Total",583,11,572,38,21,1.9,4.9,2.4
"E01006525",2011,"Liverpool 049A","Total",486,11,475,7,6,2.5,6.6,3.3
"E01006526",2011,"Liverpool 048C","Total",654,28,626,20,16,2,5.2,2.6
"E01006527",2011,"Liverpool 053A","Total",638,20,618,22,8,2.2,5.6,2.8
"E01006528",2011,"Liverpool 052C","Total",613,39,574,33,16,2.3,6.1,3.1
"E01006529",2011,"Liverpool 048D","Total",559,22,537,14,14,2.3,6,3.2
"E01006530",2011,"Liverpool 055A","Total",616,11,605,12,10,2.3,5.9,3.1
"E01006531",2011,"Liverpool 055B","Total",674,13,661,12,12,2.2,5.7,2.9
"E01006532",2011,"Liverpool 047A","Total",617,5,612,9,3,2.5,7.1,3.4
"E01006533",2011,"Liverpool 055C","Total",614,8,606,13,9,2.2,5.9,3
"E01006534",2011,"Liverpool 054A","Total",649,23,626,33,27,2.4,5.7,2.9
"E01006535",2011,"Liverpool 054B","Total",656,26,630,17,25,2.4,5.9,2.9
"E01006536",2011,"Liverpool 054C","Total",815,36,779,33,32,2.3,5.7,2.9
"E01006537",2011,"Liverpool 055D","Total",964,41,923,83,25,2.3,5.5,2.9
"E01006538",2011,"Liverpool 055E","Total",527,23,504,11,14,2.5,6,3.1
"E01006539",2011,"Liverpool 047B","Total",601,12,589,12,5,2.3,6.8,3.4
