"lsoa11cd","date","lsoa11nm","Rural Urban","Qualifications: All categories: Highest level of qualification; measures: Value","Qualifications: No qualifications; measures: Value","Qualifications: Highest level of qualification: Level 1 qualifications; measures: Value","Qualifications: Highest level of qualification: Level 2 qualifications; measures: Value","Qualifications: Highest level of qualification: Apprenticeship; measures: Value","Qualifications: Highest level of qualification: Level 3 qualifications; measures: Value","Qualifications: Highest level of qualification: Level 4 qualifications and above; measures: Value","Qualifications: Highest level of qualification: Other qualifications; measures: Value","Qualifications: Schoolchildren and full-time students: Age 16 to 17; measures: Value","Qualifications: Schoolchildren and full-time students: Age 18 and over; measures: Value","Qualifications: Full-time students: Age 18 to 74: Economically active: In employment; measures: Value","Qualifications: Full-time students: Age 18 to 74: Economically active: Unemployed; measures: Value","Qualifications: Full-time students: Age 18 to 74: Economically inactive; measures: Value"
"E01006512",2011,"Liverpool 031A","Total",1683,171,122,98,2,268,732,290,32,942,100,71,771
"E01006513",2011,"Liverpool 060A","Total",2888,154,152,197,15,1244,827,299,8,2054,453,215,1386
"E01006514",2011,"Liverpool 037A","Total",2003,192,121,194,7,607,791,91,12,856,267,80,509
"E01006515",2011,"Liverpool 037B","Total",1023,381,71,122,9,110,261,69,15,106,34,12,60
"E01006518",2011,"Liverpool 044A","Total",1425,668,151,163,17,132,202,92,39,83,24,13,46
"E01006519",2011,"Liverpool 056A","Total",1055,154,94,133,31,104,510,29,45,49,18,5,26
"E01006520",2011,"Liverpool 043A","Total",1616,251,114,120,14,188,874,55,8,118,46,16,56
"E01006521",2011,"Liverpool 052A","Total",1491,301,119,168,47,173,633,50,11,103,39,8,55
"E01006522",2011,"Liverpool 048A","Total",1602,238,107,157,14,178,877,31,7,129,52,11,65
"E01006523",2011,"Liverpool 052B","Total",1352,254,97,132,26,153,652,38,9,91,25,6,60
"E01006524",2011,"Liverpool 048B","Total",2300,303,99,169,28,1082,556,63,10,1210,178,144,888
"E01006525",2011,"Liverpool 049A","Total",1049,149,95,149,36,145,442,33,27,71,35,6,30
"E01006526",2011,"Liverpool 048C","Total",1217,285,122,144,24,118,478,46,19,59,24,12,23
"E01006527",2011,"Liverpool 053A","Total",1247,267,141,157,37,187,404,54,35,149,49,18,82
"E01006528",2011,"Liverpool 052C","Total",1239,180,110,158,29,201,505,56,19,161,56,12,93
"E01006529",2011,"Liverpool 048D","Total",1080,168,119,132,23,121,487,30,20,67,34,2,31
"E01006530",2011,"Liverpool 055A","Total",1222,270,134,215,61,148,350,44,37,52,21,6,24
"E01006531",2011,"Liverpool 055B","Total",1292,373,145,210,54,160,317,33,35,52,21,4,27
"E01006532",2011,"Liverpool 047A","Total",1280,186,114,188,50,137,578,27,48,56,21,5,30
"E01006533",2011,"Liverpool 055C","Total",1205,322,143,163,64,129,353,31,27,49,20,6,22
"E01006534",2011,"Liverpool 054A","Total",1271,374,180,205,27,133,304,48,58,66,26,4,36
"E01006535",2011,"Liverpool 054B","Total",1401,442,214,200,31,149,323,42,51,58,25,9,24
