"lsoa11cd","date","lsoa11nm","Rural Urban","Hours Worked: All usual residents aged 16 to 74 in employment the week before the census; measures: Value","Hours Worked: Part-time: 15 hours or less worked; measures: Value","Hours Worked: Part-time: 16 to 30 hours worked; measures: Value","Hours Worked: Full-time: 31 to 48 hours worked; measures: Value","Hours Worked: Full-time: 49 or more hours worked; measures: Value","Hours Worked: Males: Total; measures: Value","Hours Worked: Males: Part-time: 15 hours or less worked; measures: Value","Hours Worked: Males: Part-time: 16 to 30 hours worked; measures: Value","Hours Worked: Males: Full-time: 31 to 48 hours worked; measures: Value","Hours Worked: Males: Full-time: 49 or more hours worked; measures: Value","Hours Worked: Females: Total; measures: Value","Hours Worked: Females: Part-time: 15 hours or less worked; measures: Value","Hours Worked: Females: Part-time: 16 to 30 hours worked; measures: Value","Hours Worked: Females: Full-time: 31 to 48 hours worked; measures: Value","Hours Worked: Females: Full-time: 49 or more hours worked; measures: Value"
"E01006512",2011,"Liverpool 031A","Total",513,86,99,262,66,287,36,46,149,56,226,50,53,113,10
"E01006513",2011,"Liverpool 060A","Total",1052,354,189,410,99,538,149,78,246,65,514,205,111,164,34
"E01006514",2011,"Liverpool 037A","Total",926,237,188,409,92,503,105,79,254,65,423,132,109,155,27
"E01006515",2011,"Liverpool 037B","Total",482,49,99,284,50,247,23,28,161,35,235,26,71,123,15
"E01006518",2011,"Liverpool 044A","Total",562,40,165,318,39,283,17,58,181,27,279,23,107,137,12
"E01006519",2011,"Liverpool 056A","Total",643,58,124,384,77,314,20,31,212,51,329,38,93,172,26
"E01006520",2011,"Liverpool 043A","Total",1049,48,130,705,166,551,18,68,360,105,498,30,62,345,61
"E01006521",2011,"Liverpool 052A","Total",799,64,112,512,111,435,26,38,291,80,364,38,74,221,31
"E01006522",2011,"Liverpool 048A","Total",1027,65,97,699,166,573,35,46,377,115,454,30,51,322,51
"E01006523",2011,"Liverpool 052B","Total",812,51,132,507,122,413,26,61,247,79,399,25,71,260,43
"E01006524",2011,"Liverpool 048B","Total",767,175,112,372,108,412,84,40,209,79,355,91,72,163,29
"E01006525",2011,"Liverpool 049A","Total",638,60,121,386,71,339,26,27,233,53,299,34,94,153,18
"E01006526",2011,"Liverpool 048C","Total",698,56,128,428,86,348,25,39,230,54,350,31,89,198,32
"E01006527",2011,"Liverpool 053A","Total",658,67,127,388,76,316,25,34,202,55,342,42,93,186,21
