"lsoa11cd","date","lsoa11nm","Rural Urban","Residence Type: All categories: Residence type; measures: Value","Residence Type: Lives in a household; measures: Value","Residence Type: Lives in a communal establishment; measures: Value","Residence Type: Communal establishments with persons sleeping rough identified; measures: Value"
"E01006512",2011,"Liverpool 031A","Total",1880,1420,460,0
"E01006513",2011,"Liverpool 060A","Total",2941,1691,1250,0
"E01006514",2011,"Liverpool 037A","Total",2108,1758,350,0
"E01006515",2011,"Liverpool 037B","Total",1208,1208,0,0
"E01006518",2011,"Liverpool 044A","Total",1696,1630,66,0
"E01006519",2011,"Liverpool 056A","Total",1286,1286,0,0
"E01006520",2011,"Liverpool 043A","Total",1706,1685,21,0
"E01006521",2011,"Liverpool 052A","Total",1660,1619,41,0
"E01006522",2011,"Liverpool 048A","Total",1731,1670,61,0
"E01006523",2011,"Liverpool 052B","Total",1508,1473,35,0
"E01006524",2011,"Liverpool 048B","Total",2431,1079,1352,0
"E01006525",2011,"Liverpool 049A","Total",1209,1209,0,0
"E01006526",2011,"Liverpool 048C","Total",1404,1301,103,0
"E01006527",2011,"Liverpool 053A","Total",1454,1373,81,0
"E01006528",2011,"Liverpool 052C","Total",1461,1434,27,0
"E01006529",2011,"Liverpool 048D","Total",1304,1304,0,0
"E01006530",2011,"Liverpool 055A","Total",1431,1428,3,0
"E01006531",2011,"Liverpool 055B","Total",1458,1455,3,0
"E01006532",2011,"Liverpool 047A","Total",1557,1554,3,0
"E01006533",2011,"Liverpool 055C","Total",1408,1355,53,0
"E01006534",2011,"Liverpool 054A","Total",1542,1542,0,0
"E01006535",2011,"Liverpool 054B","Total",1639,1550,89,0
"E01006536",2011,"Liverpool 054C","Total",1848,1848,0,0
"E01006537",2011,"Liverpool 055D","Total",2257,2257,0,0
"E01006538",2011,"Liverpool 055E","Total",1318,1318,0,0
"E01006539",2011,"Liverpool 047B","Total",1437,1403,34,0
"E01006540",2011,"Liverpool 024A","Total",1509,1485,24,0
"E01006541",2011,"Liverpool 015A","Total",1593,1593,0,0
"E01006542",2011,"Liverpool 018A","Total",1397,1297,100,0
"E01006543",2011,"Liverpool 015B","Total",1247,1247,0,0
"E01006544",2011,"Liverpool 015C","Total",1658,1658,0,0
"E01006545",2011,"Liverpool 019A","Total",1512,1512,0,0
"E01006546",2011,"Liverpool 019B","Total",1319,1319,0,0
"E01006547",2011,"Liverpool 019C","Total",1490,1490,0,0
"E01006548",2011,"Liverpool 019D","Total",1675,1580,95,0
"E01006549",2011,"Liverpool 043B","Total",1662,1559,103,0
"E01006550",2011,"Liverpool 038A","Total",1595,1595,0,0
"E01006551",2011,"Liverpool 048E","Total",1581,1134,447,0
"E01006552",2011,"Liverpool 039A","Total",2029,2027,2,0
"E01006553",2011,"Liverpool 042A","Total",1880,1880,0,0
"E01006554",2011,"Liverpool 048F","Total",1692,1670,22,0
"E01006556",2011,"Liverpool 039B","Total",2011,2010,1,0
"E01006557",2011,"Liverpool 038B","Total",2054,2051,3,0
"E01006558",2011,"Liverpool 018B","Total",1357,1357,0,0
"E01006560",2011,"Liverpool 023A","Total",1860,1860,0,0
"E01006562",2011,"Liverpool 018E","Total",1514,1514,0,0
"E01006563",2011,"Liverpool 024B","Total",1744,1740,4,0
"E01006564",2011,"Liverpool 023B","Total",1721,1721,0,0
"E01006565",2011,"Liverpool 029A","Total",1549,1549,0,0
"E01006566",2011,"Liverpool 032A","Total",1506,1431,75,0
"E01006567",2011,"Liverpool 026A","Total",1655,1622,33,0
"E01006568",2011,"Liverpool 026B","Total",1617,1491,126,0
"E01006569",2011,"Liverpool 029B","Total",1429,1372,57,0
"E01006570",2011,"Liverpool 026C","Total",1479,1463,16,0
"E01006571",2011,"Liverpool 026D","Total",1470,1438,32,0
"E01006572",2011,"Liverpool 025A","Total",1207,1207,0,0
"E01006573",2011,"Liverpool 029C","Total",1501,1501,0,0
"E01006574",2011,"Liverpool 025B","Total",1388,1388,0,0
"E01006575",2011,"Liverpool 034A","Total",1294,1289,5,0
"E01006576",2011,"Liverpool 034B","Total",1693,1691,2,0
"E01006577",2011,"Liverpool 034C","Total",1503,1503,0,0
"E01006578",2011,"Liverpool 036A","Total",1380,1380,0,0
"E01006579",2011,"Liverpool 034D","Total",1643,1643,0,0
"E01006580",2011,"Liverpool 036B","Total",1335,1331,4,0
"E01006581",2011,"Liverpool 036C","Total",1559,1559,0,0
"E01006582",2011,"Liverpool 041A","Total",1642,1630,12,0
"E01006583",2011,"Liverpool 047C","Total",1758,1255,503,0
"E01006584",2011,"Liverpool 034E","Total",1393,1393,0,0
"E01006585",2011,"Liverpool 032B","Total",1354,1354,0,0
"E01006586",2011,"Liverpool 032C","Total",1899,1875,24,0
"E01006587",2011,"Liverpool 032D","Total",1624,1619,5,0
"E01006588",2011,"Liverpool 042C","Total",1569,1521,48,0
"E01006589",2011,"Liverpool 041B","Total",1518,1512,6,0
"E01006590",2011,"Liverpool 042D","Total",1642,1637,5,0
"E01006591",2011,"Liverpool 041C","Total",1633,1633,0,0
"E01006592",2011,"Liverpool 041D","Total",1565,1541,24,0
"E01006593",2011,"Liverpool 042E","Total",1541,1541,0,0
"E01006594",2011,"Liverpool 047D","Total",1410,1405,5,0
"E01006595",2011,"Liverpool 049B","Total",1745,1745,0,0
"E01006596",2011,"Liverpool 049C","Total",1451,1451,0,0
"E01006597",2011,"Liverpool 041E","Total",1667,1639,28,0
"E01006598",2011,"Liverpool 010A","Total",1361,1361,0,0
"E01006599",2011,"Liverpool 010B","Total",1121,1121,0,0
"E01006600",2011,"Liverpool 011A","Total",1407,1407,0,0
"E01006603",2011,"Liverpool 011B","Total",1410,1386,24,0
"E01006604",2011,"Liverpool 016A","Total",1367,1367,0,0
"E01006605",2011,"Liverpool 016B","Total",1531,1531,0,0
"E01006606",2011,"Liverpool 020A","Total",1521,1521,0,0
"E01006607",2011,"Liverpool 008A","Total",1531,1529,2,0
"E01006608",2011,"Liverpool 009A","Total",1215,1213,2,0
"E01006609",2011,"Liverpool 009B","Total",1283,1283,0,0
"E01006610",2011,"Liverpool 009C","Total",1397,1395,2,0
"E01006611",2011,"Liverpool 012A","Total",1291,1291,0,0
"E01006612",2011,"Liverpool 008B","Total",1495,1495,0,0
"E01006613",2011,"Liverpool 009D","Total",1360,1360,0,0
"E01006614",2011,"Liverpool 012B","Total",1322,1322,0,0
"E01006615",2011,"Liverpool 012C","Total",1302,1302,0,0
"E01006616",2011,"Liverpool 015D","Total",1428,1428,0,0
"E01006617",2011,"Liverpool 021A","Total",1421,1421,0,0
"E01006618",2011,"Liverpool 016C","Total",1639,1639,0,0
"E01006619",2011,"Liverpool 021B","Total",1599,1599,0,0
"E01006620",2011,"Liverpool 021C","Total",1417,1409,8,0
"E01006621",2011,"Liverpool 021D","Total",1468,1468,0,0
