"lsoa11cd","date","lsoa11nm","Rural Urban","Area/Population Density: All usual residents; measures: Value","Area/Population Density: Area Hectares; measures: Value","Area/Population Density: Density (number of persons per hectare); measures: Value"
"E01006512",2011,"Liverpool 031A","Total",1880,28.41,66.2
"E01006513",2011,"Liverpool 060A","Total",2941,55.92,52.6
"E01006514",2011,"Liverpool 037A","Total",2108,26.23,80.4
"E01006515",2011,"Liverpool 037B","Total",1208,36.51,33.1
"E01006518",2011,"Liverpool 044A","Total",1696,23.39,72.5
"E01006519",2011,"Liverpool 056A","Total",1286,50.79,25.3
"E01006520",2011,"Liverpool 043A","Total",1706,26.16,65.2
"E01006521",2011,"Liverpool 052A","Total",1660,60.6,27.4
"E01006522",2011,"Liverpool 048A","Total",1731,47.05,36.8
"E01006523",2011,"Liverpool 052B","Total",1508,16.37,92.1
"E01006524",2011,"Liverpool 048B","Total",2431,47.01,51.7
"E01006525",2011,"Liverpool 049A","Total",1209,42.07,28.7
"E01006526",2011,"Liverpool 048C","Total",1404,49.63,28.3
"E01006527",2011,"Liverpool 053A","Total",1454,33.35,43.6
"E01006528",2011,"Liverpool 052C","Total",1461,70.35,20.8
"E01006529",2011,"Liverpool 048D","Total",1304,10.02,130.1
"E01006530",2011,"Liverpool 055A","Total",1431,23.54,60.8
"E01006531",2011,"Liverpool 055B","Total",1458,43.21,33.7
"E01006532",2011,"Liverpool 047A","Total",1557,93.74,16.6
"E01006533",2011,"Liverpool 055C","Total",1408,92.15,15.3
"E01006534",2011,"Liverpool 054A","Total",1542,32.14,48
"E01006535",2011,"Liverpool 054B","Total",1639,181.63,9
"E01006536",2011,"Liverpool 054C","Total",1848,66.5,27.8
"E01006537",2011,"Liverpool 055D","Total",2257,107.56,21
"E01006538",2011,"Liverpool 055E","Total",1318,42.34,31.1
"E01006539",2011,"Liverpool 047B","Total",1437,85.53,16.8
"E01006540",2011,"Liverpool 024A","Total",1509,17.25,87.5
"E01006541",2011,"Liverpool 015A","Total",1593,68.19,23.4
"E01006542",2011,"Liverpool 018A","Total",1397,54.06,25.8
"E01006543",2011,"Liverpool 015B","Total",1247,14.88,83.8
"E01006544",2011,"Liverpool 015C","Total",1658,14.94,111
"E01006545",2011,"Liverpool 019A","Total",1512,9.37,161.4
"E01006546",2011,"Liverpool 019B","Total",1319,11.08,119
"E01006547",2011,"Liverpool 019C","Total",1490,15.31,97.3
"E01006548",2011,"Liverpool 019D","Total",1675,13.25,126.4
"E01006549",2011,"Liverpool 043B","Total",1662,22.69,73.2
"E01006550",2011,"Liverpool 038A","Total",1595,10.34,154.3
"E01006551",2011,"Liverpool 048E","Total",1581,56.1,28.2
"E01006552",2011,"Liverpool 039A","Total",2029,15.67,129.5
"E01006553",2011,"Liverpool 042A","Total",1880,16.74,112.3
"E01006554",2011,"Liverpool 048F","Total",1692,14.99,112.9
"E01006556",2011,"Liverpool 039B","Total",2011,23.33,86.2
