"lsoa11cd","date","lsoa11nm","Rural Urban","Age: All categories: Age; measures: Value","Age: Age under 1; measures: Value","Age: Age 1; measures: Value","Age: Age 2; measures: Value","Age: Age 3; measures: Value","Age: Age 4; measures: Value","Age: Age 5; measures: Value","Age: Age 6; measures: Value","Age: Age 7; measures: Value","Age: Age 8; measures: Value","Age: Age 9; measures: Value","Age: Age 10; measures: Value","Age: Age 11; measures: Value","Age: Age 12; measures: Value","Age: Age 13; measures: Value","Age: Age 14; measures: Value","Age: Age 15; measures: Value","Age: Age 16; measures: Value","Age: Age 17; measures: Value","Age: Age 18; measures: Value","Age: Age 19; measures: Value","Age: Age 20; measures: Value","Age: Age 21; measures: Value","Age: Age 22; measures: Value","Age: Age 23; measures: Value","Age: Age 24; measures: Value","Age: Age 25; measures: Value","Age: Age 26; measures: Value","Age: Age 27; measures: Value","Age: Age 28; measures: Value","Age: Age 29; measures: Value","Age: Age 30; measures: Value","Age: Age 31; measures: Value","Age: Age 32; measures: Value","Age: Age 33; measures: Value","Age: Age 34; measures: Value","Age: Age 35; measures: Value","Age: Age 36; measures: Value","Age: Age 37; measures: Value","Age: Age 38; measures: Value","Age: Age 39; measures: Value","Age: Age 40; measures: Value","Age: Age 41; measures: Value","Age: Age 42; measures: Value","Age: Age 43; measures: Value","Age: Age 44; measures: Value","Age: Age 45; measures: Value","Age: Age 46; measures: Value","Age: Age 47; measures: Value","Age: Age 48; measures: Value","Age: Age 49; measures: Value","Age: Age 50; measures: Value","Age: Age 51; measures: Value","Age: Age 52; measures: Value","Age: Age 53; measures: Value","Age: Age 54; measures: Value","Age: Age 55; measures: Value","Age: Age 56; measures: Value","Age: Age 57; measures: Value","Age: Age 58; measures: Value","Age: Age 59; measures: Value","Age: Age 60; measures: Value","Age: Age 61; measures: Value","Age: Age 62; measures: Value","Age: Age 63; measures: Value","Age: Age 64; measures: Value","Age: Age 65; measures: Value","Age: Age 66; measures: Value","Age: Age 67; measures: Value","Age: Age 68; measures: Value","Age: Age 69; measures: Value","Age: Age 70; measures: Value","Age: Age 71; measures: Value","Age: Age 72; measures: Value","Age: Age 73; measures: Value","Age: Age 74; measures: Value","Age: Age 75; measures: Value","Age: Age 76; measures: Value","Age: Age 77; measures: Value","Age: Age 78; measures: Value","Age: Age 79; measures: Value","Age: Age 80; measures: Value","Age: Age 81; measures: Value","Age: Age 82; measures: Value","Age: Age 83; measures: Value","Age: Age 84; measures: Value","Age: Age 85; measures: Value","Age: Age 86; measures: Value","Age: Age 87; measures: Value","Age: Age 88; measures: Value","Age: Age 89; measures: Value","Age: Age 90; measures: Value","Age: Age 91; measures: Value","Age: Age 92; measures: Value","Age: Age 93; measures: Value","Age: Age 94; measures: Value","Age: Age 95; measures: Value","Age: Age 96; measures: Value","Age: Age 97; measures: Value","Age: Age 98; measures: Value","Age: Age 99; measures: Value","Age: Age 100 and over; measures: Value"
"E01006512",2011,"Liverpool 031A","Total",1880,26,15,18,20,19,14,18,11,8,7,10,6,6,8,5,6,9,25,46,78,107,101,147,122,138,93,75,77,49,38,44,49,32,29,23,23,13,25,30,31,14,11,6,6,19,18,8,7,11,10,12,10,7,21,10,8,8,9,9,10,7,11,4,0,9,3,1,1,1,1,2,3,1,3,1,3,1,2,3,0,2,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
"E01006513",2011,"Liverpool 060A","Total",2941,6,8,4,4,1,2,6,3,4,2,3,2,3,1,3,1,5,9,175,449,427,365,256,194,124,139,91,64,55,44,27,45,21,34,19,10,16,22,15,19,15,16,6,4,10,11,5,13,21,8,6,9,11,3,3,6,7,4,4,4,10,4,5,10,7,3,2,3,2,4,1,5,1,2,3,9,1,1,1,2,3,2,2,1,1,1,2,0,4,0,1,1,1,1,0,0,1,0,0,0,0
"E01006514",2011,"Liverpool 037A","Total",2108,12,9,8,5,5,5,3,5,2,10,5,6,2,15,10,3,10,3,58,138,162,160,106,95,63,71,56,63,40,41,57,39,46,31,28,23,28,16,31,31,32,31,25,31,25,26,15,17,24,17,22,21,15,12,14,17,18,14,16,20,15,13,15,13,10,7,13,11,7,6,7,14,6,7,3,5,3,4,5,5,3,2,1,1,4,5,0,0,4,0,1,1,2,0,0,0,1,0,0,0,1
"E01006515",2011,"Liverpool 037B","Total",1208,15,11,13,7,8,19,5,18,6,8,9,11,15,20,8,12,10,8,13,22,20,28,29,30,34,32,29,32,20,26,36,20,15,22,16,16,24,20,15,22,19,15,8,11,13,14,12,11,15,15,12,9,15,5,9,13,20,11,11,6,14,6,7,14,17,9,7,5,4,6,6,14,13,11,5,19,3,10,7,6,5,9,6,7,1,4,11,5,5,2,0,0,1,0,0,1,0,0,0,0,0
"E01006518",2011,"Liverpool 044A","Total",1696,13,21,16,19,23,17,14,14,12,13,18,22,13,21,18,17,20,22,30,16,13,33,21,28,25,26,19,17,28,18,21,25,17,28,31,18,10,20,18,20,22,27,21,23,19,28,33,26,23,31,29,17,21,24,27,14,12,20,20,25,17,25,15,21,23,18,12,18,15,12,14,10,16,10,17,21,16,21,17,13,10,10,12,12,13,12,7,5,8,2,9,4,1,1,0,1,1,0,0,0,0
"E01006519",2011,"Liverpool 056A","Total",1286,20,8,17,13,12,13,17,8,13,8,26,14,18,15,13,16,19,27,15,13,11,9,9,18,9,13,11,11,6,9,6,11,8,10,12,13,15,12,20,17,18,21,20,18,24,22,27,24,29,27,18,25,13,22,21,21,20,22,26,18,17,24,25,17,14,13,13,11,10,13,12,8,9,11,12,18,6,7,8,7,7,8,6,9,9,2,3,5,0,2,3,2,1,2,0,0,0,1,0,0,0
"E01006520",2011,"Liverpool 043A","Total",1706,14,6,12,4,8,3,6,3,3,2,3,3,9,2,6,6,3,6,4,11,21,22,24,35,53,91,63,66,57,63,69,90,52,49,49,35,32,34,28,23,25,26,26,13,21,32,20,18,15,15,11,15,13,17,22,13,11,16,15,25,17,24,12,14,19,12,8,14,11,5,17,6,5,7,3,6,2,7,8,8,6,9,5,7,3,2,6,5,5,5,3,2,1,2,0,0,0,0,0,0,1
"E01006521",2011,"Liverpool 052A","Total",1660,13,8,9,11,15,11,12,16,7,12,6,10,14,5,9,11,10,4,7,13,21,33,23,32,21,35,56,32,41,28,48,37,25,40,25,24,14,23,15,23,22,35,12,32,21,27,22,17,19,17,16,16,15,24,14,18,16,13,18,20,13,23,16,18,21,11,16,21,12,9,8,15,13,22,14,19,13,14,20,14,22,22,14,14,13,9,11,9,8,6,8,3,1,2,3,2,3,3,1,0,1
"E01006522",2011,"Liverpool 048A","Total",1731,17,21,6,3,10,6,9,9,10,5,5,5,8,3,4,8,7,4,8,11,10,23,29,33,60,89,73,64,73,90,63,67,47,58,33,39,39,42,35,33,42,28,37,31,29,29,16,12,16,20,30,24,17,16,13,8,8,16,12,17,10,18,5,13,6,7,4,9,8,8,3,9,7,5,1,5,2,4,2,1,1,6,2,2,3,2,3,0,1,1,1,1,0,0,0,1,0,0,0,0,0
"E01006523",2011,"Liverpool 052B","Total",1508,14,9,9,16,7,9,10,8,9,11,10,11,5,11,5,12,10,2,7,10,17,23,20,19,41,53,51,35,49,46,55,63,40,44,28,26,23,17,20,16,21,30,23,14,17,14,22,27,23,15,24,15,13,6,21,14,20,14,22,12,20,13,18,13,21,9,6,8,6,7,12,7,8,5,7,11,8,6,14,7,8,4,4,11,6,2,7,4,4,5,2,5,0,0,1,0,0,0,1,0,0
"E01006524",2011,"Liverpool 048B","Total",2431,8,16,8,13,4,9,12,7,5,5,14,6,6,6,6,6,3,9,343,621,139,29,26,18,28,33,24,22,39,18,30,26,23,26,34,9,20,22,26,20,22,14,21,9,14,9,12,16,16,9,12,14,13,9,14,10,8,14,13,15,13,4,12,17,14,15,11,7,18,15,10,12,10,11,12,22,13,15,21,10,12,13,21,11,15,12,18,16,14,6,2,11,5,2,4,7,4,5,2,2,4
"E01006525",2011,"Liverpool 049A","Total",1209,10,12,15,9,14,3,13,6,11,4,10,10,6,9,15,13,17,13,19,9,16,17,21,16,15,19,14,18,12,17,15,11,12,20,19,16,8,15,13,17,16,15,17,14,8,15,20,18,17,24,21,13,22,22,22,12,15,23,21,17,15,15,26,23,22,20,16,16,15,10,6,6,9,12,10,10,10,15,14,8,7,8,8,2,1,2,5,4,2,4,2,3,1,1,0,0,0,0,0,0,0
"E01006526",2011,"Liverpool 048C","Total",1404,19,13,18,11,11,5,15,8,7,15,15,7,8,12,12,11,12,9,9,12,16,9,11,13,11,14,34,9,21,21,30,27,21,25,21,25,16,17,21,27,21,27,23,17,19,19,22,20,29,20,19,12,22,22,21,17,19,20,12,16,17,11,16,24,20,11,10,14,12,8,17,7,10,14,10,12,8,8,7,17,16,6,15,5,14,10,11,5,13,4,13,10,2,1,1,4,2,0,3,0,1
