"lsoa11cd","date","lsoa11nm","Rural Urban","Sex: All persons; measures: Value","Sex: Males; measures: Value","Sex: Females; measures: Value"
"E01006512",2011,"Liverpool 031A","Total",21,10,11
"E01006513",2011,"Liverpool 060A","Total",56,29,27
"E01006514",2011,"Liverpool 037A","Total",29,15,14
"E01006515",2011,"Liverpool 037B","Total",10,3,7
"E01006518",2011,"Liverpool 044A","Total",8,1,7
"E01006519",2011,"Liverpool 056A","Total",34,17,17
"E01006520",2011,"Liverpool 043A","Total",0,0,0
"E01006521",2011,"Liverpool 052A","Total",6,3,3
"E01006522",2011,"Liverpool 048A","Total",2,0,2
"E01006523",2011,"Liverpool 052B","Total",7,4,3
"E01006524",2011,"Liverpool 048B","Total",41,25,16
"E01006525",2011,"Liverpool 049A","Total",21,13,8
"E01006526",2011,"Liverpool 048C","Total",8,5,3
"E01006527",2011,"Liverpool 053A","Total",14,6,8
"E01006528",2011,"Liverpool 052C","Total",19,11,8
"E01006529",2011,"Liverpool 048D","Total",15,5,10
"E01006530",2011,"Liverpool 055A","Total",15,8,7
"E01006531",2011,"Liverpool 055B","Total",15,8,7
"E01006532",2011,"Liverpool 047A","Total",31,11,20
"E01006533",2011,"Liverpool 055C","Total",18,9,9
"E01006534",2011,"Liverpool 054A","Total",17,9,8
"E01006535",2011,"Liverpool 054B","Total",16,7,9
"E01006536",2011,"Liverpool 054C","Total",7,4,3
"E01006537",2011,"Liverpool 055D","Total",18,10,8
"E01006538",2011,"Liverpool 055E","Total",11,9,2
"E01006539",2011,"Liverpool 047B","Total",39,22,17
"E01006540",2011,"Liverpool 024A","Total",0,0,0
"E01006541",2011,"Liverpool 015A","Total",8,4,4
"E01006542",2011,"Liverpool 018A","Total",4,3,1
"E01006543",2011,"Liverpool 015B","Total",3,1,2
"E01006544",2011,"Liverpool 015C","Total",6,2,4
"E01006545",2011,"Liverpool 019A","Total",6,4,2
"E01006546",2011,"Liverpool 019B","Total",2,1,1
"E01006547",2011,"Liverpool 019C","Total",4,2,2
"E01006548",2011,"Liverpool 019D","Total",7,2,5
"E01006549",2011,"Liverpool 043B","Total",6,4,2
"E01006550",2011,"Liverpool 038A","Total",13,7,6
"E01006551",2011,"Liverpool 048E","Total",15,7,8
"E01006552",2011,"Liverpool 039A","Total",8,3,5
"E01006553",2011,"Liverpool 042A","Total",17,12,5
"E01006554",2011,"Liverpool 048F","Total",27,13,14
"E01006556",2011,"Liverpool 039B","Total",19,15,4
"E01006557",2011,"Liverpool 038B","Total",16,12,4
"E01006558",2011,"Liverpool 018B","Total",5,4,1
"E01006560",2011,"Liverpool 023A","Total",10,2,8
"E01006562",2011,"Liverpool 018E","Total",8,4,4
"E01006563",2011,"Liverpool 024B","Total",3,1,2
"E01006564",2011,"Liverpool 023B","Total",5,1,4
"E01006565",2011,"Liverpool 029A","Total",7,3,4
"E01006566",2011,"Liverpool 032A","Total",9,6,3
"E01006567",2011,"Liverpool 026A","Total",16,8,8
"E01006568",2011,"Liverpool 026B","Total",5,1,4
"E01006569",2011,"Liverpool 029B","Total",11,4,7
"E01006570",2011,"Liverpool 026C","Total",15,8,7
"E01006571",2011,"Liverpool 026D","Total",5,3,2
"E01006572",2011,"Liverpool 025A","Total",6,3,3
"E01006573",2011,"Liverpool 029C","Total",15,7,8
"E01006574",2011,"Liverpool 025B","Total",5,2,3
"E01006575",2011,"Liverpool 034A","Total",10,2,8
"E01006576",2011,"Liverpool 034B","Total",15,8,7
"E01006577",2011,"Liverpool 034C","Total",16,7,9
"E01006578",2011,"Liverpool 036A","Total",5,4,1
"E01006579",2011,"Liverpool 034D","Total",13,9,4
"E01006580",2011,"Liverpool 036B","Total",24,11,13
"E01006581",2011,"Liverpool 036C","Total",30,14,16
"E01006582",2011,"Liverpool 041A","Total",28,12,16
"E01006583",2011,"Liverpool 047C","Total",53,20,33
"E01006584",2011,"Liverpool 034E","Total",10,2,8
"E01006585",2011,"Liverpool 032B","Total",3,2,1
"E01006586",2011,"Liverpool 032C","Total",15,10,5
"E01006587",2011,"Liverpool 032D","Total",10,6,4
"E01006588",2011,"Liverpool 042C","Total",12,4,8
"E01006589",2011,"Liverpool 041B","Total",20,10,10
"E01006590",2011,"Liverpool 042D","Total",15,8,7
"E01006591",2011,"Liverpool 041C","Total",27,9,18
"E01006592",2011,"Liverpool 041D","Total",50,22,28
"E01006593",2011,"Liverpool 042E","Total",16,6,10
"E01006594",2011,"Liverpool 047D","Total",31,17,14
"E01006595",2011,"Liverpool 049B","Total",17,7,10
"E01006596",2011,"Liverpool 049C","Total",27,15,12
"E01006597",2011,"Liverpool 041E","Total",34,20,14
"E01006598",2011,"Liverpool 010A","Total",7,3,4
"E01006599",2011,"Liverpool 010B","Total",1,0,1
"E01006600",2011,"Liverpool 011A","Total",12,10,2
"E01006603",2011,"Liverpool 011B","Total",3,1,2
"E01006604",2011,"Liverpool 016A","Total",10,5,5
"E01006605",2011,"Liverpool 016B","Total",5,1,4
"E01006606",2011,"Liverpool 020A","Total",7,5,2
"E01006607",2011,"Liverpool 008A","Total",5,1,4
"E01006608",2011,"Liverpool 009A","Total",4,2,2
"E01006609",2011,"Liverpool 009B","Total",4,3,1
"E01006610",2011,"Liverpool 009C","Total",3,0,3
"E01006611",2011,"Liverpool 012A","Total",4,2,2
"E01006612",2011,"Liverpool 008B","Total",2,1,1
"E01006613",2011,"Liverpool 009D","Total",6,1,5
"E01006614",2011,"Liverpool 012B","Total",1,0,1
"E01006615",2011,"Liverpool 012C","Total",6,5,1
"E01006616",2011,"Liverpool 015D","Total",5,3,2
"E01006617",2011,"Liverpool 021A","Total",3,1,2
"E01006618",2011,"Liverpool 016C","Total",6,3,3
"E01006619",2011,"Liverpool 021B","Total",13,3,10
"E01006620",2011,"Liverpool 021C","Total",14,6,8
"E01006621",2011,"Liverpool 021D","Total",24,11,13
"E01006622",2011,"Liverpool 021E","Total",20,10,10
"E01006623",2011,"Liverpool 013A","Total",19,10,9
"E01006624",2011,"Liverpool 013B","Total",10,4,6
"E01006625",2011,"Liverpool 016D","Total",12,7,5
"E01006626",2011,"Liverpool 016E","Total",3,1,2
"E01006627",2011,"Liverpool 013C","Total",9,6,3
"E01006628",2011,"Liverpool 052D","Total",30,11,19
"E01006629",2011,"Liverpool 052E","Total",9,5,4
"E01006630",2011,"Liverpool 044B","Total",0,0,0
"E01006632",2011,"Liverpool 044C","Total",11,5,6
"E01006633",2011,"Liverpool 050B","Total",2,0,2
"E01006637",2011,"Liverpool 017A","Total",4,1,3
"E01006638",2011,"Liverpool 017B","Total",2,2,0
"E01006639",2011,"Liverpool 017C","Total",5,2,3
"E01006640",2011,"Liverpool 021F","Total",22,6,16
"E01006641",2011,"Liverpool 025C","Total",1,0,1
"E01006642",2011,"Liverpool 025D","Total",5,2,3
"E01006643",2011,"Liverpool 025E","Total",6,4,2
"E01006644",2011,"Liverpool 017D","Total",10,4,6
"E01006645",2011,"Liverpool 017E","Total",4,2,2
"E01006646",2011,"Liverpool 023C","Total",2,1,1
"E01006647",2011,"Liverpool 024C","Total",7,3,4
"E01006648",2011,"Liverpool 023D","Total",5,2,3
"E01006651",2011,"Liverpool 001A","Total",10,4,6
"E01006652",2011,"Liverpool 002A","Total",2,1,1
"E01006653",2011,"Liverpool 001B","Total",3,1,2
"E01006654",2011,"Liverpool 005A","Total",10,2,8
"E01006655",2011,"Liverpool 001C","Total",7,3,4
"E01006656",2011,"Liverpool 002B","Total",7,4,3
"E01006657",2011,"Liverpool 002C","Total",4,1,3
"E01006658",2011,"Liverpool 001D","Total",4,1,3
"E01006659",2011,"Liverpool 005B","Total",6,3,3
"E01006660",2011,"Liverpool 001E","Total",4,2,2
"E01006661",2011,"Liverpool 004A","Total",6,4,2
"E01006662",2011,"Liverpool 004B","Total",3,3,0
"E01006663",2011,"Liverpool 004C","Total",1,0,1
"E01006664",2011,"Liverpool 004D","Total",7,3,4
"E01006665",2011,"Liverpool 007A","Total",13,5,8
"E01006666",2011,"Liverpool 007B","Total",19,12,7
"E01006667",2011,"Liverpool 007C","Total",7,7,0
"E01006668",2011,"Liverpool 007D","Total",10,5,5
"E01006669",2011,"Liverpool 004E","Total",5,3,2
"E01006670",2011,"Liverpool 007E","Total",11,5,6
"E01006671",2011,"Liverpool 013D","Total",17,11,6
"E01006672",2011,"Liverpool 010E","Total",16,11,5
"E01006673",2011,"Liverpool 037D","Total",8,3,5
"E01006674",2011,"Liverpool 039C","Total",11,7,4
"E01006675",2011,"Liverpool 043C","Total",8,4,4
"E01006676",2011,"Liverpool 044D","Total",6,2,4
"E01006677",2011,"Liverpool 043D","Total",3,2,1
"E01006678",2011,"Liverpool 044E","Total",8,5,3
"E01006679",2011,"Liverpool 039D","Total",13,5,8
"E01006680",2011,"Liverpool 053B","Total",14,11,3
"E01006681",2011,"Liverpool 054D","Total",18,7,11
"E01006682",2011,"Liverpool 053C","Total",25,14,11
"E01006683",2011,"Liverpool 053D","Total",23,11,12
"E01006684",2011,"Liverpool 056B","Total",28,14,14
"E01006685",2011,"Liverpool 056C","Total",18,9,9
"E01006686",2011,"Liverpool 053E","Total",18,8,10
"E01006687",2011,"Liverpool 056D","Total",41,20,21
"E01006688",2011,"Liverpool 056E","Total",14,6,8
