"lsoa11cd","date","lsoa11nm","Rural Urban","Second Address: Any address; measures: Value","Second Address: No second address; measures: Value","Second Address: Second address (total); measures: Value","Second Address: Second address within the UK; measures: Value","Second Address: Second address outside the UK; measures: Value"
"E01006512",2011,"Liverpool 031A","Total",1880,1275,605,272,333
"E01006513",2011,"Liverpool 060A","Total",2941,1375,1566,1256,310
"E01006514",2011,"Liverpool 037A","Total",2108,1445,663,570,93
"E01006515",2011,"Liverpool 037B","Total",1208,1126,82,65,17
"E01006518",2011,"Liverpool 044A","Total",1696,1642,54,39,15
"E01006519",2011,"Liverpool 056A","Total",1286,1227,59,32,27
"E01006520",2011,"Liverpool 043A","Total",1706,1583,123,93,30
"E01006521",2011,"Liverpool 052A","Total",1660,1539,121,78,43
"E01006522",2011,"Liverpool 048A","Total",1731,1589,142,109,33
"E01006523",2011,"Liverpool 052B","Total",1508,1391,117,99,18
"E01006524",2011,"Liverpool 048B","Total",2431,1249,1182,1104,78
"E01006525",2011,"Liverpool 049A","Total",1209,1146,63,40,23
"E01006526",2011,"Liverpool 048C","Total",1404,1359,45,32,13
"E01006527",2011,"Liverpool 053A","Total",1454,1315,139,128,11
"E01006528",2011,"Liverpool 052C","Total",1461,1291,170,148,22
"E01006529",2011,"Liverpool 048D","Total",1304,1223,81,63,18
"E01006530",2011,"Liverpool 055A","Total",1431,1400,31,21,10
"E01006531",2011,"Liverpool 055B","Total",1458,1408,50,31,19
"E01006532",2011,"Liverpool 047A","Total",1557,1476,81,44,37
"E01006533",2011,"Liverpool 055C","Total",1408,1356,52,31,21
"E01006534",2011,"Liverpool 054A","Total",1542,1501,41,37,4
"E01006535",2011,"Liverpool 054B","Total",1639,1607,32,22,10
"E01006536",2011,"Liverpool 054C","Total",1848,1824,24,18,6
"E01006537",2011,"Liverpool 055D","Total",2257,2156,101,54,47
"E01006538",2011,"Liverpool 055E","Total",1318,1290,28,21,7
"E01006539",2011,"Liverpool 047B","Total",1437,1376,61,42,19
"E01006540",2011,"Liverpool 024A","Total",1509,1468,41,30,11
"E01006541",2011,"Liverpool 015A","Total",1593,1573,20,18,2
"E01006542",2011,"Liverpool 018A","Total",1397,1379,18,17,1
"E01006543",2011,"Liverpool 015B","Total",1247,1226,21,17,4
"E01006544",2011,"Liverpool 015C","Total",1658,1640,18,17,1
"E01006545",2011,"Liverpool 019A","Total",1512,1482,30,22,8
"E01006546",2011,"Liverpool 019B","Total",1319,1293,26,25,1
"E01006547",2011,"Liverpool 019C","Total",1490,1451,39,25,14
"E01006548",2011,"Liverpool 019D","Total",1675,1582,93,83,10
"E01006549",2011,"Liverpool 043B","Total",1662,1413,249,220,29
"E01006550",2011,"Liverpool 038A","Total",1595,728,867,838,29
"E01006551",2011,"Liverpool 048E","Total",1581,1134,447,422,25
"E01006552",2011,"Liverpool 039A","Total",2029,1904,125,80,45
"E01006553",2011,"Liverpool 042A","Total",1880,1152,728,698,30
"E01006554",2011,"Liverpool 048F","Total",1692,1097,595,543,52
"E01006556",2011,"Liverpool 039B","Total",2011,1885,126,96,30
"E01006557",2011,"Liverpool 038B","Total",2054,945,1109,1069,40
"E01006558",2011,"Liverpool 018B","Total",1357,1330,27,27,0
"E01006560",2011,"Liverpool 023A","Total",1860,1829,31,22,9
"E01006562",2011,"Liverpool 018E","Total",1514,1477,37,37,0
"E01006563",2011,"Liverpool 024B","Total",1744,1717,27,23,4
"E01006564",2011,"Liverpool 023B","Total",1721,1681,40,31,9
"E01006565",2011,"Liverpool 029A","Total",1549,1530,19,16,3
"E01006566",2011,"Liverpool 032A","Total",1506,1473,33,21,12
"E01006567",2011,"Liverpool 026A","Total",1655,1615,40,34,6
"E01006568",2011,"Liverpool 026B","Total",1617,1595,22,13,9
"E01006569",2011,"Liverpool 029B","Total",1429,1405,24,23,1
"E01006570",2011,"Liverpool 026C","Total",1479,1436,43,35,8
"E01006571",2011,"Liverpool 026D","Total",1470,1452,18,15,3
"E01006572",2011,"Liverpool 025A","Total",1207,1191,16,14,2
"E01006573",2011,"Liverpool 029C","Total",1501,1474,27,23,4
"E01006574",2011,"Liverpool 025B","Total",1388,1366,22,9,13
"E01006575",2011,"Liverpool 034A","Total",1294,1271,23,21,2
"E01006576",2011,"Liverpool 034B","Total",1693,1659,34,26,8
"E01006577",2011,"Liverpool 034C","Total",1503,1462,41,30,11
"E01006578",2011,"Liverpool 036A","Total",1380,1353,27,23,4
"E01006579",2011,"Liverpool 034D","Total",1643,1605,38,23,15
"E01006580",2011,"Liverpool 036B","Total",1335,1298,37,23,14
"E01006581",2011,"Liverpool 036C","Total",1559,1494,65,49,16
"E01006582",2011,"Liverpool 041A","Total",1642,1566,76,58,18
"E01006583",2011,"Liverpool 047C","Total",1758,1250,508,469,39
"E01006584",2011,"Liverpool 034E","Total",1393,1368,25,21,4
"E01006585",2011,"Liverpool 032B","Total",1354,1320,34,23,11
"E01006586",2011,"Liverpool 032C","Total",1899,1823,76,66,10
"E01006587",2011,"Liverpool 032D","Total",1624,1559,65,50,15
"E01006588",2011,"Liverpool 042C","Total",1569,1423,146,127,19
"E01006589",2011,"Liverpool 041B","Total",1518,1490,28,23,5
"E01006590",2011,"Liverpool 042D","Total",1642,1397,245,232,13
"E01006591",2011,"Liverpool 041C","Total",1633,1473,160,139,21
"E01006592",2011,"Liverpool 041D","Total",1565,1441,124,103,21
"E01006593",2011,"Liverpool 042E","Total",1541,1324,217,198,19
"E01006594",2011,"Liverpool 047D","Total",1410,1358,52,27,25
"E01006595",2011,"Liverpool 049B","Total",1745,1666,79,62,17
"E01006596",2011,"Liverpool 049C","Total",1451,1396,55,43,12
"E01006597",2011,"Liverpool 041E","Total",1667,1555,112,81,31
"E01006598",2011,"Liverpool 010A","Total",1361,1347,14,8,6
"E01006599",2011,"Liverpool 010B","Total",1121,1104,17,14,3
"E01006600",2011,"Liverpool 011A","Total",1407,1395,12,10,2
"E01006603",2011,"Liverpool 011B","Total",1410,1380,30,24,6
"E01006604",2011,"Liverpool 016A","Total",1367,1343,24,22,2
"E01006605",2011,"Liverpool 016B","Total",1531,1509,22,16,6
"E01006606",2011,"Liverpool 020A","Total",1521,1491,30,28,2
"E01006607",2011,"Liverpool 008A","Total",1531,1499,32,30,2
"E01006608",2011,"Liverpool 009A","Total",1215,1194,21,18,3
"E01006609",2011,"Liverpool 009B","Total",1283,1268,15,14,1
"E01006610",2011,"Liverpool 009C","Total",1397,1366,31,26,5
"E01006611",2011,"Liverpool 012A","Total",1291,1268,23,19,4
"E01006612",2011,"Liverpool 008B","Total",1495,1475,20,19,1
"E01006613",2011,"Liverpool 009D","Total",1360,1331,29,23,6
"E01006614",2011,"Liverpool 012B","Total",1322,1299,23,20,3
"E01006615",2011,"Liverpool 012C","Total",1302,1283,19,16,3
"E01006616",2011,"Liverpool 015D","Total",1428,1406,22,19,3
"E01006617",2011,"Liverpool 021A","Total",1421,1388,33,31,2
"E01006618",2011,"Liverpool 016C","Total",1639,1627,12,9,3
"E01006619",2011,"Liverpool 021B","Total",1599,1565,34,30,4
