"lsoa11cd","date","lsoa11nm","Rural Urban","Adult Lifestage: All categories: Adult lifestage; measures: Value","Adult Lifestage: Age 16 to 24: Total; measures: Value","Adult Lifestage: Age 16 to 24: No dependent children in household; measures: Value","Adult Lifestage: Age 16 to 24: Dependent children in household; measures: Value","Adult Lifestage: Age 25 to 34: Total; measures: Value","Adult Lifestage: Age 25 to 34: No dependent children in household; measures: Value","Adult Lifestage: Age 25 to 34: Youngest dependent child in household aged 0 to 4; measures: Value","Adult Lifestage: Age 25 to 34: Youngest dependent child in household aged 5 to 10; measures: Value","Adult Lifestage: Age 25 to 34: Youngest dependent child in household aged 11 to 15; measures: Value","Adult Lifestage: Age 25 to 34: Youngest dependent child in household aged 16 to 18; measures: Value","Adult Lifestage: Age 35 to 54: Total; measures: Value","Adult Lifestage: Age 35 to 54: No dependent children in household; measures: Value","Adult Lifestage: Age 35 to 54: Youngest dependent child in household aged 0 to 4; measures: Value","Adult Lifestage: Age 35 to 54: Youngest dependent child in household aged 5 to 10; measures: Value","Adult Lifestage: Age 35 to 54: Youngest dependent child in household aged 11 to 15; measures: Value","Adult Lifestage: Age 35 to 54: Youngest dependent child in household aged 16 to 18; measures: Value","Adult Lifestage: Age 55 to 64: Total; measures: Value","Adult Lifestage: Age 55 to 64: One person household; measures: Value","Adult Lifestage: Age 55 to 64: Two or more person household: No dependent children; measures: Value","Adult Lifestage: Age 55 to 64: Dependent children in household; measures: Value","Adult Lifestage: Age 65 to 74: Total; measures: Value","Adult Lifestage: Age 65 to 74: One person household; measures: Value","Adult Lifestage: Age 65 to 74: Two or more person household: No dependent children; measures: Value","Adult Lifestage: Age 65 to 74: Dependent children in household; measures: Value","Adult Lifestage: Age 75 and over: Total; measures: Value","Adult Lifestage: Age 75 and over: One person household; measures: Value","Adult Lifestage: Age 75 and over: Two or more person household; measures: Value"
"E01006512",2011,"Liverpool 031A","Total",1225,408,368,40,438,340,85,10,1,2,274,179,51,18,15,11,71,39,28,4,17,12,3,2,17,16,1
"E01006513",2011,"Liverpool 060A","Total",1638,855,833,22,458,432,20,5,1,0,214,185,9,10,6,4,58,26,27,5,20,8,11,1,33,22,11
"E01006514",2011,"Liverpool 037A","Total",1654,544,522,22,446,413,28,4,1,0,422,335,25,29,26,7,136,92,40,4,68,44,21,3,38,28,10
"E01006515",2011,"Liverpool 037B","Total",1023,194,138,56,248,192,38,10,6,2,280,176,22,34,30,18,119,58,48,13,80,31,47,2,102,60,42
"E01006518",2011,"Liverpool 044A","Total",1359,208,105,103,230,139,60,15,14,2,457,291,42,39,46,39,188,76,93,19,133,56,72,5,143,83,60
"E01006519",2011,"Liverpool 056A","Total",1055,130,48,82,97,61,32,2,2,0,406,143,69,87,57,50,204,34,153,17,112,22,88,2,106,44,62
"E01006520",2011,"Liverpool 043A","Total",1599,179,156,23,649,612,30,2,5,0,435,370,29,17,14,5,156,117,32,7,87,62,21,4,93,78,15
"E01006521",2011,"Liverpool 052A","Total",1453,160,133,27,365,324,35,4,1,1,403,286,32,37,41,7,176,49,112,15,140,49,90,1,209,124,85
"E01006522",2011,"Liverpool 048A","Total",1541,185,152,33,655,604,40,10,0,1,520,430,30,32,15,13,103,66,32,5,50,34,16,0,28,24,4
"E01006523",2011,"Liverpool 052B","Total",1317,149,117,32,464,410,42,8,4,0,387,283,42,30,24,8,164,77,81,6,70,34,33,3,83,44,39
"E01006524",2011,"Liverpool 048B","Total",950,77,59,18,258,218,28,11,1,0,297,176,59,27,27,8,117,32,78,7,110,27,79,4,91,45,46
"E01006525",2011,"Liverpool 049A","Total",1049,143,72,71,157,114,36,2,4,1,333,150,62,42,55,24,189,16,151,22,120,18,99,3,107,43,64
