"lsoa11cd","date","lsoa11nm","Rural Urban","Household Lifestage: All categories: Household lifestage; measures: Value","Household Lifestage: Age of HRP under 35: Total; measures: Value","Household Lifestage: Age of HRP under 35: One person household; measures: Value","Household Lifestage: Age of HRP under 35: Two or more person household: No dependent children; measures: Value","Household Lifestage: Age of HRP under 35: Two or more person household: With dependent children; measures: Value","Household Lifestage: Age of HRP 35 to 54: Total; measures: Value","Household Lifestage: Age of HRP 35 to 54: One person household; measures: Value","Household Lifestage: Age of HRP 35 to 54: Two or more person household: No dependent children; measures: Value","Household Lifestage: Age of HRP 35 to 54: Two or more person household: With dependent children; measures: Value","Household Lifestage: Age of HRP 55 to 64: Total; measures: Value","Household Lifestage: Age of HRP 55 to 64: One person household; measures: Value","Household Lifestage: Age of HRP 55 to 64: Two or more person household: No dependent children; measures: Value","Household Lifestage: Age of HRP 55 to 64: Two or more person household: With dependent children; measures: Value","Household Lifestage: Age of HRP 65 and over: Total; measures: Value","Household Lifestage: Age of HRP 65 and over: One person household; measures: Value","Household Lifestage: Age of HRP 65 and over: Two or more person household: No dependent children; measures: Value","Household Lifestage: Age of HRP 65 and over: Two or more person household: With dependent children; measures: Value"
"E01006512",2011,"Liverpool 031A","Total",799,487,250,193,44,220,114,34,72,60,39,19,2,32,28,2,2
"E01006513",2011,"Liverpool 060A","Total",909,671,324,326,21,150,87,43,20,44,26,16,2,44,30,14,0
"E01006514",2011,"Liverpool 037A","Total",1115,550,344,192,14,360,239,60,61,119,92,24,3,86,72,12,2
"E01006515",2011,"Liverpool 037B","Total",641,202,76,88,38,203,88,43,72,93,58,27,8,143,91,50,2
"E01006518",2011,"Liverpool 044A","Total",835,162,56,40,66,320,118,88,114,133,76,47,10,220,139,77,4
"E01006519",2011,"Liverpool 056A","Total",514,28,2,12,14,218,26,51,141,119,34,74,11,149,66,83,0
"E01006520",2011,"Liverpool 043A","Total",1182,512,291,200,21,370,257,73,40,139,117,16,6,161,140,20,1
"E01006521",2011,"Liverpool 052A","Total",928,255,118,110,27,292,145,75,72,117,49,57,11,264,173,89,2
"E01006522",2011,"Liverpool 048A","Total",1094,491,238,218,35,446,313,63,70,88,66,21,1,69,58,11,0
"E01006523",2011,"Liverpool 052B","Total",830,304,148,123,33,283,145,73,65,125,77,43,5,118,78,38,2
"E01006524",2011,"Liverpool 048B","Total",583,164,78,66,20,203,91,45,67,74,32,38,4,142,72,69,1
"E01006525",2011,"Liverpool 049A","Total",486,50,10,28,12,183,22,59,102,99,16,71,12,154,61,90,3
"E01006526",2011,"Liverpool 048C","Total",654,129,59,45,25,275,108,58,109,95,39,52,4,155,81,74,0
"E01006527",2011,"Liverpool 053A","Total",638,103,38,42,23,228,59,52,117,99,36,53,10,208,112,95,1
"E01006528",2011,"Liverpool 052C","Total",613,197,62,93,42,232,74,57,101,94,33,57,4,90,45,45,0
"E01006529",2011,"Liverpool 048D","Total",559,104,32,48,24,249,60,60,129,84,30,52,2,122,58,63,1
"E01006530",2011,"Liverpool 055A","Total",616,41,9,8,24,205,27,61,117,123,27,89,7,247,109,135,3
"E01006531",2011,"Liverpool 055B","Total",674,35,2,19,14,174,28,48,98,114,26,75,13,351,171,179,1
"E01006532",2011,"Liverpool 047A","Total",617,20,4,3,13,224,24,45,155,143,24,105,14,230,97,133,0
"E01006533",2011,"Liverpool 055C","Total",614,30,9,8,13,219,55,53,111,152,60,84,8,213,116,97,0
"E01006534",2011,"Liverpool 054A","Total",649,71,31,14,26,309,75,70,164,106,29,66,11,163,89,73,1
"E01006535",2011,"Liverpool 054B","Total",656,65,7,29,29,299,61,87,151,105,32,62,11,187,105,80,2
"E01006536",2011,"Liverpool 054C","Total",815,102,28,27,47,352,97,88,167,133,44,78,11,228,103,121,4
"E01006537",2011,"Liverpool 055D","Total",964,310,97,100,113,341,86,108,147,144,37,93,14,169,58,110,1
"E01006538",2011,"Liverpool 055E","Total",527,55,15,13,27,218,27,59,132,91,17,68,6,163,71,89,3
"E01006539",2011,"Liverpool 047B","Total",601,45,17,16,12,206,45,49,112,166,35,108,23,184,79,102,3
"E01006540",2011,"Liverpool 024A","Total",771,256,117,38,101,276,139,48,89,103,59,38,6,136,100,34,2
"E01006541",2011,"Liverpool 015A","Total",803,142,58,30,54,299,110,66,123,133,55,70,8,229,139,88,2
"E01006542",2011,"Liverpool 018A","Total",583,142,63,26,53,265,99,55,111,72,29,35,8,104,50,52,2
"E01006543",2011,"Liverpool 015B","Total",509,53,13,8,32,210,35,70,105,96,27,60,9,150,73,76,1
"E01006544",2011,"Liverpool 015C","Total",738,151,52,12,87,305,93,64,148,112,34,65,13,170,85,81,4
"E01006545",2011,"Liverpool 019A","Total",646,154,50,19,85,251,58,54,139,95,21,61,13,146,72,72,2
"E01006546",2011,"Liverpool 019B","Total",583,170,67,21,82,227,72,58,97,83,31,45,7,103,57,44,2
"E01006547",2011,"Liverpool 019C","Total",718,232,114,31,87,250,104,54,92,97,47,39,11,139,69,63,7
"E01006548",2011,"Liverpool 019D","Total",759,224,91,33,100,299,104,52,143,90,53,33,4,146,86,60,0
"E01006549",2011,"Liverpool 043B","Total",949,480,312,140,28,321,229,43,49,82,47,32,3,66,48,18,0
"E01006550",2011,"Liverpool 038A","Total",483,260,28,220,12,120,48,26,46,49,15,29,5,54,27,26,1
"E01006551",2011,"Liverpool 048E","Total",751,103,53,36,14,231,148,47,36,136,101,32,3,281,209,71,1
"E01006552",2011,"Liverpool 039A","Total",869,343,121,87,135,350,136,58,156,85,41,31,13,91,48,38,5
"E01006553",2011,"Liverpool 042A","Total",642,318,47,256,15,187,56,41,90,74,35,34,5,63,29,33,1
