"lsoa11cd","date","lsoa11nm","Rural Urban","Household Composition: All categories: Household composition; measures: Value","Household Composition: One person household: Total; measures: Value","Household Composition: One person household: Aged 65 and over; measures: Value","Household Composition: One person household: Other; measures: Value","Household Composition: One family only: Total; measures: Value","Household Composition: One family only: All aged 65 and over; measures: Value","Household Composition: One family only: Married couple: Total; measures: Value","Household Composition: One family only: Married couple: No children; measures: Value","Household Composition: One family only: Married couple: One dependent child; measures: Value","Household Composition: One family only: Married couple: Two or more dependent children; measures: Value","Household Composition: One family only: Married couple: All children non-dependent; measures: Value","Household Composition: One family only: Same-sex civil partnership couple: Total; measures: Value","Household Composition: One family only: Same-sex civil partnership couple: No children; measures: Value","Household Composition: One family only: Same-sex civil partnership couple: One dependent child; measures: Value","Household Composition: One family only: Same-sex civil partnership couple: Two or more dependent children; measures: Value","Household Composition: One family only: Same-sex civil partnership couple: All children non-dependent; measures: Value","Household Composition: One family only: Cohabiting couple: Total; measures: Value","Household Composition: One family only: Cohabiting couple: No children; measures: Value","Household Composition: One family only: Cohabiting couple: One dependent child; measures: Value","Household Composition: One family only: Cohabiting couple: Two or more dependent children; measures: Value","Household Composition: One family only: Cohabiting couple: All children non-dependent; measures: Value","Household Composition: One family only: Lone parent: Total; measures: Value","Household Composition: One family only: Lone parent: One dependent child; measures: Value","Household Composition: One family only: Lone parent: Two or more dependent children; measures: Value","Household Composition: One family only: Lone parent: All children non-dependent; measures: Value","Household Composition: Other household types: Total; measures: Value","Household Composition: Other household types: With one dependent child; measures: Value","Household Composition: Other household types: With two or more dependent children; measures: Value","Household Composition: Other household types: All full-time students; measures: Value","Household Composition: Other household types: All aged 65 and over; measures: Value","Household Composition: Other household types: Other; measures: Value"
"E01006512",2011,"Liverpool 031A","Total",799,431,28,403,216,1,105,34,26,41,4,1,1,0,0,0,64,59,3,2,0,45,25,14,6,152,5,4,84,0,59
"E01006513",2011,"Liverpool 060A","Total",909,467,30,437,190,2,48,33,10,1,4,5,5,0,0,0,107,97,4,5,1,28,12,6,10,252,3,2,142,2,103
"E01006514",2011,"Liverpool 037A","Total",1115,747,72,675,229,6,78,39,23,11,5,2,2,0,0,0,98,86,1,7,4,45,25,6,14,139,4,3,60,2,70
"E01006515",2011,"Liverpool 037B","Total",641,313,91,222,243,26,69,25,9,17,18,4,3,1,0,0,51,32,5,9,5,93,39,22,32,85,9,9,20,1,46
"E01006518",2011,"Liverpool 044A","Total",835,389,139,250,365,35,114,42,13,32,27,0,0,0,0,0,51,28,11,7,5,165,68,37,60,81,14,12,3,1,51
"E01006519",2011,"Liverpool 056A","Total",514,128,66,62,354,40,231,69,40,74,48,0,0,0,0,0,41,20,12,7,2,42,13,9,20,32,5,6,1,7,13
"E01006520",2011,"Liverpool 043A","Total",1182,805,140,665,294,13,74,42,19,11,2,6,6,0,0,0,171,155,12,4,0,30,15,5,10,83,1,1,8,1,72
"E01006521",2011,"Liverpool 052A","Total",928,485,173,312,359,61,135,76,8,28,23,4,2,0,1,1,83,64,9,7,3,76,37,11,28,84,5,6,7,4,62
"E01006522",2011,"Liverpool 048A","Total",1094,675,58,617,290,6,67,38,13,10,6,3,2,1,0,0,147,130,12,4,1,67,44,13,10,129,4,5,13,1,106
"E01006523",2011,"Liverpool 052B","Total",830,448,78,370,279,15,108,50,19,23,16,2,2,0,0,0,85,69,7,9,0,69,32,7,30,103,4,4,8,3,84
