"lsoa11cd","date","lsoa11nm","Rural Urban","Household Composition: All categories: Household composition (alternative child and adult defintions); measures: Value","Household Composition: One person household: Total; measures: Value","Household Composition: One person household: One person aged 65 and over; measures: Value","Household Composition: One person household: One person aged under 65; measures: Value","Household Composition: Other households: Total; measures: Value","Household Composition: Other households: No adults or one adult and one or more children; measures: Value","Household Composition: Other households: One adult aged 16 to 64 and one aged 65 and over and no children or two adults aged 65 and over and no children; measures: Value","Household Composition: Other households: Two adults and one or two children; measures: Value","Household Composition: Other households: Two adults aged 16 to 64 and no children; measures: Value","Household Composition: Other households: Two adults and three or more children; measures: Value","Household Composition: Other households: Three or more adults and one or more children; measures: Value","Household Composition: Other households: Three or more adults and no children; measures: Value"
"E01006512",2011,"Liverpool 031A","Total",799,431,28,403,368,30,2,55,206,12,13,50
"E01006513",2011,"Liverpool 060A","Total",909,467,30,437,442,16,13,17,267,0,6,123
"E01006514",2011,"Liverpool 037A","Total",1115,747,72,675,368,24,10,38,206,3,9,78
"E01006515",2011,"Liverpool 037B","Total",641,313,91,222,328,44,45,36,123,8,16,56
"E01006518",2011,"Liverpool 044A","Total",835,389,139,250,446,61,70,54,137,15,27,82
"E01006519",2011,"Liverpool 056A","Total",514,128,66,62,386,12,74,77,86,15,32,90
"E01006520",2011,"Liverpool 043A","Total",1182,805,140,665,377,16,20,39,270,2,8,22
"E01006521",2011,"Liverpool 052A","Total",928,485,173,312,443,37,90,48,183,9,8,68
"E01006522",2011,"Liverpool 048A","Total",1094,675,58,617,419,50,9,41,271,0,5,43
"E01006523",2011,"Liverpool 052B","Total",830,448,78,370,382,29,31,53,179,7,9,74
"E01006524",2011,"Liverpool 048B","Total",583,273,72,201,310,18,61,48,125,4,15,39
"E01006525",2011,"Liverpool 049A","Total",486,109,61,48,377,7,82,63,82,5,34,104
"E01006526",2011,"Liverpool 048C","Total",654,287,81,206,367,23,64,72,118,7,23,60
"E01006527",2011,"Liverpool 053A","Total",638,245,112,133,393,28,81,74,92,8,22,88
"E01006528",2011,"Liverpool 052C","Total",613,214,45,169,399,27,42,71,117,8,32,102
