"lsoa11cd","date","lsoa11nm","Rural Urban","Household Type: All categories: Household type; measures: Value","Household Type: One person household; measures: Value","Household Type: Married couple household: With dependent children; measures: Value","Household Type: Married couple household: No dependent children; measures: Value","Household Type: Same-sex civil partnership couple household: With dependent children; measures: Value","Household Type: Same-sex civil partnership couple household: No dependent children; measures: Value","Household Type: Cohabiting couple household: With dependent children; measures: Value","Household Type: Cohabiting couple household: No dependent children; measures: Value","Household Type: Lone parent household: With dependent children; measures: Value","Household Type: Lone parent household: No dependent children; measures: Value","Household Type: Multi-person household: All full-time students; measures: Value","Household Type: Multi-person household: Other; measures: Value"
"E01006512",2011,"Liverpool 031A","Total",799,431,70,41,0,1,6,64,43,6,84,53
"E01006513",2011,"Liverpool 060A","Total",909,467,12,46,0,5,9,109,21,11,139,90
"E01006514",2011,"Liverpool 037A","Total",1115,747,34,51,0,2,9,100,35,15,58,64
"E01006515",2011,"Liverpool 037B","Total",641,313,30,67,1,3,15,41,71,38,20,42
"E01006518",2011,"Liverpool 044A","Total",835,389,50,109,0,0,21,35,119,67,3,42
"E01006519",2011,"Liverpool 056A","Total",514,128,118,164,0,0,19,24,24,21,1,15
"E01006520",2011,"Liverpool 043A","Total",1182,805,31,58,0,6,16,160,20,11,6,69
"E01006521",2011,"Liverpool 052A","Total",928,485,39,158,1,3,17,74,52,31,7,61
"E01006522",2011,"Liverpool 048A","Total",1094,675,24,50,1,2,17,136,65,11,12,101
"E01006523",2011,"Liverpool 052B","Total",830,448,45,84,1,3,16,82,41,32,8,70
"E01006524",2011,"Liverpool 048B","Total",583,273,54,117,1,1,11,56,24,16,4,26
"E01006525",2011,"Liverpool 049A","Total",486,109,95,170,0,0,16,27,16,27,5,21
"E01006526",2011,"Liverpool 048C","Total",654,287,68,145,0,1,33,46,34,20,2,18
"E01006527",2011,"Liverpool 053A","Total",638,245,81,158,0,0,21,37,47,23,6,20
"E01006528",2011,"Liverpool 052C","Total",613,214,76,109,1,3,27,51,40,21,26,45
"E01006529",2011,"Liverpool 048D","Total",559,180,84,131,0,3,33,42,30,26,4,26
"E01006530",2011,"Liverpool 055A","Total",616,172,95,230,0,0,24,19,29,39,0,8
"E01006531",2011,"Liverpool 055B","Total",674,227,86,261,0,0,14,25,23,20,1,17
"E01006532",2011,"Liverpool 047A","Total",617,149,145,245,0,1,13,15,22,22,0,5
"E01006533",2011,"Liverpool 055C","Total",614,240,85,185,0,1,10,29,32,29,0,3
"E01006534",2011,"Liverpool 054A","Total",649,224,111,159,0,0,15,22,65,40,0,13
"E01006535",2011,"Liverpool 054B","Total",656,205,104,162,0,0,22,29,65,53,0,16
"E01006536",2011,"Liverpool 054C","Total",815,272,81,183,0,0,37,37,104,79,0,22
"E01006537",2011,"Liverpool 055D","Total",964,278,126,232,0,0,35,77,111,63,4,38
"E01006538",2011,"Liverpool 055E","Total",527,130,102,170,0,1,20,20,41,35,0,8
"E01006539",2011,"Liverpool 047B","Total",601,176,114,225,0,1,11,25,21,17,0,11
"E01006540",2011,"Liverpool 024A","Total",771,415,33,63,0,0,33,37,127,31,1,31
"E01006541",2011,"Liverpool 015A","Total",803,362,64,158,0,0,28,32,90,49,0,20
"E01006542",2011,"Liverpool 018A","Total",583,241,60,89,0,0,23,34,79,37,0,20
