"lsoa11cd","date","lsoa11nm","Rural Urban","Adults in Household: All categories: Number of adults in household; measures: Value","Adults in Household: 1 adult in household; measures: Value","Adults in Household: 0 or multiple adults in household; measures: Value"
"E01006512",2011,"Liverpool 031A","Total",1166,430,736
"E01006513",2011,"Liverpool 060A","Total",1582,455,1127
"E01006514",2011,"Liverpool 037A","Total",1535,703,832
"E01006515",2011,"Liverpool 037B","Total",823,278,545
"E01006518",2011,"Liverpool 044A","Total",1041,354,687
"E01006519",2011,"Liverpool 056A","Total",791,83,708
"E01006520",2011,"Liverpool 043A","Total",1410,682,728
"E01006521",2011,"Liverpool 052A","Total",1090,358,732
"E01006522",2011,"Liverpool 048A","Total",1452,679,773
"E01006523",2011,"Liverpool 052B","Total",1152,403,749
"E01006524",2011,"Liverpool 048B","Total",741,226,515
"E01006525",2011,"Liverpool 049A","Total",792,62,730
"E01006526",2011,"Liverpool 048C","Total",875,236,639
"E01006527",2011,"Liverpool 053A","Total",833,173,660
"E01006528",2011,"Liverpool 052C","Total",1061,201,860
"E01006529",2011,"Liverpool 048D","Total",884,142,742
"E01006530",2011,"Liverpool 055A","Total",811,87,724
"E01006531",2011,"Liverpool 055B","Total",733,74,659
"E01006532",2011,"Liverpool 047A","Total",883,70,813
"E01006533",2011,"Liverpool 055C","Total",821,149,672
"E01006534",2011,"Liverpool 054A","Total",974,188,786
"E01006535",2011,"Liverpool 054B","Total",999,146,853
"E01006536",2011,"Liverpool 054C","Total",1166,233,933
"E01006537",2011,"Liverpool 055D","Total",1535,319,1216
"E01006538",2011,"Liverpool 055E","Total",816,88,728
"E01006539",2011,"Liverpool 047B","Total",877,109,768
"E01006540",2011,"Liverpool 024A","Total",991,421,570
"E01006541",2011,"Liverpool 015A","Total",1008,297,711
"E01006542",2011,"Liverpool 018A","Total",859,251,608
"E01006543",2011,"Liverpool 015B","Total",794,101,693
"E01006544",2011,"Liverpool 015C","Total",1004,295,709
"E01006545",2011,"Liverpool 019A","Total",925,233,692
"E01006546",2011,"Liverpool 019B","Total",844,257,587
"E01006547",2011,"Liverpool 019C","Total",958,359,599
"E01006548",2011,"Liverpool 019D","Total",1006,376,630
"E01006549",2011,"Liverpool 043B","Total",1339,620,719
"E01006550",2011,"Liverpool 038A","Total",1416,109,1307
"E01006551",2011,"Liverpool 048E","Total",715,324,391
"E01006552",2011,"Liverpool 039A","Total",1286,448,838
"E01006553",2011,"Liverpool 042A","Total",1586,179,1407
"E01006554",2011,"Liverpool 048F","Total",1400,264,1136
"E01006556",2011,"Liverpool 039B","Total",1379,581,798
"E01006557",2011,"Liverpool 038B","Total",1806,130,1676
"E01006558",2011,"Liverpool 018B","Total",906,371,535
"E01006560",2011,"Liverpool 023A","Total",1181,462,719
"E01006562",2011,"Liverpool 018E","Total",960,342,618
"E01006563",2011,"Liverpool 024B","Total",974,378,596
"E01006564",2011,"Liverpool 023B","Total",1086,242,844
"E01006565",2011,"Liverpool 029A","Total",937,134,803
"E01006566",2011,"Liverpool 032A","Total",900,118,782
"E01006567",2011,"Liverpool 026A","Total",1016,376,640
"E01006568",2011,"Liverpool 026B","Total",960,190,770
"E01006569",2011,"Liverpool 029B","Total",823,167,656
"E01006570",2011,"Liverpool 026C","Total",915,137,778
"E01006571",2011,"Liverpool 026D","Total",897,174,723
"E01006572",2011,"Liverpool 025A","Total",710,157,553
"E01006573",2011,"Liverpool 029C","Total",900,313,587
"E01006574",2011,"Liverpool 025B","Total",797,187,610
"E01006575",2011,"Liverpool 034A","Total",793,149,644
"E01006576",2011,"Liverpool 034B","Total",1089,132,957
"E01006577",2011,"Liverpool 034C","Total",931,91,840
"E01006578",2011,"Liverpool 036A","Total",867,110,757
"E01006579",2011,"Liverpool 034D","Total",976,61,915
"E01006580",2011,"Liverpool 036B","Total",832,72,760
"E01006581",2011,"Liverpool 036C","Total",961,85,876
"E01006582",2011,"Liverpool 041A","Total",996,82,914
"E01006583",2011,"Liverpool 047C","Total",739,38,701
"E01006584",2011,"Liverpool 034E","Total",868,166,702
"E01006585",2011,"Liverpool 032B","Total",842,222,620
"E01006586",2011,"Liverpool 032C","Total",1261,359,902
"E01006587",2011,"Liverpool 032D","Total",1134,241,893
"E01006588",2011,"Liverpool 042C","Total",1124,216,908
"E01006589",2011,"Liverpool 041B","Total",957,99,858
"E01006590",2011,"Liverpool 042D","Total",1259,202,1057
"E01006591",2011,"Liverpool 041C","Total",1150,165,985
"E01006592",2011,"Liverpool 041D","Total",952,76,876
"E01006593",2011,"Liverpool 042E","Total",1150,224,926
"E01006594",2011,"Liverpool 047D","Total",873,87,786
"E01006595",2011,"Liverpool 049B","Total",1133,207,926
"E01006596",2011,"Liverpool 049C","Total",966,104,862
"E01006597",2011,"Liverpool 041E","Total",1046,124,922
"E01006598",2011,"Liverpool 010A","Total",764,223,541
"E01006599",2011,"Liverpool 010B","Total",656,225,431
"E01006600",2011,"Liverpool 011A","Total",858,158,700
"E01006603",2011,"Liverpool 011B","Total",838,168,670
"E01006604",2011,"Liverpool 016A","Total",847,150,697
"E01006605",2011,"Liverpool 016B","Total",961,226,735
"E01006606",2011,"Liverpool 020A","Total",981,273,708
"E01006607",2011,"Liverpool 008A","Total",916,217,699
"E01006608",2011,"Liverpool 009A","Total",809,204,605
"E01006609",2011,"Liverpool 009B","Total",834,213,621
"E01006610",2011,"Liverpool 009C","Total",857,252,605
"E01006611",2011,"Liverpool 012A","Total",867,427,440
"E01006612",2011,"Liverpool 008B","Total",923,307,616
"E01006613",2011,"Liverpool 009D","Total",834,170,664
"E01006614",2011,"Liverpool 012B","Total",876,309,567
"E01006615",2011,"Liverpool 012C","Total",880,326,554
"E01006616",2011,"Liverpool 015D","Total",898,173,725
"E01006617",2011,"Liverpool 021A","Total",940,194,746
"E01006618",2011,"Liverpool 016C","Total",961,126,835
"E01006619",2011,"Liverpool 021B","Total",999,215,784
"E01006620",2011,"Liverpool 021C","Total",816,115,701
"E01006621",2011,"Liverpool 021D","Total",924,99,825
"E01006622",2011,"Liverpool 021E","Total",898,76,822
"E01006623",2011,"Liverpool 013A","Total",946,55,891
"E01006624",2011,"Liverpool 013B","Total",985,239,746
"E01006625",2011,"Liverpool 016D","Total",821,120,701
"E01006626",2011,"Liverpool 016E","Total",930,96,834
"E01006627",2011,"Liverpool 013C","Total",883,140,743
"E01006628",2011,"Liverpool 052D","Total",1034,164,870
"E01006629",2011,"Liverpool 052E","Total",852,157,695
"E01006630",2011,"Liverpool 044B","Total",838,225,613
