"lsoa11cd","date","lsoa11nm","Rural Urban","Family Type: All families in households; measures: Value","Family Type: No dependent children in family; measures: Value","Family Type: One dependent child in family aged 0 to 4; measures: Value","Family Type: One dependent child in family aged 5 to 11; measures: Value","Family Type: One dependent child in family aged 12 to 18; measures: Value","Family Type: Two dependent children in family; youngest aged 0 to 4; measures: Value","Family Type: Two dependent children in family; youngest aged 5 to 11; measures: Value","Family Type: Two dependent children in family; youngest aged 12 to 18; measures: Value","Family Type: Three or more dependent children in family; youngest aged 0 to 4; measures: Value","Family Type: Three or more dependent children in family; youngest aged 5 to 11; measures: Value","Family Type: Three or more dependent children in family; youngest aged 12 to 18; measures: Value","Family Type: Total dependent children; measures: Value"
"E01006512",2011,"Liverpool 031A","Total",233,113,32,9,20,28,6,3,17,4,1,213
"E01006513",2011,"Liverpool 060A","Total",213,171,10,12,6,8,4,1,0,1,0,58
"E01006514",2011,"Liverpool 037A","Total",249,169,20,12,23,7,11,2,4,1,0,115
"E01006515",2011,"Liverpool 037B","Total",271,149,19,16,32,15,11,9,9,11,0,209
"E01006518",2011,"Liverpool 044A","Total",409,214,32,20,57,19,25,12,20,8,2,333
"E01006519",2011,"Liverpool 056A","Total",374,211,18,11,41,22,32,18,10,8,3,288
"E01006520",2011,"Liverpool 043A","Total",304,236,23,12,12,8,3,4,4,1,1,96
"E01006521",2011,"Liverpool 052A","Total",378,268,17,17,23,18,15,7,8,5,0,182
"E01006522",2011,"Liverpool 048A","Total",310,201,29,26,25,15,8,3,3,0,0,144
"E01006523",2011,"Liverpool 052B","Total",308,204,20,17,25,20,10,0,8,3,1,168
"E01006524",2011,"Liverpool 048B","Total",284,192,23,15,16,17,11,2,4,2,2,140
"E01006525",2011,"Liverpool 049A","Total",359,229,27,5,33,20,22,16,3,3,1,202
"E01006526",2011,"Liverpool 048C","Total",351,213,36,15,25,23,19,11,2,7,0,212
"E01006527",2011,"Liverpool 053A","Total",368,218,24,17,37,20,24,10,8,9,1,247
"E01006528",2011,"Liverpool 052C","Total",331,186,34,13,22,23,28,9,10,5,1,246
"E01006529",2011,"Liverpool 048D","Total",355,202,35,16,30,20,31,6,10,5,0,248
"E01006530",2011,"Liverpool 055A","Total",439,289,21,8,35,25,26,24,5,6,0,256
"E01006531",2011,"Liverpool 055B","Total",430,307,10,13,39,16,19,8,6,10,2,209
"E01006532",2011,"Liverpool 047A","Total",469,286,18,9,42,22,35,20,9,18,10,341
"E01006533",2011,"Liverpool 055C","Total",381,246,15,12,30,20,24,14,10,8,2,241
"E01006534",2011,"Liverpool 054A","Total",424,224,16,26,57,20,30,18,10,21,2,341
"E01006535",2011,"Liverpool 054B","Total",441,249,25,16,71,20,18,17,13,10,2,304
"E01006536",2011,"Liverpool 054C","Total",535,305,38,27,61,19,33,26,10,14,2,376
"E01006537",2011,"Liverpool 055D","Total",659,383,58,36,50,42,39,14,22,12,3,458
"E01006538",2011,"Liverpool 055E","Total",398,231,13,24,52,19,29,15,9,4,2,264
"E01006539",2011,"Liverpool 047B","Total",421,269,15,12,47,16,17,27,7,8,3,258
"E01006540",2011,"Liverpool 024A","Total",332,134,49,32,38,25,12,10,15,12,5,334
"E01006541",2011,"Liverpool 015A","Total",428,241,30,28,47,29,27,7,10,8,1,292
"E01006542",2011,"Liverpool 018A","Total",330,161,30,21,33,18,20,21,13,12,1,302
