"lsoa11cd","date","lsoa11nm","Rural Urban","Household Deprivation: All categories: Classification of household deprivation; measures: Value","Household Deprivation: Household is not deprived in any dimension; measures: Value","Household Deprivation: Household is deprived in 1 dimension; measures: Value","Household Deprivation: Household is deprived in 2 dimensions; measures: Value","Household Deprivation: Household is deprived in 3 dimensions; measures: Value","Household Deprivation: Household is deprived in 4 dimensions; measures: Value"
"E01006512",2011,"Liverpool 031A","Total",799,272,320,151,37,19
"E01006513",2011,"Liverpool 060A","Total",909,319,433,109,39,9
"E01006514",2011,"Liverpool 037A","Total",1115,411,423,189,80,12
"E01006515",2011,"Liverpool 037B","Total",641,177,188,195,72,9
"E01006518",2011,"Liverpool 044A","Total",835,190,220,265,147,13
"E01006519",2011,"Liverpool 056A","Total",514,308,120,71,15,0
"E01006520",2011,"Liverpool 043A","Total",1182,489,365,208,105,15
"E01006521",2011,"Liverpool 052A","Total",928,386,288,191,58,5
"E01006522",2011,"Liverpool 048A","Total",1094,464,325,194,92,19
"E01006523",2011,"Liverpool 052B","Total",830,357,234,166,64,9
"E01006524",2011,"Liverpool 048B","Total",583,321,171,81,6,4
"E01006525",2011,"Liverpool 049A","Total",486,249,149,79,9,0
"E01006526",2011,"Liverpool 048C","Total",654,331,186,111,23,3
"E01006527",2011,"Liverpool 053A","Total",638,265,192,151,27,3
"E01006528",2011,"Liverpool 052C","Total",613,307,178,88,34,6
"E01006529",2011,"Liverpool 048D","Total",559,327,123,80,29,0
"E01006530",2011,"Liverpool 055A","Total",616,271,200,137,7,1
"E01006531",2011,"Liverpool 055B","Total",674,247,227,180,18,2
"E01006532",2011,"Liverpool 047A","Total",617,350,179,79,9,0
"E01006533",2011,"Liverpool 055C","Total",614,225,212,153,24,0
"E01006534",2011,"Liverpool 054A","Total",649,232,194,162,56,5
"E01006535",2011,"Liverpool 054B","Total",656,242,183,173,54,4
"E01006536",2011,"Liverpool 054C","Total",815,241,247,244,81,2
"E01006537",2011,"Liverpool 055D","Total",964,404,298,199,62,1
"E01006538",2011,"Liverpool 055E","Total",527,205,191,111,18,2
"E01006539",2011,"Liverpool 047B","Total",601,339,182,74,6,0
"E01006540",2011,"Liverpool 024A","Total",771,129,253,242,128,19
"E01006541",2011,"Liverpool 015A","Total",803,219,238,218,120,8
"E01006542",2011,"Liverpool 018A","Total",583,167,167,154,84,11
"E01006543",2011,"Liverpool 015B","Total",509,194,175,109,30,1
"E01006544",2011,"Liverpool 015C","Total",738,138,243,229,120,8
"E01006545",2011,"Liverpool 019A","Total",646,220,218,162,40,6
"E01006546",2011,"Liverpool 019B","Total",583,151,210,156,56,10
"E01006547",2011,"Liverpool 019C","Total",718,150,251,217,87,13
"E01006548",2011,"Liverpool 019D","Total",759,185,260,206,94,14
