"lsoa11cd","date","lsoa11nm","Rural Urban","Ethnic Group: All categories: Ethnic group; measures: Value","Ethnic Group: White; measures: Value","Ethnic Group: White: English/Welsh/Scottish/Northern Irish/British; measures: Value","Ethnic Group: White: Irish; measures: Value","Ethnic Group: White: Gypsy or Irish Traveller; measures: Value","Ethnic Group: White: Other White; measures: Value","Ethnic Group: Mixed; measures: Value","Ethnic Group: Mixed/multiple ethnic group: White and Black Caribbean; measures: Value","Ethnic Group: Mixed/multiple ethnic group: White and Black African; measures: Value","Ethnic Group: Mixed/multiple ethnic group: White and Asian; measures: Value","Ethnic Group: Mixed/multiple ethnic group: Other Mixed; measures: Value","Ethnic Group: Asian; measures: Value","Ethnic Group: Asian/Asian British: Indian; measures: Value","Ethnic Group: Asian/Asian British: Pakistani; measures: Value","Ethnic Group: Asian/Asian British: Bangladeshi; measures: Value","Ethnic Group: Asian/Asian British: Chinese; measures: Value","Ethnic Group: Asian/Asian British: Other Asian; measures: Value","Ethnic Group: Black; measures: Value","Ethnic Group: Black/African/Caribbean/Black British: African; measures: Value","Ethnic Group: Black/African/Caribbean/Black British: Caribbean; measures: Value","Ethnic Group: Black/African/Caribbean/Black British: Other Black; measures: Value","Ethnic Group: Other; measures: Value","Ethnic Group: Other ethnic group: Arab; measures: Value","Ethnic Group: Other ethnic group: Any other ethnic group; measures: Value"
"E01006512",2011,"Liverpool 031A","Total",1880,724,577,19,0,128,92,24,29,14,25,661,79,33,9,467,73,120,83,20,17,283,247,36
"E01006513",2011,"Liverpool 060A","Total",2941,2140,1884,85,0,171,77,16,8,31,22,546,51,19,3,400,73,64,56,5,3,114,92,22
"E01006514",2011,"Liverpool 037A","Total",2108,1639,1429,68,1,141,124,37,34,23,30,196,19,20,0,105,52,98,62,19,17,51,30,21
"E01006515",2011,"Liverpool 037B","Total",1208,807,707,24,0,76,106,37,35,10,24,177,4,0,0,159,14,48,24,9,15,70,44,26
"E01006518",2011,"Liverpool 044A","Total",1696,1367,1286,29,0,52,94,29,27,17,21,69,5,3,7,42,12,109,56,16,37,57,45,12
"E01006519",2011,"Liverpool 056A","Total",1286,1233,1174,25,0,34,15,2,3,7,3,24,4,2,3,11,4,6,4,2,0,8,6,2
"E01006520",2011,"Liverpool 043A","Total",1706,1504,1328,68,6,102,69,20,15,17,17,45,10,7,1,12,15,48,22,11,15,40,27,13
"E01006521",2011,"Liverpool 052A","Total",1660,1469,1372,35,1,61,52,15,13,16,8,52,16,3,0,19,14,47,38,3,6,40,30,10
"E01006522",2011,"Liverpool 048A","Total",1731,1471,1344,60,0,67,122,30,35,25,32,56,16,6,1,15,18,47,17,19,11,35,25,10
"E01006523",2011,"Liverpool 052B","Total",1508,1334,1240,32,1,61,63,21,13,8,21,36,11,14,0,8,3,47,18,8,21,28,20,8
"E01006524",2011,"Liverpool 048B","Total",2431,2163,2043,42,1,77,48,12,9,16,11,168,76,17,3,49,23,33,26,4,3,19,14,5
"E01006525",2011,"Liverpool 049A","Total",1209,1129,1088,19,0,22,27,6,3,15,3,35,5,5,0,24,1,8,5,2,1,10,9,1
"E01006526",2011,"Liverpool 048C","Total",1404,1308,1270,20,0,18,39,8,13,8,10,22,4,2,4,5,7,18,8,3,7,17,1,16
"E01006527",2011,"Liverpool 053A","Total",1454,1358,1299,24,0,35,52,17,28,3,4,19,3,5,0,7,4,9,4,3,2,16,16,0
"E01006528",2011,"Liverpool 052C","Total",1461,1288,1191,32,0,65,44,3,18,18,5,58,12,22,1,18,5,53,38,8,7,18,9,9
"E01006529",2011,"Liverpool 048D","Total",1304,1226,1168,35,0,23,24,7,2,8,7,24,5,1,0,2,16,8,3,4,1,22,17,5
"E01006530",2011,"Liverpool 055A","Total",1431,1384,1356,19,0,9,18,0,4,5,9,22,1,0,5,11,5,3,3,0,0,4,0,4
"E01006531",2011,"Liverpool 055B","Total",1458,1412,1402,9,0,1,13,3,5,2,3,11,11,0,0,0,0,22,21,1,0,0,0,0
"E01006532",2011,"Liverpool 047A","Total",1557,1410,1353,27,0,30,21,1,2,7,11,102,38,38,0,20,6,7,6,1,0,17,9,8
"E01006533",2011,"Liverpool 055C","Total",1408,1320,1290,14,0,16,18,5,1,8,4,65,34,7,0,18,6,1,0,1,0,4,2,2
"E01006534",2011,"Liverpool 054A","Total",1542,1351,1290,17,0,44,42,15,11,7,9,105,26,15,0,59,5,24,9,5,10,20,17,3
"E01006535",2011,"Liverpool 054B","Total",1639,1552,1500,21,0,31,47,14,5,11,17,23,5,4,2,10,2,13,5,6,2,4,0,4
"E01006536",2011,"Liverpool 054C","Total",1848,1732,1696,18,0,18,50,19,13,9,9,34,0,0,6,16,12,17,12,3,2,15,12,3
"E01006537",2011,"Liverpool 055D","Total",2257,2101,1916,23,5,157,51,10,15,17,9,85,33,23,0,23,6,13,13,0,0,7,1,6
"E01006538",2011,"Liverpool 055E","Total",1318,1283,1264,6,0,13,18,10,0,7,1,13,5,0,0,6,2,3,1,0,2,1,0,1
"E01006539",2011,"Liverpool 047B","Total",1437,1323,1257,15,0,51,25,5,3,4,13,61,23,8,1,22,7,15,12,1,2,13,6,7
"E01006540",2011,"Liverpool 024A","Total",1509,1282,1199,12,1,70,52,13,7,18,14,43,6,6,0,19,12,68,60,7,1,64,48,16
"E01006541",2011,"Liverpool 015A","Total",1593,1559,1549,4,0,6,15,4,1,4,6,11,1,2,0,3,5,2,0,2,0,6,0,6
"E01006542",2011,"Liverpool 018A","Total",1397,1358,1306,14,0,38,16,2,6,1,7,6,1,0,1,2,2,10,8,1,1,7,7,0
"E01006543",2011,"Liverpool 015B","Total",1247,1230,1219,10,0,1,11,0,0,3,8,2,1,0,0,1,0,4,4,0,0,0,0,0
"E01006544",2011,"Liverpool 015C","Total",1658,1605,1586,7,0,12,24,16,4,2,2,21,1,0,0,18,2,7,6,0,1,1,0,1
"E01006545",2011,"Liverpool 019A","Total",1512,1455,1441,9,0,5,22,11,1,1,9,26,7,1,0,10,8,5,5,0,0,4,3,1
"E01006546",2011,"Liverpool 019B","Total",1319,1255,1231,10,0,14,10,5,0,2,3,18,0,1,0,8,9,28,22,0,6,8,7,1
"E01006547",2011,"Liverpool 019C","Total",1490,1349,1298,19,1,31,24,13,0,4,7,47,3,1,0,16,27,39,22,10,7,31,28,3
"E01006548",2011,"Liverpool 019D","Total",1675,1516,1454,25,0,37,23,4,11,3,5,49,7,5,1,19,17,65,47,5,13,22,19,3
"E01006549",2011,"Liverpool 043B","Total",1662,1237,1071,52,2,112,103,25,16,23,39,86,22,14,8,27,15,139,86,16,37,97,44,53
"E01006550",2011,"Liverpool 038A","Total",1595,1365,1239,77,5,44,76,30,20,15,11,92,35,21,14,12,10,43,29,5,9,19,16,3
"E01006551",2011,"Liverpool 048E","Total",1581,1346,1263,26,0,57,73,22,18,18,15,83,13,14,2,41,13,65,38,17,10,14,3,11
"E01006552",2011,"Liverpool 039A","Total",2029,828,686,29,0,113,201,33,86,17,65,174,32,40,10,34,58,306,211,12,83,520,403,117
"E01006553",2011,"Liverpool 042A","Total",1880,1616,1502,71,2,41,100,27,26,18,29,96,41,16,7,16,16,44,18,20,6,24,11,13
