"lsoa11cd","date","lsoa11nm","Rural Urban","Multiple Ethnic Group: All categories: Multiple ethnic groups; measures: Value","Multiple Ethnic Group: One person household; measures: Value","Multiple Ethnic Group: All household members have the same ethnic group; measures: Value","Multiple Ethnic Group: Different ethnic groups between the generations only; measures: Value","Multiple Ethnic Group: Different ethnic groups within partnerships (whether or not different ethnic groups between generations); measures: Value","Multiple Ethnic Group: Any other combination of multiple ethnic groups; measures: Value"
"E01006512",2011,"Liverpool 031A","Total",799,431,289,18,27,34
"E01006513",2011,"Liverpool 060A","Total",909,467,330,6,33,73
"E01006514",2011,"Liverpool 037A","Total",1115,747,265,12,35,56
"E01006515",2011,"Liverpool 037B","Total",641,313,254,23,27,24
"E01006518",2011,"Liverpool 044A","Total",835,389,369,38,30,9
"E01006519",2011,"Liverpool 056A","Total",514,128,333,6,41,6
"E01006520",2011,"Liverpool 043A","Total",1182,805,281,6,69,21
"E01006521",2011,"Liverpool 052A","Total",928,485,368,19,36,20
"E01006522",2011,"Liverpool 048A","Total",1094,675,333,16,36,34
"E01006523",2011,"Liverpool 052B","Total",830,448,305,15,32,30
"E01006524",2011,"Liverpool 048B","Total",583,273,266,13,19,12
"E01006525",2011,"Liverpool 049A","Total",486,109,332,7,26,12
"E01006526",2011,"Liverpool 048C","Total",654,287,314,10,38,5
"E01006527",2011,"Liverpool 053A","Total",638,245,341,14,32,6
"E01006528",2011,"Liverpool 052C","Total",613,214,313,13,39,34
"E01006529",2011,"Liverpool 048D","Total",559,180,323,8,34,14
"E01006530",2011,"Liverpool 055A","Total",616,172,416,5,20,3
"E01006531",2011,"Liverpool 055B","Total",674,227,430,3,11,3
"E01006532",2011,"Liverpool 047A","Total",617,149,425,8,35,0
"E01006533",2011,"Liverpool 055C","Total",614,240,348,8,17,1
"E01006534",2011,"Liverpool 054A","Total",649,224,374,21,25,5
"E01006535",2011,"Liverpool 054B","Total",656,205,403,16,30,2
"E01006536",2011,"Liverpool 054C","Total",815,272,494,18,26,5
"E01006537",2011,"Liverpool 055D","Total",964,278,634,20,21,11
"E01006538",2011,"Liverpool 055E","Total",527,130,374,6,11,6
"E01006539",2011,"Liverpool 047B","Total",601,176,379,6,37,3
"E01006540",2011,"Liverpool 024A","Total",771,415,319,17,12,8
"E01006541",2011,"Liverpool 015A","Total",803,362,422,7,10,2
"E01006542",2011,"Liverpool 018A","Total",583,241,322,5,10,5
"E01006543",2011,"Liverpool 015B","Total",509,148,349,3,5,4
"E01006544",2011,"Liverpool 015C","Total",738,264,457,10,6,1
"E01006545",2011,"Liverpool 019A","Total",646,201,429,5,9,2
"E01006546",2011,"Liverpool 019B","Total",583,227,334,11,8,3
"E01006547",2011,"Liverpool 019C","Total",718,334,356,9,13,6
"E01006548",2011,"Liverpool 019D","Total",759,334,389,16,11,9
"E01006549",2011,"Liverpool 043B","Total",949,636,217,14,38,44
"E01006550",2011,"Liverpool 038A","Total",483,118,230,13,22,100
"E01006551",2011,"Liverpool 048E","Total",751,511,179,17,31,13
"E01006552",2011,"Liverpool 039A","Total",869,346,366,78,37,42
"E01006553",2011,"Liverpool 042A","Total",642,167,326,19,30,100
"E01006554",2011,"Liverpool 048F","Total",649,280,258,7,42,62
"E01006556",2011,"Liverpool 039B","Total",1016,538,302,80,45,51
"E01006557",2011,"Liverpool 038B","Total",635,138,332,19,13,133
"E01006558",2011,"Liverpool 018B","Total",739,380,334,19,5,1
"E01006560",2011,"Liverpool 023A","Total",996,536,430,17,7,6
"E01006562",2011,"Liverpool 018E","Total",714,294,375,24,14,7
"E01006563",2011,"Liverpool 024B","Total",908,477,387,28,12,4
"E01006564",2011,"Liverpool 023B","Total",800,300,471,12,14,3
"E01006565",2011,"Liverpool 029A","Total",638,197,413,8,15,5
"E01006566",2011,"Liverpool 032A","Total",577,184,357,11,24,1
"E01006567",2011,"Liverpool 026A","Total",892,500,362,11,15,4
"E01006568",2011,"Liverpool 026B","Total",629,191,401,14,23,0
"E01006569",2011,"Liverpool 029B","Total",613,236,349,7,17,4
"E01006570",2011,"Liverpool 026C","Total",595,165,404,9,14,3
"E01006571",2011,"Liverpool 026D","Total",612,204,388,11,7,2
"E01006572",2011,"Liverpool 025A","Total",501,133,341,12,15,0
"E01006573",2011,"Liverpool 029C","Total",778,368,378,13,17,2
"E01006574",2011,"Liverpool 025B","Total",612,231,348,14,17,2
"E01006575",2011,"Liverpool 034A","Total",578,205,342,11,19,1
"E01006576",2011,"Liverpool 034B","Total",713,191,493,6,20,3
"E01006577",2011,"Liverpool 034C","Total",597,145,401,6,37,8
"E01006578",2011,"Liverpool 036A","Total",554,139,395,8,10,2
"E01006579",2011,"Liverpool 034D","Total",618,131,441,5,36,5
"E01006580",2011,"Liverpool 036B","Total",515,113,380,1,17,4
"E01006581",2011,"Liverpool 036C","Total",607,138,434,8,22,5
"E01006582",2011,"Liverpool 041A","Total",585,110,427,9,33,6
"E01006583",2011,"Liverpool 047C","Total",467,85,356,3,22,1
"E01006584",2011,"Liverpool 034E","Total",611,205,388,3,14,1
"E01006585",2011,"Liverpool 032B","Total",641,268,355,4,14,0
"E01006586",2011,"Liverpool 032C","Total",921,414,422,26,40,19
"E01006587",2011,"Liverpool 032D","Total",717,259,406,14,32,6
"E01006588",2011,"Liverpool 042C","Total",702,272,355,11,34,30
"E01006589",2011,"Liverpool 041B","Total",599,152,403,6,31,7
"E01006590",2011,"Liverpool 042D","Total",701,231,376,17,30,47
"E01006591",2011,"Liverpool 041C","Total",671,192,391,21,40,27
"E01006592",2011,"Liverpool 041D","Total",624,189,366,6,44,19
"E01006593",2011,"Liverpool 042E","Total",662,232,345,16,33,36
"E01006594",2011,"Liverpool 047D","Total",579,172,363,9,30,5
"E01006595",2011,"Liverpool 049B","Total",812,280,479,16,23,14
"E01006596",2011,"Liverpool 049C","Total",597,162,379,12,36,8
"E01006597",2011,"Liverpool 041E","Total",683,193,430,10,37,13
"E01006598",2011,"Liverpool 010A","Total",604,223,366,5,7,3
"E01006599",2011,"Liverpool 010B","Total",482,158,309,6,9,0
"E01006600",2011,"Liverpool 011A","Total",592,180,390,8,10,4
"E01006603",2011,"Liverpool 011B","Total",594,182,393,7,12,0
"E01006604",2011,"Liverpool 016A","Total",571,175,383,3,8,2
"E01006605",2011,"Liverpool 016B","Total",696,289,371,18,10,8
"E01006606",2011,"Liverpool 020A","Total",723,272,426,9,13,3
"E01006607",2011,"Liverpool 008A","Total",641,196,430,6,9,0
"E01006608",2011,"Liverpool 009A","Total",563,221,332,4,6,0
"E01006609",2011,"Liverpool 009B","Total",576,209,351,4,11,1
"E01006610",2011,"Liverpool 009C","Total",669,283,371,6,8,1
"E01006611",2011,"Liverpool 012A","Total",742,411,313,10,7,1
"E01006612",2011,"Liverpool 008B","Total",740,346,373,13,5,3
"E01006613",2011,"Liverpool 009D","Total",611,240,359,7,3,2
"E01006614",2011,"Liverpool 012B","Total",667,292,358,11,6,0
"E01006615",2011,"Liverpool 012C","Total",663,279,367,10,6,1
"E01006616",2011,"Liverpool 015D","Total",613,207,385,8,11,2
"E01006617",2011,"Liverpool 021A","Total",650,211,417,5,16,1
"E01006618",2011,"Liverpool 016C","Total",692,212,459,6,13,2
"E01006619",2011,"Liverpool 021B","Total",734,256,447,7,19,5
"E01006620",2011,"Liverpool 021C","Total",625,229,376,4,13,3
"E01006621",2011,"Liverpool 021D","Total",584,163,392,3,20,6
"E01006622",2011,"Liverpool 021E","Total",586,129,435,3,16,3
"E01006623",2011,"Liverpool 013A","Total",527,69,441,3,12,2
"E01006624",2011,"Liverpool 013B","Total",702,268,402,9,16,7
"E01006625",2011,"Liverpool 016D","Total",609,185,412,6,3,3
"E01006626",2011,"Liverpool 016E","Total",593,173,399,4,13,4
"E01006627",2011,"Liverpool 013C","Total",600,195,387,3,14,1
"E01006628",2011,"Liverpool 052D","Total",651,200,369,17,43,22
"E01006629",2011,"Liverpool 052E","Total",573,203,324,10,26,10
"E01006630",2011,"Liverpool 044B","Total",555,166,339,29,9,12
"E01006632",2011,"Liverpool 044C","Total",884,344,485,22,14,19
"E01006633",2011,"Liverpool 050B","Total",699,317,361,9,9,3
"E01006637",2011,"Liverpool 017A","Total",670,208,435,14,11,2
"E01006638",2011,"Liverpool 017B","Total",518,161,334,8,12,3
"E01006639",2011,"Liverpool 017C","Total",640,199,422,12,7,0
"E01006640",2011,"Liverpool 021F","Total",760,217,504,8,23,8
"E01006641",2011,"Liverpool 025C","Total",633,154,441,9,22,7
