"lsoa11cd","date","lsoa11nm","Rural Urban","Proficiency in English: All categories: Proficiency in English; measures: Value","Proficiency in English: Main language is English (English or Welsh in Wales); measures: Value","Proficiency in English: Main language is not English (English or Welsh in Wales): Can speak English very well; measures: Value","Proficiency in English: Main language is not English (English or Welsh in Wales): Can speak English well; measures: Value","Proficiency in English: Main language is not English (English or Welsh in Wales): Cannot speak English well; measures: Value","Proficiency in English: Main language is not English (English or Welsh in Wales): Cannot speak English; measures: Value"
"E01006512",2011,"Liverpool 031A","Total",1821,921,243,514,122,21
"E01006513",2011,"Liverpool 060A","Total",2923,2241,204,411,63,4
"E01006514",2011,"Liverpool 037A","Total",2079,1748,155,131,35,10
"E01006515",2011,"Liverpool 037B","Total",1169,937,51,67,62,52
"E01006518",2011,"Liverpool 044A","Total",1646,1509,35,56,30,16
"E01006519",2011,"Liverpool 056A","Total",1241,1203,21,12,4,1
"E01006520",2011,"Liverpool 043A","Total",1674,1561,76,30,4,3
"E01006521",2011,"Liverpool 052A","Total",1630,1534,51,24,18,3
"E01006522",2011,"Liverpool 048A","Total",1687,1584,58,34,8,3
"E01006523",2011,"Liverpool 052B","Total",1476,1389,52,23,11,1
"E01006524",2011,"Liverpool 048B","Total",2399,2264,72,47,12,4
"E01006525",2011,"Liverpool 049A","Total",1172,1141,20,4,3,4
"E01006526",2011,"Liverpool 048C","Total",1354,1320,25,8,0,1
"E01006527",2011,"Liverpool 053A","Total",1422,1392,16,9,5,0
"E01006528",2011,"Liverpool 052C","Total",1414,1341,36,28,9,0
"E01006529",2011,"Liverpool 048D","Total",1251,1210,28,9,3,1
"E01006530",2011,"Liverpool 055A","Total",1393,1385,3,5,0,0
"E01006531",2011,"Liverpool 055B","Total",1438,1419,16,2,1,0
"E01006532",2011,"Liverpool 047A","Total",1518,1469,31,12,5,1
"E01006533",2011,"Liverpool 055C","Total",1369,1344,10,8,7,0
"E01006534",2011,"Liverpool 054A","Total",1502,1421,33,25,18,5
"E01006535",2011,"Liverpool 054B","Total",1595,1560,26,7,2,0
"E01006536",2011,"Liverpool 054C","Total",1800,1761,23,9,5,2
"E01006537",2011,"Liverpool 055D","Total",2171,1991,30,73,57,20
"E01006538",2011,"Liverpool 055E","Total",1279,1266,7,2,1,3
"E01006539",2011,"Liverpool 047B","Total",1406,1357,28,15,5,1
"E01006540",2011,"Liverpool 024A","Total",1424,1261,36,78,41,8
"E01006541",2011,"Liverpool 015A","Total",1549,1532,4,7,5,1
"E01006542",2011,"Liverpool 018A","Total",1352,1302,13,24,9,4
"E01006543",2011,"Liverpool 015B","Total",1211,1208,3,0,0,0
"E01006544",2011,"Liverpool 015C","Total",1600,1573,6,6,11,4
"E01006545",2011,"Liverpool 019A","Total",1439,1412,8,7,10,2
"E01006546",2011,"Liverpool 019B","Total",1261,1228,8,12,11,2
"E01006547",2011,"Liverpool 019C","Total",1423,1333,29,34,19,8
"E01006548",2011,"Liverpool 019D","Total",1588,1498,33,28,26,3
"E01006549",2011,"Liverpool 043B","Total",1627,1377,112,96,37,5
"E01006550",2011,"Liverpool 038A","Total",1574,1492,50,20,8,4
"E01006551",2011,"Liverpool 048E","Total",1547,1449,38,34,19,7
"E01006552",2011,"Liverpool 039A","Total",1878,1273,195,253,142,15
"E01006553",2011,"Liverpool 042A","Total",1847,1759,52,22,13,1
"E01006554",2011,"Liverpool 048F","Total",1659,1512,86,45,15,1
"E01006556",2011,"Liverpool 039B","Total",1913,1343,138,276,132,24
"E01006557",2011,"Liverpool 038B","Total",2023,1856,79,59,24,5
"E01006558",2011,"Liverpool 018B","Total",1289,1245,13,16,11,4
"E01006560",2011,"Liverpool 023A","Total",1803,1748,22,25,5,3
"E01006562",2011,"Liverpool 018E","Total",1441,1381,13,18,22,7
"E01006563",2011,"Liverpool 024B","Total",1682,1604,14,42,19,3
"E01006564",2011,"Liverpool 023B","Total",1672,1629,10,25,5,3
"E01006565",2011,"Liverpool 029A","Total",1511,1478,18,10,5,0
"E01006566",2011,"Liverpool 032A","Total",1450,1399,30,14,6,1
"E01006567",2011,"Liverpool 026A","Total",1609,1561,19,19,8,2
"E01006568",2011,"Liverpool 026B","Total",1568,1529,27,6,3,3
"E01006569",2011,"Liverpool 029B","Total",1399,1388,5,5,0,1
"E01006570",2011,"Liverpool 026C","Total",1449,1428,7,5,5,4
"E01006571",2011,"Liverpool 026D","Total",1430,1418,5,7,0,0
"E01006572",2011,"Liverpool 025A","Total",1159,1134,9,12,2,2
"E01006573",2011,"Liverpool 029C","Total",1442,1398,19,17,6,2
"E01006574",2011,"Liverpool 025B","Total",1337,1322,5,8,1,1
"E01006575",2011,"Liverpool 034A","Total",1256,1228,11,13,3,1
"E01006576",2011,"Liverpool 034B","Total",1634,1617,9,4,4,0
"E01006577",2011,"Liverpool 034C","Total",1458,1434,14,7,3,0
"E01006578",2011,"Liverpool 036A","Total",1334,1304,15,3,12,0
"E01006579",2011,"Liverpool 034D","Total",1581,1547,17,12,5,0
"E01006580",2011,"Liverpool 036B","Total",1298,1260,12,17,8,1
"E01006581",2011,"Liverpool 036C","Total",1509,1481,13,9,3,3
"E01006582",2011,"Liverpool 041A","Total",1590,1560,12,10,6,2
"E01006583",2011,"Liverpool 047C","Total",1719,1699,10,10,0,0
"E01006584",2011,"Liverpool 034E","Total",1344,1341,2,0,0,1
"E01006585",2011,"Liverpool 032B","Total",1306,1268,10,23,1,4
"E01006586",2011,"Liverpool 032C","Total",1834,1757,36,21,17,3
