"lsoa11cd","date","lsoa11nm","Rural Urban","Religion: All categories: Religion; measures: Value","Religion: Christian; measures: Value","Religion: Buddhist; measures: Value","Religion: Hindu; measures: Value","Religion: Jewish; measures: Value","Religion: Muslim; measures: Value","Religion: Sikh; measures: Value","Religion: Other religion; measures: Value","Religion: No religion; measures: Value","Religion: Religion not stated; measures: Value"
"E01006512",2011,"Liverpool 031A","Total",1880,542,37,50,4,377,6,13,722,129
"E01006513",2011,"Liverpool 060A","Total",2941,1165,50,31,8,157,3,8,1332,187
"E01006514",2011,"Liverpool 037A","Total",2108,875,28,10,5,121,1,10,872,186
"E01006515",2011,"Liverpool 037B","Total",1208,676,38,1,2,94,0,7,294,96
"E01006518",2011,"Liverpool 044A","Total",1696,1194,6,8,3,112,0,6,260,107
"E01006519",2011,"Liverpool 056A","Total",1286,942,5,0,3,12,1,1,251,71
"E01006520",2011,"Liverpool 043A","Total",1706,839,12,10,12,49,0,17,622,145
"E01006521",2011,"Liverpool 052A","Total",1660,910,10,4,52,58,3,6,455,162
"E01006522",2011,"Liverpool 048A","Total",1731,838,19,6,6,56,3,10,655,138
"E01006523",2011,"Liverpool 052B","Total",1508,790,4,3,12,64,0,7,487,141
"E01006524",2011,"Liverpool 048B","Total",2431,1273,13,30,97,68,8,13,713,216
"E01006525",2011,"Liverpool 049A","Total",1209,875,5,1,3,15,1,1,230,78
"E01006526",2011,"Liverpool 048C","Total",1404,987,4,2,12,23,0,2,260,114
"E01006527",2011,"Liverpool 053A","Total",1454,1066,1,0,6,25,1,4,276,75
"E01006528",2011,"Liverpool 052C","Total",1461,888,6,6,5,37,1,4,382,132
"E01006529",2011,"Liverpool 048D","Total",1304,856,1,4,4,21,2,3,317,96
"E01006530",2011,"Liverpool 055A","Total",1431,1209,0,0,2,14,0,0,124,82
"E01006531",2011,"Liverpool 055B","Total",1458,1228,2,5,7,8,0,2,143,63
"E01006532",2011,"Liverpool 047A","Total",1557,1077,3,28,77,67,5,2,202,96
"E01006533",2011,"Liverpool 055C","Total",1408,1100,3,32,4,15,4,1,165,84
"E01006534",2011,"Liverpool 054A","Total",1542,1114,7,16,19,46,1,4,247,88
"E01006535",2011,"Liverpool 054B","Total",1639,1277,4,6,9,13,1,5,231,93
"E01006536",2011,"Liverpool 054C","Total",1848,1432,13,0,1,20,0,3,262,117
"E01006537",2011,"Liverpool 055D","Total",2257,1693,9,24,6,38,6,3,358,120
"E01006538",2011,"Liverpool 055E","Total",1318,1036,2,0,0,1,4,1,187,87
"E01006539",2011,"Liverpool 047B","Total",1437,996,2,13,55,25,4,3,235,104
"E01006540",2011,"Liverpool 024A","Total",1509,1020,3,4,0,79,0,1,296,106
"E01006541",2011,"Liverpool 015A","Total",1593,1281,4,7,0,3,0,4,212,82
"E01006542",2011,"Liverpool 018A","Total",1397,1119,4,0,0,8,1,3,185,77
"E01006543",2011,"Liverpool 015B","Total",1247,1068,1,0,0,1,0,2,119,56
"E01006544",2011,"Liverpool 015C","Total",1658,1285,5,1,1,1,1,9,253,102
"E01006545",2011,"Liverpool 019A","Total",1512,1137,6,5,0,4,6,2,239,113
"E01006546",2011,"Liverpool 019B","Total",1319,1022,2,6,1,8,0,4,223,53
"E01006547",2011,"Liverpool 019C","Total",1490,1044,15,0,1,40,5,6,298,81
"E01006548",2011,"Liverpool 019D","Total",1675,1220,4,2,4,27,5,3,284,126
"E01006549",2011,"Liverpool 043B","Total",1662,692,12,23,9,191,1,7,552,175
"E01006550",2011,"Liverpool 038A","Total",1595,758,8,16,8,69,13,4,614,105
"E01006551",2011,"Liverpool 048E","Total",1581,890,9,6,58,43,1,7,420,147
"E01006552",2011,"Liverpool 039A","Total",2029,722,21,11,0,745,3,18,364,145
"E01006553",2011,"Liverpool 042A","Total",1880,985,7,23,11,64,8,4,667,111
"E01006554",2011,"Liverpool 048F","Total",1692,782,13,6,17,99,2,6,637,130
"E01006556",2011,"Liverpool 039B","Total",2011,939,25,20,2,540,11,9,341,124
"E01006557",2011,"Liverpool 038B","Total",2054,1017,8,23,10,162,13,4,692,125
"E01006558",2011,"Liverpool 018B","Total",1357,1020,0,4,4,10,0,1,236,82
"E01006560",2011,"Liverpool 023A","Total",1860,1479,1,3,0,32,5,1,204,135
"E01006562",2011,"Liverpool 018E","Total",1514,1082,3,0,0,32,0,5,306,86
"E01006563",2011,"Liverpool 024B","Total",1744,1310,1,14,1,28,0,9,256,125
"E01006564",2011,"Liverpool 023B","Total",1721,1472,7,1,0,9,0,4,121,107
"E01006565",2011,"Liverpool 029A","Total",1549,1258,6,0,0,7,0,3,174,101
"E01006566",2011,"Liverpool 032A","Total",1506,1176,6,5,0,19,0,1,217,82
"E01006567",2011,"Liverpool 026A","Total",1655,1286,4,9,1,26,0,1,234,94
"E01006568",2011,"Liverpool 026B","Total",1617,1333,5,0,2,7,0,0,171,99
"E01006569",2011,"Liverpool 029B","Total",1429,1131,0,0,3,5,0,2,203,85
"E01006570",2011,"Liverpool 026C","Total",1479,1240,0,6,0,5,1,0,162,65
"E01006571",2011,"Liverpool 026D","Total",1470,1168,2,0,1,3,0,3,201,92
"E01006572",2011,"Liverpool 025A","Total",1207,919,2,6,0,1,1,2,189,87
"E01006573",2011,"Liverpool 029C","Total",1501,1147,2,8,2,12,0,1,221,108
"E01006574",2011,"Liverpool 025B","Total",1388,1089,3,0,0,10,0,1,195,90
"E01006575",2011,"Liverpool 034A","Total",1294,932,9,4,13,30,0,2,221,83
