"lsoa11cd","date","lsoa11nm","Rural Urban","Care Provision: All categories: Provision of unpaid care; measures: Value","Care Provision: Provides no unpaid care; measures: Value","Care Provision: Provides 1 to 19 hours unpaid care a week; measures: Value","Care Provision: Provides 20 to 49 hours unpaid care a week; measures: Value","Care Provision: Provides 50 or more hours unpaid care a week; measures: Value"
"E01006512",2011,"Liverpool 031A","Total",1880,1789,66,15,10
"E01006513",2011,"Liverpool 060A","Total",2941,2848,74,12,7
"E01006514",2011,"Liverpool 037A","Total",2108,1937,134,16,21
"E01006515",2011,"Liverpool 037B","Total",1208,1111,46,24,27
"E01006518",2011,"Liverpool 044A","Total",1696,1509,88,27,72
"E01006519",2011,"Liverpool 056A","Total",1286,1130,110,15,31
"E01006520",2011,"Liverpool 043A","Total",1706,1601,83,9,13
"E01006521",2011,"Liverpool 052A","Total",1660,1499,105,21,35
"E01006522",2011,"Liverpool 048A","Total",1731,1607,84,21,19
"E01006523",2011,"Liverpool 052B","Total",1508,1373,86,17,32
"E01006524",2011,"Liverpool 048B","Total",2431,2293,93,16,29
"E01006525",2011,"Liverpool 049A","Total",1209,1055,96,19,39
"E01006526",2011,"Liverpool 048C","Total",1404,1241,110,18,35
"E01006527",2011,"Liverpool 053A","Total",1454,1270,104,33,47
"E01006528",2011,"Liverpool 052C","Total",1461,1307,106,24,24
"E01006529",2011,"Liverpool 048D","Total",1304,1147,110,18,29
"E01006530",2011,"Liverpool 055A","Total",1431,1205,135,28,63
"E01006531",2011,"Liverpool 055B","Total",1458,1221,127,33,77
"E01006532",2011,"Liverpool 047A","Total",1557,1345,149,28,35
"E01006533",2011,"Liverpool 055C","Total",1408,1210,116,23,59
"E01006534",2011,"Liverpool 054A","Total",1542,1346,100,51,45
"E01006535",2011,"Liverpool 054B","Total",1639,1414,116,34,75
"E01006536",2011,"Liverpool 054C","Total",1848,1571,120,54,103
"E01006537",2011,"Liverpool 055D","Total",2257,2030,127,29,71
"E01006538",2011,"Liverpool 055E","Total",1318,1108,117,23,70
"E01006539",2011,"Liverpool 047B","Total",1437,1243,134,23,37
"E01006540",2011,"Liverpool 024A","Total",1509,1378,50,36,45
"E01006541",2011,"Liverpool 015A","Total",1593,1406,98,39,50
"E01006542",2011,"Liverpool 018A","Total",1397,1252,78,24,43
"E01006543",2011,"Liverpool 015B","Total",1247,1098,83,24,42
"E01006544",2011,"Liverpool 015C","Total",1658,1456,82,31,89
"E01006545",2011,"Liverpool 019A","Total",1512,1337,95,28,52
"E01006546",2011,"Liverpool 019B","Total",1319,1198,62,22,37
"E01006547",2011,"Liverpool 019C","Total",1490,1330,78,24,58
"E01006548",2011,"Liverpool 019D","Total",1675,1512,82,34,47
"E01006549",2011,"Liverpool 043B","Total",1662,1538,98,11,15
"E01006550",2011,"Liverpool 038A","Total",1595,1518,52,12,13
"E01006551",2011,"Liverpool 048E","Total",1581,1434,77,19,51
"E01006552",2011,"Liverpool 039A","Total",2029,1886,81,31,31
"E01006553",2011,"Liverpool 042A","Total",1880,1775,60,17,28
"E01006554",2011,"Liverpool 048F","Total",1692,1563,97,10,22
"E01006556",2011,"Liverpool 039B","Total",2011,1841,93,25,52
"E01006557",2011,"Liverpool 038B","Total",2054,1955,67,14,18
"E01006558",2011,"Liverpool 018B","Total",1357,1227,52,33,45
"E01006560",2011,"Liverpool 023A","Total",1860,1645,61,61,93
"E01006562",2011,"Liverpool 018E","Total",1514,1388,51,32,43
"E01006563",2011,"Liverpool 024B","Total",1744,1544,84,41,75
"E01006564",2011,"Liverpool 023B","Total",1721,1514,95,34,78
"E01006565",2011,"Liverpool 029A","Total",1549,1340,95,34,80
"E01006566",2011,"Liverpool 032A","Total",1506,1324,104,27,51
"E01006567",2011,"Liverpool 026A","Total",1655,1482,105,25,43
"E01006568",2011,"Liverpool 026B","Total",1617,1451,103,24,39
"E01006569",2011,"Liverpool 029B","Total",1429,1236,68,43,82
"E01006570",2011,"Liverpool 026C","Total",1479,1273,121,27,58
"E01006571",2011,"Liverpool 026D","Total",1470,1246,91,48,85
"E01006572",2011,"Liverpool 025A","Total",1207,1077,48,29,53
"E01006573",2011,"Liverpool 029C","Total",1501,1344,78,32,47
"E01006574",2011,"Liverpool 025B","Total",1388,1224,77,36,51
"E01006575",2011,"Liverpool 034A","Total",1294,1134,79,26,55
"E01006576",2011,"Liverpool 034B","Total",1693,1453,161,27,52
"E01006577",2011,"Liverpool 034C","Total",1503,1302,133,26,42
"E01006578",2011,"Liverpool 036A","Total",1380,1225,96,26,33
"E01006579",2011,"Liverpool 034D","Total",1643,1443,129,34,37
"E01006580",2011,"Liverpool 036B","Total",1335,1174,117,24,20
"E01006581",2011,"Liverpool 036C","Total",1559,1355,132,34,38
