"lsoa11cd","date","lsoa11nm","Rural Urban","General Health: All categories: General health; measures: Value","General Health: Very good health; measures: Value","General Health: Good health; measures: Value","General Health: Fair health; measures: Value","General Health: Bad health; measures: Value","General Health: Very bad health; measures: Value"
"E01006512",2011,"Liverpool 031A","Total",1880,1056,627,129,42,26
"E01006513",2011,"Liverpool 060A","Total",2941,1775,943,168,46,9
"E01006514",2011,"Liverpool 037A","Total",2108,1041,697,238,102,30
"E01006515",2011,"Liverpool 037B","Total",1208,484,360,208,130,26
"E01006518",2011,"Liverpool 044A","Total",1696,623,446,322,217,88
"E01006519",2011,"Liverpool 056A","Total",1286,718,387,128,40,13
"E01006520",2011,"Liverpool 043A","Total",1706,829,507,237,108,25
"E01006521",2011,"Liverpool 052A","Total",1660,769,501,258,105,27
"E01006522",2011,"Liverpool 048A","Total",1731,883,502,209,105,32
"E01006523",2011,"Liverpool 052B","Total",1508,716,450,207,105,30
"E01006524",2011,"Liverpool 048B","Total",2431,1344,686,238,135,28
"E01006525",2011,"Liverpool 049A","Total",1209,630,373,151,44,11
"E01006526",2011,"Liverpool 048C","Total",1404,644,417,196,118,29
"E01006527",2011,"Liverpool 053A","Total",1454,690,465,203,74,22
"E01006528",2011,"Liverpool 052C","Total",1461,778,447,152,62,22
"E01006529",2011,"Liverpool 048D","Total",1304,729,379,127,57,12
"E01006530",2011,"Liverpool 055A","Total",1431,697,433,220,66,15
"E01006531",2011,"Liverpool 055B","Total",1458,611,471,247,108,21
"E01006532",2011,"Liverpool 047A","Total",1557,848,470,177,47,15
"E01006533",2011,"Liverpool 055C","Total",1408,621,425,222,109,31
"E01006534",2011,"Liverpool 054A","Total",1542,779,413,221,105,24
"E01006535",2011,"Liverpool 054B","Total",1639,763,423,271,136,46
"E01006536",2011,"Liverpool 054C","Total",1848,809,534,309,145,51
"E01006537",2011,"Liverpool 055D","Total",2257,1131,739,247,104,36
"E01006538",2011,"Liverpool 055E","Total",1318,671,380,172,76,19
"E01006539",2011,"Liverpool 047B","Total",1437,745,460,166,46,20
"E01006540",2011,"Liverpool 024A","Total",1509,613,481,237,136,42
"E01006541",2011,"Liverpool 015A","Total",1593,630,546,243,136,38
"E01006542",2011,"Liverpool 018A","Total",1397,579,443,251,92,32
"E01006543",2011,"Liverpool 015B","Total",1247,593,411,165,57,21
"E01006544",2011,"Liverpool 015C","Total",1658,674,524,267,143,50
"E01006545",2011,"Liverpool 019A","Total",1512,686,533,190,77,26
"E01006546",2011,"Liverpool 019B","Total",1319,619,417,188,77,18
"E01006547",2011,"Liverpool 019C","Total",1490,628,472,255,98,37
"E01006548",2011,"Liverpool 019D","Total",1675,688,555,262,128,42
"E01006549",2011,"Liverpool 043B","Total",1662,807,514,196,112,33
"E01006550",2011,"Liverpool 038A","Total",1595,970,483,97,36,9
"E01006551",2011,"Liverpool 048E","Total",1581,651,445,299,138,48
"E01006552",2011,"Liverpool 039A","Total",2029,983,686,252,78,30
"E01006553",2011,"Liverpool 042A","Total",1880,1144,528,151,47,10
"E01006554",2011,"Liverpool 048F","Total",1692,968,512,151,44,17
"E01006556",2011,"Liverpool 039B","Total",2011,863,638,287,157,66
"E01006557",2011,"Liverpool 038B","Total",2054,1287,571,132,47,17
"E01006558",2011,"Liverpool 018B","Total",1357,476,438,273,138,32
"E01006560",2011,"Liverpool 023A","Total",1860,612,524,406,244,74
"E01006562",2011,"Liverpool 018E","Total",1514,534,516,286,142,36
"E01006563",2011,"Liverpool 024B","Total",1744,577,511,369,231,56
"E01006564",2011,"Liverpool 023B","Total",1721,655,519,312,183,52
"E01006565",2011,"Liverpool 029A","Total",1549,619,500,264,118,48
"E01006566",2011,"Liverpool 032A","Total",1506,734,433,221,93,25
"E01006567",2011,"Liverpool 026A","Total",1655,653,489,290,170,53
"E01006568",2011,"Liverpool 026B","Total",1617,758,488,195,78,98
"E01006569",2011,"Liverpool 029B","Total",1429,553,429,231,136,80
"E01006570",2011,"Liverpool 026C","Total",1479,749,439,191,70,30
"E01006571",2011,"Liverpool 026D","Total",1470,588,471,249,129,33
"E01006572",2011,"Liverpool 025A","Total",1207,536,346,187,104,34
"E01006573",2011,"Liverpool 029C","Total",1501,592,476,281,118,34
"E01006574",2011,"Liverpool 025B","Total",1388,575,402,256,120,35
"E01006575",2011,"Liverpool 034A","Total",1294,560,386,218,89,41
"E01006576",2011,"Liverpool 034B","Total",1693,853,518,225,77,20
"E01006577",2011,"Liverpool 034C","Total",1503,760,473,200,58,12
"E01006578",2011,"Liverpool 036A","Total",1380,762,392,156,51,19
"E01006579",2011,"Liverpool 034D","Total",1643,865,517,184,57,20
"E01006580",2011,"Liverpool 036B","Total",1335,751,396,131,45,12
"E01006581",2011,"Liverpool 036C","Total",1559,828,490,180,51,10
"E01006582",2011,"Liverpool 041A","Total",1642,933,505,151,48,5
"E01006583",2011,"Liverpool 047C","Total",1758,988,564,164,30,12
"E01006584",2011,"Liverpool 034E","Total",1393,681,437,178,78,19
"E01006585",2011,"Liverpool 032B","Total",1354,497,419,253,141,44
"E01006586",2011,"Liverpool 032C","Total",1899,878,559,303,124,35
"E01006587",2011,"Liverpool 032D","Total",1624,817,473,215,90,29
"E01006588",2011,"Liverpool 042C","Total",1569,747,492,233,71,26
"E01006589",2011,"Liverpool 041B","Total",1518,834,433,173,66,12
"E01006590",2011,"Liverpool 042D","Total",1642,876,515,166,69,16
"E01006591",2011,"Liverpool 041C","Total",1633,955,464,145,52,17
"E01006592",2011,"Liverpool 041D","Total",1565,861,474,179,45,6
"E01006593",2011,"Liverpool 042E","Total",1541,903,441,135,50,12
"E01006594",2011,"Liverpool 047D","Total",1410,785,430,148,35,12
"E01006595",2011,"Liverpool 049B","Total",1745,859,565,215,69,37
"E01006596",2011,"Liverpool 049C","Total",1451,742,454,186,51,18
"E01006597",2011,"Liverpool 041E","Total",1667,899,503,187,58,20
"E01006598",2011,"Liverpool 010A","Total",1361,562,349,266,137,47
"E01006599",2011,"Liverpool 010B","Total",1121,507,355,180,63,16
"E01006600",2011,"Liverpool 011A","Total",1407,602,370,246,148,41
"E01006603",2011,"Liverpool 011B","Total",1410,582,390,274,129,35
"E01006604",2011,"Liverpool 016A","Total",1367,563,403,239,125,37
"E01006605",2011,"Liverpool 016B","Total",1531,637,429,273,147,45
"E01006606",2011,"Liverpool 020A","Total",1521,681,455,232,110,43
