"lsoa11cd","date","lsoa11nm","Rural Urban","Disability: All categories: Long-term health problem or disability; measures: Value","Disability: Day-to-day activities limited a lot; measures: Value","Disability: Day-to-day activities limited a little; measures: Value","Disability: Day-to-day activities not limited; measures: Value"
"E01006512",2011,"Liverpool 031A","Total",1880,81,114,1685
"E01006513",2011,"Liverpool 060A","Total",2941,87,110,2744
"E01006514",2011,"Liverpool 037A","Total",2108,171,182,1755
"E01006515",2011,"Liverpool 037B","Total",1208,198,143,867
"E01006518",2011,"Liverpool 044A","Total",1696,388,198,1110
"E01006519",2011,"Liverpool 056A","Total",1286,91,100,1095
"E01006520",2011,"Liverpool 043A","Total",1706,193,152,1361
"E01006521",2011,"Liverpool 052A","Total",1660,237,166,1257
"E01006522",2011,"Liverpool 048A","Total",1731,197,155,1379
"E01006523",2011,"Liverpool 052B","Total",1508,207,129,1172
"E01006524",2011,"Liverpool 048B","Total",2431,254,114,2063
"E01006525",2011,"Liverpool 049A","Total",1209,93,131,985
"E01006526",2011,"Liverpool 048C","Total",1404,215,128,1061
"E01006527",2011,"Liverpool 053A","Total",1454,170,141,1143
"E01006528",2011,"Liverpool 052C","Total",1461,113,121,1227
"E01006529",2011,"Liverpool 048D","Total",1304,104,91,1109
"E01006530",2011,"Liverpool 055A","Total",1431,154,171,1106
"E01006531",2011,"Liverpool 055B","Total",1458,223,202,1033
"E01006532",2011,"Liverpool 047A","Total",1557,104,141,1312
"E01006533",2011,"Liverpool 055C","Total",1408,227,143,1038
"E01006534",2011,"Liverpool 054A","Total",1542,200,147,1195
"E01006535",2011,"Liverpool 054B","Total",1639,284,189,1166
"E01006536",2011,"Liverpool 054C","Total",1848,280,219,1349
"E01006537",2011,"Liverpool 055D","Total",2257,221,178,1858
"E01006538",2011,"Liverpool 055E","Total",1318,150,120,1048
"E01006539",2011,"Liverpool 047B","Total",1437,124,124,1189
"E01006540",2011,"Liverpool 024A","Total",1509,237,160,1112
"E01006541",2011,"Liverpool 015A","Total",1593,270,166,1157
"E01006542",2011,"Liverpool 018A","Total",1397,239,171,987
"E01006543",2011,"Liverpool 015B","Total",1247,133,109,1005
"E01006544",2011,"Liverpool 015C","Total",1658,282,184,1192
"E01006545",2011,"Liverpool 019A","Total",1512,173,113,1226
"E01006546",2011,"Liverpool 019B","Total",1319,138,134,1047
"E01006547",2011,"Liverpool 019C","Total",1490,203,155,1132
"E01006548",2011,"Liverpool 019D","Total",1675,255,162,1258
"E01006549",2011,"Liverpool 043B","Total",1662,221,146,1295
"E01006550",2011,"Liverpool 038A","Total",1595,57,87,1451
"E01006551",2011,"Liverpool 048E","Total",1581,297,182,1102
"E01006552",2011,"Liverpool 039A","Total",2029,149,157,1723
"E01006553",2011,"Liverpool 042A","Total",1880,89,100,1691
"E01006554",2011,"Liverpool 048F","Total",1692,98,105,1489
"E01006556",2011,"Liverpool 039B","Total",2011,305,184,1522
"E01006557",2011,"Liverpool 038B","Total",2054,85,82,1887
"E01006558",2011,"Liverpool 018B","Total",1357,224,159,974
"E01006560",2011,"Liverpool 023A","Total",1860,422,241,1197
"E01006562",2011,"Liverpool 018E","Total",1514,244,182,1088
"E01006563",2011,"Liverpool 024B","Total",1744,396,247,1101
"E01006564",2011,"Liverpool 023B","Total",1721,315,217,1189
"E01006565",2011,"Liverpool 029A","Total",1549,247,158,1144
"E01006566",2011,"Liverpool 032A","Total",1506,177,148,1181
"E01006567",2011,"Liverpool 026A","Total",1655,306,212,1137
"E01006568",2011,"Liverpool 026B","Total",1617,274,114,1229
"E01006569",2011,"Liverpool 029B","Total",1429,307,155,967
"E01006570",2011,"Liverpool 026C","Total",1479,158,133,1188
"E01006571",2011,"Liverpool 026D","Total",1470,282,146,1042
"E01006572",2011,"Liverpool 025A","Total",1207,197,119,891
"E01006573",2011,"Liverpool 029C","Total",1501,252,164,1085
