"lsoa11cd","date","lsoa11nm","Rural Urban","Tenure: All categories: Tenure; measures: Value","Tenure: Owned: Total; measures: Value","Tenure: Owned: Owned outright; measures: Value","Tenure: Owned: Owned with a mortgage or loan; measures: Value","Tenure: Shared ownership (part owned and part rented); measures: Value","Tenure: Social rented: Total; measures: Value","Tenure: Social rented: Rented from council (Local Authority); measures: Value","Tenure: Social rented: Other social rented; measures: Value","Tenure: Private rented: Total; measures: Value","Tenure: Private rented: Private landlord or letting agency; measures: Value","Tenure: Private rented: Employer of a household member; measures: Value","Tenure: Private rented: Relative or friend of household member; measures: Value","Tenure: Private rented: Other; measures: Value","Tenure: Living rent free; measures: Value"
"E01006512",2011,"Liverpool 031A","Total",1420,264,112,152,11,333,21,312,796,747,0,16,33,16
"E01006513",2011,"Liverpool 060A","Total",1691,209,92,117,47,228,19,209,1194,1124,15,20,35,13
"E01006514",2011,"Liverpool 037A","Total",1758,190,93,97,11,739,31,708,795,623,15,17,140,23
"E01006515",2011,"Liverpool 037B","Total",1208,142,37,105,44,748,133,615,256,224,0,21,11,18
"E01006518",2011,"Liverpool 044A","Total",1630,397,180,217,29,879,90,789,293,261,0,24,8,32
"E01006519",2011,"Liverpool 056A","Total",1286,1184,476,708,1,32,8,24,68,65,0,3,0,1
"E01006520",2011,"Liverpool 043A","Total",1685,345,106,239,1,413,13,400,918,890,2,22,4,8
"E01006521",2011,"Liverpool 052A","Total",1619,780,347,433,0,324,10,314,499,481,0,12,6,16
"E01006522",2011,"Liverpool 048A","Total",1670,362,99,263,6,455,24,431,835,782,2,43,8,12
"E01006523",2011,"Liverpool 052B","Total",1473,520,180,340,14,394,6,388,535,505,0,30,0,10
"E01006524",2011,"Liverpool 048B","Total",1079,664,326,338,0,22,6,16,375,336,15,10,14,18
"E01006525",2011,"Liverpool 049A","Total",1209,1051,455,596,0,16,10,6,137,111,5,9,12,5
"E01006526",2011,"Liverpool 048C","Total",1301,1014,395,619,2,126,4,122,151,142,0,9,0,8
"E01006527",2011,"Liverpool 053A","Total",1373,896,336,560,0,295,7,288,173,159,0,12,2,9
"E01006528",2011,"Liverpool 052C","Total",1434,868,282,586,10,95,18,77,451,437,0,14,0,10
"E01006529",2011,"Liverpool 048D","Total",1304,1009,347,662,6,43,6,37,238,194,3,35,6,8
"E01006530",2011,"Liverpool 055A","Total",1428,1296,610,686,8,29,6,23,84,75,0,9,0,11
"E01006531",2011,"Liverpool 055B","Total",1455,1276,639,637,2,99,13,86,68,64,0,4,0,10
"E01006532",2011,"Liverpool 047A","Total",1554,1443,646,797,0,34,0,34,72,60,0,9,3,5
"E01006533",2011,"Liverpool 055C","Total",1355,1077,489,588,4,159,19,140,104,94,6,4,0,11
"E01006534",2011,"Liverpool 054A","Total",1542,1103,362,741,0,337,85,252,94,87,0,7,0,8
"E01006535",2011,"Liverpool 054B","Total",1550,1088,363,725,3,318,61,257,104,88,0,10,6,37
"E01006536",2011,"Liverpool 054C","Total",1848,1137,374,763,3,501,142,359,184,165,0,19,0,23
"E01006537",2011,"Liverpool 055D","Total",2257,1405,488,917,7,165,22,143,671,633,10,13,15,9
"E01006538",2011,"Liverpool 055E","Total",1318,1091,421,670,6,82,35,47,133,124,0,9,0,6
"E01006539",2011,"Liverpool 047B","Total",1403,1264,580,684,1,18,3,15,115,101,2,12,0,5
"E01006540",2011,"Liverpool 024A","Total",1485,395,146,249,3,528,40,488,523,493,1,20,9,36
"E01006541",2011,"Liverpool 015A","Total",1593,1019,383,636,2,273,57,216,287,258,0,22,7,12
"E01006542",2011,"Liverpool 018A","Total",1297,694,257,437,6,234,0,234,347,331,0,16,0,16
"E01006543",2011,"Liverpool 015B","Total",1247,1044,374,670,1,58,7,51,135,124,0,11,0,9
"E01006544",2011,"Liverpool 015C","Total",1658,487,185,302,4,845,99,746,299,286,0,13,0,23
"E01006545",2011,"Liverpool 019A","Total",1512,959,331,628,0,44,23,21,488,469,2,9,8,21
"E01006546",2011,"Liverpool 019B","Total",1319,704,310,394,3,63,12,51,532,518,0,14,0,17
"E01006547",2011,"Liverpool 019C","Total",1490,614,279,335,9,233,27,206,613,590,0,19,4,21
"E01006548",2011,"Liverpool 019D","Total",1580,721,311,410,0,195,11,184,635,595,0,30,10,29
"E01006549",2011,"Liverpool 043B","Total",1559,316,150,166,16,341,23,318,870,866,1,2,1,16
"E01006550",2011,"Liverpool 038A","Total",1595,371,136,235,10,73,0,73,1133,1093,0,40,0,8
"E01006551",2011,"Liverpool 048E","Total",1134,168,75,93,8,706,19,687,237,221,10,6,0,15
"E01006552",2011,"Liverpool 039A","Total",2027,391,191,200,46,858,63,795,699,646,13,14,26,33
"E01006553",2011,"Liverpool 042A","Total",1880,625,214,411,14,101,1,100,1124,1059,0,59,6,16
"E01006554",2011,"Liverpool 048F","Total",1670,603,223,380,4,154,4,150,907,894,0,13,0,2
"E01006556",2011,"Liverpool 039B","Total",2010,308,167,141,5,940,68,872,677,628,11,21,17,80
"E01006557",2011,"Liverpool 038B","Total",2051,457,232,225,31,74,6,68,1476,1403,0,60,13,13
"E01006558",2011,"Liverpool 018B","Total",1357,408,217,191,5,518,50,468,401,396,0,5,0,25
"E01006560",2011,"Liverpool 023A","Total",1860,343,159,184,3,1375,227,1148,126,116,0,7,3,13
"E01006562",2011,"Liverpool 018E","Total",1514,468,230,238,4,697,68,629,327,319,0,4,4,18
"E01006563",2011,"Liverpool 024B","Total",1740,247,102,145,10,1175,181,994,288,286,0,1,1,20
"E01006564",2011,"Liverpool 023B","Total",1721,1009,521,488,6,492,122,370,195,166,4,21,4,19
"E01006565",2011,"Liverpool 029A","Total",1549,1076,393,683,0,327,71,256,129,117,0,7,5,17
"E01006566",2011,"Liverpool 032A","Total",1431,1167,363,804,3,113,49,64,138,124,0,8,6,10
"E01006567",2011,"Liverpool 026A","Total",1622,841,323,518,0,571,125,446,184,175,0,9,0,26
"E01006568",2011,"Liverpool 026B","Total",1491,1106,283,823,22,195,28,167,163,142,3,15,3,5
