"lsoa11cd","date","lsoa11nm","Rural Urban","Tenure: All categories: Tenure; measures: Value","Tenure: Owned; measures: Value","Tenure: Shared ownership (part owned and part rented); measures: Value","Tenure: Rented from council (Local Authority); measures: Value","Tenure: Other social rented; measures: Value","Tenure: Private rented; measures: Value","Tenure: Living rent free; measures: Value"
"E01006512",2011,"Liverpool 031A","Total",32,20,0,1,7,4,0
"E01006513",2011,"Liverpool 060A","Total",44,21,0,3,10,9,1
"E01006514",2011,"Liverpool 037A","Total",86,11,0,2,62,9,2
"E01006515",2011,"Liverpool 037B","Total",143,11,0,18,102,6,6
"E01006518",2011,"Liverpool 044A","Total",220,57,0,17,122,13,11
"E01006519",2011,"Liverpool 056A","Total",149,143,0,1,3,1,1
"E01006520",2011,"Liverpool 043A","Total",161,14,1,1,117,25,3
"E01006521",2011,"Liverpool 052A","Total",264,163,0,1,80,19,1
"E01006522",2011,"Liverpool 048A","Total",69,18,0,0,34,15,2
"E01006523",2011,"Liverpool 052B","Total",118,40,0,0,66,10,2
"E01006524",2011,"Liverpool 048B","Total",142,126,0,1,1,10,4
"E01006525",2011,"Liverpool 049A","Total",154,145,0,2,0,6,1
"E01006526",2011,"Liverpool 048C","Total",155,136,0,0,12,4,3
"E01006527",2011,"Liverpool 053A","Total",208,128,0,2,74,2,2
"E01006528",2011,"Liverpool 052C","Total",90,63,1,3,12,9,2
"E01006529",2011,"Liverpool 048D","Total",122,107,1,3,4,5,2
"E01006530",2011,"Liverpool 055A","Total",247,233,5,0,4,3,2
"E01006531",2011,"Liverpool 055B","Total",351,277,1,7,59,4,3
"E01006532",2011,"Liverpool 047A","Total",230,206,0,0,19,4,1
"E01006533",2011,"Liverpool 055C","Total",213,168,0,3,32,4,6
"E01006534",2011,"Liverpool 054A","Total",163,116,0,8,30,5,4
"E01006535",2011,"Liverpool 054B","Total",187,130,0,9,36,4,8
"E01006536",2011,"Liverpool 054C","Total",228,142,0,15,55,10,6
"E01006537",2011,"Liverpool 055D","Total",169,153,0,1,8,6,1
"E01006538",2011,"Liverpool 055E","Total",163,143,0,6,4,6,4
"E01006539",2011,"Liverpool 047B","Total",184,173,1,0,3,6,1
"E01006540",2011,"Liverpool 024A","Total",136,45,0,0,74,16,1
"E01006541",2011,"Liverpool 015A","Total",229,129,0,21,59,15,5
"E01006542",2011,"Liverpool 018A","Total",104,81,0,0,11,10,2
"E01006543",2011,"Liverpool 015B","Total",150,127,0,1,10,10,2
"E01006544",2011,"Liverpool 015C","Total",170,64,0,5,76,21,4
"E01006545",2011,"Liverpool 019A","Total",146,119,0,2,1,20,4
"E01006546",2011,"Liverpool 019B","Total",103,85,0,1,1,16,0
"E01006547",2011,"Liverpool 019C","Total",139,90,2,1,25,18,3
"E01006548",2011,"Liverpool 019D","Total",146,113,0,0,8,20,5
"E01006549",2011,"Liverpool 043B","Total",66,23,0,0,32,10,1
"E01006550",2011,"Liverpool 038A","Total",54,38,3,0,9,4,0
"E01006551",2011,"Liverpool 048E","Total",281,24,1,4,235,13,4
"E01006552",2011,"Liverpool 039A","Total",91,35,0,1,43,12,0
"E01006553",2011,"Liverpool 042A","Total",63,43,0,0,11,9,0
"E01006554",2011,"Liverpool 048F","Total",61,40,0,1,9,11,0
"E01006556",2011,"Liverpool 039B","Total",138,40,0,2,82,9,5
"E01006557",2011,"Liverpool 038B","Total",63,50,0,0,7,6,0
"E01006558",2011,"Liverpool 018B","Total",142,66,1,2,56,15,2
"E01006560",2011,"Liverpool 023A","Total",284,51,0,32,187,5,9
"E01006562",2011,"Liverpool 018E","Total",128,65,0,6,45,9,3
"E01006563",2011,"Liverpool 024B","Total",318,35,0,36,206,32,9
"E01006564",2011,"Liverpool 023B","Total",248,156,0,19,58,6,9
"E01006565",2011,"Liverpool 029A","Total",214,153,0,7,36,16,2
"E01006566",2011,"Liverpool 032A","Total",150,119,0,8,13,6,4
"E01006567",2011,"Liverpool 026A","Total",281,107,0,12,135,20,7
"E01006568",2011,"Liverpool 026B","Total",128,80,1,1,38,7,1
"E01006569",2011,"Liverpool 029B","Total",218,142,0,17,48,0,11
"E01006570",2011,"Liverpool 026C","Total",164,146,0,0,3,12,3
"E01006571",2011,"Liverpool 026D","Total",172,99,12,17,38,3,3
"E01006572",2011,"Liverpool 025A","Total",128,53,0,23,44,1,7
"E01006573",2011,"Liverpool 029C","Total",226,75,0,3,112,28,8
"E01006574",2011,"Liverpool 025B","Total",189,100,0,10,75,4,0
"E01006575",2011,"Liverpool 034A","Total",184,137,2,9,12,20,4
"E01006576",2011,"Liverpool 034B","Total",192,162,0,0,4,25,1
"E01006577",2011,"Liverpool 034C","Total",165,149,0,1,1,7,7
"E01006578",2011,"Liverpool 036A","Total",144,112,0,0,8,24,0
"E01006579",2011,"Liverpool 034D","Total",204,196,0,0,1,7,0
"E01006580",2011,"Liverpool 036B","Total",146,141,0,0,3,2,0
"E01006581",2011,"Liverpool 036C","Total",175,170,0,0,1,3,1
"E01006582",2011,"Liverpool 041A","Total",150,142,0,0,3,3,2
"E01006583",2011,"Liverpool 047C","Total",165,162,0,0,0,2,1
"E01006584",2011,"Liverpool 034E","Total",165,143,2,0,10,10,0
"E01006585",2011,"Liverpool 032B","Total",194,84,0,21,72,3,14
"E01006586",2011,"Liverpool 032C","Total",212,100,1,5,83,16,7
"E01006587",2011,"Liverpool 032D","Total",128,71,11,0,38,8,0
"E01006588",2011,"Liverpool 042C","Total",138,110,0,2,9,15,2
"E01006589",2011,"Liverpool 041B","Total",158,147,0,2,6,1,2
"E01006590",2011,"Liverpool 042D","Total",120,94,0,1,8,15,2
"E01006591",2011,"Liverpool 041C","Total",128,108,0,0,2,14,4
"E01006592",2011,"Liverpool 041D","Total",224,211,1,1,3,4,4
"E01006593",2011,"Liverpool 042E","Total",102,85,0,1,2,14,0
"E01006594",2011,"Liverpool 047D","Total",198,176,2,1,3,12,4
"E01006595",2011,"Liverpool 049B","Total",223,177,0,0,32,12,2
"E01006596",2011,"Liverpool 049C","Total",162,147,0,1,1,11,2
"E01006597",2011,"Liverpool 041E","Total",197,187,0,0,3,6,1
"E01006598",2011,"Liverpool 010A","Total",178,56,0,25,87,7,3
"E01006599",2011,"Liverpool 010B","Total",86,34,0,14,30,5,3
