"lsoa11cd","date","lsoa11nm","Rural Urban","Household Size: All categories: Household size; measures: Value","Household Size: 1 person in household; measures: Value","Household Size: 2 people in household; measures: Value","Household Size: 3 people in household; measures: Value","Household Size: 4 people in household; measures: Value","Household Size: 5 people in household; measures: Value","Household Size: 6 people in household; measures: Value","Household Size: 7 people in household; measures: Value","Household Size: 8 or more people in household; measures: Value"
"E01006512",2011,"Liverpool 031A","Total",799,431,227,65,51,17,6,1,1
"E01006513",2011,"Liverpool 060A","Total",909,467,290,62,39,27,11,4,9
"E01006514",2011,"Liverpool 037A","Total",1115,747,236,54,36,28,11,0,3
"E01006515",2011,"Liverpool 037B","Total",641,313,194,66,44,16,4,3,1
"E01006518",2011,"Liverpool 044A","Total",835,389,245,109,58,20,9,3,2
"E01006519",2011,"Liverpool 056A","Total",514,128,168,96,85,31,4,1,1
"E01006520",2011,"Liverpool 043A","Total",1182,805,303,42,19,9,2,1,1
"E01006521",2011,"Liverpool 052A","Total",928,485,302,70,47,14,8,2,0
"E01006522",2011,"Liverpool 048A","Total",1094,675,317,64,26,7,5,0,0
"E01006523",2011,"Liverpool 052B","Total",830,448,233,83,39,14,12,0,1
"E01006524",2011,"Liverpool 048B","Total",583,273,201,56,37,10,4,2,0
"E01006525",2011,"Liverpool 049A","Total",486,109,167,109,71,25,5,0,0
"E01006526",2011,"Liverpool 048C","Total",654,287,201,88,51,18,9,0,0
"E01006527",2011,"Liverpool 053A","Total",638,245,188,101,74,27,3,0,0
"E01006528",2011,"Liverpool 052C","Total",613,214,174,95,82,31,16,0,1
"E01006529",2011,"Liverpool 048D","Total",559,180,167,97,87,18,9,1,0
"E01006530",2011,"Liverpool 055A","Total",616,172,223,101,99,17,3,0,1
"E01006531",2011,"Liverpool 055B","Total",674,227,256,87,74,23,6,0,1
"E01006532",2011,"Liverpool 047A","Total",617,149,219,103,90,43,8,5,0
"E01006533",2011,"Liverpool 055C","Total",614,240,174,81,80,32,5,2,0
"E01006534",2011,"Liverpool 054A","Total",649,224,173,111,82,45,12,2,0
"E01006535",2011,"Liverpool 054B","Total",656,205,195,129,84,32,7,3,1
"E01006536",2011,"Liverpool 054C","Total",815,272,273,128,90,33,14,3,2
"E01006537",2011,"Liverpool 055D","Total",964,278,338,172,113,47,13,2,1
"E01006538",2011,"Liverpool 055E","Total",527,130,172,101,90,25,7,2,0
"E01006539",2011,"Liverpool 047B","Total",601,176,215,93,85,23,2,5,2
