"lsoa11cd","date","lsoa11nm","Rural Urban","Rooms: All categories: Number of rooms; measures: Value","Rooms: 1 room; measures: Value","Rooms: 2 rooms; measures: Value","Rooms: 3 rooms; measures: Value","Rooms: 4 rooms; measures: Value","Rooms: 5 rooms; measures: Value","Rooms: 6 rooms; measures: Value","Rooms: 7 rooms; measures: Value","Rooms: 8 rooms; measures: Value","Rooms: 9 or more rooms; measures: Value"
"E01006512",2011,"Liverpool 031A","Total",799,45,91,221,223,87,57,14,41,20
"E01006513",2011,"Liverpool 060A","Total",909,76,162,305,144,50,71,23,44,34
"E01006514",2011,"Liverpool 037A","Total",1115,81,177,384,220,78,69,31,28,47
"E01006515",2011,"Liverpool 037B","Total",641,1,28,174,196,131,78,16,12,5
"E01006518",2011,"Liverpool 044A","Total",835,6,27,128,306,231,106,16,9,6
"E01006519",2011,"Liverpool 056A","Total",514,0,2,5,16,30,138,149,117,57
"E01006520",2011,"Liverpool 043A","Total",1182,23,137,561,338,59,29,11,9,15
"E01006521",2011,"Liverpool 052A","Total",928,12,39,259,331,87,77,54,40,29
"E01006522",2011,"Liverpool 048A","Total",1094,29,94,427,345,117,26,15,5,36
"E01006523",2011,"Liverpool 052B","Total",830,14,53,208,227,124,111,56,22,15
"E01006524",2011,"Liverpool 048B","Total",583,4,14,113,211,101,47,27,16,50
"E01006525",2011,"Liverpool 049A","Total",486,0,0,1,20,70,163,132,63,37
"E01006526",2011,"Liverpool 048C","Total",654,1,3,61,189,139,155,55,31,20
"E01006527",2011,"Liverpool 053A","Total",638,0,11,71,91,112,196,87,42,28
"E01006528",2011,"Liverpool 052C","Total",613,5,12,75,57,81,107,122,101,53
"E01006529",2011,"Liverpool 048D","Total",559,2,2,17,25,94,262,99,40,18
"E01006530",2011,"Liverpool 055A","Total",616,0,0,10,51,164,242,102,28,19
"E01006531",2011,"Liverpool 055B","Total",674,2,4,75,36,160,207,120,42,28
"E01006532",2011,"Liverpool 047A","Total",617,0,4,18,29,51,121,147,123,124
"E01006533",2011,"Liverpool 055C","Total",614,0,3,43,116,122,147,65,54,64
"E01006534",2011,"Liverpool 054A","Total",649,3,6,59,44,177,209,72,51,28
"E01006535",2011,"Liverpool 054B","Total",656,0,0,45,30,155,303,75,29,19
"E01006536",2011,"Liverpool 054C","Total",815,1,7,46,69,195,402,49,30,16
"E01006537",2011,"Liverpool 055D","Total",964,1,13,148,71,284,238,97,62,50
"E01006538",2011,"Liverpool 055E","Total",527,0,2,9,15,145,239,64,29,24
"E01006539",2011,"Liverpool 047B","Total",601,1,4,19,95,56,77,118,115,116
"E01006540",2011,"Liverpool 024A","Total",771,17,26,152,285,143,88,28,14,18
"E01006541",2011,"Liverpool 015A","Total",803,3,21,166,92,258,221,27,9,6
"E01006542",2011,"Liverpool 018A","Total",583,2,11,87,59,96,180,93,38,17
"E01006543",2011,"Liverpool 015B","Total",509,0,0,15,29,212,188,51,11,3
"E01006544",2011,"Liverpool 015C","Total",738,0,8,24,158,291,216,31,6,4
"E01006545",2011,"Liverpool 019A","Total",646,0,4,21,45,259,244,43,13,17
"E01006546",2011,"Liverpool 019B","Total",583,3,15,44,78,148,200,55,26,14
"E01006547",2011,"Liverpool 019C","Total",718,2,26,83,167,186,161,42,35,16
"E01006548",2011,"Liverpool 019D","Total",759,13,15,56,228,230,162,30,16,9
"E01006549",2011,"Liverpool 043B","Total",949,45,138,361,185,52,50,11,22,85
"E01006550",2011,"Liverpool 038A","Total",483,4,5,49,33,59,116,84,67,66
"E01006551",2011,"Liverpool 048E","Total",751,13,36,228,194,198,43,18,11,10
"E01006552",2011,"Liverpool 039A","Total",869,12,86,98,251,197,122,51,25,27
"E01006553",2011,"Liverpool 042A","Total",642,0,11,26,35,77,228,128,91,46
"E01006554",2011,"Liverpool 048F","Total",649,14,52,158,68,30,36,43,84,164
"E01006556",2011,"Liverpool 039B","Total",1016,22,69,185,367,140,97,80,37,19
"E01006557",2011,"Liverpool 038B","Total",635,1,15,43,63,76,191,119,97,30
"E01006558",2011,"Liverpool 018B","Total",739,1,13,59,325,211,82,37,5,6
"E01006560",2011,"Liverpool 023A","Total",996,9,26,191,356,324,53,17,7,13
"E01006562",2011,"Liverpool 018E","Total",714,4,25,66,211,208,153,35,6,6
"E01006563",2011,"Liverpool 024B","Total",908,11,27,223,185,326,94,27,10,5
"E01006564",2011,"Liverpool 023B","Total",800,5,18,120,193,280,103,54,22,5
"E01006565",2011,"Liverpool 029A","Total",638,0,0,14,31,234,282,47,21,9
"E01006566",2011,"Liverpool 032A","Total",577,3,12,44,52,145,201,80,26,14
"E01006567",2011,"Liverpool 026A","Total",892,5,35,227,185,182,166,53,22,17
"E01006568",2011,"Liverpool 026B","Total",629,7,21,39,114,232,116,56,34,10
"E01006569",2011,"Liverpool 029B","Total",613,1,17,43,28,250,203,43,19,9
"E01006570",2011,"Liverpool 026C","Total",595,8,8,21,67,101,186,111,60,33
"E01006571",2011,"Liverpool 026D","Total",612,0,10,30,53,257,207,35,14,6
"E01006572",2011,"Liverpool 025A","Total",501,0,3,16,34,358,67,10,8,5
"E01006573",2011,"Liverpool 029C","Total",778,0,20,126,217,194,183,22,11,5
"E01006574",2011,"Liverpool 025B","Total",612,2,5,91,51,301,113,32,8,9
"E01006575",2011,"Liverpool 034A","Total",578,2,6,34,48,199,190,54,23,22
"E01006576",2011,"Liverpool 034B","Total",713,0,4,16,62,250,237,83,41,20
"E01006577",2011,"Liverpool 034C","Total",597,0,0,16,23,78,260,139,55,26
"E01006578",2011,"Liverpool 036A","Total",554,0,0,15,20,210,198,75,22,14
"E01006579",2011,"Liverpool 034D","Total",618,0,0,4,9,78,276,131,91,29
"E01006580",2011,"Liverpool 036B","Total",515,0,1,7,6,55,196,132,84,34
"E01006581",2011,"Liverpool 036C","Total",607,1,2,6,19,87,282,128,48,34
"E01006582",2011,"Liverpool 041A","Total",585,1,2,10,21,47,189,139,103,73
"E01006583",2011,"Liverpool 047C","Total",467,0,1,3,3,27,87,140,118,88
"E01006584",2011,"Liverpool 034E","Total",611,1,10,61,40,107,269,78,26,19
"E01006585",2011,"Liverpool 032B","Total",641,3,7,93,91,266,135,27,11,8
"E01006586",2011,"Liverpool 032C","Total",921,16,20,123,276,189,140,84,45,28
"E01006587",2011,"Liverpool 032D","Total",717,1,15,129,78,170,187,61,33,43
"E01006588",2011,"Liverpool 042C","Total",702,4,12,90,64,149,181,85,74,43
"E01006589",2011,"Liverpool 041B","Total",599,0,1,13,15,98,284,120,47,21
"E01006590",2011,"Liverpool 042D","Total",701,2,6,42,47,127,294,114,51,18
"E01006591",2011,"Liverpool 041C","Total",671,2,10,30,46,91,230,114,82,66
"E01006592",2011,"Liverpool 041D","Total",624,0,9,40,93,33,52,96,138,163
"E01006593",2011,"Liverpool 042E","Total",662,8,6,34,44,122,252,116,44,36
"E01006594",2011,"Liverpool 047D","Total",579,0,0,37,94,36,58,125,117,112
"E01006595",2011,"Liverpool 049B","Total",812,0,6,53,88,230,343,56,22,14
"E01006596",2011,"Liverpool 049C","Total",597,2,2,14,30,93,257,103,57,39
"E01006597",2011,"Liverpool 041E","Total",683,1,2,27,96,57,133,162,123,82
"E01006598",2011,"Liverpool 010A","Total",604,1,8,79,73,329,78,18,12,6
"E01006599",2011,"Liverpool 010B","Total",482,0,3,15,50,339,58,12,2,3
"E01006600",2011,"Liverpool 011A","Total",592,1,2,18,21,165,321,45,15,4
"E01006603",2011,"Liverpool 011B","Total",594,0,1,11,31,297,210,26,10,8
"E01006604",2011,"Liverpool 016A","Total",571,0,4,8,16,241,265,24,12,1
"E01006605",2011,"Liverpool 016B","Total",696,2,5,96,49,232,266,27,12,7
"E01006606",2011,"Liverpool 020A","Total",723,5,9,58,86,267,214,64,16,4
"E01006607",2011,"Liverpool 008A","Total",641,0,2,24,46,331,196,24,11,7
"E01006608",2011,"Liverpool 009A","Total",563,1,8,26,125,143,169,46,26,19
"E01006609",2011,"Liverpool 009B","Total",576,4,7,13,73,191,158,65,50,15
"E01006610",2011,"Liverpool 009C","Total",669,0,23,91,152,169,149,55,21,9
"E01006611",2011,"Liverpool 012A","Total",742,2,16,62,376,216,58,8,1,3
"E01006612",2011,"Liverpool 008B","Total",740,0,10,137,101,323,144,17,2,6
"E01006613",2011,"Liverpool 009D","Total",611,1,5,55,94,154,252,33,14,3
"E01006614",2011,"Liverpool 012B","Total",667,7,7,44,224,231,126,19,6,3
"E01006615",2011,"Liverpool 012C","Total",663,1,7,46,227,258,104,9,6,5
"E01006616",2011,"Liverpool 015D","Total",613,2,4,38,82,263,180,34,5,5
"E01006617",2011,"Liverpool 021A","Total",650,1,10,48,123,153,151,84,51,29
"E01006618",2011,"Liverpool 016C","Total",692,1,7,23,46,204,357,32,15,7
"E01006619",2011,"Liverpool 021B","Total",734,1,10,50,85,200,238,86,46,18
"E01006620",2011,"Liverpool 021C","Total",625,2,12,108,70,79,203,94,33,24
"E01006621",2011,"Liverpool 021D","Total",584,0,6,34,70,49,151,104,83,87
"E01006622",2011,"Liverpool 021E","Total",586,1,2,12,19,81,255,140,59,17
"E01006623",2011,"Liverpool 013A","Total",527,0,0,3,15,102,132,112,94,69
"E01006624",2011,"Liverpool 013B","Total",702,2,13,63,154,196,139,75,28,32
"E01006625",2011,"Liverpool 016D","Total",609,0,5,44,30,205,220,66,26,13
"E01006626",2011,"Liverpool 016E","Total",593,0,1,17,40,161,250,82,27,15
"E01006627",2011,"Liverpool 013C","Total",600,1,5,28,78,195,146,91,35,21
"E01006628",2011,"Liverpool 052D","Total",651,2,6,69,52,108,186,112,57,59
"E01006629",2011,"Liverpool 052E","Total",573,2,10,65,113,139,157,58,16,13
"E01006630",2011,"Liverpool 044B","Total",555,1,13,71,142,248,49,23,5,3
"E01006632",2011,"Liverpool 044C","Total",884,6,42,151,199,282,177,17,4,6
"E01006633",2011,"Liverpool 050B","Total",699,2,20,109,208,250,75,22,7,6
"E01006637",2011,"Liverpool 017A","Total",670,0,6,35,139,378,75,23,8,6
"E01006638",2011,"Liverpool 017B","Total",518,1,2,18,90,327,61,9,9,1
"E01006639",2011,"Liverpool 017C","Total",640,1,3,27,127,220,173,49,29,11
"E01006640",2011,"Liverpool 021F","Total",760,1,2,38,80,183,190,125,103,38
"E01006641",2011,"Liverpool 025C","Total",633,0,1,13,134,237,160,63,21,4
"E01006642",2011,"Liverpool 025D","Total",590,3,8,29,125,320,76,16,8,5
"E01006643",2011,"Liverpool 025E","Total",740,1,6,36,97,441,135,17,4,3
"E01006644",2011,"Liverpool 017D","Total",963,7,37,169,181,207,236,76,35,15
"E01006645",2011,"Liverpool 017E","Total",690,0,13,134,69,300,129,31,8,6
"E01006646",2011,"Liverpool 023C","Total",1006,29,134,237,247,211,86,37,14,11
"E01006647",2011,"Liverpool 024C","Total",636,1,10,44,190,281,72,22,6,10
"E01006648",2011,"Liverpool 023D","Total",1075,4,77,308,272,246,96,47,15,10
"E01006651",2011,"Liverpool 001A","Total",592,0,2,7,46,138,191,110,71,27
"E01006652",2011,"Liverpool 002A","Total",633,0,1,17,60,178,276,67,17,17
"E01006653",2011,"Liverpool 001B","Total",656,0,2,51,97,276,140,52,32,6
"E01006654",2011,"Liverpool 005A","Total",627,8,24,53,135,145,91,74,69,28
"E01006655",2011,"Liverpool 001C","Total",706,0,9,22,55,299,230,54,27,10
"E01006656",2011,"Liverpool 002B","Total",669,0,6,29,139,171,217,57,29,21
"E01006657",2011,"Liverpool 002C","Total",582,1,20,52,131,191,140,39,3,5
"E01006658",2011,"Liverpool 001D","Total",634,1,5,49,155,324,71,13,15,1
"E01006659",2011,"Liverpool 005B","Total",548,2,22,107,89,205,70,34,12,7
"E01006660",2011,"Liverpool 001E","Total",616,1,5,44,111,255,111,37,29,23
