"lsoa11cd","date","lsoa11nm","Rural Urban","Occupancy Rating: All categories: Occupancy rating (rooms); measures: Value","Occupancy Rating: Occupancy rating (rooms) of +2 or more; measures: Value","Occupancy Rating: Occupancy rating (rooms) of +1; measures: Value","Occupancy Rating: Occupancy rating (rooms) of 0; measures: Value","Occupancy Rating: Occupancy rating (rooms) of -1; measures: Value","Occupancy Rating: Occupancy rating (rooms) of -2 or less; measures: Value"
"E01006512",2011,"Liverpool 031A","Total",799,148,184,239,148,80
"E01006513",2011,"Liverpool 060A","Total",909,136,109,295,254,115
"E01006514",2011,"Liverpool 037A","Total",1115,174,199,410,223,109
"E01006515",2011,"Liverpool 037B","Total",641,144,194,215,73,15
"E01006518",2011,"Liverpool 044A","Total",835,199,303,233,76,24
"E01006519",2011,"Liverpool 056A","Total",514,451,48,10,3,2
"E01006520",2011,"Liverpool 043A","Total",1182,106,284,579,181,32
"E01006521",2011,"Liverpool 052A","Total",928,229,304,293,81,21
"E01006522",2011,"Liverpool 048A","Total",1094,144,290,475,143,42
"E01006523",2011,"Liverpool 052B","Total",830,231,232,269,80,18
"E01006524",2011,"Liverpool 048B","Total",583,199,200,146,31,7
"E01006525",2011,"Liverpool 049A","Total",486,401,60,18,5,2
"E01006526",2011,"Liverpool 048C","Total",654,332,199,103,16,4
"E01006527",2011,"Liverpool 053A","Total",638,372,136,108,20,2
"E01006528",2011,"Liverpool 052C","Total",613,383,95,102,21,12
"E01006529",2011,"Liverpool 048D","Total",559,424,81,40,8,6
"E01006530",2011,"Liverpool 055A","Total",616,455,113,36,11,1
"E01006531",2011,"Liverpool 055B","Total",674,480,97,85,9,3
"E01006532",2011,"Liverpool 047A","Total",617,535,47,26,9,0
"E01006533",2011,"Liverpool 055C","Total",614,375,151,75,12,1
"E01006534",2011,"Liverpool 054A","Total",649,390,130,96,25,8
"E01006535",2011,"Liverpool 054B","Total",656,430,126,83,12,5
"E01006536",2011,"Liverpool 054C","Total",815,489,182,111,27,6
"E01006537",2011,"Liverpool 055D","Total",964,551,166,164,74,9
"E01006538",2011,"Liverpool 055E","Total",527,375,97,44,7,4
"E01006539",2011,"Liverpool 047B","Total",601,449,106,34,11,1
"E01006540",2011,"Liverpool 024A","Total",771,183,241,240,70,37
"E01006541",2011,"Liverpool 015A","Total",803,325,214,215,42,7
"E01006542",2011,"Liverpool 018A","Total",583,316,115,126,23,3
"E01006543",2011,"Liverpool 015B","Total",509,311,125,61,11,1
"E01006544",2011,"Liverpool 015C","Total",738,326,238,114,51,9
"E01006545",2011,"Liverpool 019A","Total",646,384,153,85,23,1
"E01006546",2011,"Liverpool 019B","Total",583,307,141,95,28,12
"E01006547",2011,"Liverpool 019C","Total",718,295,205,163,40,15
"E01006548",2011,"Liverpool 019D","Total",759,277,272,140,44,26
"E01006549",2011,"Liverpool 043B","Total",949,171,169,378,167,64
"E01006550",2011,"Liverpool 038A","Total",483,205,83,135,41,19
"E01006551",2011,"Liverpool 048E","Total",751,212,209,257,54,19
"E01006552",2011,"Liverpool 039A","Total",869,237,253,213,105,61
"E01006553",2011,"Liverpool 042A","Total",642,355,123,101,50,13
"E01006554",2011,"Liverpool 048F","Total",649,256,85,188,87,33
"E01006556",2011,"Liverpool 039B","Total",1016,259,287,292,125,53
"E01006557",2011,"Liverpool 038B","Total",635,230,137,163,78,27
"E01006558",2011,"Liverpool 018B","Total",739,227,296,159,47,10
"E01006560",2011,"Liverpool 023A","Total",996,205,384,292,85,30
"E01006562",2011,"Liverpool 018E","Total",714,241,235,163,54,21
"E01006563",2011,"Liverpool 024B","Total",908,239,256,311,81,21
"E01006564",2011,"Liverpool 023B","Total",800,292,217,231,44,16
"E01006565",2011,"Liverpool 029A","Total",638,392,141,71,25,9
"E01006566",2011,"Liverpool 032A","Total",577,321,134,84,26,12
"E01006567",2011,"Liverpool 026A","Total",892,316,232,269,65,10
"E01006568",2011,"Liverpool 026B","Total",629,270,201,110,38,10
"E01006569",2011,"Liverpool 029B","Total",613,350,132,85,38,8
"E01006570",2011,"Liverpool 026C","Total",595,402,104,59,21,9
"E01006571",2011,"Liverpool 026D","Total",612,326,147,98,32,9
"E01006572",2011,"Liverpool 025A","Total",501,226,155,87,28,5
"E01006573",2011,"Liverpool 029C","Total",778,287,230,208,48,5
"E01006574",2011,"Liverpool 025B","Total",612,259,160,167,22,4
"E01006575",2011,"Liverpool 034A","Total",578,357,127,70,21,3
"E01006576",2011,"Liverpool 034B","Total",713,494,145,57,17,0
"E01006577",2011,"Liverpool 034C","Total",597,475,78,40,4,0
"E01006578",2011,"Liverpool 036A","Total",554,386,106,47,11,4
"E01006579",2011,"Liverpool 034D","Total",618,507,83,18,8,2
"E01006580",2011,"Liverpool 036B","Total",515,448,42,18,5,2
"E01006581",2011,"Liverpool 036C","Total",607,487,75,29,13,3
"E01006582",2011,"Liverpool 041A","Total",585,473,76,26,9,1
"E01006583",2011,"Liverpool 047C","Total",467,429,24,9,3,2
"E01006584",2011,"Liverpool 034E","Total",611,396,106,92,15,2
"E01006585",2011,"Liverpool 032B","Total",641,259,186,155,29,12
"E01006586",2011,"Liverpool 032C","Total",921,343,317,198,42,21
"E01006587",2011,"Liverpool 032D","Total",717,360,153,152,46,6
"E01006588",2011,"Liverpool 042C","Total",702,448,96,118,33,7
