"lsoa11cd","date","lsoa11nm","Rural Urban","Persons per Room: All categories: Number of persons per room in household; measures: Value","Persons per Room: Up to 0.5 persons per room; measures: Value","Persons per Room: Over 0.5 and up to 1.0 persons per room; measures: Value","Persons per Room: Over 1.0 and up to 1.5 persons per room; measures: Value","Persons per Room: Over 1.5 persons per room; measures: Value"
"E01006512",2011,"Liverpool 031A","Total",1420,723,565,96,36
"E01006513",2011,"Liverpool 060A","Total",1691,705,906,32,48
"E01006514",2011,"Liverpool 037A","Total",1758,995,710,21,32
"E01006515",2011,"Liverpool 037B","Total",1208,634,498,66,10
"E01006518",2011,"Liverpool 044A","Total",1630,879,643,84,24
"E01006519",2011,"Liverpool 056A","Total",1286,898,374,14,0
"E01006520",2011,"Liverpool 043A","Total",1685,1212,448,10,15
"E01006521",2011,"Liverpool 052A","Total",1619,1088,495,19,17
"E01006522",2011,"Liverpool 048A","Total",1670,1073,567,10,20
"E01006523",2011,"Liverpool 052B","Total",1473,943,505,9,16
"E01006524",2011,"Liverpool 048B","Total",1079,753,316,4,6
"E01006525",2011,"Liverpool 049A","Total",1209,815,388,6,0
"E01006526",2011,"Liverpool 048C","Total",1301,843,427,31,0
"E01006527",2011,"Liverpool 053A","Total",1373,848,525,0,0
"E01006528",2011,"Liverpool 052C","Total",1434,874,542,16,2
"E01006529",2011,"Liverpool 048D","Total",1304,792,502,6,4
"E01006530",2011,"Liverpool 055A","Total",1428,928,477,23,0
"E01006531",2011,"Liverpool 055B","Total",1455,973,480,0,2
"E01006532",2011,"Liverpool 047A","Total",1554,1119,424,11,0
"E01006533",2011,"Liverpool 055C","Total",1355,906,444,0,5
"E01006534",2011,"Liverpool 054A","Total",1542,855,648,34,5
"E01006535",2011,"Liverpool 054B","Total",1550,911,610,29,0
"E01006536",2011,"Liverpool 054C","Total",1848,1107,709,24,8
"E01006537",2011,"Liverpool 055D","Total",2257,1222,974,61,0
"E01006538",2011,"Liverpool 055E","Total",1318,737,575,6,0
"E01006539",2011,"Liverpool 047B","Total",1403,1059,329,15,0
"E01006540",2011,"Liverpool 024A","Total",1485,806,586,77,16
"E01006541",2011,"Liverpool 015A","Total",1593,946,623,17,7
"E01006542",2011,"Liverpool 018A","Total",1297,748,549,0,0
"E01006543",2011,"Liverpool 015B","Total",1247,615,614,18,0
"E01006544",2011,"Liverpool 015C","Total",1658,822,782,49,5
"E01006545",2011,"Liverpool 019A","Total",1512,793,684,35,0
"E01006546",2011,"Liverpool 019B","Total",1319,723,555,37,4
"E01006547",2011,"Liverpool 019C","Total",1490,824,614,42,10
"E01006548",2011,"Liverpool 019D","Total",1580,833,671,62,14
"E01006549",2011,"Liverpool 043B","Total",1559,969,524,36,30
"E01006550",2011,"Liverpool 038A","Total",1595,464,1093,38,0
"E01006551",2011,"Liverpool 048E","Total",1134,781,345,4,4
"E01006552",2011,"Liverpool 039A","Total",2027,886,906,150,85
"E01006553",2011,"Liverpool 042A","Total",1880,775,1063,35,7
"E01006554",2011,"Liverpool 048F","Total",1670,754,835,50,31
"E01006556",2011,"Liverpool 039B","Total",2010,1091,724,134,61
"E01006557",2011,"Liverpool 038B","Total",2051,574,1408,64,5
"E01006558",2011,"Liverpool 018B","Total",1357,816,515,23,3
"E01006560",2011,"Liverpool 023A","Total",1860,1004,737,96,23
"E01006562",2011,"Liverpool 018E","Total",1514,813,607,86,8
"E01006563",2011,"Liverpool 024B","Total",1740,906,755,72,7
"E01006564",2011,"Liverpool 023B","Total",1721,879,779,57,6
"E01006565",2011,"Liverpool 029A","Total",1549,779,708,62,0
"E01006566",2011,"Liverpool 032A","Total",1431,707,672,36,16
"E01006567",2011,"Liverpool 026A","Total",1622,1037,567,5,13
"E01006568",2011,"Liverpool 026B","Total",1491,770,703,18,0
"E01006569",2011,"Liverpool 029B","Total",1372,725,596,38,13
"E01006570",2011,"Liverpool 026C","Total",1463,879,568,10,6
"E01006571",2011,"Liverpool 026D","Total",1438,689,699,39,11
"E01006572",2011,"Liverpool 025A","Total",1207,535,636,36,0
"E01006573",2011,"Liverpool 029C","Total",1501,898,576,27,0
"E01006574",2011,"Liverpool 025B","Total",1388,645,707,31,5
"E01006575",2011,"Liverpool 034A","Total",1289,762,516,11,0
"E01006576",2011,"Liverpool 034B","Total",1691,983,699,9,0
"E01006577",2011,"Liverpool 034C","Total",1503,918,577,8,0
"E01006578",2011,"Liverpool 036A","Total",1380,730,613,32,5
"E01006579",2011,"Liverpool 034D","Total",1643,972,628,38,5
"E01006580",2011,"Liverpool 036B","Total",1331,849,467,11,4
"E01006581",2011,"Liverpool 036C","Total",1559,934,612,9,4
"E01006582",2011,"Liverpool 041A","Total",1630,955,675,0,0
"E01006583",2011,"Liverpool 047C","Total",1255,863,375,17,0
"E01006584",2011,"Liverpool 034E","Total",1393,833,549,11,0
"E01006585",2011,"Liverpool 032B","Total",1354,757,531,57,9
"E01006586",2011,"Liverpool 032C","Total",1875,1113,746,16,0
"E01006587",2011,"Liverpool 032D","Total",1619,892,689,38,0
"E01006588",2011,"Liverpool 042C","Total",1521,973,529,13,6
"E01006589",2011,"Liverpool 041B","Total",1512,854,647,11,0
"E01006590",2011,"Liverpool 042D","Total",1637,940,689,8,0
"E01006591",2011,"Liverpool 041C","Total",1633,1018,590,18,7
"E01006592",2011,"Liverpool 041D","Total",1541,1106,423,12,0
"E01006593",2011,"Liverpool 042E","Total",1541,915,600,22,4
"E01006594",2011,"Liverpool 047D","Total",1405,990,402,13,0
"E01006595",2011,"Liverpool 049B","Total",1745,1107,631,7,0
"E01006596",2011,"Liverpool 049C","Total",1451,905,517,20,9
"E01006597",2011,"Liverpool 041E","Total",1639,1153,486,0,0
"E01006598",2011,"Liverpool 010A","Total",1361,624,653,74,10
"E01006599",2011,"Liverpool 010B","Total",1121,469,595,52,5
"E01006600",2011,"Liverpool 011A","Total",1407,773,618,16,0
"E01006603",2011,"Liverpool 011B","Total",1386,700,659,27,0
"E01006604",2011,"Liverpool 016A","Total",1367,695,633,31,8
"E01006605",2011,"Liverpool 016B","Total",1531,804,683,33,11
"E01006606",2011,"Liverpool 020A","Total",1521,904,583,32,2
"E01006607",2011,"Liverpool 008A","Total",1529,700,799,21,9
"E01006608",2011,"Liverpool 009A","Total",1213,739,452,22,0
"E01006609",2011,"Liverpool 009B","Total",1283,734,517,32,0
"E01006610",2011,"Liverpool 009C","Total",1395,815,569,11,0
"E01006611",2011,"Liverpool 012A","Total",1291,767,477,38,9
"E01006612",2011,"Liverpool 008B","Total",1495,778,666,51,0
"E01006613",2011,"Liverpool 009D","Total",1360,721,608,26,5
"E01006614",2011,"Liverpool 012B","Total",1322,762,513,43,4
"E01006615",2011,"Liverpool 012C","Total",1302,767,531,0,4
"E01006616",2011,"Liverpool 015D","Total",1428,707,669,37,15
"E01006617",2011,"Liverpool 021A","Total",1421,934,458,23,6
"E01006618",2011,"Liverpool 016C","Total",1639,878,719,19,23
"E01006619",2011,"Liverpool 021B","Total",1599,995,587,17,0
"E01006620",2011,"Liverpool 021C","Total",1409,848,537,24,0
"E01006621",2011,"Liverpool 021D","Total",1468,963,472,33,0
"E01006622",2011,"Liverpool 021E","Total",1519,873,638,6,2
"E01006623",2011,"Liverpool 013A","Total",1462,950,500,12,0
"E01006624",2011,"Liverpool 013B","Total",1551,888,590,68,5
"E01006625",2011,"Liverpool 016D","Total",1416,812,592,12,0
"E01006626",2011,"Liverpool 016E","Total",1448,815,617,16,0
"E01006627",2011,"Liverpool 013C","Total",1378,844,510,20,4
"E01006628",2011,"Liverpool 052D","Total",1518,930,555,25,8
"E01006629",2011,"Liverpool 052E","Total",1242,732,476,34,0
"E01006630",2011,"Liverpool 044B","Total",1338,512,746,74,6
"E01006632",2011,"Liverpool 044C","Total",1842,923,832,77,10
"E01006633",2011,"Liverpool 050B","Total",1432,728,629,60,15
"E01006637",2011,"Liverpool 017A","Total",1596,653,859,71,13
"E01006638",2011,"Liverpool 017B","Total",1219,500,670,46,3
"E01006639",2011,"Liverpool 017C","Total",1509,805,657,47,0
"E01006640",2011,"Liverpool 021F","Total",1880,1097,760,23,0
"E01006641",2011,"Liverpool 025C","Total",1640,689,907,39,5
"E01006642",2011,"Liverpool 025D","Total",1290,616,631,38,5
"E01006643",2011,"Liverpool 025E","Total",1822,764,962,86,10
"E01006644",2011,"Liverpool 017D","Total",2040,1158,838,40,4
"E01006645",2011,"Liverpool 017E","Total",1424,757,633,34,0
"E01006646",2011,"Liverpool 023C","Total",1881,944,867,52,18
"E01006647",2011,"Liverpool 024C","Total",1422,647,747,23,5
"E01006648",2011,"Liverpool 023D","Total",2175,988,1092,86,9
"E01006651",2011,"Liverpool 001A","Total",1642,872,757,13,0
"E01006652",2011,"Liverpool 002A","Total",1505,817,666,22,0
"E01006653",2011,"Liverpool 001B","Total",1520,807,655,45,13
"E01006654",2011,"Liverpool 005A","Total",1455,867,557,22,9
"E01006655",2011,"Liverpool 001C","Total",1733,838,857,38,0
"E01006656",2011,"Liverpool 002B","Total",1493,911,540,42,0
"E01006657",2011,"Liverpool 002C","Total",1211,659,533,15,4
