"lsoa11cd","date","lsoa11nm","Rural Urban","Bedrooms: All categories: Number of bedrooms; measures: Value","Bedrooms: No bedrooms; measures: Value","Bedrooms: 1 bedroom; measures: Value","Bedrooms: 2 bedrooms; measures: Value","Bedrooms: 3 bedrooms; measures: Value","Bedrooms: 4 bedrooms; measures: Value","Bedrooms: 5 or more bedrooms; measures: Value"
"E01006512",2011,"Liverpool 031A","Total",799,1,230,381,93,44,50
"E01006513",2011,"Liverpool 060A","Total",909,8,314,369,55,86,77
"E01006514",2011,"Liverpool 037A","Total",1115,14,568,337,74,53,69
"E01006515",2011,"Liverpool 037B","Total",641,0,112,300,198,25,6
"E01006518",2011,"Liverpool 044A","Total",835,0,114,419,269,32,1
"E01006519",2011,"Liverpool 056A","Total",514,1,8,23,257,189,36
"E01006520",2011,"Liverpool 043A","Total",1182,9,671,422,52,12,16
"E01006521",2011,"Liverpool 052A","Total",928,3,261,412,151,78,23
"E01006522",2011,"Liverpool 048A","Total",1094,5,480,463,109,16,21
"E01006523",2011,"Liverpool 052B","Total",830,2,238,294,215,61,20
"E01006524",2011,"Liverpool 048B","Total",583,1,93,297,113,43,36
"E01006525",2011,"Liverpool 049A","Total",486,0,1,26,311,119,29
"E01006526",2011,"Liverpool 048C","Total",654,1,46,279,257,55,16
"E01006527",2011,"Liverpool 053A","Total",638,0,82,113,311,102,30
"E01006528",2011,"Liverpool 052C","Total",613,0,87,75,208,175,68
"E01006529",2011,"Liverpool 048D","Total",559,4,14,30,382,109,20
"E01006530",2011,"Liverpool 055A","Total",616,0,3,62,441,95,15
"E01006531",2011,"Liverpool 055B","Total",674,0,81,46,418,111,18
"E01006532",2011,"Liverpool 047A","Total",617,0,17,61,249,220,70
"E01006533",2011,"Liverpool 055C","Total",614,1,39,145,268,123,38
"E01006534",2011,"Liverpool 054A","Total",649,3,62,62,394,114,14
"E01006535",2011,"Liverpool 054B","Total",656,2,39,38,507,57,13
"E01006536",2011,"Liverpool 054C","Total",815,2,29,98,646,30,10
"E01006537",2011,"Liverpool 055D","Total",964,2,12,208,611,97,34
"E01006538",2011,"Liverpool 055E","Total",527,0,4,31,412,56,24
