"lsoa11cd","date","lsoa11nm","Rural Urban","Occupancy Rating: All categories: Occupancy rating bedrooms; measures: Value","Occupancy Rating: Occupancy rating (bedrooms) of +2 or more; measures: Value","Occupancy Rating: Occupancy rating (bedrooms) of +1; measures: Value","Occupancy Rating: Occupancy rating (bedrooms) of 0; measures: Value","Occupancy Rating: Occupancy rating (bedrooms) of -1; measures: Value","Occupancy Rating: Occupancy rating (bedrooms) of -2 or less; measures: Value"
"E01006512",2011,"Liverpool 031A","Total",799,119,256,364,51,9
"E01006513",2011,"Liverpool 060A","Total",909,142,278,441,43,5
"E01006514",2011,"Liverpool 037A","Total",1115,116,288,654,52,5
"E01006515",2011,"Liverpool 037B","Total",641,93,281,241,19,7
"E01006518",2011,"Liverpool 044A","Total",835,118,384,275,48,10
"E01006519",2011,"Liverpool 056A","Total",514,315,147,45,5,2
"E01006520",2011,"Liverpool 043A","Total",1182,56,352,737,33,4
"E01006521",2011,"Liverpool 052A","Total",928,154,383,352,33,6
"E01006522",2011,"Liverpool 048A","Total",1094,81,377,584,49,3
"E01006523",2011,"Liverpool 052B","Total",830,175,280,354,16,5
"E01006524",2011,"Liverpool 048B","Total",583,130,283,149,21,0
"E01006525",2011,"Liverpool 049A","Total",486,284,144,52,5,1
"E01006526",2011,"Liverpool 048C","Total",654,210,298,130,13,3
"E01006527",2011,"Liverpool 053A","Total",638,267,218,145,6,2
"E01006528",2011,"Liverpool 052C","Total",613,288,173,136,13,3
"E01006529",2011,"Liverpool 048D","Total",559,309,159,77,12,2
"E01006530",2011,"Liverpool 055A","Total",616,334,208,64,9,1
"E01006531",2011,"Liverpool 055B","Total",674,366,179,117,11,1
"E01006532",2011,"Liverpool 047A","Total",617,379,173,62,3,0
"E01006533",2011,"Liverpool 055C","Total",614,282,216,107,9,0
"E01006534",2011,"Liverpool 054A","Total",649,275,200,147,25,2
"E01006535",2011,"Liverpool 054B","Total",656,288,211,132,20,5
"E01006536",2011,"Liverpool 054C","Total",815,341,268,174,26,6
"E01006537",2011,"Liverpool 055D","Total",964,387,380,172,22,3
"E01006538",2011,"Liverpool 055E","Total",527,261,168,84,11,3
"E01006539",2011,"Liverpool 047B","Total",601,369,169,58,5,0
"E01006540",2011,"Liverpool 024A","Total",771,106,310,292,53,10
"E01006541",2011,"Liverpool 015A","Total",803,250,239,287,26,1
"E01006542",2011,"Liverpool 018A","Total",583,212,176,171,22,2
"E01006543",2011,"Liverpool 015B","Total",509,235,168,95,9,2
