"lsoa11cd","date","lsoa11nm","Rural Urban","Persons Per Room: All categories: Number of persons per bedroom in household; measures: Value","Persons Per Room: Up to 0.5 persons per bedroom; measures: Value","Persons Per Room: Over 0.5 and up to 1.0 persons per bedroom; measures: Value","Persons Per Room: Over 1.0 and up to 1.5 persons per bedroom; measures: Value","Persons Per Room: Over 1.5 persons per bedroom; measures: Value"
"E01006512",2011,"Liverpool 031A","Total",799,263,385,49,102
"E01006513",2011,"Liverpool 060A","Total",909,261,497,58,93
"E01006514",2011,"Liverpool 037A","Total",1115,280,682,38,115
"E01006515",2011,"Liverpool 037B","Total",641,227,319,47,48
"E01006518",2011,"Liverpool 044A","Total",835,308,383,74,70
"E01006519",2011,"Liverpool 056A","Total",514,196,246,59,13
"E01006520",2011,"Liverpool 043A","Total",1182,236,805,25,116
"E01006521",2011,"Liverpool 052A","Total",928,307,502,49,70
"E01006522",2011,"Liverpool 048A","Total",1094,298,648,43,105
"E01006523",2011,"Liverpool 052B","Total",830,260,482,42,46
"E01006524",2011,"Liverpool 048B","Total",583,236,262,37,48
"E01006525",2011,"Liverpool 049A","Total",486,154,266,55,11
"E01006526",2011,"Liverpool 048C","Total",654,263,294,69,28
"E01006527",2011,"Liverpool 053A","Total",638,206,343,66,23
"E01006528",2011,"Liverpool 052C","Total",613,201,330,62,20
"E01006529",2011,"Liverpool 048D","Total",559,201,265,77,16
"E01006530",2011,"Liverpool 055A","Total",616,196,328,78,14
"E01006531",2011,"Liverpool 055B","Total",674,194,404,54,22
"E01006532",2011,"Liverpool 047A","Total",617,233,303,67,14
"E01006533",2011,"Liverpool 055C","Total",614,239,290,66,19
"E01006534",2011,"Liverpool 054A","Total",649,188,343,76,42
"E01006535",2011,"Liverpool 054B","Total",656,191,338,87,40
"E01006536",2011,"Liverpool 054C","Total",815,248,424,102,41
"E01006537",2011,"Liverpool 055D","Total",964,297,505,120,42
"E01006538",2011,"Liverpool 055E","Total",527,147,272,84,24
"E01006539",2011,"Liverpool 047B","Total",601,278,270,40,13
"E01006540",2011,"Liverpool 024A","Total",771,285,337,83,66
"E01006541",2011,"Liverpool 015A","Total",803,179,507,79,38
"E01006542",2011,"Liverpool 018A","Total",583,172,317,56,38
"E01006543",2011,"Liverpool 015B","Total",509,145,252,85,27
"E01006544",2011,"Liverpool 015C","Total",738,263,321,97,57
"E01006545",2011,"Liverpool 019A","Total",646,193,332,83,38
"E01006546",2011,"Liverpool 019B","Total",583,193,267,68,55
"E01006547",2011,"Liverpool 019C","Total",718,288,295,83,52
"E01006548",2011,"Liverpool 019D","Total",759,290,323,94,52
"E01006549",2011,"Liverpool 043B","Total",949,234,596,29,90
"E01006550",2011,"Liverpool 038A","Total",483,123,283,54,23
"E01006551",2011,"Liverpool 048E","Total",751,301,383,24,43
"E01006552",2011,"Liverpool 039A","Total",869,255,385,101,128
"E01006553",2011,"Liverpool 042A","Total",642,178,353,86,25
"E01006554",2011,"Liverpool 048F","Total",649,159,397,45,48
"E01006556",2011,"Liverpool 039B","Total",1016,377,468,82,89
"E01006557",2011,"Liverpool 038B","Total",635,141,342,111,41
"E01006558",2011,"Liverpool 018B","Total",739,349,261,74,55
"E01006560",2011,"Liverpool 023A","Total",996,350,490,83,73
"E01006562",2011,"Liverpool 018E","Total",714,244,338,71,61
"E01006563",2011,"Liverpool 024B","Total",908,255,489,85,79
"E01006564",2011,"Liverpool 023B","Total",800,243,398,104,55
"E01006565",2011,"Liverpool 029A","Total",638,199,299,89,51
"E01006566",2011,"Liverpool 032A","Total",577,156,281,96,44
"E01006567",2011,"Liverpool 026A","Total",892,267,515,67,43
"E01006568",2011,"Liverpool 026B","Total",629,153,351,84,41
"E01006569",2011,"Liverpool 029B","Total",613,209,296,59,49
"E01006570",2011,"Liverpool 026C","Total",595,170,310,85,30
"E01006571",2011,"Liverpool 026D","Total",612,191,292,85,44
"E01006572",2011,"Liverpool 025A","Total",501,133,265,58,45
"E01006573",2011,"Liverpool 029C","Total",778,261,376,84,57
"E01006574",2011,"Liverpool 025B","Total",612,155,328,90,39
"E01006575",2011,"Liverpool 034A","Total",578,197,292,66,23
"E01006576",2011,"Liverpool 034B","Total",713,200,391,99,23
"E01006577",2011,"Liverpool 034C","Total",597,183,314,73,27
"E01006578",2011,"Liverpool 036A","Total",554,151,284,93,26
"E01006579",2011,"Liverpool 034D","Total",618,164,318,112,24
"E01006580",2011,"Liverpool 036B","Total",515,160,266,75,14
"E01006581",2011,"Liverpool 036C","Total",607,158,327,94,28
"E01006582",2011,"Liverpool 041A","Total",585,163,320,79,23
"E01006583",2011,"Liverpool 047C","Total",467,174,245,40,8
"E01006584",2011,"Liverpool 034E","Total",611,170,333,80,28
"E01006585",2011,"Liverpool 032B","Total",641,168,359,74,40
"E01006586",2011,"Liverpool 032C","Total",921,328,458,99,36
"E01006587",2011,"Liverpool 032D","Total",717,200,399,75,43
"E01006588",2011,"Liverpool 042C","Total",702,232,383,49,38
"E01006589",2011,"Liverpool 041B","Total",599,160,320,91,28
"E01006590",2011,"Liverpool 042D","Total",701,244,361,76,20
"E01006591",2011,"Liverpool 041C","Total",671,221,352,68,30
"E01006592",2011,"Liverpool 041D","Total",624,260,297,43,24
"E01006593",2011,"Liverpool 042E","Total",662,237,338,66,21
"E01006594",2011,"Liverpool 047D","Total",579,256,265,46,12
"E01006595",2011,"Liverpool 049B","Total",812,261,439,87,25
"E01006596",2011,"Liverpool 049C","Total",597,188,320,65,24
"E01006597",2011,"Liverpool 041E","Total",683,255,364,46,18
"E01006598",2011,"Liverpool 010A","Total",604,172,315,66,51
"E01006599",2011,"Liverpool 010B","Total",482,157,230,65,30
