"lsoa11cd","date","lsoa11nm","Rural Urban","Central Heating: All categories: Type of central heating in household; measures: Value","Central Heating: No central heating; measures: Value","Central Heating: Gas central heating; measures: Value","Central Heating: Electric (including storage heaters) central heating; measures: Value","Central Heating: Oil central heating; measures: Value","Central Heating: Solid fuel (for example wood, coal) central heating; measures: Value","Central Heating: Other central heating; measures: Value","Central Heating: Two or more types of central heating; measures: Value"
"E01006512",2011,"Liverpool 031A","Total",799,75,255,422,5,0,12,30
"E01006513",2011,"Liverpool 060A","Total",909,86,357,420,2,0,19,25
"E01006514",2011,"Liverpool 037A","Total",1115,62,757,203,6,10,32,45
"E01006515",2011,"Liverpool 037B","Total",641,17,456,123,0,0,14,31
"E01006518",2011,"Liverpool 044A","Total",835,38,632,104,0,0,23,38
"E01006519",2011,"Liverpool 056A","Total",514,14,475,9,0,2,1,13
"E01006520",2011,"Liverpool 043A","Total",1182,72,881,157,6,0,30,36
"E01006521",2011,"Liverpool 052A","Total",928,36,671,162,0,1,27,31
"E01006522",2011,"Liverpool 048A","Total",1094,57,941,50,0,10,14,22
"E01006523",2011,"Liverpool 052B","Total",830,37,657,93,2,0,17,24
"E01006524",2011,"Liverpool 048B","Total",583,11,482,65,0,0,10,15
"E01006525",2011,"Liverpool 049A","Total",486,11,430,30,0,2,3,10
"E01006526",2011,"Liverpool 048C","Total",654,28,580,21,1,1,8,15
"E01006527",2011,"Liverpool 053A","Total",638,20,576,19,0,0,8,15
"E01006528",2011,"Liverpool 052C","Total",613,39,525,16,0,0,12,21
"E01006529",2011,"Liverpool 048D","Total",559,22,509,14,1,1,2,10
"E01006530",2011,"Liverpool 055A","Total",616,11,586,6,0,0,3,10
"E01006531",2011,"Liverpool 055B","Total",674,13,613,20,1,0,14,13
"E01006532",2011,"Liverpool 047A","Total",617,5,561,27,3,2,7,12
"E01006533",2011,"Liverpool 055C","Total",614,8,545,41,0,1,4,15
"E01006534",2011,"Liverpool 054A","Total",649,23,592,12,0,0,5,17
"E01006535",2011,"Liverpool 054B","Total",656,26,587,13,0,1,12,17
"E01006536",2011,"Liverpool 054C","Total",815,36,714,28,0,2,14,21
"E01006537",2011,"Liverpool 055D","Total",964,41,664,232,1,0,15,11
"E01006538",2011,"Liverpool 055E","Total",527,23,477,9,0,1,6,11
"E01006539",2011,"Liverpool 047B","Total",601,12,554,25,0,0,1,9
"E01006540",2011,"Liverpool 024A","Total",771,58,606,32,1,1,24,49
"E01006541",2011,"Liverpool 015A","Total",803,32,657,53,0,0,32,29
"E01006542",2011,"Liverpool 018A","Total",583,36,495,13,0,1,16,22
"E01006543",2011,"Liverpool 015B","Total",509,30,457,7,0,0,5,10
"E01006544",2011,"Liverpool 015C","Total",738,41,645,13,0,0,11,28
"E01006545",2011,"Liverpool 019A","Total",646,46,552,11,0,0,16,21
"E01006546",2011,"Liverpool 019B","Total",583,50,482,19,0,0,10,22
"E01006547",2011,"Liverpool 019C","Total",718,74,556,51,0,0,17,20
"E01006548",2011,"Liverpool 019D","Total",759,74,601,24,0,1,25,34
"E01006549",2011,"Liverpool 043B","Total",949,84,728,72,1,0,14,50
"E01006550",2011,"Liverpool 038A","Total",483,19,427,21,0,0,2,14
"E01006551",2011,"Liverpool 048E","Total",751,13,576,104,5,0,40,13
"E01006552",2011,"Liverpool 039A","Total",869,46,705,30,2,0,46,40
"E01006553",2011,"Liverpool 042A","Total",642,44,550,18,1,1,3,25
"E01006554",2011,"Liverpool 048F","Total",649,58,545,24,0,0,3,19
"E01006556",2011,"Liverpool 039B","Total",1016,63,821,31,0,0,43,58
"E01006557",2011,"Liverpool 038B","Total",635,38,505,46,2,0,8,36
"E01006558",2011,"Liverpool 018B","Total",739,81,581,22,0,0,18,37
"E01006560",2011,"Liverpool 023A","Total",996,11,887,20,0,0,34,44
"E01006562",2011,"Liverpool 018E","Total",714,42,583,22,0,0,29,38
"E01006563",2011,"Liverpool 024B","Total",908,25,686,90,3,0,60,44
"E01006564",2011,"Liverpool 023B","Total",800,24,699,29,0,0,24,24
"E01006565",2011,"Liverpool 029A","Total",638,41,555,18,0,0,6,18
"E01006566",2011,"Liverpool 032A","Total",577,25,491,41,0,1,7,12
"E01006567",2011,"Liverpool 026A","Total",892,37,752,35,0,0,39,29
"E01006568",2011,"Liverpool 026B","Total",629,52,527,24,3,0,6,17
"E01006569",2011,"Liverpool 029B","Total",613,39,531,16,0,0,15,12
"E01006570",2011,"Liverpool 026C","Total",595,23,540,11,1,0,6,14
"E01006571",2011,"Liverpool 026D","Total",612,28,536,10,0,0,18,20
"E01006572",2011,"Liverpool 025A","Total",501,6,445,9,0,4,10,27
"E01006573",2011,"Liverpool 029C","Total",778,53,610,81,3,0,11,20
"E01006574",2011,"Liverpool 025B","Total",612,20,535,18,1,0,20,18
"E01006575",2011,"Liverpool 034A","Total",578,22,520,13,0,0,7,16
"E01006576",2011,"Liverpool 034B","Total",713,44,621,17,1,1,13,16
"E01006577",2011,"Liverpool 034C","Total",597,26,549,9,0,0,0,13
"E01006578",2011,"Liverpool 036A","Total",554,31,500,5,0,0,2,16
"E01006579",2011,"Liverpool 034D","Total",618,17,578,6,1,1,2,13
"E01006580",2011,"Liverpool 036B","Total",515,5,493,3,1,0,3,10
"E01006581",2011,"Liverpool 036C","Total",607,15,577,5,0,0,3,7
"E01006582",2011,"Liverpool 041A","Total",585,13,549,10,1,1,5,6
"E01006583",2011,"Liverpool 047C","Total",467,6,453,1,1,1,0,5
"E01006584",2011,"Liverpool 034E","Total",611,26,539,31,0,1,4,10
"E01006585",2011,"Liverpool 032B","Total",641,20,555,21,0,1,25,19
"E01006586",2011,"Liverpool 032C","Total",921,29,809,40,0,0,16,27
"E01006587",2011,"Liverpool 032D","Total",717,15,619,47,0,3,8,25
"E01006588",2011,"Liverpool 042C","Total",702,42,611,23,1,0,4,21
"E01006589",2011,"Liverpool 041B","Total",599,11,545,19,0,0,7,17
"E01006590",2011,"Liverpool 042D","Total",701,53,581,51,0,0,1,15
"E01006591",2011,"Liverpool 041C","Total",671,39,586,17,0,1,6,22
"E01006592",2011,"Liverpool 041D","Total",624,11,547,50,1,0,2,13
"E01006593",2011,"Liverpool 042E","Total",662,45,581,12,0,1,5,18
"E01006594",2011,"Liverpool 047D","Total",579,11,484,63,0,0,6,15
"E01006595",2011,"Liverpool 049B","Total",812,34,728,17,4,0,13,16
"E01006596",2011,"Liverpool 049C","Total",597,17,547,7,1,2,4,19
"E01006597",2011,"Liverpool 041E","Total",683,19,598,42,1,0,3,20
"E01006598",2011,"Liverpool 010A","Total",604,24,523,19,0,0,19,19
"E01006599",2011,"Liverpool 010B","Total",482,25,420,7,0,0,13,17
"E01006600",2011,"Liverpool 011A","Total",592,25,528,8,0,0,13,18
"E01006603",2011,"Liverpool 011B","Total",594,29,519,6,0,0,13,27
"E01006604",2011,"Liverpool 016A","Total",571,36,499,10,0,0,6,20
"E01006605",2011,"Liverpool 016B","Total",696,22,624,13,2,1,15,19
"E01006606",2011,"Liverpool 020A","Total",723,42,636,14,0,1,10,20
"E01006607",2011,"Liverpool 008A","Total",641,22,578,17,0,0,7,17
"E01006608",2011,"Liverpool 009A","Total",563,32,505,8,0,0,6,12
"E01006609",2011,"Liverpool 009B","Total",576,31,510,6,0,1,7,21
"E01006610",2011,"Liverpool 009C","Total",669,51,515,73,0,1,15,14
"E01006611",2011,"Liverpool 012A","Total",742,90,594,26,1,0,10,21
"E01006612",2011,"Liverpool 008B","Total",740,17,669,14,0,1,19,20
"E01006613",2011,"Liverpool 009D","Total",611,29,526,28,0,0,9,19
"E01006614",2011,"Liverpool 012B","Total",667,74,536,24,1,1,14,17
"E01006615",2011,"Liverpool 012C","Total",663,54,570,12,0,1,12,14
"E01006616",2011,"Liverpool 015D","Total",613,30,545,12,0,0,8,18
"E01006617",2011,"Liverpool 021A","Total",650,16,593,16,1,0,7,17
"E01006618",2011,"Liverpool 016C","Total",692,46,614,7,1,0,13,11
"E01006619",2011,"Liverpool 021B","Total",734,44,638,27,2,2,4,17
"E01006620",2011,"Liverpool 021C","Total",625,19,534,55,1,1,8,7
"E01006621",2011,"Liverpool 021D","Total",584,17,483,60,0,0,10,14
"E01006622",2011,"Liverpool 021E","Total",586,15,549,8,0,0,3,11
"E01006623",2011,"Liverpool 013A","Total",527,5,505,3,0,0,5,9
"E01006624",2011,"Liverpool 013B","Total",702,34,605,27,0,0,11,25
