"lsoa11cd","date","lsoa11nm","Rural Urban","Cars: All categories: Car or van availability; measures: Value","Cars: No cars or vans in household; measures: Value","Cars: 1 car or van in household; measures: Value","Cars: 2 cars or vans in household; measures: Value","Cars: 3 cars or vans in household; measures: Value","Cars: 4 or more cars or vans in household; measures: Value","Cars: sum of All cars or vans in the area; measures: Value"
"E01006512",2011,"Liverpool 031A","Total",799,532,228,32,6,1,314
"E01006513",2011,"Liverpool 060A","Total",909,621,238,41,5,4,353
"E01006514",2011,"Liverpool 037A","Total",1115,731,322,52,4,6,466
"E01006515",2011,"Liverpool 037B","Total",641,454,159,25,3,0,218
"E01006518",2011,"Liverpool 044A","Total",835,529,270,34,1,1,345
"E01006519",2011,"Liverpool 056A","Total",514,72,242,170,23,7,685
"E01006520",2011,"Liverpool 043A","Total",1182,570,479,124,6,3,760
"E01006521",2011,"Liverpool 052A","Total",928,365,368,166,27,2,789
"E01006522",2011,"Liverpool 048A","Total",1094,480,476,121,11,6,786
"E01006523",2011,"Liverpool 052B","Total",830,348,355,106,18,3,634
"E01006524",2011,"Liverpool 048B","Total",583,134,279,151,16,3,643
"E01006525",2011,"Liverpool 049A","Total",486,56,218,174,29,9,691
"E01006526",2011,"Liverpool 048C","Total",654,183,324,124,16,7,712
"E01006527",2011,"Liverpool 053A","Total",638,194,296,121,23,4,623
"E01006528",2011,"Liverpool 052C","Total",613,209,258,115,22,9,590
"E01006529",2011,"Liverpool 048D","Total",559,133,288,122,13,3,583
"E01006530",2011,"Liverpool 055A","Total",616,124,305,153,28,6,719
"E01006531",2011,"Liverpool 055B","Total",674,162,317,157,35,3,748
"E01006532",2011,"Liverpool 047A","Total",617,52,238,238,69,20,1006
"E01006533",2011,"Liverpool 055C","Total",614,172,243,150,35,14,708
"E01006534",2011,"Liverpool 054A","Total",649,210,272,127,36,4,651
"E01006535",2011,"Liverpool 054B","Total",656,191,303,131,27,4,667
"E01006536",2011,"Liverpool 054C","Total",815,304,395,103,10,3,643
"E01006537",2011,"Liverpool 055D","Total",964,283,449,181,42,9,974
"E01006538",2011,"Liverpool 055E","Total",527,109,259,129,25,5,612
"E01006539",2011,"Liverpool 047B","Total",601,52,263,224,53,9,912
"E01006540",2011,"Liverpool 024A","Total",771,547,189,28,7,0,266
"E01006541",2011,"Liverpool 015A","Total",803,420,295,78,7,3,487
"E01006542",2011,"Liverpool 018A","Total",583,318,205,54,6,0,331
"E01006543",2011,"Liverpool 015B","Total",509,142,245,105,14,3,509
"E01006544",2011,"Liverpool 015C","Total",738,444,240,47,6,1,356
"E01006545",2011,"Liverpool 019A","Total",646,305,277,59,5,0,410
"E01006546",2011,"Liverpool 019B","Total",583,345,191,40,7,0,292
"E01006547",2011,"Liverpool 019C","Total",718,456,219,37,4,2,313
"E01006548",2011,"Liverpool 019D","Total",759,482,227,42,7,1,336
"E01006549",2011,"Liverpool 043B","Total",949,548,321,64,10,6,506
"E01006550",2011,"Liverpool 038A","Total",483,179,193,81,20,10,458
"E01006551",2011,"Liverpool 048E","Total",751,405,296,45,3,2,409
"E01006552",2011,"Liverpool 039A","Total",869,527,280,52,9,1,416
"E01006553",2011,"Liverpool 042A","Total",642,198,278,118,35,13,673
"E01006554",2011,"Liverpool 048F","Total",649,297,218,105,21,8,525
"E01006556",2011,"Liverpool 039B","Total",1016,748,220,37,10,1,328
"E01006557",2011,"Liverpool 038B","Total",635,290,235,77,27,6,495
"E01006558",2011,"Liverpool 018B","Total",739,553,165,18,2,1,211
"E01006560",2011,"Liverpool 023A","Total",996,727,238,24,5,2,311
"E01006562",2011,"Liverpool 018E","Total",714,478,208,22,6,0,270
"E01006563",2011,"Liverpool 024B","Total",908,656,225,21,6,0,285
"E01006564",2011,"Liverpool 023B","Total",800,372,329,88,9,2,545
"E01006565",2011,"Liverpool 029A","Total",638,274,275,74,13,2,470
"E01006566",2011,"Liverpool 032A","Total",577,171,285,97,16,8,560
"E01006567",2011,"Liverpool 026A","Total",892,516,267,87,19,3,511
"E01006568",2011,"Liverpool 026B","Total",629,173,286,148,20,2,651
"E01006569",2011,"Liverpool 029B","Total",613,304,222,73,9,5,415
"E01006570",2011,"Liverpool 026C","Total",595,142,268,145,31,9,689
"E01006571",2011,"Liverpool 026D","Total",612,297,236,66,11,2,409
"E01006572",2011,"Liverpool 025A","Total",501,263,188,40,8,2,300
"E01006573",2011,"Liverpool 029C","Total",778,464,265,45,4,0,367
"E01006574",2011,"Liverpool 025B","Total",612,284,236,78,13,1,437
"E01006575",2011,"Liverpool 034A","Total",578,190,262,107,17,2,535
"E01006576",2011,"Liverpool 034B","Total",713,155,342,180,31,5,817
"E01006577",2011,"Liverpool 034C","Total",597,102,280,187,23,5,746
"E01006578",2011,"Liverpool 036A","Total",554,99,273,154,25,3,670
"E01006579",2011,"Liverpool 034D","Total",618,100,273,211,27,7,805
"E01006580",2011,"Liverpool 036B","Total",515,51,229,196,32,7,745
"E01006581",2011,"Liverpool 036C","Total",607,105,250,208,37,7,805
"E01006582",2011,"Liverpool 041A","Total",585,68,245,224,41,7,845
"E01006583",2011,"Liverpool 047C","Total",467,35,158,222,40,12,779
"E01006584",2011,"Liverpool 034E","Total",611,160,298,118,29,6,651
"E01006585",2011,"Liverpool 032B","Total",641,352,228,52,9,0,359
"E01006586",2011,"Liverpool 032C","Total",921,408,373,113,21,6,686
"E01006587",2011,"Liverpool 032D","Total",717,212,327,154,20,4,712
"E01006588",2011,"Liverpool 042C","Total",702,239,333,115,13,2,610
"E01006589",2011,"Liverpool 041B","Total",599,109,289,169,23,9,739
"E01006590",2011,"Liverpool 042D","Total",701,245,299,134,19,4,641
"E01006591",2011,"Liverpool 041C","Total",671,165,324,152,25,5,725
"E01006592",2011,"Liverpool 041D","Total",624,97,246,221,45,15,884
"E01006593",2011,"Liverpool 042E","Total",662,211,318,111,17,5,612
"E01006594",2011,"Liverpool 047D","Total",579,77,224,217,42,19,862
"E01006595",2011,"Liverpool 049B","Total",812,250,380,161,17,4,770
"E01006596",2011,"Liverpool 049C","Total",597,153,263,141,30,10,676
"E01006597",2011,"Liverpool 041E","Total",683,128,273,237,34,11,893
"E01006598",2011,"Liverpool 010A","Total",604,374,194,30,4,2,276
"E01006599",2011,"Liverpool 010B","Total",482,306,144,30,0,2,212
"E01006600",2011,"Liverpool 011A","Total",592,264,245,68,13,2,430
"E01006603",2011,"Liverpool 011B","Total",594,275,246,62,11,0,403
"E01006604",2011,"Liverpool 016A","Total",571,232,254,70,13,2,441
"E01006605",2011,"Liverpool 016B","Total",696,350,271,62,12,1,435
"E01006606",2011,"Liverpool 020A","Total",723,319,306,81,15,2,521
"E01006607",2011,"Liverpool 008A","Total",641,338,225,65,12,1,395
"E01006608",2011,"Liverpool 009A","Total",563,246,238,71,8,0,404
"E01006609",2011,"Liverpool 009B","Total",576,278,227,64,4,3,379
"E01006610",2011,"Liverpool 009C","Total",669,415,204,48,2,0,306
"E01006611",2011,"Liverpool 012A","Total",742,539,187,14,2,0,221
"E01006612",2011,"Liverpool 008B","Total",740,427,250,56,7,0,383
"E01006613",2011,"Liverpool 009D","Total",611,292,238,68,11,2,415
"E01006614",2011,"Liverpool 012B","Total",667,417,215,29,5,1,292
"E01006615",2011,"Liverpool 012C","Total",663,401,218,38,6,0,312
"E01006616",2011,"Liverpool 015D","Total",613,259,273,66,11,4,454
"E01006617",2011,"Liverpool 021A","Total",650,195,296,129,21,9,653
"E01006618",2011,"Liverpool 016C","Total",692,309,264,108,10,1,514
"E01006619",2011,"Liverpool 021B","Total",734,244,336,135,13,6,675
"E01006620",2011,"Liverpool 021C","Total",625,197,254,150,19,5,633
"E01006621",2011,"Liverpool 021D","Total",584,95,233,186,51,19,839
"E01006622",2011,"Liverpool 021E","Total",586,84,275,191,30,6,771
"E01006623",2011,"Liverpool 013A","Total",527,51,213,196,51,16,828
"E01006624",2011,"Liverpool 013B","Total",702,269,290,116,21,6,609
"E01006625",2011,"Liverpool 016D","Total",609,176,278,131,21,3,615
"E01006626",2011,"Liverpool 016E","Total",593,155,269,130,36,3,650
"E01006627",2011,"Liverpool 013C","Total",600,183,266,126,19,6,600
"E01006628",2011,"Liverpool 052D","Total",651,217,259,136,30,9,657
"E01006629",2011,"Liverpool 052E","Total",573,207,241,107,14,4,514
"E01006630",2011,"Liverpool 044B","Total",555,389,137,27,2,0,197
"E01006632",2011,"Liverpool 044C","Total",884,564,283,33,4,0,361
"E01006633",2011,"Liverpool 050B","Total",699,488,177,29,5,0,250
"E01006637",2011,"Liverpool 017A","Total",670,366,242,58,3,1,371
"E01006638",2011,"Liverpool 017B","Total",518,279,194,40,5,0,289
"E01006639",2011,"Liverpool 017C","Total",640,189,317,114,15,5,616
"E01006640",2011,"Liverpool 021F","Total",760,167,352,197,36,8,888
"E01006641",2011,"Liverpool 025C","Total",633,105,337,174,13,4,745
"E01006642",2011,"Liverpool 025D","Total",590,366,182,33,9,0,275
"E01006643",2011,"Liverpool 025E","Total",740,377,281,73,8,1,455
"E01006644",2011,"Liverpool 017D","Total",963,472,370,103,14,4,647
"E01006645",2011,"Liverpool 017E","Total",690,435,202,42,8,3,322
