"lsoa11cd","date","lsoa11nm","Rural Urban","Household Spaces: All categories: Household spaces; measures: Value","Household Spaces: Household spaces with at least one usual resident; measures: Value","Household Spaces: Household spaces with no usual residents; measures: Value"
"E01006512",2011,"Liverpool 031A","Total",899,799,100
"E01006513",2011,"Liverpool 060A","Total",998,909,89
"E01006514",2011,"Liverpool 037A","Total",1194,1115,79
"E01006515",2011,"Liverpool 037B","Total",665,641,24
"E01006518",2011,"Liverpool 044A","Total",864,835,29
"E01006519",2011,"Liverpool 056A","Total",540,514,26
"E01006520",2011,"Liverpool 043A","Total",1227,1182,45
"E01006521",2011,"Liverpool 052A","Total",994,928,66
"E01006522",2011,"Liverpool 048A","Total",1137,1094,43
"E01006523",2011,"Liverpool 052B","Total",882,830,52
"E01006524",2011,"Liverpool 048B","Total",623,583,40
"E01006525",2011,"Liverpool 049A","Total",499,486,13
"E01006526",2011,"Liverpool 048C","Total",675,654,21
"E01006527",2011,"Liverpool 053A","Total",670,638,32
"E01006528",2011,"Liverpool 052C","Total",644,613,31
"E01006529",2011,"Liverpool 048D","Total",570,559,11
"E01006530",2011,"Liverpool 055A","Total",632,616,16
"E01006531",2011,"Liverpool 055B","Total",692,674,18
"E01006532",2011,"Liverpool 047A","Total",635,617,18
"E01006533",2011,"Liverpool 055C","Total",630,614,16
"E01006534",2011,"Liverpool 054A","Total",673,649,24
"E01006535",2011,"Liverpool 054B","Total",678,656,22
"E01006536",2011,"Liverpool 054C","Total",849,815,34
"E01006537",2011,"Liverpool 055D","Total",1005,964,41
"E01006538",2011,"Liverpool 055E","Total",538,527,11
"E01006539",2011,"Liverpool 047B","Total",626,601,25
"E01006540",2011,"Liverpool 024A","Total",817,771,46
"E01006541",2011,"Liverpool 015A","Total",827,803,24
"E01006542",2011,"Liverpool 018A","Total",633,583,50
"E01006543",2011,"Liverpool 015B","Total",519,509,10
"E01006544",2011,"Liverpool 015C","Total",766,738,28
"E01006545",2011,"Liverpool 019A","Total",674,646,28
"E01006546",2011,"Liverpool 019B","Total",630,583,47
"E01006547",2011,"Liverpool 019C","Total",771,718,53
"E01006548",2011,"Liverpool 019D","Total",787,759,28
"E01006549",2011,"Liverpool 043B","Total",1041,949,92
"E01006550",2011,"Liverpool 038A","Total",512,483,29
"E01006551",2011,"Liverpool 048E","Total",771,751,20
"E01006552",2011,"Liverpool 039A","Total",927,869,58
"E01006553",2011,"Liverpool 042A","Total",679,642,37
"E01006554",2011,"Liverpool 048F","Total",690,649,41
"E01006556",2011,"Liverpool 039B","Total",1083,1016,67
"E01006557",2011,"Liverpool 038B","Total",666,635,31
"E01006558",2011,"Liverpool 018B","Total",797,739,58
"E01006560",2011,"Liverpool 023A","Total",999,996,3
"E01006562",2011,"Liverpool 018E","Total",756,714,42
"E01006563",2011,"Liverpool 024B","Total",935,908,27
"E01006564",2011,"Liverpool 023B","Total",807,800,7
"E01006565",2011,"Liverpool 029A","Total",648,638,10
"E01006566",2011,"Liverpool 032A","Total",608,577,31
"E01006567",2011,"Liverpool 026A","Total",925,892,33
"E01006568",2011,"Liverpool 026B","Total",651,629,22
"E01006569",2011,"Liverpool 029B","Total",632,613,19
"E01006570",2011,"Liverpool 026C","Total",615,595,20
"E01006571",2011,"Liverpool 026D","Total",624,612,12
"E01006572",2011,"Liverpool 025A","Total",517,501,16
"E01006573",2011,"Liverpool 029C","Total",813,778,35
"E01006574",2011,"Liverpool 025B","Total",627,612,15
"E01006575",2011,"Liverpool 034A","Total",591,578,13
"E01006576",2011,"Liverpool 034B","Total",724,713,11
"E01006577",2011,"Liverpool 034C","Total",605,597,8
"E01006578",2011,"Liverpool 036A","Total",560,554,6
"E01006579",2011,"Liverpool 034D","Total",622,618,4
"E01006580",2011,"Liverpool 036B","Total",523,515,8
"E01006581",2011,"Liverpool 036C","Total",619,607,12
"E01006582",2011,"Liverpool 041A","Total",598,585,13
"E01006583",2011,"Liverpool 047C","Total",475,467,8
"E01006584",2011,"Liverpool 034E","Total",627,611,16
"E01006585",2011,"Liverpool 032B","Total",662,641,21
"E01006586",2011,"Liverpool 032C","Total",946,921,25
"E01006587",2011,"Liverpool 032D","Total",749,717,32
"E01006588",2011,"Liverpool 042C","Total",748,702,46
"E01006589",2011,"Liverpool 041B","Total",611,599,12
"E01006590",2011,"Liverpool 042D","Total",739,701,38
"E01006591",2011,"Liverpool 041C","Total",695,671,24
"E01006592",2011,"Liverpool 041D","Total",656,624,32
"E01006593",2011,"Liverpool 042E","Total",721,662,59
"E01006594",2011,"Liverpool 047D","Total",591,579,12
"E01006595",2011,"Liverpool 049B","Total",849,812,37
"E01006596",2011,"Liverpool 049C","Total",624,597,27
"E01006597",2011,"Liverpool 041E","Total",722,683,39
"E01006598",2011,"Liverpool 010A","Total",615,604,11
"E01006599",2011,"Liverpool 010B","Total",492,482,10
"E01006600",2011,"Liverpool 011A","Total",596,592,4
"E01006603",2011,"Liverpool 011B","Total",605,594,11
"E01006604",2011,"Liverpool 016A","Total",583,571,12
"E01006605",2011,"Liverpool 016B","Total",717,696,21
"E01006606",2011,"Liverpool 020A","Total",735,723,12
"E01006607",2011,"Liverpool 008A","Total",660,641,19
"E01006608",2011,"Liverpool 009A","Total",575,563,12
"E01006609",2011,"Liverpool 009B","Total",618,576,42
"E01006610",2011,"Liverpool 009C","Total",718,669,49
"E01006611",2011,"Liverpool 012A","Total",795,742,53
"E01006612",2011,"Liverpool 008B","Total",746,740,6
"E01006613",2011,"Liverpool 009D","Total",625,611,14
"E01006614",2011,"Liverpool 012B","Total",713,667,46
"E01006615",2011,"Liverpool 012C","Total",703,663,40
"E01006616",2011,"Liverpool 015D","Total",620,613,7
"E01006617",2011,"Liverpool 021A","Total",667,650,17
"E01006618",2011,"Liverpool 016C","Total",697,692,5
"E01006619",2011,"Liverpool 021B","Total",749,734,15
"E01006620",2011,"Liverpool 021C","Total",656,625,31
"E01006621",2011,"Liverpool 021D","Total",607,584,23
"E01006622",2011,"Liverpool 021E","Total",601,586,15
"E01006623",2011,"Liverpool 013A","Total",536,527,9
"E01006624",2011,"Liverpool 013B","Total",733,702,31
"E01006625",2011,"Liverpool 016D","Total",623,609,14
"E01006626",2011,"Liverpool 016E","Total",606,593,13
"E01006627",2011,"Liverpool 013C","Total",609,600,9
"E01006628",2011,"Liverpool 052D","Total",680,651,29
"E01006629",2011,"Liverpool 052E","Total",592,573,19
"E01006630",2011,"Liverpool 044B","Total",565,555,10
"E01006632",2011,"Liverpool 044C","Total",915,884,31
"E01006633",2011,"Liverpool 050B","Total",721,699,22
