"lsoa11cd","date","lsoa11nm","Rural Urban","Dwelling Type: All categories: Dwelling type; measures: Value","Dwelling Type: Unshared dwelling; measures: Value","Dwelling Type: Shared dwelling; measures: Value"
"E01006512",2011,"Liverpool 031A","Total",814,807,7
"E01006513",2011,"Liverpool 060A","Total",956,945,11
"E01006514",2011,"Liverpool 037A","Total",1109,1085,24
"E01006515",2011,"Liverpool 037B","Total",665,665,0
"E01006518",2011,"Liverpool 044A","Total",864,864,0
"E01006519",2011,"Liverpool 056A","Total",540,540,0
"E01006520",2011,"Liverpool 043A","Total",1194,1186,8
"E01006521",2011,"Liverpool 052A","Total",978,977,1
"E01006522",2011,"Liverpool 048A","Total",1098,1089,9
"E01006523",2011,"Liverpool 052B","Total",849,844,5
"E01006524",2011,"Liverpool 048B","Total",608,604,4
"E01006525",2011,"Liverpool 049A","Total",499,499,0
"E01006526",2011,"Liverpool 048C","Total",675,675,0
"E01006527",2011,"Liverpool 053A","Total",670,670,0
"E01006528",2011,"Liverpool 052C","Total",636,633,3
"E01006529",2011,"Liverpool 048D","Total",570,570,0
"E01006530",2011,"Liverpool 055A","Total",632,632,0
"E01006531",2011,"Liverpool 055B","Total",692,692,0
"E01006532",2011,"Liverpool 047A","Total",635,635,0
"E01006533",2011,"Liverpool 055C","Total",630,630,0
"E01006534",2011,"Liverpool 054A","Total",673,673,0
"E01006535",2011,"Liverpool 054B","Total",678,678,0
"E01006536",2011,"Liverpool 054C","Total",849,849,0
"E01006537",2011,"Liverpool 055D","Total",1005,1005,0
"E01006538",2011,"Liverpool 055E","Total",538,538,0
"E01006539",2011,"Liverpool 047B","Total",626,626,0
"E01006540",2011,"Liverpool 024A","Total",817,817,0
"E01006541",2011,"Liverpool 015A","Total",827,827,0
"E01006542",2011,"Liverpool 018A","Total",624,618,6
"E01006543",2011,"Liverpool 015B","Total",519,519,0
"E01006544",2011,"Liverpool 015C","Total",766,766,0
"E01006545",2011,"Liverpool 019A","Total",674,674,0
"E01006546",2011,"Liverpool 019B","Total",630,630,0
"E01006547",2011,"Liverpool 019C","Total",764,760,4
