"lsoa11cd","date","lsoa11nm","Rural Urban","Position in Establishment: All categories: Position in communal establishment; measures: Value","Position in Establishment: Resident; measures: Value","Position in Establishment: Staff or owner; measures: Value","Position in Establishment: Family member or partner of staff or owner; measures: Value"
"E01006512",2011,"Liverpool 031A","Total",460,460,0,0
"E01006513",2011,"Liverpool 060A","Total",1250,1243,2,5
"E01006514",2011,"Liverpool 037A","Total",350,349,1,0
"E01006515",2011,"Liverpool 037B","Total",0,0,0,0
"E01006518",2011,"Liverpool 044A","Total",66,65,0,1
"E01006519",2011,"Liverpool 056A","Total",0,0,0,0
"E01006520",2011,"Liverpool 043A","Total",21,21,0,0
"E01006521",2011,"Liverpool 052A","Total",41,40,0,1
"E01006522",2011,"Liverpool 048A","Total",61,60,1,0
"E01006523",2011,"Liverpool 052B","Total",35,34,1,0
"E01006524",2011,"Liverpool 048B","Total",1352,1344,4,4
"E01006525",2011,"Liverpool 049A","Total",0,0,0,0
"E01006526",2011,"Liverpool 048C","Total",103,100,0,3
"E01006527",2011,"Liverpool 053A","Total",81,81,0,0
"E01006528",2011,"Liverpool 052C","Total",27,21,0,6
"E01006529",2011,"Liverpool 048D","Total",0,0,0,0
"E01006530",2011,"Liverpool 055A","Total",3,3,0,0
"E01006531",2011,"Liverpool 055B","Total",3,3,0,0
"E01006532",2011,"Liverpool 047A","Total",3,3,0,0
"E01006533",2011,"Liverpool 055C","Total",53,50,0,3
"E01006534",2011,"Liverpool 054A","Total",0,0,0,0
"E01006535",2011,"Liverpool 054B","Total",89,88,0,1
"E01006536",2011,"Liverpool 054C","Total",0,0,0,0
"E01006537",2011,"Liverpool 055D","Total",0,0,0,0
"E01006538",2011,"Liverpool 055E","Total",0,0,0,0
"E01006539",2011,"Liverpool 047B","Total",34,34,0,0
"E01006540",2011,"Liverpool 024A","Total",24,22,0,2
"E01006541",2011,"Liverpool 015A","Total",0,0,0,0
"E01006542",2011,"Liverpool 018A","Total",100,100,0,0
"E01006543",2011,"Liverpool 015B","Total",0,0,0,0
"E01006544",2011,"Liverpool 015C","Total",0,0,0,0
"E01006545",2011,"Liverpool 019A","Total",0,0,0,0
"E01006546",2011,"Liverpool 019B","Total",0,0,0,0
"E01006547",2011,"Liverpool 019C","Total",0,0,0,0
"E01006548",2011,"Liverpool 019D","Total",95,91,0,4
"E01006549",2011,"Liverpool 043B","Total",103,101,0,2
"E01006550",2011,"Liverpool 038A","Total",0,0,0,0
"E01006551",2011,"Liverpool 048E","Total",447,442,2,3
"E01006552",2011,"Liverpool 039A","Total",2,2,0,0
"E01006553",2011,"Liverpool 042A","Total",0,0,0,0
"E01006554",2011,"Liverpool 048F","Total",22,22,0,0
"E01006556",2011,"Liverpool 039B","Total",1,1,0,0
"E01006557",2011,"Liverpool 038B","Total",3,3,0,0
"E01006558",2011,"Liverpool 018B","Total",0,0,0,0
"E01006560",2011,"Liverpool 023A","Total",0,0,0,0
