"lsoa11cd","date","lsoa11nm","Rural Urban","Communal Establishment Type: All categories: Communal establishment management and type; measures: Value","Communal Establishment Type: Medical and care establishment: Total; measures: Value","Communal Establishment Type: Medical and care establishment: NHS: Total; measures: Value","Communal Establishment Type: Medical and care establishment: NHS: General hospital; measures: Value","Communal Establishment Type: Medical and care establishment: NHS: Mental health hospital/unit (including secure units); measures: Value","Communal Establishment Type: Medical and care establishment: NHS: Other hospital; measures: Value","Communal Establishment Type: Medical and care establishment: Local Authority: Total; measures: Value","Communal Establishment Type: Medical and care establishment: Local Authority: Children's home (including secure units); measures: Value","Communal Establishment Type: Medical and care establishment: Local Authority: Care home with nursing; measures: Value","Communal Establishment Type: Medical and care establishment: Local Authority: Care home without nursing; measures: Value","Communal Establishment Type: Medical and care establishment: Local Authority: Other home; measures: Value","Communal Establishment Type: Medical and care establishment: Registered Social Landlord/Housing Association: Total; measures: Value","Communal Establishment Type: Medical and care establishment: Registered Social Landlord/Housing Association: Home or hostel; measures: Value","Communal Establishment Type: Medical and care establishment: Registered Social Landlord/Housing Association: Sheltered housing only; measures: Value","Communal Establishment Type: Medical and care establishment: Other: Total; measures: Value","Communal Establishment Type: Medical and care establishment: Other: Care home with nursing; measures: Value","Communal Establishment Type: Medical and care establishment: Other: Care home without nursing; measures: Value","Communal Establishment Type: Medical and care establishment: Other: Children's home (including secure units); measures: Value","Communal Establishment Type: Medical and care establishment: Other: Mental health hospital/unit (including secure units); measures: Value","Communal Establishment Type: Medical and care establishment: Other: Other hospital; measures: Value","Communal Establishment Type: Medical and care establishment: Other: Other establishment; measures: Value","Communal Establishment Type: Other establishment: Total; measures: Value","Communal Establishment Type: Other establishment: Defence; measures: Value","Communal Establishment Type: Other establishment: Prison service; measures: Value","Communal Establishment Type: Other establishment: Approved premises (probation/bail hostel); measures: Value","Communal Establishment Type: Other establishment: Detention centres and other detention; measures: Value","Communal Establishment Type: Other establishment: Education; measures: Value","Communal Establishment Type: Other establishment: Hotel: guest house; B&B; youth hostel; measures: Value","Communal Establishment Type: Other establishment: Hostel or temporary shelter for the homeless; measures: Value","Communal Establishment Type: Other establishment: Holiday accommodation (for example holiday parks); measures: Value","Communal Establishment Type: Other establishment: Other travel or temporary accommodation; measures: Value","Communal Establishment Type: Other establishment: Religious; measures: Value","Communal Establishment Type: Other establishment: Staff/worker accommodation only; measures: Value","Communal Establishment Type: Other establishment: Other; measures: Value","Communal Establishment Type: Establishment not stated; measures: Value"
"E01006512",2011,"Liverpool 031A","Total",9,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,3,0,0,0,0,0,0,0,4
"E01006513",2011,"Liverpool 060A","Total",28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,11,7,1,1,0,1,0,1,6
"E01006514",2011,"Liverpool 037A","Total",46,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,8,0,0,0,1,4,1,2,0,0,0,0,0,36
"E01006515",2011,"Liverpool 037B","Total",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"E01006518",2011,"Liverpool 044A","Total",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01006519",2011,"Liverpool 056A","Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01006520",2011,"Liverpool 043A","Total",3,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"E01006521",2011,"Liverpool 052A","Total",12,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,0,0,0,0,0,2,1,0,0,1,0,0,7
"E01006522",2011,"Liverpool 048A","Total",5,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,1
"E01006523",2011,"Liverpool 052B","Total",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01006524",2011,"Liverpool 048B","Total",13,7,2,0,2,0,0,0,0,0,0,0,0,0,5,3,2,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0
"E01006525",2011,"Liverpool 049A","Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01006526",2011,"Liverpool 048C","Total",4,4,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01006527",2011,"Liverpool 053A","Total",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0
"E01006528",2011,"Liverpool 052C","Total",2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"E01006529",2011,"Liverpool 048D","Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01006530",2011,"Liverpool 055A","Total",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"E01006531",2011,"Liverpool 055B","Total",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01006532",2011,"Liverpool 047A","Total",3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"E01006533",2011,"Liverpool 055C","Total",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01006534",2011,"Liverpool 054A","Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01006535",2011,"Liverpool 054B","Total",3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01006536",2011,"Liverpool 054C","Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01006537",2011,"Liverpool 055D","Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01006538",2011,"Liverpool 055E","Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01006539",2011,"Liverpool 047B","Total",3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01006540",2011,"Liverpool 024A","Total",8,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"E01006541",2011,"Liverpool 015A","Total",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"E01006542",2011,"Liverpool 018A","Total",10,3,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,1,4,0,0,0,0,0,3,0,0,0,0,0,1,3
"E01006543",2011,"Liverpool 015B","Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01006544",2011,"Liverpool 015C","Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01006545",2011,"Liverpool 019A","Total",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"E01006546",2011,"Liverpool 019B","Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01006547",2011,"Liverpool 019C","Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01006548",2011,"Liverpool 019D","Total",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01006549",2011,"Liverpool 043B","Total",7,5,0,0,0,0,0,0,0,0,0,0,0,0,5,1,3,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0
"E01006550",2011,"Liverpool 038A","Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01006551",2011,"Liverpool 048E","Total",6,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,4,0,0,0,0,3,1,0,0,0,0,0,0,0
"E01006552",2011,"Liverpool 039A","Total",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"E01006553",2011,"Liverpool 042A","Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01006554",2011,"Liverpool 048F","Total",8,5,2,0,1,1,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,1
"E01006556",2011,"Liverpool 039B","Total",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"E01006557",2011,"Liverpool 038B","Total",3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"E01006558",2011,"Liverpool 018B","Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01006560",2011,"Liverpool 023A","Total",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
