"lsoa11cd","date","lsoa11nm","Rural Urban","Qualification: All categories: Highest level of qualification; measures: Value","Qualification: No qualifications; measures: Value","Qualification: Level 1 qualifications; measures: Value","Qualification: Level 2 qualifications; measures: Value","Qualification: Apprenticeship; measures: Value","Qualification: Level 3 qualifications; measures: Value","Qualification: Level 4 qualifications and above; measures: Value","Qualification: Other qualifications; measures: Value"
"E01006512",2011,"Liverpool 031A","Total",1683,171,122,98,2,268,732,290
"E01006513",2011,"Liverpool 060A","Total",2888,154,152,197,15,1244,827,299
"E01006514",2011,"Liverpool 037A","Total",2003,192,121,194,7,607,791,91
"E01006515",2011,"Liverpool 037B","Total",1023,381,71,122,9,110,261,69
"E01006518",2011,"Liverpool 044A","Total",1425,668,151,163,17,132,202,92
"E01006519",2011,"Liverpool 056A","Total",1055,154,94,133,31,104,510,29
"E01006520",2011,"Liverpool 043A","Total",1616,251,114,120,14,188,874,55
"E01006521",2011,"Liverpool 052A","Total",1491,301,119,168,47,173,633,50
"E01006522",2011,"Liverpool 048A","Total",1602,238,107,157,14,178,877,31
"E01006523",2011,"Liverpool 052B","Total",1352,254,97,132,26,153,652,38
"E01006524",2011,"Liverpool 048B","Total",2300,303,99,169,28,1082,556,63
"E01006525",2011,"Liverpool 049A","Total",1049,149,95,149,36,145,442,33
"E01006526",2011,"Liverpool 048C","Total",1217,285,122,144,24,118,478,46
"E01006527",2011,"Liverpool 053A","Total",1247,267,141,157,37,187,404,54
"E01006528",2011,"Liverpool 052C","Total",1239,180,110,158,29,201,505,56
"E01006529",2011,"Liverpool 048D","Total",1080,168,119,132,23,121,487,30
"E01006530",2011,"Liverpool 055A","Total",1222,270,134,215,61,148,350,44
"E01006531",2011,"Liverpool 055B","Total",1292,373,145,210,54,160,317,33
"E01006532",2011,"Liverpool 047A","Total",1280,186,114,188,50,137,578,27
"E01006533",2011,"Liverpool 055C","Total",1205,322,143,163,64,129,353,31
"E01006534",2011,"Liverpool 054A","Total",1271,374,180,205,27,133,304,48
"E01006535",2011,"Liverpool 054B","Total",1401,442,214,200,31,149,323,42
"E01006536",2011,"Liverpool 054C","Total",1545,533,234,239,41,185,270,43
"E01006537",2011,"Liverpool 055D","Total",1847,398,264,320,58,247,419,141
"E01006538",2011,"Liverpool 055E","Total",1101,267,162,180,49,146,262,35
"E01006539",2011,"Liverpool 047B","Total",1237,195,105,162,25,119,600,31
"E01006540",2011,"Liverpool 024A","Total",1218,483,217,179,24,100,135,80
"E01006541",2011,"Liverpool 015A","Total",1350,505,241,201,66,136,156,45
"E01006542",2011,"Liverpool 018A","Total",1149,425,182,161,32,127,165,57
"E01006543",2011,"Liverpool 015B","Total",1053,311,193,180,54,143,145,27
"E01006544",2011,"Liverpool 015C","Total",1304,515,223,249,30,124,115,48
"E01006545",2011,"Liverpool 019A","Total",1174,353,209,217,33,151,165,46
"E01006546",2011,"Liverpool 019B","Total",1016,339,197,163,27,134,123,33
"E01006547",2011,"Liverpool 019C","Total",1197,457,195,166,34,127,170,48
"E01006548",2011,"Liverpool 019D","Total",1328,472,212,210,28,181,160,65
"E01006549",2011,"Liverpool 043B","Total",1536,269,100,156,11,289,619,92
"E01006550",2011,"Liverpool 038A","Total",1499,98,58,110,7,853,341,32
"E01006551",2011,"Liverpool 048E","Total",1485,438,76,124,26,443,322,56
"E01006552",2011,"Liverpool 039A","Total",1452,385,197,171,17,156,388,138
"E01006553",2011,"Liverpool 042A","Total",1705,146,83,145,11,690,595,35
"E01006554",2011,"Liverpool 048F","Total",1530,143,83,102,9,579,563,51
"E01006556",2011,"Liverpool 039B","Total",1595,586,222,169,14,185,271,148
"E01006557",2011,"Liverpool 038B","Total",1915,143,78,159,18,1020,438,59
"E01006558",2011,"Liverpool 018B","Total",1131,493,172,199,31,86,91,59
"E01006560",2011,"Liverpool 023A","Total",1576,819,213,224,32,119,109,60
"E01006562",2011,"Liverpool 018E","Total",1185,523,197,188,23,115,85,54
"E01006563",2011,"Liverpool 024B","Total",1408,726,187,191,36,91,106,71
"E01006564",2011,"Liverpool 023B","Total",1477,698,197,158,41,147,182,54
"E01006565",2011,"Liverpool 029A","Total",1275,454,220,175,51,137,192,46
"E01006566",2011,"Liverpool 032A","Total",1234,318,169,192,40,171,289,55
"E01006567",2011,"Liverpool 026A","Total",1439,584,210,200,49,150,210,36
"E01006568",2011,"Liverpool 026B","Total",1306,349,177,227,40,181,296,36
"E01006569",2011,"Liverpool 029B","Total",1214,493,176,185,46,102,172,40
"E01006570",2011,"Liverpool 026C","Total",1221,299,165,196,54,162,309,36
"E01006571",2011,"Liverpool 026D","Total",1210,507,149,204,37,127,141,45
"E01006572",2011,"Liverpool 025A","Total",909,380,134,139,20,113,95,28
"E01006573",2011,"Liverpool 029C","Total",1223,458,167,188,32,136,199,43
"E01006574",2011,"Liverpool 025B","Total",1094,412,163,189,32,122,135,41
"E01006575",2011,"Liverpool 034A","Total",1087,315,146,172,35,118,265,36
"E01006576",2011,"Liverpool 034B","Total",1394,297,187,246,60,197,371,36
"E01006577",2011,"Liverpool 034C","Total",1236,224,151,187,51,157,431,35
"E01006578",2011,"Liverpool 036A","Total",1108,234,137,189,32,160,324,32
"E01006579",2011,"Liverpool 034D","Total",1317,263,168,215,44,150,424,53
"E01006580",2011,"Liverpool 036B","Total",1111,159,135,207,32,148,388,42
"E01006581",2011,"Liverpool 036C","Total",1264,183,148,192,42,189,478,32
"E01006582",2011,"Liverpool 041A","Total",1309,170,119,203,51,168,559,39
"E01006583",2011,"Liverpool 047C","Total",1524,134,105,227,28,509,476,45
"E01006584",2011,"Liverpool 034E","Total",1147,261,168,196,43,171,261,47
"E01006585",2011,"Liverpool 032B","Total",1136,463,175,166,22,115,135,60
"E01006586",2011,"Liverpool 032C","Total",1606,466,206,200,42,227,390,75
"E01006587",2011,"Liverpool 032D","Total",1354,331,172,207,42,164,378,60
"E01006588",2011,"Liverpool 042C","Total",1402,242,107,179,43,246,542,43
"E01006589",2011,"Liverpool 041B","Total",1234,218,160,198,48,149,424,37
"E01006590",2011,"Liverpool 042D","Total",1457,176,131,149,19,325,614,43
"E01006591",2011,"Liverpool 041C","Total",1374,159,123,155,30,242,642,23
"E01006592",2011,"Liverpool 041D","Total",1327,142,111,139,25,168,713,29
"E01006593",2011,"Liverpool 042E","Total",1324,155,110,148,19,288,572,32
"E01006594",2011,"Liverpool 047D","Total",1191,146,119,158,37,128,571,32
"E01006595",2011,"Liverpool 049B","Total",1476,286,131,207,39,189,580,44
"E01006596",2011,"Liverpool 049C","Total",1228,215,121,160,40,157,495,40
"E01006597",2011,"Liverpool 041E","Total",1395,169,113,176,30,160,713,34
"E01006598",2011,"Liverpool 010A","Total",1038,505,147,163,17,93,83,30
"E01006599",2011,"Liverpool 010B","Total",814,341,118,157,15,70,77,36
"E01006600",2011,"Liverpool 011A","Total",1173,493,156,215,29,126,112,42
"E01006603",2011,"Liverpool 011B","Total",1177,503,177,176,33,129,124,35
"E01006604",2011,"Liverpool 016A","Total",1130,418,210,190,31,128,125,28
"E01006605",2011,"Liverpool 016B","Total",1270,530,191,192,37,130,148,42
"E01006606",2011,"Liverpool 020A","Total",1267,436,210,194,42,161,177,47
"E01006607",2011,"Liverpool 008A","Total",1227,533,202,189,25,141,96,41
"E01006608",2011,"Liverpool 009A","Total",998,340,145,179,28,132,148,26
"E01006609",2011,"Liverpool 009B","Total",1060,357,185,188,32,113,152,33
"E01006610",2011,"Liverpool 009C","Total",1141,459,162,193,32,136,125,34
"E01006611",2011,"Liverpool 012A","Total",1055,441,164,199,30,101,82,38
"E01006612",2011,"Liverpool 008B","Total",1214,536,173,189,43,134,101,38
"E01006613",2011,"Liverpool 009D","Total",1152,506,142,180,40,133,113,38
"E01006614",2011,"Liverpool 012B","Total",1084,415,172,176,32,126,117,46
"E01006615",2011,"Liverpool 012C","Total",1071,424,160,171,38,122,116,40
"E01006616",2011,"Liverpool 015D","Total",1185,463,175,177,40,142,146,42
"E01006617",2011,"Liverpool 021A","Total",1216,280,161,189,55,165,316,50
"E01006618",2011,"Liverpool 016C","Total",1391,528,232,224,43,150,163,51
"E01006619",2011,"Liverpool 021B","Total",1339,341,176,211,52,184,327,48
"E01006620",2011,"Liverpool 021C","Total",1197,338,144,198,43,152,283,39
"E01006621",2011,"Liverpool 021D","Total",1249,247,153,212,55,172,379,31
"E01006622",2011,"Liverpool 021E","Total",1238,237,172,234,59,164,329,43
"E01006623",2011,"Liverpool 013A","Total",1223,295,189,176,66,152,306,39
"E01006624",2011,"Liverpool 013B","Total",1294,422,199,213,56,130,222,52
"E01006625",2011,"Liverpool 016D","Total",1171,328,165,177,58,157,237,49
"E01006626",2011,"Liverpool 016E","Total",1246,317,178,212,52,157,280,50
"E01006627",2011,"Liverpool 013C","Total",1152,315,161,171,48,157,268,32
"E01006628",2011,"Liverpool 052D","Total",1632,246,136,204,38,320,642,46
"E01006629",2011,"Liverpool 052E","Total",1116,294,124,149,30,130,351,38
"E01006630",2011,"Liverpool 044B","Total",1029,483,140,148,16,93,112,37
