"lsoa11cd","date","lsoa11nm","Rural Urban","Qualification: All usual residents aged 16 and over; measures: Value","Qualification: No qualifications; measures: Value","Qualification: 1-4 O levels/CSE/GCSEs (any grades), Entry Level, Foundation Diploma; measures: Value","Qualification: NVQ Level 1, Foundation GNVQ, Basic Skills; measures: Value","Qualification: 5+ O level (Passes)/CSEs (Grade 1)/GCSEs (Grades A*-C), School Certificate, 1 A level/2-3 AS levels/VCEs, Higher Diploma, Welsh Baccalaureate Intermediate Diploma; measures: Value","Qualification: NVQ Level 2, Intermediate GNVQ, City and Guilds Craft, BTEC First/General Diploma, RSA Diploma; measures: Value","Qualification: Apprenticeship; measures: Value","Qualification: 2+ A levels/VCEs, 4+ AS levels, Higher School Certificate, Progression/Advanced Diploma, Welsh Baccalaureate Advanced Diploma; measures: Value","Qualification: NVQ Level 3, Advanced GNVQ, City and Guilds Advanced Craft, ONC, OND, BTEC National, RSA Advanced Diploma; measures: Value","Qualification: Degree (for example BA, BSc), Higher degree (for example MA, PhD, PGCE); measures: Value","Qualification: NVQ Level 4-5, HNC, HND, RSA Higher Diploma, BTEC Higher Level; measures: Value","Qualification: Professional qualifications (for example teaching, nursing, accountancy); measures: Value","Qualification: Other vocational/work-related qualifications; measures: Value","Qualification: Foreign qualifications; measures: Value"
"E01006512",2011,"Liverpool 031A","Total",1683,171,416,70,536,95,12,459,89,669,28,163,128,496
"E01006513",2011,"Liverpool 060A","Total",2888,154,972,132,1702,197,34,1539,214,740,63,200,225,523
"E01006514",2011,"Liverpool 037A","Total",2003,192,717,161,1096,229,25,926,189,683,77,225,294,235
"E01006515",2011,"Liverpool 037B","Total",1023,381,243,79,296,133,15,205,82,214,25,69,115,95
"E01006518",2011,"Liverpool 044A","Total",1425,668,321,114,223,188,28,120,130,147,27,69,161,88
"E01006519",2011,"Liverpool 056A","Total",1055,154,342,47,576,117,54,361,90,367,68,310,172,30
"E01006520",2011,"Liverpool 043A","Total",1616,251,529,136,838,222,40,681,210,755,93,335,280,116
"E01006521",2011,"Liverpool 052A","Total",1491,301,462,103,690,194,84,475,158,462,96,327,235,77
"E01006522",2011,"Liverpool 048A","Total",1602,238,571,129,888,203,38,710,165,743,71,340,306,95
"E01006523",2011,"Liverpool 052B","Total",1352,254,460,105,660,191,37,513,159,541,85,289,255,76
"E01006524",2011,"Liverpool 048B","Total",2300,303,863,73,1449,127,48,1352,111,447,47,267,259,113
"E01006525",2011,"Liverpool 049A","Total",1049,149,372,68,530,144,59,340,117,325,50,248,198,22
