"lsoa11cd","date","lsoa11nm","Rural Urban","Economic Activity (Student): All categories: Full-time students and economic activity; measures: Value","Economic Activity (Student): Full-time students: Economically active: In employment; measures: Value","Economic Activity (Student): Full-time students: Economically active: Unemployed; measures: Value","Economic Activity (Student): Full-time students: Economically inactive; measures: Value"
"E01006512",2011,"Liverpool 031A","Total",974,100,73,801
"E01006513",2011,"Liverpool 060A","Total",2062,453,217,1392
"E01006514",2011,"Liverpool 037A","Total",868,268,82,518
"E01006515",2011,"Liverpool 037B","Total",121,34,14,73
"E01006518",2011,"Liverpool 044A","Total",122,25,17,80
"E01006519",2011,"Liverpool 056A","Total",94,24,8,62
"E01006520",2011,"Liverpool 043A","Total",126,47,16,63
"E01006521",2011,"Liverpool 052A","Total",113,40,9,64
"E01006522",2011,"Liverpool 048A","Total",135,54,11,70
"E01006523",2011,"Liverpool 052B","Total",100,26,7,67
"E01006524",2011,"Liverpool 048B","Total",1220,180,144,896
"E01006525",2011,"Liverpool 049A","Total",98,37,6,55
"E01006526",2011,"Liverpool 048C","Total",78,29,17,32
"E01006527",2011,"Liverpool 053A","Total",184,52,24,108
"E01006528",2011,"Liverpool 052C","Total",180,56,15,109
"E01006529",2011,"Liverpool 048D","Total",87,36,5,46
"E01006530",2011,"Liverpool 055A","Total",88,31,9,48
"E01006531",2011,"Liverpool 055B","Total",87,25,7,55
"E01006532",2011,"Liverpool 047A","Total",104,28,5,71
"E01006533",2011,"Liverpool 055C","Total",75,27,7,41
"E01006534",2011,"Liverpool 054A","Total",124,32,12,80
"E01006535",2011,"Liverpool 054B","Total",109,36,15,58
"E01006536",2011,"Liverpool 054C","Total",117,32,11,74
"E01006537",2011,"Liverpool 055D","Total",123,38,16,69
"E01006538",2011,"Liverpool 055E","Total",77,28,5,44
"E01006539",2011,"Liverpool 047B","Total",103,42,3,58
"E01006540",2011,"Liverpool 024A","Total",121,24,21,76
"E01006541",2011,"Liverpool 015A","Total",85,28,11,46
"E01006542",2011,"Liverpool 018A","Total",92,32,4,56
"E01006543",2011,"Liverpool 015B","Total",92,36,10,46
"E01006544",2011,"Liverpool 015C","Total",118,23,9,86
"E01006545",2011,"Liverpool 019A","Total",97,26,9,62
"E01006546",2011,"Liverpool 019B","Total",74,22,8,44
"E01006547",2011,"Liverpool 019C","Total",117,26,12,79
"E01006548",2011,"Liverpool 019D","Total",155,42,15,98
"E01006549",2011,"Liverpool 043B","Total",275,78,28,169
"E01006550",2011,"Liverpool 038A","Total",971,237,66,668
"E01006551",2011,"Liverpool 048E","Total",446,84,45,317
"E01006552",2011,"Liverpool 039A","Total",243,49,41,153
"E01006553",2011,"Liverpool 042A","Total",833,238,72,523
"E01006554",2011,"Liverpool 048F","Total",632,169,50,413
"E01006556",2011,"Liverpool 039B","Total",250,61,26,163
"E01006557",2011,"Liverpool 038B","Total",1205,271,103,831
"E01006558",2011,"Liverpool 018B","Total",60,10,6,44
"E01006560",2011,"Liverpool 023A","Total",99,20,15,64
"E01006562",2011,"Liverpool 018E","Total",97,22,11,64
"E01006563",2011,"Liverpool 024B","Total",88,20,11,57
"E01006564",2011,"Liverpool 023B","Total",84,23,7,54
"E01006565",2011,"Liverpool 029A","Total",82,25,14,43
"E01006566",2011,"Liverpool 032A","Total",99,35,9,55
"E01006567",2011,"Liverpool 026A","Total",98,36,14,48
"E01006568",2011,"Liverpool 026B","Total",87,22,18,47
"E01006569",2011,"Liverpool 029B","Total",82,20,15,47
"E01006570",2011,"Liverpool 026C","Total",98,39,5,54
"E01006571",2011,"Liverpool 026D","Total",85,19,7,59
"E01006572",2011,"Liverpool 025A","Total",63,16,9,38
"E01006573",2011,"Liverpool 029C","Total",65,11,7,47
"E01006574",2011,"Liverpool 025B","Total",75,14,15,46
"E01006575",2011,"Liverpool 034A","Total",90,25,5,60
"E01006576",2011,"Liverpool 034B","Total",91,29,6,56
"E01006577",2011,"Liverpool 034C","Total",104,31,12,61
"E01006578",2011,"Liverpool 036A","Total",76,23,11,42
"E01006579",2011,"Liverpool 034D","Total",82,32,2,48
"E01006580",2011,"Liverpool 036B","Total",99,37,5,57
"E01006581",2011,"Liverpool 036C","Total",120,45,5,70
"E01006582",2011,"Liverpool 041A","Total",150,46,12,92
"E01006583",2011,"Liverpool 047C","Total",572,170,98,304
"E01006584",2011,"Liverpool 034E","Total",77,23,13,41
"E01006585",2011,"Liverpool 032B","Total",81,16,18,47
"E01006586",2011,"Liverpool 032C","Total",147,39,18,90
"E01006587",2011,"Liverpool 032D","Total",91,33,7,51
"E01006588",2011,"Liverpool 042C","Total",188,52,23,113
"E01006589",2011,"Liverpool 041B","Total",107,37,13,57
"E01006590",2011,"Liverpool 042D","Total",283,70,20,193
"E01006591",2011,"Liverpool 041C","Total",227,76,16,135
"E01006592",2011,"Liverpool 041D","Total",139,40,7,92
"E01006593",2011,"Liverpool 042E","Total",274,66,19,189
"E01006594",2011,"Liverpool 047D","Total",104,32,3,69
"E01006595",2011,"Liverpool 049B","Total",112,40,3,69
"E01006596",2011,"Liverpool 049C","Total",99,32,9,58
"E01006597",2011,"Liverpool 041E","Total",119,32,5,82
"E01006598",2011,"Liverpool 010A","Total",89,16,11,62
"E01006599",2011,"Liverpool 010B","Total",70,15,12,43
"E01006600",2011,"Liverpool 011A","Total",92,27,11,54
"E01006603",2011,"Liverpool 011B","Total",78,21,11,46
"E01006604",2011,"Liverpool 016A","Total",75,18,9,48
"E01006605",2011,"Liverpool 016B","Total",91,25,12,54
"E01006606",2011,"Liverpool 020A","Total",67,19,12,36
"E01006607",2011,"Liverpool 008A","Total",114,35,12,67
"E01006608",2011,"Liverpool 009A","Total",66,22,16,28
"E01006609",2011,"Liverpool 009B","Total",86,17,8,61
"E01006610",2011,"Liverpool 009C","Total",94,22,9,63
"E01006611",2011,"Liverpool 012A","Total",65,19,15,31
"E01006612",2011,"Liverpool 008B","Total",73,21,6,46
"E01006613",2011,"Liverpool 009D","Total",94,29,12,53
"E01006614",2011,"Liverpool 012B","Total",59,19,5,35
"E01006615",2011,"Liverpool 012C","Total",71,22,6,43
"E01006616",2011,"Liverpool 015D","Total",80,22,9,49
"E01006617",2011,"Liverpool 021A","Total",85,26,12,47
"E01006618",2011,"Liverpool 016C","Total",109,23,8,78
"E01006619",2011,"Liverpool 021B","Total",96,30,10,56
"E01006620",2011,"Liverpool 021C","Total",78,31,5,42
"E01006621",2011,"Liverpool 021D","Total",125,34,10,81
"E01006622",2011,"Liverpool 021E","Total",93,36,10,47
"E01006623",2011,"Liverpool 013A","Total",108,34,13,61
"E01006624",2011,"Liverpool 013B","Total",90,29,3,58
"E01006625",2011,"Liverpool 016D","Total",90,34,8,48
"E01006626",2011,"Liverpool 016E","Total",107,32,11,64
"E01006627",2011,"Liverpool 013C","Total",67,27,8,32
"E01006628",2011,"Liverpool 052D","Total",447,112,55,280
"E01006629",2011,"Liverpool 052E","Total",87,31,6,50
"E01006630",2011,"Liverpool 044B","Total",100,25,11,64
"E01006632",2011,"Liverpool 044C","Total",110,22,16,72
"E01006633",2011,"Liverpool 050B","Total",76,15,12,49
"E01006637",2011,"Liverpool 017A","Total",114,37,10,67
"E01006638",2011,"Liverpool 017B","Total",86,25,11,50
"E01006639",2011,"Liverpool 017C","Total",81,23,1,57
"E01006640",2011,"Liverpool 021F","Total",92,29,6,57
"E01006641",2011,"Liverpool 025C","Total",59,18,5,36
"E01006642",2011,"Liverpool 025D","Total",93,19,11,63
"E01006643",2011,"Liverpool 025E","Total",121,24,9,88
"E01006644",2011,"Liverpool 017D","Total",116,29,16,71
"E01006645",2011,"Liverpool 017E","Total",74,16,7,51
"E01006646",2011,"Liverpool 023C","Total",217,50,22,145
"E01006647",2011,"Liverpool 024C","Total",86,17,7,62
"E01006648",2011,"Liverpool 023D","Total",292,84,38,170
"E01006651",2011,"Liverpool 001A","Total",111,40,13,58
"E01006652",2011,"Liverpool 002A","Total",76,22,6,48
"E01006653",2011,"Liverpool 001B","Total",72,22,7,43
"E01006654",2011,"Liverpool 005A","Total",89,46,6,37
"E01006655",2011,"Liverpool 001C","Total",88,25,7,56
"E01006656",2011,"Liverpool 002B","Total",72,17,6,49
"E01006657",2011,"Liverpool 002C","Total",54,18,7,29
"E01006658",2011,"Liverpool 001D","Total",63,19,9,35
"E01006659",2011,"Liverpool 005B","Total",65,16,14,35
"E01006660",2011,"Liverpool 001E","Total",72,15,4,53
"E01006661",2011,"Liverpool 004A","Total",81,20,15,46
"E01006662",2011,"Liverpool 004B","Total",81,29,6,46
"E01006663",2011,"Liverpool 004C","Total",42,10,5,27
"E01006664",2011,"Liverpool 004D","Total",70,18,9,43
"E01006665",2011,"Liverpool 007A","Total",100,34,11,55
"E01006666",2011,"Liverpool 007B","Total",127,49,16,62
"E01006667",2011,"Liverpool 007C","Total",62,18,4,40
"E01006668",2011,"Liverpool 007D","Total",98,30,8,60
"E01006669",2011,"Liverpool 004E","Total",119,33,23,63
"E01006670",2011,"Liverpool 007E","Total",94,39,9,46
"E01006671",2011,"Liverpool 013D","Total",111,28,14,69
"E01006672",2011,"Liverpool 010E","Total",113,37,9,67
"E01006673",2011,"Liverpool 037D","Total",278,76,34,168
"E01006674",2011,"Liverpool 039C","Total",193,37,29,127
"E01006675",2011,"Liverpool 043C","Total",175,69,15,91
"E01006676",2011,"Liverpool 044D","Total",180,41,25,114
"E01006677",2011,"Liverpool 043D","Total",73,16,8,49
"E01006678",2011,"Liverpool 044E","Total",200,37,19,144
"E01006679",2011,"Liverpool 039D","Total",254,45,37,172
"E01006680",2011,"Liverpool 053B","Total",103,37,7,59
"E01006681",2011,"Liverpool 054D","Total",97,30,10,57
"E01006682",2011,"Liverpool 053C","Total",74,27,2,45
"E01006683",2011,"Liverpool 053D","Total",88,24,15,49
"E01006684",2011,"Liverpool 056B","Total",98,30,5,63
"E01006685",2011,"Liverpool 056C","Total",123,37,10,76
"E01006686",2011,"Liverpool 053E","Total",117,28,7,82
"E01006687",2011,"Liverpool 056D","Total",81,22,7,52
"E01006688",2011,"Liverpool 056E","Total",81,26,4,51
"E01006689",2011,"Liverpool 049D","Total",94,40,7,47
"E01006690",2011,"Liverpool 028A","Total",173,52,29,92
"E01006691",2011,"Liverpool 030A","Total",174,58,18,98
"E01006692",2011,"Liverpool 028B","Total",185,44,23,118
"E01006693",2011,"Liverpool 024D","Total",80,19,6,55
"E01006694",2011,"Liverpool 030B","Total",205,81,18,106
"E01006695",2011,"Liverpool 028C","Total",212,65,26,121
"E01006696",2011,"Liverpool 030C","Total",211,47,25,139
"E01006697",2011,"Liverpool 030D","Total",189,55,25,109
"E01006698",2011,"Liverpool 012D","Total",103,40,6,57
"E01006699",2011,"Liverpool 014A","Total",105,22,21,62
"E01006700",2011,"Liverpool 012E","Total",92,19,16,57
"E01006701",2011,"Liverpool 014B","Total",74,18,5,51
"E01006702",2011,"Liverpool 014C","Total",98,22,8,68
"E01006703",2011,"Liverpool 014D","Total",90,26,6,58
"E01006705",2011,"Liverpool 009E","Total",87,22,17,48
"E01006706",2011,"Liverpool 045A","Total",83,22,8,53
"E01006707",2011,"Liverpool 045B","Total",70,22,5,43
"E01006708",2011,"Liverpool 045C","Total",103,29,5,69
"E01006709",2011,"Liverpool 040A","Total",91,22,7,62
"E01006710",2011,"Liverpool 045D","Total",85,22,9,54
"E01006711",2011,"Liverpool 027A","Total",104,27,14,63
"E01006712",2011,"Liverpool 029D","Total",59,12,10,37
"E01006713",2011,"Liverpool 029E","Total",59,21,10,28
"E01006716",2011,"Liverpool 032E","Total",71,20,7,44
"E01006717",2011,"Liverpool 027D","Total",97,33,10,54
"E01006718",2011,"Liverpool 027E","Total",105,26,17,62
"E01006719",2011,"Liverpool 027F","Total",102,17,12,73
"E01006720",2011,"Liverpool 035A","Total",419,109,35,275
"E01006721",2011,"Liverpool 038C","Total",251,67,19,165
"E01006722",2011,"Liverpool 038D","Total",803,237,84,482
"E01006723",2011,"Liverpool 038E","Total",727,184,38,505
"E01006724",2011,"Liverpool 038F","Total",909,204,69,636
"E01006725",2011,"Liverpool 035B","Total",137,46,22,69
"E01006726",2011,"Liverpool 035C","Total",394,122,27,245
"E01006727",2011,"Liverpool 035D","Total",153,49,14,90
"E01006728",2011,"Liverpool 035E","Total",188,48,27,113
"E01006729",2011,"Liverpool 008C","Total",108,27,17,64
"E01006730",2011,"Liverpool 011C","Total",98,31,16,51
"E01006731",2011,"Liverpool 011D","Total",65,15,8,42
"E01006732",2011,"Liverpool 011E","Total",117,21,14,82
"E01006734",2011,"Liverpool 005C","Total",90,18,19,53
"E01006735",2011,"Liverpool 005D","Total",85,22,14,49
"E01006736",2011,"Liverpool 005E","Total",105,26,14,65
"E01006737",2011,"Liverpool 005F","Total",111,18,24,69
"E01006738",2011,"Liverpool 058A","Total",86,17,8,61
"E01006739",2011,"Liverpool 058B","Total",98,29,5,64
"E01006740",2011,"Liverpool 057A","Total",73,17,10,46
"E01006741",2011,"Liverpool 058C","Total",99,22,16,61
"E01006742",2011,"Liverpool 057B","Total",85,24,7,54
"E01006743",2011,"Liverpool 058D","Total",118,38,4,76
"E01006744",2011,"Liverpool 057C","Total",67,30,3,34
"E01006745",2011,"Liverpool 057D","Total",107,34,9,64
"E01006746",2011,"Liverpool 030E","Total",370,108,36,226
"E01006747",2011,"Liverpool 031B","Total",2523,529,278,1716
"E01006748",2011,"Liverpool 031C","Total",940,225,81,634
"E01006751",2011,"Liverpool 031F","Total",1051,173,113,765
"E01006752",2011,"Liverpool 035F","Total",131,38,8,85
"E01006753",2011,"Liverpool 059A","Total",85,29,10,46
"E01006754",2011,"Liverpool 059B","Total",86,24,3,59
"E01006755",2011,"Liverpool 059C","Total",73,9,11,53
"E01006756",2011,"Liverpool 059D","Total",89,14,12,63
"E01006757",2011,"Liverpool 059E","Total",89,16,4,69
"E01006758",2011,"Liverpool 059F","Total",85,16,5,64
"E01006759",2011,"Liverpool 028D","Total",82,27,8,47
"E01006760",2011,"Liverpool 028E","Total",173,53,12,108
"E01006761",2011,"Liverpool 020B","Total",92,31,6,55
"E01006762",2011,"Liverpool 015E","Total",93,29,9,55
"E01006763",2011,"Liverpool 020C","Total",93,21,11,61
"E01006764",2011,"Liverpool 020D","Total",126,38,11,77
"E01006765",2011,"Liverpool 020E","Total",98,27,13,58
"E01006766",2011,"Liverpool 019E","Total",84,33,5,46
"E01006767",2011,"Liverpool 019F","Total",161,36,20,105
"E01006768",2011,"Liverpool 020F","Total",105,23,11,71
"E01006769",2011,"Liverpool 040B","Total",55,8,5,42
"E01006770",2011,"Liverpool 040C","Total",51,10,4,37
"E01006771",2011,"Liverpool 040D","Total",96,23,5,68
"E01006772",2011,"Liverpool 040E","Total",64,21,6,37
"E01006773",2011,"Liverpool 036D","Total",79,25,5,49
"E01006774",2011,"Liverpool 036E","Total",118,37,12,69
"E01006775",2011,"Liverpool 040F","Total",80,22,5,53
"E01006776",2011,"Liverpool 022B","Total",101,28,7,66
"E01006778",2011,"Liverpool 014E","Total",161,32,29,100
"E01006779",2011,"Liverpool 022D","Total",123,31,8,84
"E01006780",2011,"Liverpool 002D","Total",75,26,8,41
"E01006781",2011,"Liverpool 003A","Total",96,44,12,40
"E01006782",2011,"Liverpool 003B","Total",104,46,12,46
"E01006783",2011,"Liverpool 002E","Total",86,24,9,53
"E01006784",2011,"Liverpool 003C","Total",80,30,13,37
"E01006785",2011,"Liverpool 003D","Total",105,39,9,57
"E01006786",2011,"Liverpool 003E","Total",87,39,9,39
"E01006787",2011,"Liverpool 006A","Total",165,55,13,97
