"lsoa11cd","date","lsoa11nm","Rural Urban","Hours Worked: All categories: Hours worked; measures: Value","Hours Worked: Part-time: Total; measures: Value","Hours Worked: Part-time: 15 hours or less worked; measures: Value","Hours Worked: Part-time: 16 to 30 hours worked; measures: Value","Hours Worked: Full-time: Total; measures: Value","Hours Worked: Full-time: 31 to 48 hours worked; measures: Value","Hours Worked: Full-time: 49 or more hours worked; measures: Value"
"E01006512",2011,"Liverpool 031A","Total",513,185,86,99,328,262,66
"E01006513",2011,"Liverpool 060A","Total",1052,543,354,189,509,410,99
"E01006514",2011,"Liverpool 037A","Total",926,425,237,188,501,409,92
"E01006515",2011,"Liverpool 037B","Total",482,148,49,99,334,284,50
"E01006518",2011,"Liverpool 044A","Total",562,205,40,165,357,318,39
"E01006519",2011,"Liverpool 056A","Total",643,182,58,124,461,384,77
"E01006520",2011,"Liverpool 043A","Total",1049,178,48,130,871,705,166
"E01006521",2011,"Liverpool 052A","Total",799,176,64,112,623,512,111
"E01006522",2011,"Liverpool 048A","Total",1027,162,65,97,865,699,166
"E01006523",2011,"Liverpool 052B","Total",812,183,51,132,629,507,122
"E01006524",2011,"Liverpool 048B","Total",767,287,175,112,480,372,108
"E01006525",2011,"Liverpool 049A","Total",638,181,60,121,457,386,71
"E01006526",2011,"Liverpool 048C","Total",698,184,56,128,514,428,86
"E01006527",2011,"Liverpool 053A","Total",658,194,67,127,464,388,76
"E01006528",2011,"Liverpool 052C","Total",760,198,72,126,562,452,110
"E01006529",2011,"Liverpool 048D","Total",709,168,54,114,541,456,85
"E01006530",2011,"Liverpool 055A","Total",648,191,63,128,457,386,71
"E01006531",2011,"Liverpool 055B","Total",570,153,39,114,417,359,58
"E01006532",2011,"Liverpool 047A","Total",729,207,78,129,522,382,140
"E01006533",2011,"Liverpool 055C","Total",581,188,52,136,393,326,67
"E01006534",2011,"Liverpool 054A","Total",709,219,58,161,490,413,77
"E01006535",2011,"Liverpool 054B","Total",739,219,64,155,520,442,78
"E01006536",2011,"Liverpool 054C","Total",775,261,74,187,514,464,50
"E01006537",2011,"Liverpool 055D","Total",1167,307,73,234,860,744,116
"E01006538",2011,"Liverpool 055E","Total",643,185,56,129,458,408,50
"E01006539",2011,"Liverpool 047B","Total",732,233,99,134,499,382,117
"E01006540",2011,"Liverpool 024A","Total",487,171,35,136,316,268,48
"E01006541",2011,"Liverpool 015A","Total",717,215,56,159,502,456,46
"E01006542",2011,"Liverpool 018A","Total",565,184,59,125,381,341,40
"E01006543",2011,"Liverpool 015B","Total",626,193,55,138,433,393,40
"E01006544",2011,"Liverpool 015C","Total",561,217,56,161,344,313,31
"E01006545",2011,"Liverpool 019A","Total",670,215,43,172,455,415,40
"E01006546",2011,"Liverpool 019B","Total",546,170,46,124,376,341,35
"E01006547",2011,"Liverpool 019C","Total",521,177,51,126,344,308,36
"E01006548",2011,"Liverpool 019D","Total",583,218,58,160,365,334,31
"E01006549",2011,"Liverpool 043B","Total",820,227,94,133,593,483,110
"E01006550",2011,"Liverpool 038A","Total",583,311,191,120,272,228,44
"E01006551",2011,"Liverpool 048E","Total",466,169,90,79,297,233,64
"E01006552",2011,"Liverpool 039A","Total",646,233,65,168,413,341,72
"E01006553",2011,"Liverpool 042A","Total",873,357,190,167,516,438,78
"E01006554",2011,"Liverpool 048F","Total",752,299,143,156,453,369,84
"E01006556",2011,"Liverpool 039B","Total",596,246,77,169,350,295,55
"E01006557",2011,"Liverpool 038B","Total",739,369,202,167,370,331,39
"E01006558",2011,"Liverpool 018B","Total",472,160,34,126,312,285,27
"E01006560",2011,"Liverpool 023A","Total",525,218,50,168,307,273,34
"E01006562",2011,"Liverpool 018E","Total",468,176,48,128,292,253,39
"E01006563",2011,"Liverpool 024B","Total",410,155,32,123,255,236,19
"E01006564",2011,"Liverpool 023B","Total",683,245,59,186,438,396,42
"E01006565",2011,"Liverpool 029A","Total",653,217,57,160,436,398,38
"E01006566",2011,"Liverpool 032A","Total",695,208,57,151,487,432,55
"E01006567",2011,"Liverpool 026A","Total",659,216,60,156,443,380,63
"E01006568",2011,"Liverpool 026B","Total",733,193,32,161,540,484,56
"E01006569",2011,"Liverpool 029B","Total",509,148,43,105,361,327,34
"E01006570",2011,"Liverpool 026C","Total",739,214,67,147,525,443,82
"E01006571",2011,"Liverpool 026D","Total",557,193,46,147,364,322,42
"E01006572",2011,"Liverpool 025A","Total",409,168,46,122,241,210,31
"E01006573",2011,"Liverpool 029C","Total",590,167,40,127,423,377,46
"E01006574",2011,"Liverpool 025B","Total",512,178,37,141,334,297,37
"E01006575",2011,"Liverpool 034A","Total",569,184,55,129,385,338,47
"E01006576",2011,"Liverpool 034B","Total",902,233,54,179,669,580,89
"E01006577",2011,"Liverpool 034C","Total",775,236,72,164,539,457,82
"E01006578",2011,"Liverpool 036A","Total",712,197,61,136,515,447,68
"E01006579",2011,"Liverpool 034D","Total",800,238,63,175,562,483,79
"E01006580",2011,"Liverpool 036B","Total",711,220,70,150,491,401,90
"E01006581",2011,"Liverpool 036C","Total",777,242,82,160,535,460,75
"E01006582",2011,"Liverpool 041A","Total",818,255,80,175,563,465,98
"E01006583",2011,"Liverpool 047C","Total",769,353,196,157,416,332,84
"E01006584",2011,"Liverpool 034E","Total",672,199,56,143,473,428,45
"E01006585",2011,"Liverpool 032B","Total",491,150,38,112,341,308,33
"E01006586",2011,"Liverpool 032C","Total",875,258,68,190,617,520,97
"E01006587",2011,"Liverpool 032D","Total",805,210,68,142,595,505,90
"E01006588",2011,"Liverpool 042C","Total",831,242,75,167,589,507,82
"E01006589",2011,"Liverpool 041B","Total",789,258,75,183,531,471,60
"E01006590",2011,"Liverpool 042D","Total",906,242,87,155,664,579,85
"E01006591",2011,"Liverpool 041C","Total",867,243,86,157,624,522,102
"E01006592",2011,"Liverpool 041D","Total",763,221,88,133,542,421,121
"E01006593",2011,"Liverpool 042E","Total",838,233,77,156,605,505,100
"E01006594",2011,"Liverpool 047D","Total",681,197,68,129,484,389,95
"E01006595",2011,"Liverpool 049B","Total",897,220,59,161,677,603,74
"E01006596",2011,"Liverpool 049C","Total",759,210,62,148,549,472,77
"E01006597",2011,"Liverpool 041E","Total",837,220,82,138,617,485,132
"E01006598",2011,"Liverpool 010A","Total",369,119,23,96,250,222,28
"E01006599",2011,"Liverpool 010B","Total",362,144,35,109,218,190,28
"E01006600",2011,"Liverpool 011A","Total",569,198,50,148,371,334,37
"E01006603",2011,"Liverpool 011B","Total",526,191,44,147,335,304,31
"E01006604",2011,"Liverpool 016A","Total",583,200,47,153,383,350,33
"E01006605",2011,"Liverpool 016B","Total",586,199,49,150,387,357,30
"E01006606",2011,"Liverpool 020A","Total",670,197,43,154,473,414,59
"E01006607",2011,"Liverpool 008A","Total",578,188,52,136,390,350,40
"E01006608",2011,"Liverpool 009A","Total",559,180,47,133,379,323,56
"E01006609",2011,"Liverpool 009B","Total",553,163,40,123,390,351,39
"E01006610",2011,"Liverpool 009C","Total",545,161,41,120,384,348,36
"E01006611",2011,"Liverpool 012A","Total",473,140,29,111,333,311,22
"E01006612",2011,"Liverpool 008B","Total",536,199,53,146,337,301,36
"E01006613",2011,"Liverpool 009D","Total",491,173,46,127,318,281,37
"E01006614",2011,"Liverpool 012B","Total",551,173,47,126,378,345,33
"E01006615",2011,"Liverpool 012C","Total",562,184,38,146,378,345,33
"E01006616",2011,"Liverpool 015D","Total",588,201,51,150,387,333,54
"E01006617",2011,"Liverpool 021A","Total",768,185,48,137,583,511,72
"E01006618",2011,"Liverpool 016C","Total",667,211,46,165,456,407,49
"E01006619",2011,"Liverpool 021B","Total",767,215,64,151,552,481,71
"E01006620",2011,"Liverpool 021C","Total",618,186,50,136,432,380,52
"E01006621",2011,"Liverpool 021D","Total",692,200,73,127,492,389,103
"E01006622",2011,"Liverpool 021E","Total",772,237,74,163,535,454,81
"E01006623",2011,"Liverpool 013A","Total",779,241,67,174,538,450,88
"E01006624",2011,"Liverpool 013B","Total",667,221,66,155,446,393,53
"E01006625",2011,"Liverpool 016D","Total",660,192,54,138,468,406,62
"E01006626",2011,"Liverpool 016E","Total",710,210,66,144,500,459,41
"E01006627",2011,"Liverpool 013C","Total",683,201,53,148,482,431,51
"E01006628",2011,"Liverpool 052D","Total",874,296,109,187,578,478,100
"E01006629",2011,"Liverpool 052E","Total",621,154,46,108,467,404,63
"E01006630",2011,"Liverpool 044B","Total",406,164,35,129,242,214,28
"E01006632",2011,"Liverpool 044C","Total",670,218,59,159,452,388,64
"E01006633",2011,"Liverpool 050B","Total",412,149,36,113,263,237,26
"E01006637",2011,"Liverpool 017A","Total",552,208,48,160,344,299,45
"E01006638",2011,"Liverpool 017B","Total",371,154,31,123,217,191,26
"E01006639",2011,"Liverpool 017C","Total",705,211,50,161,494,441,53
"E01006640",2011,"Liverpool 021F","Total",870,257,64,193,613,532,81
"E01006641",2011,"Liverpool 025C","Total",899,235,49,186,664,605,59
"E01006642",2011,"Liverpool 025D","Total",442,159,36,123,283,259,24
"E01006643",2011,"Liverpool 025E","Total",674,224,53,171,450,389,61
"E01006644",2011,"Liverpool 017D","Total",850,233,45,188,617,528,89
"E01006645",2011,"Liverpool 017E","Total",435,174,32,142,261,227,34
"E01006646",2011,"Liverpool 023C","Total",757,202,53,149,555,466,89
"E01006647",2011,"Liverpool 024C","Total",337,140,31,109,197,180,17
"E01006648",2011,"Liverpool 023D","Total",933,277,75,202,656,589,67
"E01006651",2011,"Liverpool 001A","Total",920,249,69,180,671,573,98
