"lsoa11cd","date","lsoa11nm","Rural Urban","Industry: All categories: Industry; measures: Value","Industry: A Agriculture, forestry and fishing; measures: Value","Industry: B Mining and quarrying; measures: Value","Industry: C Manufacturing; measures: Value","Industry: C10-12 Manufacturing: Food, beverages and tobacco; measures: Value","Industry: C13-15 Manufacturing: Textiles, wearing apparel and leather and related products; measures: Value","Industry: C16,17 Manufacturing: Wood, paper and paper products; measures: Value","Industry: C19-22 Manufacturing: Chemicals, chemical products, rubber and plastic; measures: Value","Industry: C23-25 Manufacturing: Low tech; measures: Value","Industry: C26-30 Manufacturing: High tech; measures: Value","Industry: C18, 31, 32 Manufacturing: Other; measures: Value","Industry: D Electricity, gas, steam and air conditioning supply; measures: Value","Industry: E Water supply, sewerage, waste management and remediation activities; measures: Value","Industry: F Construction; measures: Value","Industry: G Wholesale and retail trade; repair of motor vehicles and motor cycles; measures: Value","Industry: H Transport and storage; measures: Value","Industry: I Accommodation and food service activities; measures: Value","Industry: J Information and communication; measures: Value","Industry: K Financial and insurance activities; measures: Value","Industry: L Real estate activities; measures: Value","Industry: M Professional, scientific and technical activities; measures: Value","Industry: N Administrative and support service activities; measures: Value","Industry: O Public administration and defence; compulsory social security; measures: Value","Industry: P Education; measures: Value","Industry: Q Human health and social work activities; measures: Value","Industry: R,S Arts, entertainment and recreation; other service activities; measures: Value","Industry: T Activities of households as employers; undifferentiated goods - and services - producing activities of households for own use; measures: Value","Industry: U Activities of extraterritorial organisations and bodies; measures: Value"
"E01006512",2011,"Liverpool 031A","Total",513,0,0,24,3,0,1,4,5,3,8,0,1,9,56,8,86,18,4,3,32,15,22,111,89,33,2,0
"E01006513",2011,"Liverpool 060A","Total",1052,2,1,24,4,0,1,4,3,2,10,2,0,11,210,18,222,46,25,20,73,40,42,124,86,105,0,1
"E01006514",2011,"Liverpool 037A","Total",926,1,0,22,4,4,0,2,3,5,4,0,1,15,135,8,141,49,16,16,66,34,30,151,113,125,1,2
"E01006515",2011,"Liverpool 037B","Total",482,0,1,14,3,0,0,3,0,4,4,2,3,18,61,18,76,23,12,10,26,22,24,43,84,45,0,0
"E01006518",2011,"Liverpool 044A","Total",562,0,1,26,5,1,0,2,3,7,8,2,4,30,79,24,72,16,13,13,17,31,39,61,99,35,0,0
"E01006519",2011,"Liverpool 056A","Total",643,0,0,40,2,2,0,9,6,9,12,1,7,28,57,27,29,23,22,13,56,23,48,145,96,27,1,0
"E01006520",2011,"Liverpool 043A","Total",1049,1,0,57,9,3,2,18,5,7,13,3,4,41,82,22,50,72,26,28,96,40,64,169,223,70,0,1
"E01006521",2011,"Liverpool 052A","Total",799,0,1,48,3,1,1,16,2,12,13,2,2,34,81,16,34,34,25,20,76,28,51,140,155,52,0,0
"E01006522",2011,"Liverpool 048A","Total",1027,0,1,34,2,2,2,9,6,6,7,2,2,31,90,26,64,71,25,30,102,38,66,172,212,61,0,0
"E01006523",2011,"Liverpool 052B","Total",812,0,1,34,7,0,0,9,2,10,6,0,2,26,66,29,36,40,11,8,51,27,59,156,200,65,1,0
"E01006524",2011,"Liverpool 048B","Total",767,4,1,31,4,0,1,8,4,7,7,4,1,28,100,9,78,24,30,16,56,19,49,113,135,67,2,0
"E01006525",2011,"Liverpool 049A","Total",638,1,0,41,4,0,1,8,4,14,10,1,1,44,61,26,25,15,21,11,62,17,68,114,89,41,0,0
"E01006526",2011,"Liverpool 048C","Total",698,1,0,35,4,0,0,13,6,6,6,5,6,29,76,35,22,27,20,9,60,28,59,125,134,27,0,0
"E01006527",2011,"Liverpool 053A","Total",658,0,0,42,6,2,2,6,6,9,11,0,5,32,76,31,46,20,26,15,42,18,56,105,97,46,0,1
"E01006528",2011,"Liverpool 052C","Total",760,0,1,43,5,0,1,15,5,9,8,2,7,29,93,38,55,39,27,12,54,34,53,127,110,36,0,0
"E01006529",2011,"Liverpool 048D","Total",709,0,0,48,4,0,1,12,5,18,8,1,4,31,58,37,34,20,27,10,57,21,55,151,108,45,2,0
"E01006530",2011,"Liverpool 055A","Total",648,0,0,54,10,2,0,4,7,22,9,2,6,40,89,31,31,16,19,10,35,23,77,98,90,27,0,0
"E01006531",2011,"Liverpool 055B","Total",570,1,1,41,4,0,0,11,6,13,7,2,8,43,78,25,19,18,23,17,37,16,65,77,77,22,0,0
"E01006532",2011,"Liverpool 047A","Total",729,1,0,45,5,2,0,12,3,14,9,6,5,57,88,21,28,32,23,18,70,22,49,112,125,27,0,0
"E01006533",2011,"Liverpool 055C","Total",581,0,1,43,3,0,1,8,1,18,12,2,2,34,86,33,29,16,24,9,37,16,47,82,94,25,0,1
