"lsoa11cd","date","lsoa11nm","Rural Urban","NS-SeC: All categories: NS-SeC; measures: Value","NS-SeC: 1. Higher managerial, administrative and professional occupations; measures: Value","NS-SeC: 1.1 Large employers and higher managerial and administrative occupations; measures: Value","NS-SeC: L1 Employers in large establishments; measures: Value","NS-SeC: L2 Higher managerial and administrative occupations; measures: Value","NS-SeC: 1.2 Higher professional occupations; measures: Value","NS-SeC: L3.1 Traditional employees; measures: Value","NS-SeC: L3.2 New employees; measures: Value","NS-SeC: L3.3 Traditional self-employed; measures: Value","NS-SeC: L3.4 New self-employed; measures: Value","NS-SeC: 2. Lower managerial, administrative and professional occupations; measures: Value","NS-SeC: L4 Lower professional and higher technical occupations; measures: Value","NS-SeC: L4.1 Traditional employees; measures: Value","NS-SeC: L4.2 New employees; measures: Value","NS-SeC: L4.3 Traditional self-employed; measures: Value","NS-SeC: L4.4 New self-employed; measures: Value","NS-SeC: L5 Lower managerial and administrative occupations; measures: Value","NS-SeC: L6 Higher supervisory occupations; measures: Value","NS-SeC: 3. Intermediate occupations; measures: Value","NS-SeC: L7.1 Intermediate clerical and administrative occupations; measures: Value","NS-SeC: L7.2 Intermediate sales and service occupations; measures: Value","NS-SeC: L7.3 Intermediate technical and auxiliary occupations; measures: Value","NS-SeC: L7.4 Intermediate engineering occupations; measures: Value","NS-SeC: 4. Small employers and own account workers; measures: Value","NS-SeC: L8 Employers in small establishments; measures: Value","NS-SeC: L8.1 Employers in small establishments in industry, commerce, services etc.; measures: Value","NS-SeC: L8.2 Employers in small establishments in agriculture; measures: Value","NS-SeC: L9 Own account workers; measures: Value","NS-SeC: L9.1 Own account workers (non-professional); measures: Value","NS-SeC: L9.2 Own account workers (agriculture); measures: Value","NS-SeC: 5. Lower supervisory and technical occupations; measures: Value","NS-SeC: L10 Lower supervisory occupations; measures: Value","NS-SeC: L11 Lower technical occupations; measures: Value","NS-SeC: L11.1 Lower technical craft occupations; measures: Value","NS-SeC: L11.2 Lower technical process operative occupations; measures: Value","NS-SeC: 6. Semi-routine occupations; measures: Value","NS-SeC: L12.1 Semi-routine sales occupations; measures: Value","NS-SeC: L12.2 Semi-routine service occupations; measures: Value","NS-SeC: L12.3 Semi-routine technical occupations; measures: Value","NS-SeC: L12.4 Semi-routine operative occupations; measures: Value","NS-SeC: L12.5 Semi-routine agricultural occupations; measures: Value","NS-SeC: L12.6 Semi-routine clerical occupations; measures: Value","NS-SeC: L12.7 Semi-routine childcare occupations; measures: Value","NS-SeC: 7. Routine occupations; measures: Value","NS-SeC: L13.1 Routine sales and service occupations; measures: Value","NS-SeC: L13.2 Routine production occupations; measures: Value","NS-SeC: L13.3 Routine technical occupations; measures: Value","NS-SeC: L13.4 Routine operative occupations; measures: Value","NS-SeC: L13.5 Routine agricultural occupations; measures: Value","NS-SeC: 8. Never worked and long-term unemployed; measures: Value","NS-SeC: L14.1 Never worked; measures: Value","NS-SeC: L14.2 Long-term unemployed; measures: Value","NS-SeC: Not classified; measures: Value","NS-SeC: L15 Full-time students; measures: Value","NS-SeC: L17 Not classifiable for other reasons; measures: Value"
"E01006512",2011,"Liverpool 031A","Total",1666,156,11,0,11,145,121,13,9,2,134,106,90,2,11,3,15,13,58,36,10,9,3,35,8,8,0,27,27,0,42,25,17,16,1,84,27,42,4,9,0,1,1,52,20,4,8,20,0,131,109,22,974,974,0
"E01006513",2011,"Liverpool 060A","Total",2853,164,12,0,12,152,101,33,12,6,231,173,120,15,32,6,42,16,101,51,34,13,3,45,20,20,0,25,24,1,42,28,14,13,1,71,27,29,2,5,0,6,2,49,24,4,7,13,1,88,72,16,2062,2062,0
"E01006514",2011,"Liverpool 037A","Total",1955,168,17,1,16,151,111,20,18,2,308,237,175,6,54,2,48,23,106,61,22,18,5,75,23,21,2,52,52,0,65,42,23,20,3,111,33,53,3,11,1,5,5,111,38,4,22,46,1,143,95,48,868,868,0
"E01006515",2011,"Liverpool 037B","Total",921,67,6,0,6,61,43,13,3,2,141,97,75,4,18,0,34,10,85,54,19,10,2,43,18,18,0,25,23,2,73,36,37,33,4,135,42,65,3,13,0,9,3,116,25,19,18,54,0,140,121,19,121,121,0
"E01006518",2011,"Liverpool 044A","Total",1229,43,5,0,5,38,26,10,2,0,152,99,92,4,2,1,33,20,108,62,30,11,5,65,11,11,0,54,54,0,74,38,36,29,7,247,49,128,19,34,0,9,8,219,37,22,43,115,2,199,160,39,122,122,0
"E01006519",2011,"Liverpool 056A","Total",949,179,33,0,33,146,99,27,19,1,312,230,198,10,19,3,53,29,117,78,31,6,2,65,17,17,0,48,47,1,39,20,19,18,1,68,16,25,5,6,1,10,5,49,12,1,17,18,1,26,19,7,94,94,0
"E01006520",2011,"Liverpool 043A","Total",1523,300,30,0,30,270,203,47,18,2,435,358,279,26,52,1,54,23,147,96,30,21,0,90,16,16,0,74,71,3,78,46,32,30,2,138,32,71,4,15,0,12,4,76,16,4,15,41,0,133,85,48,126,126,0
"E01006521",2011,"Liverpool 052A","Total",1256,242,35,0,35,207,139,42,22,4,306,228,171,23,34,0,51,27,134,81,37,13,3,111,37,37,0,74,74,0,56,35,21,16,5,130,40,69,4,4,0,8,5,77,7,2,28,40,0,87,53,34,113,113,0
"E01006522",2011,"Liverpool 048A","Total",1564,269,21,0,21,248,196,38,10,4,423,356,282,30,43,1,43,24,171,102,49,18,2,88,24,24,0,64,63,1,74,43,31,26,5,124,26,66,8,7,1,11,5,106,23,10,26,46,1,174,118,56,135,135,0
"E01006523",2011,"Liverpool 052B","Total",1242,232,15,0,15,217,158,40,16,3,349,275,235,12,27,1,45,29,134,82,35,14,3,77,22,22,0,55,54,1,56,34,22,19,3,123,43,58,4,9,0,6,3,79,25,3,19,32,0,92,59,33,100,100,0
"E01006524",2011,"Liverpool 048B","Total",2033,211,18,0,18,193,138,20,31,4,247,161,129,15,13,4,50,36,110,76,24,8,2,73,23,23,0,50,49,1,41,25,16,13,3,56,10,25,0,10,0,7,4,29,9,4,5,11,0,46,41,5,1220,1220,0
