"lsoa11cd","date","lsoa11nm","Rural Urban","NS-SeC: All categories: NS-SeC of household reference person; measures: Value","NS-SeC: 1. Higher managerial, administrative and professional occupations; measures: Value","NS-SeC: 1.1 Large employers and higher managerial and administrative occupations; measures: Value","NS-SeC: L1 Employers in large establishments; measures: Value","NS-SeC: L2 Higher managerial and administrative occupations; measures: Value","NS-SeC: 1.2 Higher professional occupations; measures: Value","NS-SeC: L3.1 Traditional employees; measures: Value","NS-SeC: L3.2 New employees; measures: Value","NS-SeC: L3.3 Traditional self-employed; measures: Value","NS-SeC: L3.4 New self-employed; measures: Value","NS-SeC: 2. Lower managerial, administrative and professional occupations; measures: Value","NS-SeC: L4 Lower professional and higher technical occupations; measures: Value","NS-SeC: L4.1 Traditional employees; measures: Value","NS-SeC: L4.2 New employees; measures: Value","NS-SeC: L4.3 Traditional self-employed; measures: Value","NS-SeC: L4.4 New self-employed; measures: Value","NS-SeC: L5 Lower managerial and administrative occupations; measures: Value","NS-SeC: L6 Higher supervisory occupations; measures: Value","NS-SeC: 3. Intermediate occupations; measures: Value","NS-SeC: L7.1 Intermediate clerical and administrative occupations; measures: Value","NS-SeC: L7.2 Intermediate sales and service occupations; measures: Value","NS-SeC: L7.3 Intermediate technical and auxiliary occupations; measures: Value","NS-SeC: L7.4 Intermediate engineering occupations; measures: Value","NS-SeC: 4. Small employers and own account workers; measures: Value","NS-SeC: L8 Employers in small establishments; measures: Value","NS-SeC: L8.1 Employers in small establishments in industry, commerce, services etc.; measures: Value","NS-SeC: L8.2 Employers in small establishments in agriculture; measures: Value","NS-SeC: L9 Own account workers; measures: Value","NS-SeC: L9.1 Own account workers (non-professional); measures: Value","NS-SeC: L9.2 Own account workers (agriculture); measures: Value","NS-SeC: 5. Lower supervisory and technical occupations; measures: Value","NS-SeC: L10 Lower supervisory occupations; measures: Value","NS-SeC: L11 Lower technical occupations; measures: Value","NS-SeC: L11.1 Lower technical craft occupations; measures: Value","NS-SeC: L11.2 Lower technical process operative occupations; measures: Value","NS-SeC: 6. Semi-routine occupations; measures: Value","NS-SeC: L12.1 Semi-routine sales occupations; measures: Value","NS-SeC: L12.2 Semi-routine service occupations; measures: Value","NS-SeC: L12.3 Semi-routine technical occupations; measures: Value","NS-SeC: L12.4 Semi-routine operative occupations; measures: Value","NS-SeC: L12.5 Semi-routine agricultural occupations; measures: Value","NS-SeC: L12.6 Semi-routine clerical occupations; measures: Value","NS-SeC: L12.7 Semi-routine childcare occupations; measures: Value","NS-SeC: 7. Routine occupations; measures: Value","NS-SeC: L13.1 Routine sales and service occupations; measures: Value","NS-SeC: L13.2 Routine production occupations; measures: Value","NS-SeC: L13.3 Routine technical occupations; measures: Value","NS-SeC: L13.4 Routine operative occupations; measures: Value","NS-SeC: L13.5 Routine agricultural occupations; measures: Value","NS-SeC: 8. Never worked and long-term unemployed; measures: Value","NS-SeC: L14.1 Never worked; measures: Value","NS-SeC: L14.2 Long-term unemployed; measures: Value","NS-SeC: Not classified; measures: Value","NS-SeC: L15 Full-time students; measures: Value","NS-SeC: L17 Not classifiable for other reasons; measures: Value"
"E01006512",2011,"Liverpool 031A","Total",1420,187,14,0,14,173,150,15,7,1,166,134,117,1,14,2,20,12,63,43,9,10,1,59,13,13,0,46,46,0,63,46,17,15,2,110,31,56,0,19,0,4,0,70,25,7,14,24,0,113,89,24,589,589,0
"E01006513",2011,"Liverpool 060A","Total",1691,191,17,0,17,174,111,35,19,9,268,185,141,13,26,5,58,25,106,59,32,12,3,57,19,19,0,38,38,0,47,27,20,18,2,87,34,36,1,8,0,4,4,64,29,7,9,19,0,76,70,6,795,795,0
"E01006514",2011,"Liverpool 037A","Total",1758,198,19,2,17,179,128,30,20,1,380,281,207,11,61,2,68,31,121,70,19,28,4,87,28,26,2,59,59,0,73,43,30,27,3,118,39,54,4,6,0,4,11,126,46,3,22,54,1,118,72,46,537,537,0
"E01006515",2011,"Liverpool 037B","Total",1208,105,9,0,9,96,64,23,7,2,175,128,104,5,19,0,27,20,84,55,15,12,2,71,24,24,0,47,45,2,125,58,67,65,2,193,63,94,1,24,0,8,3,202,32,36,27,107,0,179,151,28,74,74,0
"E01006518",2011,"Liverpool 044A","Total",1630,72,10,0,10,62,43,16,3,0,205,124,115,3,3,3,56,25,145,100,28,10,7,81,20,20,0,61,61,0,144,82,62,47,15,371,68,195,33,51,0,6,18,347,46,27,76,196,2,227,175,52,38,38,0
"E01006519",2011,"Liverpool 056A","Total",1286,319,70,0,70,249,150,68,30,1,475,336,272,31,25,8,89,50,132,84,37,6,5,109,36,36,0,73,73,0,83,35,48,45,3,65,14,21,13,6,0,7,4,65,10,2,30,23,0,22,13,9,16,16,0
"E01006520",2011,"Liverpool 043A","Total",1685,356,45,0,45,311,219,55,34,3,497,408,314,27,65,2,52,37,169,121,26,22,0,101,22,22,0,79,76,3,96,63,33,32,1,156,26,85,8,20,0,10,7,100,18,6,21,55,0,128,82,46,82,82,0
"E01006521",2011,"Liverpool 052A","Total",1619,360,46,0,46,314,199,68,33,14,410,296,225,26,45,0,80,34,169,103,42,19,5,158,63,63,0,95,95,0,85,48,37,30,7,183,50,86,10,11,0,16,10,104,12,3,32,56,1,79,48,31,71,71,0
"E01006522",2011,"Liverpool 048A","Total",1670,342,33,0,33,309,248,42,15,4,474,403,319,35,49,0,37,34,169,101,50,16,2,124,36,36,0,88,87,1,77,36,41,33,8,149,32,77,9,9,0,15,7,101,14,13,21,51,2,163,108,55,71,71,0
"E01006523",2011,"Liverpool 052B","Total",1473,300,19,0,19,281,194,55,26,6,448,337,286,16,34,1,75,36,138,86,34,17,1,99,18,18,0,81,81,0,75,45,30,24,6,158,59,59,6,18,0,14,2,99,25,6,27,41,0,98,70,28,58,58,0
"E01006524",2011,"Liverpool 048B","Total",1079,327,34,0,34,293,196,35,55,7,306,191,148,17,23,3,69,46,114,71,29,6,8,99,37,37,0,62,61,1,66,39,27,20,7,62,14,24,2,7,0,9,6,33,5,8,7,13,0,25,17,8,47,47,0
