"lsoa11cd","date","lsoa11nm","Rural Urban","Social Grade: Approximated social grade; measures: Value","Social Grade: Approximated social grade AB; measures: Value","Social Grade: Approximated social grade C1; measures: Value","Social Grade: Approximated social grade C2; measures: Value","Social Grade: Approximated social grade DE; measures: Value"
"E01006512",2011,"Liverpool 031A","Total",767,157,420,37,153
"E01006513",2011,"Liverpool 060A","Total",865,174,554,43,94
"E01006514",2011,"Liverpool 037A","Total",1029,190,582,59,198
"E01006515",2011,"Liverpool 037B","Total",498,77,160,58,203
"E01006518",2011,"Liverpool 044A","Total",615,55,145,106,309
"E01006519",2011,"Liverpool 056A","Total",365,191,103,36,35
"E01006520",2011,"Liverpool 043A","Total",1021,344,361,90,226
"E01006521",2011,"Liverpool 052A","Total",664,244,200,74,146
"E01006522",2011,"Liverpool 048A","Total",1025,334,338,84,269
"E01006523",2011,"Liverpool 052B","Total",712,266,227,61,158
"E01006524",2011,"Liverpool 048B","Total",441,192,169,37,43
"E01006525",2011,"Liverpool 049A","Total",332,129,124,45,34
"E01006526",2011,"Liverpool 048C","Total",499,162,166,83,88
"E01006527",2011,"Liverpool 053A","Total",430,124,144,63,99
"E01006528",2011,"Liverpool 052C","Total",522,165,187,67,103
"E01006529",2011,"Liverpool 048D","Total",437,174,147,53,63
"E01006530",2011,"Liverpool 055A","Total",369,88,141,75,65
"E01006531",2011,"Liverpool 055B","Total",323,86,130,58,49
"E01006532",2011,"Liverpool 047A","Total",387,190,116,38,43
"E01006533",2011,"Liverpool 055C","Total",401,117,118,76,90
"E01006534",2011,"Liverpool 054A","Total",486,85,160,88,153
"E01006535",2011,"Liverpool 054B","Total",469,92,161,92,124
"E01006536",2011,"Liverpool 054C","Total",587,76,165,114,232
"E01006537",2011,"Liverpool 055D","Total",795,132,260,156,247
"E01006538",2011,"Liverpool 055E","Total",364,74,106,78,106
"E01006539",2011,"Liverpool 047B","Total",417,204,125,49,39
"E01006540",2011,"Liverpool 024A","Total",635,41,158,94,342
"E01006541",2011,"Liverpool 015A","Total",574,59,160,130,225
"E01006542",2011,"Liverpool 018A","Total",479,37,116,96,230
"E01006543",2011,"Liverpool 015B","Total",359,35,106,106,112
"E01006544",2011,"Liverpool 015C","Total",568,21,140,97,310
"E01006545",2011,"Liverpool 019A","Total",500,42,156,98,204
"E01006546",2011,"Liverpool 019B","Total",480,37,119,94,230
"E01006547",2011,"Liverpool 019C","Total",579,31,149,98,301
"E01006548",2011,"Liverpool 019D","Total",613,41,164,111,297
"E01006549",2011,"Liverpool 043B","Total",883,221,306,94,262
"E01006550",2011,"Liverpool 038A","Total",429,73,260,35,61
"E01006551",2011,"Liverpool 048E","Total",470,133,128,53,156
"E01006552",2011,"Liverpool 039A","Total",778,103,250,119,306
"E01006553",2011,"Liverpool 042A","Total",579,159,275,44,101
"E01006554",2011,"Liverpool 048F","Total",588,202,232,51,103
"E01006556",2011,"Liverpool 039B","Total",878,61,225,97,495
"E01006557",2011,"Liverpool 038B","Total",572,85,353,32,102
"E01006558",2011,"Liverpool 018B","Total",597,16,126,102,353
"E01006560",2011,"Liverpool 023A","Total",712,20,106,131,455
"E01006562",2011,"Liverpool 018E","Total",586,20,108,84,374
"E01006563",2011,"Liverpool 024B","Total",590,11,149,95,335
"E01006564",2011,"Liverpool 023B","Total",552,33,126,117,276
"E01006565",2011,"Liverpool 029A","Total",424,45,122,97,160
"E01006566",2011,"Liverpool 032A","Total",427,75,145,86,121
"E01006567",2011,"Liverpool 026A","Total",611,50,166,140,255
"E01006568",2011,"Liverpool 026B","Total",501,83,175,108,135
"E01006569",2011,"Liverpool 029B","Total",395,39,108,89,159
"E01006570",2011,"Liverpool 026C","Total",431,87,141,95,108
"E01006571",2011,"Liverpool 026D","Total",440,25,126,94,195
"E01006572",2011,"Liverpool 025A","Total",373,15,90,81,187
"E01006573",2011,"Liverpool 029C","Total",552,53,170,105,224
"E01006574",2011,"Liverpool 025B","Total",423,36,109,95,183
"E01006575",2011,"Liverpool 034A","Total",394,78,145,66,105
"E01006576",2011,"Liverpool 034B","Total",521,121,195,101,104
"E01006577",2011,"Liverpool 034C","Total",432,165,141,69,57
"E01006578",2011,"Liverpool 036A","Total",410,101,168,78,63
"E01006579",2011,"Liverpool 034D","Total",414,130,138,68,78
"E01006580",2011,"Liverpool 036B","Total",369,144,125,57,43
"E01006581",2011,"Liverpool 036C","Total",432,151,164,70,47
"E01006582",2011,"Liverpool 041A","Total",435,167,150,67,51
"E01006583",2011,"Liverpool 047C","Total",302,135,113,33,21
"E01006584",2011,"Liverpool 034E","Total",446,80,148,106,112
"E01006585",2011,"Liverpool 032B","Total",447,47,119,84,197
"E01006586",2011,"Liverpool 032C","Total",709,128,219,129,233
"E01006587",2011,"Liverpool 032D","Total",589,116,218,86,169
"E01006588",2011,"Liverpool 042C","Total",564,174,213,88,89
"E01006589",2011,"Liverpool 041B","Total",441,136,150,83,72
"E01006590",2011,"Liverpool 042D","Total",581,188,235,62,96
"E01006591",2011,"Liverpool 041C","Total",543,230,187,57,69
"E01006592",2011,"Liverpool 041D","Total",399,221,111,38,29
"E01006593",2011,"Liverpool 042E","Total",560,186,220,61,93
"E01006594",2011,"Liverpool 047D","Total",381,170,130,37,44
"E01006595",2011,"Liverpool 049B","Total",589,190,216,88,95
"E01006596",2011,"Liverpool 049C","Total",435,156,152,61,66
"E01006597",2011,"Liverpool 041E","Total",486,231,145,56,54
"E01006598",2011,"Liverpool 010A","Total",426,12,90,76,248
"E01006599",2011,"Liverpool 010B","Total",396,11,84,65,236
"E01006600",2011,"Liverpool 011A","Total",396,23,105,85,183
"E01006603",2011,"Liverpool 011B","Total",392,28,96,87,181
"E01006604",2011,"Liverpool 016A","Total",404,34,112,84,174
"E01006605",2011,"Liverpool 016B","Total",485,36,126,108,215
"E01006606",2011,"Liverpool 020A","Total",545,48,157,114,226
"E01006607",2011,"Liverpool 008A","Total",462,20,113,84,245
"E01006608",2011,"Liverpool 009A","Total",434,49,134,89,162
"E01006609",2011,"Liverpool 009B","Total",442,31,146,82,183
"E01006610",2011,"Liverpool 009C","Total",479,25,126,104,224
"E01006611",2011,"Liverpool 012A","Total",613,27,153,132,301
"E01006612",2011,"Liverpool 008B","Total",531,27,121,116,267
