"lsoa11cd","date","lsoa11nm","Rural Urban","Year Last Worked: All categories: Year last worked; measures: Value","Year Last Worked: In employment; measures: Value","Year Last Worked: Not in employment: Total; measures: Value","Year Last Worked: Last worked in 2011; measures: Value","Year Last Worked: Last worked in 2010; measures: Value","Year Last Worked: Last worked in 2009; measures: Value","Year Last Worked: Last worked in 2008; measures: Value","Year Last Worked: Last worked in 2007; measures: Value","Year Last Worked: Last worked in 2006; measures: Value","Year Last Worked: Last worked in 2001 - 2005; measures: Value","Year Last Worked: Last worked before 2001; measures: Value","Year Last Worked: Never worked; measures: Value"
"E01006512",2011,"Liverpool 031A","Total",1666,513,1153,37,185,80,50,17,22,27,47,688
"E01006513",2011,"Liverpool 060A","Total",2853,1052,1801,144,554,155,57,25,9,23,35,799
"E01006514",2011,"Liverpool 037A","Total",1955,926,1029,91,291,90,54,28,21,76,115,263
"E01006515",2011,"Liverpool 037B","Total",921,482,439,10,57,23,16,10,8,27,124,164
"E01006518",2011,"Liverpool 044A","Total",1229,562,667,9,58,31,24,10,16,64,225,230
"E01006519",2011,"Liverpool 056A","Total",949,643,306,7,37,25,17,13,11,40,83,73
"E01006520",2011,"Liverpool 043A","Total",1523,1049,474,23,78,34,22,13,21,40,130,113
"E01006521",2011,"Liverpool 052A","Total",1256,799,457,13,74,35,18,23,10,63,136,85
"E01006522",2011,"Liverpool 048A","Total",1564,1027,537,31,69,47,34,25,15,55,119,142
"E01006523",2011,"Liverpool 052B","Total",1242,812,430,21,69,36,23,18,10,51,120,82
"E01006524",2011,"Liverpool 048B","Total",2033,767,1266,107,486,76,33,19,15,49,76,405
"E01006525",2011,"Liverpool 049A","Total",942,638,304,10,55,28,20,6,11,53,71,50
"E01006526",2011,"Liverpool 048C","Total",1029,698,331,11,43,27,14,11,19,48,95,63
"E01006527",2011,"Liverpool 053A","Total",1103,658,445,31,70,25,22,12,14,59,122,90
"E01006528",2011,"Liverpool 052C","Total",1157,760,397,30,80,36,20,17,13,50,80,71
"E01006529",2011,"Liverpool 048D","Total",1007,709,298,18,40,16,20,13,4,51,82,54
"E01006530",2011,"Liverpool 055A","Total",1005,648,357,11,36,30,12,13,22,63,111,59
"E01006531",2011,"Liverpool 055B","Total",997,570,427,11,39,29,20,12,19,77,157,63
"E01006532",2011,"Liverpool 047A","Total",1132,729,403,12,47,29,17,20,15,52,132,79
"E01006533",2011,"Liverpool 055C","Total",992,581,411,11,52,39,27,8,13,57,131,73
"E01006534",2011,"Liverpool 054A","Total",1158,709,449,15,38,20,15,18,18,49,152,124
"E01006535",2011,"Liverpool 054B","Total",1222,739,483,12,48,23,12,18,13,38,162,157
"E01006536",2011,"Liverpool 054C","Total",1386,775,611,14,58,55,27,16,15,90,191,145
"E01006537",2011,"Liverpool 055D","Total",1728,1167,561,18,76,54,36,21,16,71,148,121
"E01006538",2011,"Liverpool 055E","Total",972,643,329,9,37,18,8,10,6,42,118,81
"E01006539",2011,"Liverpool 047B","Total",1117,732,385,10,34,36,28,17,13,47,101,99
"E01006540",2011,"Liverpool 024A","Total",1139,487,652,22,56,55,39,18,21,57,133,251
"E01006541",2011,"Liverpool 015A","Total",1211,717,494,14,40,33,18,12,15,67,155,140
"E01006542",2011,"Liverpool 018A","Total",1025,565,460,21,39,23,17,10,9,49,118,174
"E01006543",2011,"Liverpool 015B","Total",966,626,340,16,35,16,17,10,14,39,120,73
"E01006544",2011,"Liverpool 015C","Total",1190,561,629,17,45,39,16,10,25,69,196,212
"E01006545",2011,"Liverpool 019A","Total",1083,670,413,10,50,27,27,11,13,47,123,105
"E01006546",2011,"Liverpool 019B","Total",942,546,396,14,64,29,28,12,18,56,74,101
"E01006547",2011,"Liverpool 019C","Total",1125,521,604,22,83,45,21,27,26,54,152,174
"E01006548",2011,"Liverpool 019D","Total",1177,583,594,21,88,43,30,19,16,70,143,164
"E01006549",2011,"Liverpool 043B","Total",1456,820,636,47,152,50,24,20,20,54,81,188
"E01006550",2011,"Liverpool 038A","Total",1466,583,883,94,363,99,64,22,7,30,43,161
"E01006551",2011,"Liverpool 048E","Total",1298,466,832,51,205,32,27,17,10,74,187,229
"E01006552",2011,"Liverpool 039A","Total",1403,646,757,57,96,50,33,14,24,64,99,320
"E01006553",2011,"Liverpool 042A","Total",1673,873,800,79,261,91,59,17,9,31,59,194
"E01006554",2011,"Liverpool 048F","Total",1500,752,748,82,232,63,42,17,19,38,70,185
"E01006556",2011,"Liverpool 039B","Total",1510,596,914,30,91,53,29,28,16,72,141,454
"E01006557",2011,"Liverpool 038B","Total",1874,739,1135,141,423,131,93,19,14,30,31,253
"E01006558",2011,"Liverpool 018B","Total",1057,472,585,24,64,41,26,20,23,54,157,176
"E01006560",2011,"Liverpool 023A","Total",1419,525,894,14,90,48,27,26,21,82,336,250
"E01006562",2011,"Liverpool 018E","Total",1109,468,641,21,58,32,19,17,19,73,187,215
"E01006563",2011,"Liverpool 024B","Total",1224,410,814,19,71,40,35,18,26,74,287,244
"E01006564",2011,"Liverpool 023B","Total",1354,683,671,18,57,45,34,27,20,79,247,144
"E01006565",2011,"Liverpool 029A","Total",1119,653,466,8,41,28,23,13,9,58,156,130
"E01006566",2011,"Liverpool 032A","Total",1078,695,383,13,51,33,17,9,13,50,103,94
"E01006567",2011,"Liverpool 026A","Total",1237,659,578,22,53,44,22,9,22,64,183,159
"E01006568",2011,"Liverpool 026B","Total",1145,733,412,10,46,37,20,19,13,48,106,113
"E01006569",2011,"Liverpool 029B","Total",1035,509,526,13,55,31,29,15,16,55,183,129
"E01006570",2011,"Liverpool 026C","Total",1082,739,343,15,30,15,18,14,12,32,123,84
"E01006571",2011,"Liverpool 026D","Total",1050,557,493,14,54,29,13,14,20,44,150,155
"E01006572",2011,"Liverpool 025A","Total",834,409,425,7,34,23,22,6,10,67,137,119
"E01006573",2011,"Liverpool 029C","Total",1055,590,465,11,61,23,26,16,17,64,149,98
"E01006574",2011,"Liverpool 025B","Total",966,512,454,11,38,40,21,16,18,48,140,122
"E01006575",2011,"Liverpool 034A","Total",956,569,387,13,39,17,14,12,17,53,132,90
"E01006576",2011,"Liverpool 034B","Total",1264,902,362,16,42,22,20,14,12,58,113,65
"E01006577",2011,"Liverpool 034C","Total",1106,775,331,15,27,27,19,14,11,55,85,78
"E01006578",2011,"Liverpool 036A","Total",1020,712,308,10,37,25,22,11,10,54,82,57
"E01006579",2011,"Liverpool 034D","Total",1177,800,377,12,54,22,23,13,16,64,108,65
"E01006580",2011,"Liverpool 036B","Total",1015,711,304,11,32,29,12,25,16,44,70,65
"E01006581",2011,"Liverpool 036C","Total",1152,777,375,22,60,29,27,10,17,48,94,68
"E01006582",2011,"Liverpool 041A","Total",1192,818,374,12,49,36,18,16,13,41,90,99
"E01006583",2011,"Liverpool 047C","Total",1408,769,639,51,227,44,24,19,13,45,74,142
"E01006584",2011,"Liverpool 034E","Total",1042,672,370,16,32,31,20,16,20,69,98,68
"E01006585",2011,"Liverpool 032B","Total",1005,491,514,23,49,33,23,10,12,71,173,120
"E01006586",2011,"Liverpool 032C","Total",1460,875,585,12,96,38,33,24,6,68,156,152
"E01006587",2011,"Liverpool 032D","Total",1280,805,475,13,58,32,32,15,10,77,129,109
"E01006588",2011,"Liverpool 042C","Total",1264,831,433,25,76,36,28,12,20,44,97,95
"E01006589",2011,"Liverpool 041B","Total",1116,789,327,10,37,21,14,12,14,59,80,80
"E01006590",2011,"Liverpool 042D","Total",1369,906,463,32,116,40,24,12,12,30,97,100
"E01006591",2011,"Liverpool 041C","Total",1289,867,422,21,82,38,27,15,16,49,69,105
"E01006592",2011,"Liverpool 041D","Total",1136,763,373,17,52,40,26,9,15,59,93,62
"E01006593",2011,"Liverpool 042E","Total",1255,838,417,25,106,50,30,11,3,39,64,89
"E01006594",2011,"Liverpool 047D","Total",1054,681,373,13,53,26,20,19,19,61,87,75
"E01006595",2011,"Liverpool 049B","Total",1313,897,416,15,62,40,15,12,19,56,117,80
"E01006596",2011,"Liverpool 049C","Total",1095,759,336,12,39,34,14,16,8,53,83,77
"E01006597",2011,"Liverpool 041E","Total",1232,837,395,14,67,27,26,10,20,68,97,66
"E01006598",2011,"Liverpool 010A","Total",927,369,558,9,50,33,30,18,19,50,185,164
"E01006599",2011,"Liverpool 010B","Total",778,362,416,10,57,32,11,13,9,56,112,116
"E01006600",2011,"Liverpool 011A","Total",1030,569,461,10,38,25,18,9,8,46,182,125
"E01006603",2011,"Liverpool 011B","Total",1025,526,499,10,43,28,20,9,18,71,158,142
"E01006604",2011,"Liverpool 016A","Total",1019,583,436,16,35,31,25,6,15,40,167,101
"E01006605",2011,"Liverpool 016B","Total",1121,586,535,4,52,29,30,17,13,72,178,140
"E01006606",2011,"Liverpool 020A","Total",1155,670,485,11,36,34,22,11,15,66,176,114
"E01006607",2011,"Liverpool 008A","Total",1084,578,506,6,37,24,16,20,8,60,190,145
"E01006608",2011,"Liverpool 009A","Total",926,559,367,9,35,24,20,12,10,46,130,81
"E01006609",2011,"Liverpool 009B","Total",975,553,422,16,42,28,19,15,12,45,110,135
"E01006610",2011,"Liverpool 009C","Total",1015,545,470,9,37,17,24,13,14,59,141,156
"E01006611",2011,"Liverpool 012A","Total",994,473,521,17,52,43,18,18,20,47,152,154
"E01006612",2011,"Liverpool 008B","Total",1073,536,537,12,43,24,27,14,18,52,199,148
"E01006613",2011,"Liverpool 009D","Total",1016,491,525,10,57,33,20,19,8,57,196,125
"E01006614",2011,"Liverpool 012B","Total",989,551,438,12,61,35,23,16,17,50,129,95
"E01006615",2011,"Liverpool 012C","Total",998,562,436,10,47,32,19,9,10,55,137,117
"E01006616",2011,"Liverpool 015D","Total",1068,588,480,12,54,29,22,13,11,60,178,101
"E01006617",2011,"Liverpool 021A","Total",1093,768,325,12,40,26,9,14,13,42,92,77
"E01006618",2011,"Liverpool 016C","Total",1205,667,538,8,56,26,18,12,18,70,196,134
"E01006619",2011,"Liverpool 021B","Total",1196,767,429,19,55,31,27,25,21,45,117,89
"E01006620",2011,"Liverpool 021C","Total",1021,618,403,11,53,30,10,17,17,65,138,62
"E01006621",2011,"Liverpool 021D","Total",1123,692,431,13,48,28,15,18,17,63,143,86
"E01006622",2011,"Liverpool 021E","Total",1097,772,325,7,31,25,16,10,16,56,96,68
"E01006623",2011,"Liverpool 013A","Total",1150,779,371,8,47,25,18,14,17,45,105,92
"E01006624",2011,"Liverpool 013B","Total",1174,667,507,13,51,49,24,21,19,52,145,133
"E01006625",2011,"Liverpool 016D","Total",1010,660,350,8,36,33,9,13,11,50,104,86
"E01006626",2011,"Liverpool 016E","Total",1116,710,406,16,44,20,24,14,20,60,121,87
"E01006627",2011,"Liverpool 013C","Total",1033,683,350,8,54,29,13,19,11,32,108,76
"E01006628",2011,"Liverpool 052D","Total",1525,874,651,45,199,53,33,18,11,52,93,147
"E01006629",2011,"Liverpool 052E","Total",1008,621,387,15,44,22,24,14,18,47,117,86
"E01006630",2011,"Liverpool 044B","Total",970,406,564,16,52,32,23,13,8,40,168,212
"E01006632",2011,"Liverpool 044C","Total",1352,670,682,32,80,37,31,24,25,78,179,196
"E01006633",2011,"Liverpool 050B","Total",1036,412,624,10,55,24,22,22,13,55,232,191
"E01006637",2011,"Liverpool 017A","Total",1109,552,557,25,58,37,27,9,20,58,140,183
"E01006638",2011,"Liverpool 017B","Total",872,371,501,11,41,40,23,12,11,58,152,153
"E01006639",2011,"Liverpool 017C","Total",1097,705,392,10,48,26,16,14,8,42,114,114
"E01006640",2011,"Liverpool 021F","Total",1358,870,488,10,65,35,26,11,20,62,141,118
"E01006641",2011,"Liverpool 025C","Total",1187,899,288,6,40,22,17,9,13,25,81,75
"E01006642",2011,"Liverpool 025D","Total",900,442,458,6,34,36,24,13,9,53,122,161
"E01006643",2011,"Liverpool 025E","Total",1275,674,601,20,59,40,29,16,11,51,173,202
"E01006644",2011,"Liverpool 017D","Total",1507,850,657,23,77,45,30,23,20,54,203,182
"E01006645",2011,"Liverpool 017E","Total",993,435,558,13,39,28,32,20,14,45,192,175
"E01006646",2011,"Liverpool 023C","Total",1543,757,786,23,80,53,37,22,31,61,204,275
"E01006647",2011,"Liverpool 024C","Total",1000,337,663,15,50,23,16,14,12,67,231,235
"E01006648",2011,"Liverpool 023D","Total",1780,933,847,27,100,64,48,17,18,53,252,268
"E01006651",2011,"Liverpool 001A","Total",1214,920,294,22,37,23,14,15,12,39,56,76
"E01006652",2011,"Liverpool 002A","Total",1118,733,385,14,46,29,22,16,9,53,114,82
"E01006653",2011,"Liverpool 001B","Total",1100,620,480,9,38,29,21,15,19,62,155,132
"E01006654",2011,"Liverpool 005A","Total",1080,744,336,8,34,27,26,10,20,47,101,63
"E01006655",2011,"Liverpool 001C","Total",1272,766,506,23,45,25,28,22,22,64,146,131
"E01006656",2011,"Liverpool 002B","Total",1135,740,395,14,47,34,20,14,16,58,113,79
"E01006657",2011,"Liverpool 002C","Total",905,550,355,7,39,24,15,9,14,57,111,79
