"lsoa11cd","date","lsoa11nm","Social Grade: All categories: Approximated social grade; measures: Value","Social Grade: AB Higher and intermediate managerial/administrative/professional occupations; measures: Value","Social Grade: C1 Supervisory, clerical and junior managerial/administrative/professional occupations; measures: Value","Social Grade: C2 Skilled manual occupations; measures: Value","Social Grade: DE Semi-skilled and unskilled manual occupations; unemployed and lowest grade occupations; measures: Value"
"E01006512",2011,"Liverpool 031A",1191,231,663,60,237
"E01006513",2011,"Liverpool 060A",1585,277,1055,72,181
"E01006514",2011,"Liverpool 037A",1548,295,890,88,275
"E01006515",2011,"Liverpool 037B",841,133,258,112,338
"E01006518",2011,"Liverpool 044A",1083,103,248,200,532
"E01006519",2011,"Liverpool 056A",837,415,235,92,95
"E01006520",2011,"Liverpool 043A",1419,528,511,113,267
"E01006521",2011,"Liverpool 052A",1104,419,355,121,209
"E01006522",2011,"Liverpool 048A",1463,526,491,110,336
"E01006523",2011,"Liverpool 052B",1164,430,378,97,259
"E01006524",2011,"Liverpool 048B",749,342,264,69,74
"E01006525",2011,"Liverpool 049A",822,297,286,125,114
"E01006526",2011,"Liverpool 048C",896,287,293,163,153
"E01006527",2011,"Liverpool 053A",872,237,294,144,197
"E01006528",2011,"Liverpool 052C",1082,323,429,130,200
"E01006529",2011,"Liverpool 048D",905,320,306,138,141
"E01006530",2011,"Liverpool 055A",849,184,321,184,160
"E01006531",2011,"Liverpool 055B",768,190,306,150,122
"E01006532",2011,"Liverpool 047A",933,443,297,98,95
"E01006533",2011,"Liverpool 055C",853,261,233,176,183
"E01006534",2011,"Liverpool 054A",1037,176,345,210,306
"E01006535",2011,"Liverpool 054B",1057,187,358,221,291
"E01006536",2011,"Liverpool 054C",1229,143,328,262,496
"E01006537",2011,"Liverpool 055D",1581,265,511,323,482
"E01006538",2011,"Liverpool 055E",859,151,243,204,261
"E01006539",2011,"Liverpool 047B",919,444,285,105,85
"E01006540",2011,"Liverpool 024A",1033,70,255,156,552
"E01006541",2011,"Liverpool 015A",1053,108,289,257,399
"E01006542",2011,"Liverpool 018A",906,79,223,188,416
"E01006543",2011,"Liverpool 015B",835,76,232,272,255
"E01006544",2011,"Liverpool 015C",1065,43,249,210,563
"E01006545",2011,"Liverpool 019A",963,70,305,215,373
"E01006546",2011,"Liverpool 019B",877,70,214,204,389
"E01006547",2011,"Liverpool 019C",1002,63,271,202,466
"E01006548",2011,"Liverpool 019D",1044,71,320,192,461
"E01006549",2011,"Liverpool 043B",1351,333,529,136,353
"E01006550",2011,"Liverpool 038A",1428,168,1059,74,127
"E01006551",2011,"Liverpool 048E",722,209,216,79,218
"E01006552",2011,"Liverpool 039A",1324,164,447,209,504
"E01006553",2011,"Liverpool 042A",1615,302,977,98,238
"E01006554",2011,"Liverpool 048F",1421,387,754,95,185
"E01006556",2011,"Liverpool 039B",1425,96,410,161,758
"E01006557",2011,"Liverpool 038B",1824,172,1324,71,257
"E01006558",2011,"Liverpool 018B",947,23,195,177,552
"E01006560",2011,"Liverpool 023A",1222,41,176,224,781
"E01006562",2011,"Liverpool 018E",1012,32,182,185,613
"E01006563",2011,"Liverpool 024B",1013,18,257,178,560
"E01006564",2011,"Liverpool 023B",1122,64,248,255,555
"E01006565",2011,"Liverpool 029A",977,100,269,243,365
"E01006566",2011,"Liverpool 032A",950,167,308,199,276
"E01006567",2011,"Liverpool 026A",1053,115,287,244,407
"E01006568",2011,"Liverpool 026B",998,154,332,225,287
"E01006569",2011,"Liverpool 029B",867,101,214,189,363
"E01006570",2011,"Liverpool 026C",957,207,318,235,197
"E01006571",2011,"Liverpool 026D",951,54,266,216,415
"E01006572",2011,"Liverpool 025A",738,30,174,168,366
"E01006573",2011,"Liverpool 029C",934,89,270,190,385
"E01006574",2011,"Liverpool 025B",843,79,202,212,350
"E01006575",2011,"Liverpool 034A",830,163,289,155,223
"E01006576",2011,"Liverpool 034B",1123,236,418,252,217
"E01006577",2011,"Liverpool 034C",982,362,310,159,151
