"lsoa11cd","date","lsoa11nm","Rural Urban","Method of Travel to Work: All categories: Method of travel to work; measures: Value","Method of Travel to Work: Work mainly at or from home; measures: Value","Method of Travel to Work: Underground, metro, light rail, tram; measures: Value","Method of Travel to Work: Train; measures: Value","Method of Travel to Work: Bus, minibus or coach; measures: Value","Method of Travel to Work: Taxi; measures: Value","Method of Travel to Work: Motorcycle, scooter or moped; measures: Value","Method of Travel to Work: Driving a car or van; measures: Value","Method of Travel to Work: Passenger in a car or van; measures: Value","Method of Travel to Work: Bicycle; measures: Value","Method of Travel to Work: On foot; measures: Value","Method of Travel to Work: Other method of travel to work; measures: Value","Method of Travel to Work: Not in employment; measures: Value"
"E01006512",2011,"Liverpool 031A","Total",1666,21,5,23,51,7,1,159,9,12,221,4,1153
"E01006513",2011,"Liverpool 060A","Total",2853,41,10,83,89,11,4,202,40,14,548,10,1801
"E01006514",2011,"Liverpool 037A","Total",1955,54,7,76,95,9,1,194,32,21,430,7,1029
"E01006515",2011,"Liverpool 037B","Total",921,6,3,41,69,3,3,120,16,12,205,4,439
"E01006518",2011,"Liverpool 044A","Total",1229,13,2,20,152,9,2,195,32,11,117,9,667
"E01006519",2011,"Liverpool 056A","Total",949,33,17,93,39,4,5,361,23,19,41,8,306
"E01006520",2011,"Liverpool 043A","Total",1523,23,23,89,171,6,3,518,48,74,86,8,474
"E01006521",2011,"Liverpool 052A","Total",1256,41,4,43,122,2,4,484,23,23,45,8,457
"E01006522",2011,"Liverpool 048A","Total",1564,49,16,95,162,9,2,489,43,58,91,13,537
"E01006523",2011,"Liverpool 052B","Total",1242,28,17,69,140,3,5,427,31,33,56,3,430
"E01006524",2011,"Liverpool 048B","Total",2033,41,6,58,102,6,3,430,38,13,60,10,1266
"E01006525",2011,"Liverpool 049A","Total",942,42,3,63,50,2,2,386,34,15,37,4,304
"E01006526",2011,"Liverpool 048C","Total",1029,38,3,40,109,4,3,414,25,14,44,4,331
"E01006527",2011,"Liverpool 053A","Total",1103,29,3,43,99,10,3,370,28,16,52,5,445
"E01006528",2011,"Liverpool 052C","Total",1157,23,9,35,148,9,2,427,37,30,36,4,397
"E01006529",2011,"Liverpool 048D","Total",1007,24,4,39,120,6,3,405,34,24,48,2,298
"E01006530",2011,"Liverpool 055A","Total",1005,16,2,44,61,4,0,425,37,17,39,3,357
"E01006531",2011,"Liverpool 055B","Total",997,18,5,42,46,2,2,376,35,7,29,8,427
"E01006532",2011,"Liverpool 047A","Total",1132,46,8,24,32,3,3,541,35,13,16,8,403
"E01006533",2011,"Liverpool 055C","Total",992,16,4,46,44,5,0,377,35,11,39,4,411
"E01006534",2011,"Liverpool 054A","Total",1158,28,1,57,107,8,1,404,53,9,30,11,449
"E01006535",2011,"Liverpool 054B","Total",1222,20,10,67,98,6,2,444,39,20,29,4,483
"E01006536",2011,"Liverpool 054C","Total",1386,18,10,82,143,10,6,383,40,13,65,5,611
"E01006537",2011,"Liverpool 055D","Total",1728,27,8,111,102,20,6,614,68,36,159,16,561
"E01006538",2011,"Liverpool 055E","Total",972,12,2,79,48,7,2,380,35,17,52,9,329
"E01006539",2011,"Liverpool 047B","Total",1117,54,2,16,62,2,3,508,28,13,40,4,385
"E01006540",2011,"Liverpool 024A","Total",1139,5,2,8,158,7,3,177,40,7,79,1,652
"E01006541",2011,"Liverpool 015A","Total",1211,15,3,7,192,15,3,343,49,10,72,8,494
"E01006542",2011,"Liverpool 018A","Total",1025,5,0,11,163,10,1,249,53,7,61,5,460
"E01006543",2011,"Liverpool 015B","Total",966,8,2,9,124,3,3,349,56,7,60,5,340
"E01006544",2011,"Liverpool 015C","Total",1190,6,2,13,194,5,1,229,41,4,64,2,629
"E01006545",2011,"Liverpool 019A","Total",1083,9,0,5,182,10,2,298,61,13,78,12,413
"E01006546",2011,"Liverpool 019B","Total",942,9,0,7,174,14,2,202,46,16,72,4,396
"E01006547",2011,"Liverpool 019C","Total",1125,23,0,12,161,9,1,208,30,15,54,8,604
"E01006548",2011,"Liverpool 019D","Total",1177,9,6,3,205,10,2,226,47,11,60,4,594
"E01006549",2011,"Liverpool 043B","Total",1456,26,4,34,195,8,3,339,35,60,106,10,636
