"lsoa11cd","date","lsoa11nm","Rural Urban","Distance travelled to work: All categories: Distance travelled to work; measures: Value","Distance travelled to work: Less than 2km; measures: Value","Distance travelled to work: 2km to less than 5km; measures: Value","Distance travelled to work: 5km to less than 10km; measures: Value","Distance travelled to work: 10km to less than 20km; measures: Value","Distance travelled to work: 20km to less than 30km; measures: Value","Distance travelled to work: 30km to less than 40km; measures: Value","Distance travelled to work: 40km to less than 60km; measures: Value","Distance travelled to work: 60km and over; measures: Value","Distance travelled to work: Work mainly at or from home; measures: Value","Distance travelled to work: Other; measures: Value","Distance travelled to work: Total distance (km); measures: Value","Distance travelled to work: Average distance (km); measures: Value"
"E01006512",2011,"Liverpool 031A","Total",513,179,81,60,25,24,1,48,16,38,41,7411,17.1
"E01006513",2011,"Liverpool 060A","Total",1052,490,70,104,73,47,11,53,45,66,93,14331.4,16
"E01006514",2011,"Liverpool 037A","Total",926,414,83,106,44,31,7,32,28,89,92,9938.2,13.3
"E01006515",2011,"Liverpool 037B","Total",482,211,69,68,22,20,7,5,14,24,42,5523.3,13.3
"E01006518",2011,"Liverpool 044A","Total",562,161,148,89,39,15,0,13,6,34,57,4180.8,8.9
"E01006519",2011,"Liverpool 056A","Total",643,60,135,217,60,24,8,21,20,64,34,9167.3,16.8
"E01006520",2011,"Liverpool 043A","Total",1049,81,415,180,106,49,9,39,25,72,73,13269.6,14.7
"E01006521",2011,"Liverpool 052A","Total",799,55,235,207,78,43,7,34,21,78,41,11487,16.9
"E01006522",2011,"Liverpool 048A","Total",1027,102,397,170,76,59,10,32,29,81,71,13767.7,15.7
"E01006523",2011,"Liverpool 052B","Total",812,88,321,143,77,31,9,25,10,53,55,6911.7,9.8
"E01006524",2011,"Liverpool 048B","Total",767,68,177,165,78,27,7,40,62,67,76,17323.4,27.8
"E01006525",2011,"Liverpool 049A","Total",638,75,142,207,61,19,7,18,13,65,31,6846.4,12.6
"E01006526",2011,"Liverpool 048C","Total",698,78,204,180,54,26,10,17,24,67,38,11595.1,19.6
"E01006527",2011,"Liverpool 053A","Total",658,77,166,201,46,22,8,23,20,52,43,8543.3,15.2
"E01006528",2011,"Liverpool 052C","Total",760,52,216,197,79,26,7,29,34,45,75,10857.1,17
"E01006529",2011,"Liverpool 048D","Total",709,56,206,228,73,37,14,15,13,34,33,8015.3,12.5
"E01006530",2011,"Liverpool 055A","Total",648,73,141,176,138,9,12,7,26,40,26,9403.4,16.2
"E01006531",2011,"Liverpool 055B","Total",570,68,89,160,121,16,8,16,13,33,46,7215.2,14.7
"E01006532",2011,"Liverpool 047A","Total",729,80,176,224,66,18,10,22,16,77,40,8250.8,13.5
"E01006533",2011,"Liverpool 055C","Total",581,78,119,182,82,12,6,15,6,42,39,4962.7,9.9
"E01006534",2011,"Liverpool 054A","Total",709,62,164,251,75,14,6,27,20,45,45,9214,14.9
"E01006535",2011,"Liverpool 054B","Total",739,112,153,229,97,12,13,14,24,42,43,10040.2,15.4
"E01006536",2011,"Liverpool 054C","Total",775,129,176,251,76,20,4,11,18,37,53,8672.3,12.7
